energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,0.86576995,0.07870231,0.00022486,0.03928524,0.53660022,0.37862980,0.06296586,0.39027172,0.01192955
-5.99399700,0.82873231,0.07541667,0.00020576,0.03766857,0.51372787,0.36279138,0.05995673,0.37397674,0.01139937
-5.98799400,0.78806856,0.07177410,0.00018868,0.03586744,0.48858497,0.34526359,0.05678024,0.35591843,0.01082553
-5.98199100,0.74438226,0.06783591,0.00017316,0.03391356,0.46154983,0.32632965,0.05346034,0.33639770,0.01021491
-5.97598799,0.69834028,0.06366776,0.00015886,0.03184067,0.43303945,0.30629748,0.05002925,0.31573819,0.00957554
-5.96998499,0.65064535,0.05933742,0.00014558,0.02968346,0.40349252,0.28548789,0.04652492,0.29427478,0.00891621
-5.96398199,0.60200979,0.05491256,0.00013321,0.02747645,0.37335326,0.26422342,0.04298876,0.27234260,0.00824599
-5.95797899,0.55313169,0.05045874,0.00012170,0.02525306,0.34305665,0.24281806,0.03946352,0.25026682,0.00757394
-5.95197599,0.50467389,0.04603763,0.00011109,0.02304462,0.31301547,0.22156827,0.03599154,0.22835376,0.00690877
-5.94597299,0.45724669,0.04170552,0.00010145,0.02087975,0.28360966,0.20074546,0.03261320,0.20688342,0.00625856
-5.93996998,0.41139450,0.03751216,0.00009293,0.01878374,0.25517803,0.18059024,0.02936594,0.18610367,0.00563059
-5.93396698,0.36758654,0.03349991,0.00008571,0.01677814,0.22801261,0.16130836,0.02628343,0.16622625,0.00503118
-5.92796398,0.32621176,0.02970331,0.00008005,0.01488057,0.20235550,0.14306836,0.02339527,0.14742444,0.00446562
-5.92196098,0.28757758,0.02614889,0.00007628,0.01310466,0.17839813,0.12600089,0.02072694,0.12983241,0.00393814
-5.91595798,0.25191221,0.02285536,0.00007479,0.01146014,0.15628281,0.11019952,0.01830016,0.11354606,0.00345198
-5.90995498,0.21937010,0.01983397,0.00007610,0.00995303,0.13610606,0.09572281,0.01613347,0.09862520,0.00300942
-5.90395198,0.19003991,0.01708917,0.00008084,0.00858602,0.11792362,0.08259744,0.01424312,0.08509671,0.00261195
-5.89794897,0.16395450,0.01461932,0.00008983,0.00735881,0.10175670,0.07082209,0.01264405,0.07295860,0.00226041
-5.89194597,0.14110220,0.01241763,0.00010406,0.00626863,0.08759902,0.06037193,0.01135122,0.06218452,0.00195513
-5.88594297,0.12143905,0.01047303,0.00012476,0.00531067,0.07542435,0.05120335,0.01038080,0.05272861,0.00169620
-5.87993997,0.10490114,0.00877114,0.00015347,0.00447862,0.06519428,0.04325873,0.00975162,0.04453038,0.00148363
-5.87393697,0.09141679,0.00729513,0.00019202,0.00376510,0.05686578,0.03647118,0.00948645,0.03751949,0.00131757
-5.86793397,0.08091811,0.00602664,0.00024266,0.00316209,0.05039836,0.03076891,0.00961334,0.03162019,0.00119853
-5.86193097,0.07335145,0.00494648,0.00030806,0.00266140,0.04576058,0.02607925,0.01016674,0.02675535,0.00112757
-5.85592796,0.06868654,0.00403530,0.00039137,0.00225492,0.04293579,0.02233209,0.01118853,0.02284993,0.00110653
-5.84992496,0.06692414,0.00327416,0.00049630,0.00193497,0.04192676,0.01946287,0.01272875,0.01983391,0.00113815
-5.84392196,0.06810173,0.00264495,0.00062710,0.00169448,0.04275930,0.01741488,0.01484607,0.01764457,0.00122626
-5.83791896,0.07229743,0.00213073,0.00078868,0.00152716,0.04548462,0.01614102,0.01760789,0.01622814,0.00137593
-5.83191596,0.07963171,0.00171599,0.00098654,0.00142760,0.05018038,0.01560493,0.02109006,0.01554089,0.00159352
-5.82591296,0.09026702,0.00138675,0.00122681,0.00139132,0.05695037,0.01578158,0.02537610,0.01554958,0.00188677
-5.81990995,0.10440518,0.00113065,0.00151622,0.00141472,0.06592283,0.01665730,0.03055596,0.01623142,0.00226484
-5.81390695,0.12228244,0.00093699,0.00186208,0.00149508,0.07724732,0.01822929,0.03672420,0.01757345,0.00273821
-5.80790395,0.14416237,0.00079661,0.00227211,0.00163039,0.09109020,0.02050467,0.04397770,0.01957159,0.00331868
-5.80190095,0.17032661,0.00070187,0.00275440,0.00181930,0.10762874,0.02349912,0.05241274,0.02222921,0.00401914
-5.79589795,0.20106345,0.00064653,0.00331723,0.00206088,0.12704393,0.02723510,0.06212166,0.02555540,0.00485338
-5.78989495,0.23665475,0.00062560,0.00396882,0.00235451,0.14951221,0.03173977,0.07318906,0.02956296,0.00583577
-5.78389195,0.27736116,0.00063524,0.00471715,0.00269966,0.17519618,0.03704258,0.08568765,0.03426617,0.00698090
-5.77788894,0.32340641,0.00067261,0.00556965,0.00309566,0.20423469,0.04317265,0.09967391,0.03967851,0.00830313
-5.77188594,0.37496076,0.00073575,0.00653288,0.00354158,0.23673248,0.05015604,0.11518376,0.04581019,0.00981602
