energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
3.18459230,1.24396819,1.21765537,0.06926338,0.21809334,0.00001604,0.02285129,0.37166464
3.19059530,1.23230705,1.20499631,0.06912318,0.22778196,0.00001630,0.02263842,0.36274680
3.19659830,1.21709398,1.18802484,0.06870805,0.23798351,0.00001647,0.02242237,0.35323598
3.20260130,1.19860758,1.16709071,0.06802726,0.24873082,0.00001654,0.02220392,0.34322722
3.20860430,1.17715717,1.14260456,0.06709388,0.26004924,0.00001653,0.02198232,0.33280400
3.21460730,1.15307883,1.11502730,0.06592453,0.27195546,0.00001643,0.02175557,0.32203933
3.22061031,1.12673172,1.08485863,0.06453906,0.28445669,0.00001625,0.02152083,0.31099760
3.22661331,1.09849474,1.05262529,0.06296014,0.29755024,0.00001598,0.02127490,0.29973714
3.23261631,1.06876336,1.01886929,0.06121286,0.31122341,0.00001565,0.02101473,0.28831324
3.23861931,1.03794676,0.98413666,0.05932432,0.32545401,0.00001525,0.02073798,0.27678140
3.24462231,1.00646520,0.94896701,0.05732315,0.34021127,0.00001481,0.02044354,0.26520053
3.25062531,0.97474761,0.91388435,0.05523907,0.35545735,0.00001433,0.02013206,0.25363599
3.25662831,0.94322934,0.87938928,0.05310251,0.37114931,0.00001382,0.01980639,0.24216210
3.26263132,0.91235001,0.84595289,0.05094417,0.38724160,0.00001332,0.01947192,0.23086412
3.26863432,0.88255148,0.81401230,0.04879466,0.40368884,0.00001282,0.01913688,0.21983950
3.27463732,0.85427570,0.78396804,0.04668420,0.42044891,0.00001235,0.01881242,0.20919828
3.28064032,0.82796257,0.75618288,0.04464226,0.43748609,0.00001192,0.01851269,0.19906270
3.28664332,0.80404742,0.73098217,0.04269740,0.45477413,0.00001156,0.01825466,0.18956595
3.29264632,0.78295829,0.70865525,0.04087695,0.47229900,0.00001127,0.01805792,0.18085009
3.29864932,0.76511264,0.68945763,0.03920687,0.49006109,0.00001108,0.01794422,0.17306336
3.30465233,0.75091342,0.67361361,0.03771153,0.50807676,0.00001100,0.01793706,0.16635669
3.31065533,0.74074455,0.66131886,0.03641356,0.52637885,0.00001105,0.01806097,0.16087988
3.31665833,0.73496542,0.65274270,0.03533363,0.54501620,0.00001124,0.01834088,0.15677727
3.32266133,0.73390473,0.64802965,0.03449032,0.56405196,0.00001158,0.01880126,0.15418327
3.32866433,0.73785334,0.64730009,0.03389985,0.58356065,0.00001208,0.01946535,0.15321773
3.33466733,0.74705652,0.65064977,0.03357591,0.60362408,0.00001275,0.02035419,0.15398138
3.34067034,0.76170549,0.65814819,0.03352935,0.62432613,0.00001359,0.02148581,0.15655154
3.34667334,0.78192878,0.66983584,0.03376797,0.64574663,0.00001462,0.02287431,0.16097809
3.35267634,0.80778342,0.68572039,0.03429620,0.66795471,0.00001582,0.02452904,0.16728002
3.35867934,0.83924659,0.70577228,0.03511479,0.69100168,0.00001721,0.02645388,0.17544260
3.36468234,0.87620813,0.72991973,0.03622061,0.71491401,0.00001876,0.02864660,0.18541526
3.37068534,0.91846424,0.75804386,0.03760629,0.73968679,0.00002049,0.03109834,0.19711047
3.37668834,0.96571307,0.78997413,0.03926010,0.76527793,0.00002237,0.03379329,0.21040353
3.38269135,1.01755243,0.82548464,0.04116575,0.79160356,0.00002439,0.03670854,0.22513348
3.38869435,1.07348030,0.86429162,0.04330234,0.81853492,0.00002654,0.03981420,0.24110507
3.39469735,1.13289816,0.90605256,0.04564439,0.84589703,0.00002880,0.04307365,0.25809196
3.40070035,1.19511758,0.95036708,0.04816202,0.87346924,0.00003115,0.04644412,0.27584090
3.40670335,1.25937000,0.99677996,0.05082120,0.90098784,0.00003356,0.04987745,0.29407705
3.41270635,1.32481975,1.04478613,0.05358417,0.92815057,0.00003600,0.05332113,0.31251015
3.41870935,1.39057997,1.09383782,0.05641004,0.95462309,0.00003846,0.05671949,0.33084141
3.42471236,1.45573099,1.14335348,0.05925545,0.98004702,0.00004090,0.06001511,0.34877099
3.43071536,1.51934091,1.19272841,0.06207539,1.00404936,0.00004330,0.06315034,0.36600568
3.43671836,1.58048736,1.24134664,0.06482416,1.02625289,0.00004562,0.06606894,0.38226661
3.44272136,1.63827997,1.28859366,0.06745633,1.04628717,0.00004785,0.06871767,0.39729671
3.44872436,1.69188264,1.33386958,0.06992783,1.06379962,0.00004994,0.07104797,0.41086751
3.45472736,1.74053479,1.37660222,0.07219706,1.07846635,0.00005189,0.07301740,0.42278518
3.46073037,1.78357074,1.41625966,0.07422588,1.09000224,0.00005366,0.07459108,0.43289538
3.46673337,1.82043665,1.45236185,0.07598068,1.09816988,0.00005523,0.07574277,0.44108692
3.47273637,1.85070417,1.48449089,0.07743327,1.10278706,0.00005660,0.07645576,0.44729391
3.47873937,1.87408039,1.51229962,0.07856167,1.10373253,0.00005774,0.07672347,0.45149643
3.48474237,1.89041370,1.53551834,0.07935070,1.10094981,0.00005865,0.07654969,0.45371972
3.49074537,1.89969545,1.55395940,0.07979243,1.09444893,0.00005932,0.07594845,0.45403186
3.49674837,1.90205717,1.56751966,0.07988638,1.08430606,0.00005975,0.07494361,0.45254018
