energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,2.11243750,0.69633662,0.84384602,0.06678247,0.62939348,0.53322402,0.00000000
-5.99399700,2.13740178,0.70889947,0.85790160,0.06715857,0.63167134,0.54246476,0.00000000
-5.98799400,2.16424701,0.72319915,0.87171460,0.06761548,0.63485400,0.55127842,0.00000000
-5.98199100,2.19274833,0.73920440,0.88526826,0.06813856,0.63878992,0.55967159,0.00000000
-5.97598799,2.22263746,0.75686806,0.89855352,0.06870673,0.64330738,0.56765502,0.00000000
-5.96998499,2.25360239,0.77611833,0.91156738,0.06929327,0.64821698,0.57524278,0.00000000
-5.96398199,2.28528991,0.79685133,0.92431181,0.06986685,0.65331509,0.58245186,0.00000000
-5.95797899,2.31731112,0.81892518,0.93679295,0.07039281,0.65838794,0.58930241,0.00000000
-5.95197599,2.34924916,0.84215625,0.94902084,0.07083458,0.66321639,0.59581846,0.00000000
-5.94597299,2.38066888,0.86631736,0.96100927,0.07115527,0.66758091,0.60202888,0.00000000
-5.93996998,2.41112785,0.89113837,0.97277582,0.07131918,0.67126676,0.60796858,0.00000000
-5.93396698,2.44018788,0.91630904,0.98434185,0.07129340,0.67406902,0.61367958,0.00000000
-5.92796398,2.46742657,0.94148399,0.99573230,0.07104918,0.67579740,0.61921177,0.00000000
-5.92196098,2.49244814,0.96628972,1.00697510,0.07056316,0.67628058,0.62462323,0.00000000
-5.91595798,2.51489307,0.99033325,1.01810017,0.06981835,0.67537005,0.62997983,0.00000000
-5.90995498,2.53444596,1.01321218,1.02913783,0.06880482,0.67294326,0.63535399,0.00000000
-5.90395198,2.55084156,1.03452562,1.04011676,0.06752007,0.66890612,0.64082266,0.00000000
-5.89794897,2.56386845,1.05388568,1.05106133,0.06596912,0.66319474,0.64646436,0.00000000
-5.89194597,2.57337072,1.07092900,1.06198866,0.06416417,0.65577645,0.65235550,0.00000000
-5.88594297,2.57924752,1.08532794,1.07290546,0.06212414,0.64665017,0.65856610,0.00000000
-5.87993997,2.58145093,1.09680086,1.08380477,0.05987378,0.63584609,0.66515510,0.00000000
-5.87393697,2.57998239,1.10512138,1.09466314,0.05744266,0.62342479,0.67216564,0.00000000
