energy_ev,total_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.08426960,0.47184628,0.10155959,0.26754246,0.24689361,0.01225971,0.08427027,0.45487376,0.00000000
-5.99399700,1.12740354,0.49357910,0.10534922,0.27923267,0.25388351,0.01298233,0.08892055,0.47468634,0.00000000
-5.98799400,1.16843208,0.51445249,0.10885951,0.29039698,0.26023124,0.01368906,0.09352183,0.49390812,0.00000000
-5.98199100,1.20687272,0.53430374,0.11205058,0.30093371,0.26581890,0.01437369,0.09803869,0.51232416,0.00000000
-5.97598799,1.24227952,0.55297344,0.11488754,0.31074624,0.27054687,0.01502991,0.10243333,0.52972694,0.00000000
-5.96998499,1.27424398,0.57030427,0.11734054,0.31974265,0.27433446,0.01565129,0.10666548,0.54591666,0.00000000
-5.96398199,1.30239479,0.58613991,0.11938463,0.32783535,0.27711988,0.01623133,0.11069230,0.56070131,0.00000000
-5.95797899,1.32639681,0.60032432,0.12099956,0.33494067,0.27885966,0.01676352,0.11446854,0.57389689,0.00000000
-5.95197599,1.34595002,0.61270161,0.12216943,0.34097872,0.27952753,0.01724140,0.11794690,0.58532779,0.00000000
-5.94597299,1.36078888,0.62311686,0.12288241,0.34587353,0.27911299,0.01765862,0.12107864,0.59482769,0.00000000
-5.93996998,1.37068240,0.63141783,0.12313043,0.34955361,0.27761977,0.01800909,0.12381444,0.60224104,0.00000000
-5.93396698,1.37543549,0.63745779,0.12290899,0.35195297,0.27506413,0.01828708,0.12610552,0.60742524,0.00000000
-5.92796398,1.37489155,0.64109935,0.12221701,0.35301260,0.27147328,0.01848738,0.12790499,0.61025352,0.00000000
-5.92196098,1.36893624,0.64221909,0.12105685,0.35268236,0.26688404,0.01860547,0.12916933,0.61061842,0.00000000
-5.91595798,1.35750250,0.64071297,0.11943439,0.35092323,0.26134155,0.01863765,0.12986004,0.60843570,0.00000000
-5.90995498,1.34057608,0.63650197,0.11735923,0.34770967,0.25489837,0.01858124,0.12994522,0.60364844,0.00000000
-5.90395198,1.31820150,0.62953771,0.11484493,0.34303212,0.24761375,0.01843474,0.12940117,0.59623119,0.00000000
-5.89794897,1.29048754,0.61980771,0.11190925,0.33689918,0.23955306,0.01819791,0.12821373,0.58619356,0.00000000
-5.89194597,1.25761179,0.60733980,0.10857442,0.32933958,0.23078741,0.01787191,0.12637944,0.57358326,0.00000000
