energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,5.87459648,-8.58510537,0.03879792,-0.14045211,0.35174814,-0.89569825,0.38797191,-0.96137701,0.00000000,-0.00000000,1.37150050,-1.44026268,0.86486236,-0.90181777,0.09168076,-0.13583890,2.59756035,-3.53827990
-5.99399700,5.97936298,-8.44851345,0.03937635,-0.14457092,0.37315182,-0.87012836,0.39819430,-0.93754881,0.00000000,-0.00000000,1.40579974,-1.42306812,0.89030830,-0.89312068,0.09336801,-0.13546519,2.62072235,-3.49072060
-5.98799400,6.06873714,-8.29819510,0.04002484,-0.14844648,0.39443652,-0.84379599,0.40727426,-0.91302592,0.00000000,-0.00000000,1.43499015,-1.40391479,0.91505717,-0.88288793,0.09497309,-0.13484056,2.63542907,-3.43684892
-5.98199100,6.14171581,-8.13635462,0.04071536,-0.15201475,0.41529670,-0.81699485,0.41506482,-0.88806696,0.00000000,-0.00000000,1.45868275,-1.38309240,0.93880459,-0.87124534,0.09649655,-0.13397794,2.64162253,-3.37759069
-5.97598799,6.19755619,-7.96517031,0.04142011,-0.15521057,0.43543137,-0.78998894,0.42143913,-0.86290601,0.00000000,-0.00000000,1.47658420,-1.36089145,0.96125942,-0.85831745,0.09794072,-0.13288990,2.63938113,-3.31389168
-5.96998499,6.23578266,-7.78678854,0.04211179,-0.15796990,0.45455067,-0.76301195,0.42629213,-0.83775473,0.00000000,-0.00000000,1.48850277,-1.33760621,0.98214754,-0.84422936,0.09930949,-0.13158882,2.62891357,-3.24671299
-5.96398199,6.25619270,-7.60332220,0.04276405,-0.16023220,0.47238279,-0.73626802,0.42954225,-0.81280525,0.00000000,-0.00000000,1.49435285,-1.31353777,1.00121650,-0.82910879,0.10060812,-0.13008723,2.61055173,-3.17702767
-5.95797899,6.25886144,-7.41685132,0.04335191,-0.16194275,0.48868092,-0.70993328,0.43113307,-0.78823321,0.00000000,-0.00000000,1.49415770,-1.28899677,1.01824066,-0.81308813,0.10184319,-0.12839821,2.58474252,-3.10581748
-5.95197599,6.24414406,-7.22942336,0.04385225,-0.16305489,0.50322998,-0.68415804,0.43103495,-0.76420059,0.00000000,-0.00000000,1.48805029,-1.26430489,1.03302681,-0.79630603,0.10302251,-0.12653584,2.55203877,-3.03406888
-5.94597299,6.21267515,-7.04305082,0.04424429,-0.16353199,0.51585274,-0.65906927,0.42924648,-0.74085801,0.00000000,-0.00000000,1.47627221,-1.23979492,1.04541954,-0.77890842,0.10415510,-0.12451564,2.51308921,-2.96276763
-5.93996998,6.16536386,-6.85970422,0.04451009,-0.16334906,0.52641512,-0.63477307,0.42579570,-0.71834616,0.00000000,-0.00000000,1.45917049,-1.21580877,1.05530631,-0.76104866,0.10525118,-0.12235498,2.46862744,-2.89289086
-5.93396698,6.10338380,-6.68129878,0.04463495,-0.16249403,0.53483035,-0.61135693,0.42074097,-0.69679611,0.00000000,-0.00000000,1.43719219,-1.19269322,1.06262153,-0.74288667,0.10632206,-0.12007337,2.41945966,-2.82539644
-5.92796398,6.02815674,-6.50967403,0.04460781,-0.16096839,0.54106164,-0.58889160,0.41417134,-0.67632856,0.00000000,-0.00000000,1.41087687,-1.17079341,1.06734941,-0.72458704,0.10738002,-0.11769257,2.36645125,-2.76120912
-5.92196098,5.94132941,-6.34656609,0.04442150,-0.15878746,0.54512342,-0.56743250,0.40620630,-0.65705202,0.00000000,-0.00000000,1.38084680,-1.15044411,1.06952520,-0.70631616,0.10843810,-0.11523658,2.31051197,-2.70120357
-5.91595798,5.84474300,-6.19357333,0.04407290,-0.15598002,0.54708078,-0.54702059,0.39699494,-0.63906002,0.00000000,-0.00000000,1.34779522,-1.13195912,1.06923458,-0.68823842,0.10950973,-0.11273141,2.25257984,-2.64618462
-5.90995498,5.74039544,-6.05211659,0.04356291,-0.15258747,0.54704717,-0.52768283,0.38671424,-0.62242759,0.00000000,-0.00000000,1.31247259,-1.11561931,1.06661108,-0.67051176,0.11060828,-0.11020458,2.19360393,-2.59686547
-5.90395198,5.63039711,-5.92339616,0.04289640,-0.14866248,0.54518054,-0.50943221,0.37556662,-0.60720749,0.00000000,-0.00000000,1.27567131,-1.10165992,1.06183152,-0.65328283,0.11174650,-0.10768453,2.13452600,-2.55384463
-5.89794897,5.51692077,-5.80834804,0.04208185,-0.14426726,0.54167780,-0.49226764,0.36377670,-0.59342628,0.00000000,-0.00000000,1.23820903,-1.09025801,1.05510963,-0.63668199,0.11293580,-0.10519976,2.07626178,-2.51758297
-5.89194597,5.40214760,-5.70760232,0.04113106,-0.13947151,0.53676804,-0.47617381,0.35158729,-0.58108089,0.00000000,-0.00000000,1.20091116,-1.08152072,1.04668809,-0.62081861,0.11418550,-0.10277787,2.01968188,-2.48838219
-5.88594297,5.28821085,-5.62144697,0.04005858,-0.13435015,0.53070471,-0.46112119,0.33925473,-0.57013581,0.00000000,-0.00000000,1.16459296,-1.07547542,1.03682935,-0.60577685,0.11550204,-0.10044454,1.96559332,-2.46636608
-5.87993997,5.17713958,-5.54979994,0.03888120,-0.12898091,0.52375703,-0.44706644,0.32704376,-0.56052146,0.00000000,-0.00000000,1.13004169,-1.07206236,1.02580574,-0.59161237,0.11688815,-0.09822244,1.91472209,-2.45146613
