energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.32907938,0.01754634,0.00005536,0.00398352,0.22392769,0.04774639,0.09857330
-5.99399700,0.36322745,0.01936071,0.00006092,0.00436261,0.24707177,0.05232057,0.10882925
-5.98799400,0.39826023,0.02121916,0.00006669,0.00474463,0.27079039,0.05694805,0.11935330
-5.98199100,0.43379713,0.02310045,0.00007267,0.00512440,0.29482213,0.06157121,0.13003140
-5.97598799,0.46942523,0.02498143,0.00007883,0.00549645,0.31888323,0.06613068,0.14073934
-5.96998499,0.50471092,0.02683770,0.00008517,0.00585522,0.34267542,0.07056750,0.15134612
-5.96398199,0.53921367,0.02864434,0.00009172,0.00619517,0.36589526,0.07482572,0.16171799
-5.95797899,0.57250182,0.03037674,0.00009852,0.00651105,0.38824458,0.07885515,0.17172296
-5.95197599,0.60416959,0.03201161,0.00010563,0.00679806,0.40944190,0.08261445,0.18123572
-5.94597299,0.63385502,0.03352792,0.00011317,0.00705205,0.42923426,0.08607417,0.19014282
-5.93996998,0.66125790,0.03490794,0.00012128,0.00726972,0.44740901,0.08921992,0.19834772
-5.93396698,0.68615713,0.03613830,0.00013016,0.00744883,0.46380518,0.09205534,0.20577574
-5.92796398,0.70842664,0.03721091,0.00014005,0.00758830,0.47832374,0.09460492,0.21237848
-5.92196098,0.72804923,0.03812382,0.00015125,0.00768838,0.49093648,0.09691651,0.21813759
-5.91595798,0.74512755,0.03888201,0.00016412,0.00775071,0.50169283,0.09906336,0.22306769
-5.90995498,0.75989161,0.03949794,0.00017909,0.00777835,0.51072440,0.10114570,0.22721827
-5.90395198,0.77270244,0.03999191,0.00019664,0.00777582,0.51824684,0.10329176,0.23067434
-5.89794897,0.78405133,0.04039226,0.00021731,0.00774899,0.52455887,0.10565814,0.23355591
-5.89194597,0.79455464,0.04073522,0.00024171,0.00770503,0.53003836,0.10842942,0.23601614
-5.88594297,0.80494401,0.04106461,0.00027049,0.00765228,0.53513540,0.11181707,0.23823821
-5.87993997,0.81605210,0.04143121,0.00030437,0.00760001,0.54036267,0.11605762,0.24043100
-5.87393697,0.82879418,0.04189184,0.00034407,0.00755827,0.54628312,0.12140990,0.24282367
-5.86793397,0.84414590,0.04250830,0.00039038,0.00753762,0.55349546,0.12815156,0.24565931
-5.86193097,0.86311791,0.04334588,0.00044407,0.00754889,0.56261785,0.13657468,0.24918794
-5.85592796,0.88672779,0.04447183,0.00050589,0.00760288,0.57427013,0.14698060,0.25365888
-5.84992496,0.91597022,0.04595354,0.00057657,0.00771010,0.58905531,0.15967388,0.25931306
-5.84392196,0.95178609,0.04785650,0.00065680,0.00788050,0.60754069,0.17495553,0.26637514
-5.83791896,0.99503136,0.05024232,0.00074715,0.00812317,0.63023930,0.19311544,0.27504608
-5.83191596,1.04644665,0.05316648,0.00084810,0.00844610,0.65759208,0.21442428,0.28549609
-5.82591296,1.10662828,0.05667620,0.00095999,0.00885592,0.68995144,0.23912480,0.29785832
-5.81990995,1.17600169,0.06080834,0.00108296,0.00935772,0.72756656,0.26742280,0.31222351
-5.81390695,1.25479811,0.06558733,0.00121697,0.00995482,0.77057100,0.29947799,0.32863571
-5.80790395,1.34303511,0.07102344,0.00136174,0.01064862,0.81897287,0.33539488,0.34708914
-5.80190095,1.44050191,0.07711115,0.00151672,0.01143852,0.87264801,0.37521412,0.36752644
-5.79589795,1.54675000,0.08382802,0.00168111,0.01232177,0.93133638,0.41890453,0.38983824
-5.78989495,1.66108961,0.09113389,0.00185378,0.01329350,0.99464181,0.46635613,0.41386410
-5.78389195,1.78259255,0.09897055,0.00203334,0.01434666,1.06203539,0.51737471,0.43939480
-5.77788894,1.91010156,0.10726197,0.00221807,0.01547214,1.13286229,0.57167808,0.46617600
-5.77188594,2.04224641,0.11591518,0.00240600,0.01665883,1.20635228,0.62889450,0.49391308
-5.76588294,2.17746671,0.12482156,0.00259488,0.01789384,1.28163349,0.68856348,0.52227711
-5.75987994,2.31404092,0.13385893,0.00278224,0.01916263,1.35774943,0.75013930,0.55091186
-5.75387694,2.45012138,0.14289405,0.00296544,0.02044935,1.43367878,0.81299727,0.57944156
-5.74787394,2.58377435,0.15178573,0.00314173,0.02173714,1.50835761,0.87644287,0.60747936
-5.74187094,2.71302421,0.16038825,0.00330827,0.02300845,1.58070345,0.93972370,0.63463623
-5.73586793,2.83590062,0.16855521,0.00346228,0.02424548,1.64964062,1.00204397,0.66052998
-5.72986493,2.95048723,0.17614355,0.00360106,0.02543060,1.71412608,1.06258131,0.68479433
-5.72386193,3.05497051,0.18301750,0.00372206,0.02654674,1.77317513,1.12050545,0.70708768
-5.71785893,3.14768693,0.18905258,0.00382302,0.02757790,1.82588605,1.17499822,0.72710134
-5.71185593,3.22716709,0.19413921,0.00390197,0.02850954,1.87146300,1.22527420,0.74456695
-5.70585293,3.29217497,0.19818601,0.00395735,0.02932898,1.90923639,1.27060139,0.75926294
-5.69984992,3.34174106,0.20112239,0.00398802,0.03002577,1.93867994,1.31032123,0.77101969
-5.69384692,3.37518799,0.20290065,0.00399336,0.03059201,1.95942387,1.34386704,0.77972338
-5.68784392,3.39214763,0.20349723,0.00397321,0.03102256,1.97126379,1.37078047,0.78531821
-5.68184092,3.39256915,0.20291315,0.00392795,0.03131522,1.97416481,1.39072504,0.78780699
-5.67583792,3.37671750,0.20117368,0.00385846,0.03147079,1.96826078,1.40349643,0.78725003
-5.66983492,3.34516253,0.19832719,0.00376610,0.03149301,1.95384870,1.40902905,0.78376246
-5.66383192,3.29875911,0.19444329,0.00365266,0.03138850,1.93137841,1.40739852,0.77750982
-5.65782891,3.23861904,0.18961026,0.00352031,0.03116649,1.90143798,1.39882006,0.76870231
-5.65182591,3.16607585,0.18393208,0.00337153,0.03083857,1.86473536,1.38364267,0.75758772
-5.64582291,3.08264397,0.17752492,0.00320902,0.03041827,1.82207690,1.36233940,0.74444343
-5.63981991,2.98997371,0.17051351,0.00303564,0.02992066,1.77434355,1.33549394,0.72956764
-5.63381691,2.88980380,0.16302738,0.00285431,0.02936187,1.72246568,1.30378409,0.71327024
-5.62781391,2.78391329,0.15519714,0.00266795,0.02875856,1.66739727,1.26796255,0.69586358
-5.62181091,2.67407446,0.14715100,0.00247935,0.02812741,1.61009054,1.22883575,0.67765361
-5.61580790,2.56200832,0.13901161,0.00229117,0.02748463,1.55147170,1.18724153,0.65893157
-5.60980490,2.44934423,0.13089325,0.00210584,0.02684545,1.49241881,1.14402627,0.63996662
-5.60380190,2.33758470,0.12289958,0.00192553,0.02622372,1.43374226,1.10002231,0.62099967
-5.59779890,2.22807645,0.11512189,0.00175208,0.02563149,1.37616856,1.05602646,0.60223862
-5.59179590,2.12198833,0.10763787,0.00158704,0.02507873,1.32032777,1.01278018,0.58385507
-5.58579290,2.02029643,0.10051097,0.00143162,0.02457312,1.26674496,0.97095212,0.56598281
-5.57978989,1.92377658,0.09379023,0.00128671,0.02411987,1.21583566,0.93112362,0.54871784
-5.57378689,1.83300388,0.08751059,0.00115289,0.02372170,1.16790544,0.89377742,0.53212004
-5.56778389,1.74835907,0.08169361,0.00103046,0.02337885,1.12315324,0.85929013,0.51621634
-5.56178089,1.67004079,0.07634853,0.00091947,0.02308922,1.08167840,0.82792841,0.50100508
-5.55577789,1.59808325,0.07147359,0.00081975,0.02284858,1.04349066,0.79984909,0.48646157
-5.54977489,1.53237807,0.06705756,0.00073098,0.02265078,1.00852291,0.77510306,0.47254429
-5.54377189,1.47269948,0.06308135,0.00065268,0.02248816,0.97664585,0.75364275,0.45920162
-5.53776888,1.41873169,0.05951975,0.00058429,0.02235183,0.94768417,0.73533280,0.44637877
-5.53176588,1.37009734,0.05634307,0.00052520,0.02223214,0.92143336,0.71996364,0.43402442
-5.52576288,1.32638607,0.05351881,0.00047477,0.02211905,0.89767668,0.70726725,0.42209703
-5.51975988,1.28718204,0.05101317,0.00043239,0.02200258,0.87620155,0.69693463,0.41057034
-5.51375688,1.25208973,0.04879246,0.00039747,0.02187321,0.85681484,0.68863433,0.39943795
-5.50775388,1.22075697,0.04682428,0.00036949,0.02172225,0.83935647,0.68203118,0.38871671
-5.50175088,1.19289481,0.04507865,0.00034799,0.02154222,0.82371100,0.67680480,0.37844889
-5.49574787,1.16829342,0.04352875,0.00033262,0.02132710,0.80981671,0.67266700,0.36870302
-5.48974487,1.14683399,0.04215165,0.00032309,0.02107260,0.79767207,0.66937756,0.35957340
-5.48374187,1.12849621,0.04092869,0.00031921,0.02077632,0.78733937,0.66675782,0.35117830
-5.47773887,1.11336134,0.03984577,0.00032089,0.02043786,0.77894551,0.66470168,0.34365711
-5.47173587,1.10161112,0.03889337,0.00032811,0.02005888,0.77268017,0.66318357,0.33716635
-5.46573287,1.09352260,0.03806643,0.00034094,0.01964300,0.76879125,0.66226323,0.33187503
-5.45972986,1.08945940,0.03736410,0.00035950,0.01919576,0.76757813,0.66208715,0.32795930
-5.45372686,1.08985980,0.03678933,0.00038399,0.01872442,0.76938294,0.66288672,0.32559690
-5.44772386,1.09522221,0.03634831,0.00041463,0.01823775,0.77458026,0.66497312,0.32496139
-5.44172086,1.10608855,0.03604992,0.00045168,0.01774579,0.78356558,0.66872921,0.32621662
-5.43571786,1.12302618,0.03590501,0.00049544,0.01725950,0.79674302,0.67459869,0.32951146
-5.42971486,1.14660880,0.03592567,0.00054618,0.01679049,0.81451258,0.68307284,0.33497517
-5.42371186,1.17739691,0.03612453,0.00060418,0.01635065,0.83725738,0.69467518,0.34271330
