energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,0.55550731,0.17034507,0.23495737,0.01731254,0.08211359,0.06286142,0.00079922
-5.99399700,0.55112687,0.17112480,0.23004716,0.01708177,0.08201807,0.06335777,0.00079737
-5.98799400,0.54962880,0.17249808,0.22677557,0.01684920,0.08242944,0.06396164,0.00079741
-5.98199100,0.55085592,0.17441061,0.22505095,0.01661758,0.08332788,0.06464621,0.00079928
-5.97598799,0.55467988,0.17681232,0.22480059,0.01638884,0.08470004,0.06538365,0.00080288
-5.96998499,0.56100523,0.17965875,0.22597223,0.01616402,0.08653973,0.06614563,0.00080815
-5.96398199,0.56977306,0.18291260,0.22853519,0.01594339,0.08884863,0.06690396,0.00081501
-5.95797899,0.58096415,0.18654518,0.23248109,0.01572653,0.09163666,0.06763126,0.00082341
-5.95197599,0.59460137,0.19053785,0.23782401,0.01551249,0.09492232,0.06830179,0.00083331
-5.94597299,0.61075068,0.19488312,0.24459999,0.01529994,0.09873252,0.06889219,0.00084470
-5.93996998,0.62952070,0.19958544,0.25286575,0.01508744,0.10310227,0.06938226,0.00085760
-5.93396698,0.65105999,0.20466144,0.26269640,0.01487353,0.10807372,0.06975568,0.00087206
-5.92796398,0.67555196,0.21013954,0.27418209,0.01465703,0.11369481,0.07000057,0.00088818
-5.92196098,0.70320708,0.21605881,0.28742346,0.01443712,0.12001739,0.07010988,0.00090609
-5.91595798,0.73425204,0.22246702,0.30252581,0.01421353,0.12709471,0.07008163,0.00092594
-5.90995498,0.76891615,0.22941783,0.31959215,0.01398657,0.13497844,0.06991888,0.00094792
-5.90395198,0.80741505,0.23696725,0.33871514,0.01375724,0.14371520,0.06962948,0.00097222
-5.89794897,0.84993226,0.24516934,0.35996821,0.01352719,0.15334268,0.06922560,0.00099905
-5.89194597,0.89659915,0.25407140,0.38339615,0.01329870,0.16388559,0.06872300,0.00102857
-5.88594297,0.94747438,0.26370884,0.40900557,0.01307459,0.17535153,0.06814018,0.00106093
-5.87993997,1.00252369,0.27409995,0.43675578,0.01285813,0.18772698,0.06749731,0.00109622
-5.87393697,1.06160142,0.28524096,0.46655047,0.01265296,0.20097381,0.06681510,0.00113444
-5.86793397,1.12443481,0.29710157,0.49823101,0.01246295,0.21502629,0.06611369,0.00117552
-5.86193097,1.19061248,0.30962146,0.53157162,0.01229217,0.22978907,0.06541150,0.00121928
-5.85592796,1.25957821,0.32270782,0.56627713,0.01214483,0.24513624,0.06472422,0.00126543
-5.84992496,1.33063097,0.33623445,0.60198372,0.01202534,0.26091172,0.06406394,0.00131355
-5.84392196,1.40293197,0.35004244,0.63826283,0.01193842,0.27693098,0.06343856,0.00136314
-5.83791896,1.47551913,0.36394257,0.67462855,0.01188931,0.29298437,0.06285137,0.00141357
-5.83191596,1.54732904,0.37771958,0.71054842,0.01188413,0.30884188,0.06230095,0.00146414
-5.82591296,1.61722601,0.39113811,0.74545742,0.01193029,0.32425929,0.06178140,0.00151408
-5.81990995,1.68403746,0.40395024,0.77877474,0.01203708,0.33898558,0.06128280,0.00156260
-5.81390695,1.74659449,0.41590429,0.80992291,0.01221641,0.35277139,0.06079201,0.00160892
-5.80790395,1.80377595,0.42675464,0.83834831,0.01248359,0.36537797,0.06029360,0.00165229
