energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,8.87920685,0.68759482,2.07869516,0.05556556,0.81894999,2.81041658,2.50272928,0.04102766,3.44369385
-5.99399700,8.71920159,0.67192175,2.05910397,0.05414188,0.80171851,2.76505080,2.44844085,0.04015927,3.37310073
-5.98799400,8.54924066,0.65484100,2.03758243,0.05265162,0.78376750,2.71753534,2.39130973,0.03926753,3.29832814
-5.98199100,8.37227256,0.63670999,2.01473536,0.05111011,0.76536792,2.66882774,2.33212744,0.03836404,3.22059843
-5.97598799,8.19134904,0.61790376,1.99116834,0.04953450,0.74679088,2.61991001,2.27173071,0.03746058,3.14119250
-5.96998499,8.00955244,0.59880442,1.96747324,0.04794349,0.72830124,2.57176322,2.21098284,0.03656888,3.06141915
-5.96398199,7.82992193,0.57979029,1.94421453,0.04635696,0.71015163,2.52534170,2.15075390,0.03570049,2.98258317
-5.95797899,7.65538072,0.56122528,1.92191670,0.04479550,0.69257683,2.48154772,2.09190041,0.03486653,2.90595306
-5.95197599,7.48866636,0.54344881,1.90105299,0.04327982,0.67578890,2.44120712,2.03524495,0.03407750,2.83272938
-5.94597299,7.33226594,0.52676659,1.88203568,0.04183018,0.65997296,2.40504690,1.98155654,0.03334304,2.76401478
-5.93996998,7.18835805,0.51144265,1.86520798,0.04046577,0.64528381,2.37367527,1.93153208,0.03267171,2.70078653
-5.93396698,7.05876304,0.49769279,1.85083767,0.03920405,0.63184345,2.34756482,1.88577974,0.03207079,2.64387257
-5.92796398,6.94490300,0.48567971,1.83911255,0.03806015,0.61973948,2.32703932,1.84480450,0.03154604,2.59393169
-5.92196098,6.84777236,0.47551000,1.83013767,0.03704637,0.60902437,2.31226471,1.80899653,0.03110155,2.55143863
-5.91595798,6.76792019,0.46723290,1.82393444,0.03617167,0.59971563,2.30324439,1.77862263,0.03073959,2.51667448
-5.90995498,6.70544451,0.46084108,1.82044154,0.03544134,0.59179686,2.29981937,1.75382105,0.03046049,2.48972280
-5.90395198,6.65999896,0.45627322,1.81951761,0.03485673,0.58521956,2.30167306,1.73459990,0.03026261,2.47047157
-5.89794897,6.63081173,0.45341824,1.82094593,0.03441519,0.57990565,2.30834090,1.72083922,0.03014233,2.45862099
-5.89194597,6.61671643,0.45212119,1.82444072,0.03411006,0.57575074,2.31922455,1.71229670,0.03009415,2.45369685
-5.88594297,6.61619398,0.45219036,1.82965537,0.03393089,0.57262785,2.33361031,1.70861685,0.03011079,2.45506913
-5.87993997,6.62742478,0.45340544,1.83619232,0.03386377,0.57039175,2.35069132,1.70934357,0.03018342,2.46197523
-5.87393697,6.64834940,0.45552642,1.84361456,0.03389176,0.56888360,2.36959282,1.71393552,0.03030194,2.47354694
-5.86793397,6.67673640,0.45830282,1.85145854,0.03399547,0.56793593,2.38939976,1.72178399,0.03045529,2.48884046
-5.86193097,6.71025489,0.46148304,1.85924834,0.03415376,0.56737770,2.40918572,1.73223274,0.03063184,2.50686806
