energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.94348539,0.74367717,0.44298541,0.00552428,0.59311628,0.12603995,1.67236141,0.62185433,0.58992561
-5.99399700,4.11498934,0.75843271,0.47229245,0.00541075,0.62109659,0.13299082,1.73886360,0.65176791,0.61895378
-5.98799400,4.28320367,0.77242746,0.50115945,0.00529555,0.64935118,0.13960888,1.80288777,0.68172929,0.64821059
-5.98199100,4.44456354,0.78523429,0.52908407,0.00517900,0.67731771,0.14575637,1.86299454,0.71118620,0.67708746
-5.97598799,4.59552508,0.79643169,0.55555443,0.00506123,0.70442380,0.15130298,1.91777858,0.73957476,0.70497650
-5.96998499,4.73264641,0.80561042,0.58006170,0.00494216,0.73010162,0.15612911,1.96589885,0.76633394,0.73128568
-5.96398199,4.85267588,0.81238209,0.60211365,0.00482153,0.75380429,0.16012878,2.00611076,0.79092216,0.75545544
-5.95797899,4.95264405,0.81638897,0.62124869,0.00469891,0.77502361,0.16321247,2.03729890,0.81283551,0.77697644
-5.95197599,5.02995520,0.81731461,0.63704992,0.00457372,0.79330839,0.16530938,2.05850853,0.83162676,0.79540742
-5.94597299,5.08247412,0.81489438,0.64915829,0.00444531,0.80828263,0.16636935,2.06897441,0.84692429,0.81039281
-5.93996998,5.10860365,0.80892534,0.65728452,0.00431300,0.81966269,0.16636412,2.06814526,0.85845018,0.82167893
-5.93396698,5.10734909,0.79927480,0.66121893,0.00417612,0.82727263,0.16528795,2.05570248,0.86603632,0.82912821
-5.92796398,5.07836566,0.78588678,0.66083894,0.00403411,0.83105684,0.16315766,2.03157211,0.86963795,0.83273058
-5.92196098,5.02198647,0.76878614,0.65611358,0.00388655,0.83108938,0.16001187,1.99592908,0.86934354,0.83261134
-5.91595798,4.93922873,0.74807995,0.64710501,0.00373320,0.82757927,0.15590969,1.94919349,0.86538060,0.82903500
-5.90995498,4.83177759,0.72395582,0.63396681,0.00357405,0.82087131,0.15092879,1.89201892,0.85811683,0.82240467
-5.90395198,4.70194752,0.69667745,0.61693914,0.00340933,0.81144228,0.14516297,1.82527315,0.84805623,0.81325672
-5.89794897,4.55262249,0.66657734,0.59634102,0.00323954,0.79989215,0.13871934,1.75001214,0.83583021,0.80225066
-5.89194597,4.38717704,0.63404721,0.57256009,0.00306543,0.78693072,0.13171522,1.66744844,0.82218367,0.79015444
-5.88594297,4.20938126,0.59952636,0.54604024,0.00288796,0.77335969,0.12427486,1.57891539,0.80795636,0.77782517
-5.87993997,4.02329308,0.56348877,0.51726786,0.00270835,0.76005076,0.11652618,1.48582868,0.79406001,0.76618613
-5.87393697,3.83314207,0.52642931,0.48675714,0.00252794,0.74792027,0.10859762,1.38964693,0.78145181,0.75620022
-5.86793397,3.64320887,0.48884990,0.45503524,0.00234822,0.73790123,0.10061512,1.29183289,0.77110512,0.74884089
-5.86193097,3.45770456,0.45124604,0.42262773,0.00217075,0.73091343,0.09269952,1.19381676,0.76397808,0.74506116
-5.85592796,3.28065407,0.41409434,0.39004505,0.00199713,0.72783266,0.08496426,1.09696290,0.76098138,0.74576180
-5.84992496,3.11578726,0.37784154,0.35777045,0.00182894,0.72945991,0.07751354,1.00254105,0.76294588,0.75175948
-5.84392196,2.96644113,0.34289525,0.32624959,0.00166768,0.73649174,0.07044090,0.91170274,0.77059148,0.76375601
-5.83791896,2.83547577,0.30961675,0.29588238,0.00151475,0.74949253,0.06382829,0.82546335,0.78449802,0.78230967
-5.83191596,2.72520618,0.27831594,0.26701682,0.00137143,0.76886991,0.05774551,0.74468998,0.80507944,0.80780966
-5.82591296,2.63735152,0.24924837,0.23994528,0.00123882,0.79485412,0.05225006,0.67009485,0.83256216,0.84045463
-5.81990995,2.57300270,0.22261425,0.21490265,0.00111784,0.82748220,0.04738729,0.60223396,0.86696851,0.88023627
-5.81390695,2.53260853,0.19855936,0.19206665,0.00100923,0.86658785,0.04319084,0.54151025,0.90810616,0.92692883
-5.80790395,2.51598043,0.17717735,0.17155971,0.00091350,0.91179751,0.03968317,0.48818048,0.95556415,0.98008512
-5.80190095,2.52231477,0.15851342,0.15345217,0.00083101,0.96253311,0.03687625,0.44236508,1.00871594,1.03903976
-5.79589795,2.55023203,0.14256874,0.13776671,0.00076187,1.01802188,0.03477232,0.40406006,1.06672995,1.10291974
-5.78989495,2.59783103,0.12930552,0.12448329,0.00070604,1.07731302,0.03336458,0.37315007,1.12858731,1.17066264
-5.78389195,2.66275665,0.11865239,0.11354463,0.00066331,1.13930121,0.03263782,0.34942196,1.19310692,1.24104201
-5.77788894,2.74227879,0.11050969,0.10486178,0.00063328,1.20275633,0.03256901,0.33257820,1.25897695,1.31269959
-5.77188594,2.83338022,0.10475465,0.09831958,0.00061544,1.26635861,0.03312780,0.32224973,1.32479216,1.38418350
-5.76588294,2.93285087,0.10124614,0.09378182,0.00060911,1.32873814,0.03427688,0.31800779,1.38909578,1.45399113
-5.75987994,3.03738553,0.09982910,0.09109603,0.00061350,1.38851743,0.03597236,0.31937479,1.45042460,1.52061548
-5.75387694,3.14368230,0.10033831,0.09009781,0.00062774,1.44435552,0.03816408,0.32583406,1.50735564,1.58259315
-5.74787394,3.24853871,0.10260182,0.09061460,0.00065082,1.49499189,0.04079595,0.33683857,1.55855258,1.63855221
-5.74187094,3.34894251,0.10644380,0.09246902,0.00068168,1.53928847,0.04380635,0.35181889,1.60281016,1.68725796
-5.73586793,3.44215442,0.11168706,0.09548182,0.00071920,1.57626791,0.04712866,0.37019064,1.63909463,1.72765465
-5.72986493,3.52578009,0.11815521,0.09947438,0.00076218,1.60514660,0.05069189,0.39136145,1.66657853,1.75890143
-5.72386193,3.59782890,0.12567449,0.10427096,0.00080943,1.62536081,0.05442157,0.41473798,1.68466823,1.78040066
-5.71785893,3.65675790,0.13407546,0.10970070,0.00085969,1.63658474,0.05824074,0.43973285,1.69302300,1.79181747
-5.71185593,3.70149924,0.14319450,0.11559946,0.00091177,1.63873979,0.06207120,0.46577177,1.69156459,1.79308950
-5.70585293,3.73147046,0.15287503,0.12181147,0.00096445,1.63199431,0.06583490,0.49230080,1.68047706,1.78442629
-5.69984992,3.74656745,0.16296877,0.12819086,0.00101659,1.61675400,0.06945550,0.51879366,1.66019655,1.76629830
-5.69384692,3.74714064,0.17333661,0.13460308,0.00106713,1.59364333,0.07286000,0.54475888,1.63139169,1.73941603
-5.68784392,3.73395558,0.18384943,0.14092608,0.00111509,1.56347868,0.07598039,0.56974671,1.59493544,1.70470016
-5.68184092,3.70813993,0.19438854,0.14705139,0.00115962,1.52723465,0.07875535,0.59335532,1.55186961,1.66324407
