energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.29931720,0.01364468,0.23221553,0.34702365,0.00000000,1.10661192,0.44673939,0.02800379,0.36191196
-5.99399700,1.33309178,0.01327549,0.24136612,0.34627696,0.00000000,1.18482911,0.45868031,0.02698840,0.36994323
-5.98799400,1.37326873,0.01289514,0.25127903,0.34667304,0.00000000,1.26870766,0.47297063,0.02599315,0.38060585
-5.98199100,1.41944586,0.01250993,0.26190094,0.34821191,0.00000000,1.35757736,0.48944840,0.02503280,0.39371562
-5.97598799,1.47104067,0.01212569,0.27314957,0.35085514,0.00000000,1.45057706,0.50788995,0.02412170,0.40902409
-5.96998499,1.52729165,0.01174757,0.28491273,0.35452479,0.00000000,1.54665341,0.52801120,0.02327346,0.42622142
-5.96398199,1.58726734,0.01137984,0.29704897,0.35910399,0.00000000,1.64456839,0.54947162,0.02250071,0.44494143
-5.95797899,1.64988342,0.01102574,0.30938969,0.36443932,0.00000000,1.74291623,0.57188098,0.02181490,0.46476894
-5.95197599,1.71392764,0.01068740,0.32174296,0.37034502,0.00000000,1.84014975,0.59480869,0.02122615,0.48524929
-5.94597299,1.77809196,0.01036584,0.33389870,0.37660875,0.00000000,1.93461564,0.61779547,0.02074320,0.50589974
-5.93996998,1.84101089,0.01006096,0.34563517,0.38299885,0.00000000,2.02459776,0.64036710,0.02037333,0.52622261
-5.93396698,1.90130452,0.00977166,0.35672646,0.38927257,0.00000000,2.10836682,0.66204952,0.02012243,0.54571953
-5.92796398,1.95762451,0.00949596,0.36695066,0.39518519,0.00000000,2.18423463,0.68238477,0.01999495,0.56390647
-5.92196098,2.00870102,0.00923122,0.37609827,0.40049935,0.00000000,2.25061058,0.70094702,0.01999401,0.58032886
-5.91595798,2.05338833,0.00897428,0.38398046,0.40499424,0.00000000,2.30605777,0.71735790,0.02012142,0.59457620
-5.90995498,2.09070712,0.00872171,0.39043679,0.40847431,0.00000000,2.34934627,0.73130054,0.02037766,0.60629565
-5.90395198,2.11988126,0.00847005,0.39534193,0.41077685,0.00000000,2.37950093,0.74253136,0.02076190,0.61520383
-5.89794897,2.14036729,0.00821598,0.39861109,0.41177839,0.00000000,2.39584134,0.75088931,0.02127194,0.62109651
-5.89194597,2.15187524,0.00795655,0.40020381,0.41139930,0.00000000,2.39801206,0.75630187,0.02190410,0.62385555
-5.88594297,2.15437965,0.00768933,0.40012593,0.40960665,0.00000000,2.38600139,0.75878762,0.02265311,0.62345297
-5.87993997,2.14812030,0.00741250,0.39842974,0.40641515,0.00000000,2.36014789,0.75845517,0.02351196,0.61995180
-5.87393697,2.13359276,0.00712499,0.39521213,0.40188610,0.00000000,2.32113410,0.75549863,0.02447175,0.61350388
-5.86793397,2.11152915,0.00682650,0.39061094,0.39612467,0.00000000,2.26996784,0.75018964,0.02552152,0.60434456
-5.86193097,2.08287036,0.00651750,0.38479976,0.38927547,0.00000000,2.20795178,0.74286666,0.02664817,0.59278464
