energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.06923131,0.00265469,0.18898006,0.41587305,0.55293582,0.47247961,0.54303297,0.01708628,0.85377054
-5.99399700,2.03663396,0.00245541,0.18442940,0.40200457,0.54552932,0.45778717,0.53763163,0.01685085,0.84089250
-5.98799400,2.00711790,0.00226464,0.18066254,0.38920540,0.53852281,0.44363328,0.53267504,0.01658686,0.82961605
-5.98199100,1.98086393,0.00208341,0.17770533,0.37756952,0.53189829,0.43021703,0.52815869,0.01629764,0.82008056
-5.97598799,1.95803255,0.00191267,0.17558192,0.36718113,0.52563343,0.41773185,0.52407442,0.01598605,0.81241799
-5.96998499,1.93877107,0.00175320,0.17431487,0.35811471,0.51970568,0.40636205,0.52041371,0.01565452,0.80675364
-5.96398199,1.92321911,0.00160566,0.17392464,0.35043475,0.51409605,0.39627917,0.51717083,0.01530517,0.80320618
-5.95797899,1.91151169,0.00147055,0.17442883,0.34419519,0.50879216,0.38763820,0.51434534,0.01493983,0.80188651
-5.95197599,1.90377931,0.00134826,0.17584073,0.33943846,0.50379051,0.38057377,0.51194389,0.01456025,0.80289542
-5.94597299,1.90014469,0.00123908,0.17816754,0.33619404,0.49909752,0.37519620,0.50998109,0.01416822,0.80631983
-5.93996998,1.90071598,0.00114321,0.18140812,0.33447670,0.49472958,0.37158767,0.50847933,0.01376564,0.81222776
-5.93396698,1.90557676,0.00106079,0.18555054,0.33428433,0.49071185,0.36979843,0.50746756,0.01335470,0.82066219
-5.92796398,1.91477349,0.00099194,0.19056939,0.33559563,0.48707610,0.36984346,0.50697913,0.01293797,0.83163423
-5.92196098,1.92830122,0.00093680,0.19642325,0.33836786,0.48385761,0.37169950,0.50704884,0.01251840,0.84511588
-5.91595798,1.94608880,0.00089553,0.20305232,0.34253471,0.48109149,0.37530289,0.50770946,0.01209945,0.86103325
-5.90995498,1.96798483,0.00086838,0.21037651,0.34800472,0.47880875,0.38054823,0.50898798,0.01168503,0.87926058
-5.90395198,1.99374594,0.00085568,0.21829420,0.35466033,0.47703233,0.38728828,0.51090201,0.01127948,0.89961586
-5.89794897,2.02302860,0.00085788,0.22668179,0.36235786,0.47577358,0.39533509,0.51345663,0.01088756,0.92185862
-5.89194597,2.05538573,0.00087557,0.23539424,0.37092865,0.47502949,0.40446267,0.51664205,0.01051436,0.94569039
-5.88594297,2.09026909,0.00090950,0.24426666,0.38018125,0.47478084,0.41441114,0.52043223,0.01016520,0.97075816
-5.87993997,2.12703796,0.00096054,0.25311698,0.38990503,0.47499164,0.42489243,0.52478492,0.00984557,0.99666104
-5.87393697,2.16497420,0.00102972,0.26174976,0.39987489,0.47560981,0.43559745,0.52964287,0.00956101,1.02296005
-5.86793397,2.20330335,0.00111818,0.26996092,0.40985708,0.47656920,0.44620454,0.53493649,0.00931704,1.04919077
-5.86193097,2.24122094,0.00122714,0.27754329,0.41961589,0.47779278,0.45638893,0.54058764,0.00911904,1.07487837
-5.85592796,2.27792255,0.00135788,0.28429285,0.42892093,0.47919685,0.46583279,0.54651433,0.00897217,1.09955411
-5.84992496,2.31263608,0.00151168,0.29001514,0.43755458,0.48069591,0.47423563,0.55263611,0.00888126,1.12277279
-5.84392196,2.34465422,0.00168972,0.29453189,0.44531931,0.48220781,0.48132436,0.55887953,0.00885074,1.14412972
-5.83791896,2.37336503,0.00189306,0.29768718,0.45204439,0.48365890,0.48686275,0.56518343,0.00888454,1.16327655
-5.83191596,2.39827864,0.00212253,0.29935316,0.45759166,0.48498859,0.49065966,0.57150348,0.00898597,1.17993474
-5.82591296,2.41904817,0.00237862,0.29943472,0.46185993,0.48615315,0.49257571,0.57781564,0.00915762,1.19390592
-5.81990995,2.43548344,0.00266143,0.29787312,0.46478783,0.48712820,0.49252802,0.58411816,0.00940124,1.20507828
-5.81390695,2.44755637,0.00297057,0.29464822,0.46635487,0.48790993,0.49049270,0.59043192,0.00971760,1.21342877
-5.80790395,2.45539759,0.00330505,0.28977930,0.46658065,0.48851467,0.48650512,0.59679902,0.01010638,1.21902068
-5.80190095,2.45928434,0.00366324,0.28332437,0.46552223,0.48897701,0.48065771,0.60327960,0.01056604,1.22199687
-5.79589795,2.45962050,0.00404279,0.27537794,0.46326989,0.48934647,0.47309561,0.60994717,0.01109367,1.22256904
-5.78989495,2.45690981,0.00444062,0.26606758,0.45994149,0.48968301,0.46401030,0.61688261,0.01168491,1.22100365
-5.78389195,2.45172417,0.00485288,0.25554921,0.45567568,0.49005171,0.45363150,0.62416740,0.01233388,1.21760548
-5.77788894,2.44466908,0.00527498,0.24400151,0.45062462,0.49051695,0.44221792,0.63187645,0.01303314,1.21269987
-5.77188594,2.43634839,0.00570167,0.23161974,0.44494642,0.49113660,0.43004717,0.64007120,0.01377369,1.20661476
-5.76588294,2.42733078,0.00612705,0.21860915,0.43879779,0.49195664,0.41740539,0.64879330,0.01454509,1.19966365
-5.75987994,2.41812001,0.00654476,0.20517842,0.43232746,0.49300657,0.40457715,0.65805956,0.01533553,1.19213059
-5.75387694,2.40913075,0.00694807,0.19153336,0.42567057,0.49429600,0.39183597,0.66785853,0.01613212,1.18425805
-5.74787394,2.40067158,0.00733009,0.17787111,0.41894436,0.49581267,0.37943591,0.67814883,0.01692110,1.17623830
-5.74187094,2.39293580,0.00768390,0.16437517,0.41224537,0.49752205,0.36760456,0.68885971,0.01768821,1.16820878
-5.73586793,2.38600049,0.00800282,0.15121121,0.40564819,0.49936851,0.35653761,0.69989348,0.01841906,1.16025147
-5.72986493,2.37983356,0.00828058,0.13852400,0.39920574,0.50127806,0.34639502,0.71112995,0.01909958,1.15239614
-5.72386193,2.37430781,0.00851151,0.12643534,0.39295092,0.50316231,0.33729903,0.72243256,0.01971646,1.14462701
-5.71785893,2.36922090,0.00869076,0.11504301,0.38689942,0.50492358,0.32933369,0.73365560,0.02025760,1.13689210
-5.71185593,2.36431939,0.00881445,0.10442074,0.38105341,0.50646057,0.32254581,0.74465241,0.02071251,1.12911455
-5.70585293,2.35932513,0.00887982,0.09461898,0.37540566,0.50767439,0.31694726,0.75528364,0.02107274,1.12120481
-5.69984992,2.35396198,0.00888532,0.08566640,0.36994400,0.50847437,0.31251806,0.76542537,0.02133218,1.11307292
-5.69384692,2.34798096,0.00883066,0.07757194,0.36465543,0.50878341,0.30921033,0.77497640,0.02148730,1.10463984
-5.68784392,2.34118230,0.00871684,0.07032729,0.35952984,0.50854246,0.30695255,0.78386430,0.02153728,1.09584715
-5.68184092,2.33343289,0.00854614,0.06390951,0.35456304,0.50771390,0.30565400,0.79204992,0.02148405,1.08666449
-5.67583792,2.32467840,0.00832199,0.05828382,0.34975881,0.50628356,0.30520920,0.79953006,0.02133225,1.07709425
-5.66983492,2.31494930,0.00804888,0.05340623,0.34512999,0.50426148,0.30550207,0.80633827,0.02108900,1.06717348
-5.66383192,2.30436104,0.00773224,0.04922607,0.34069857,0.50168123,0.30640981,0.81254379,0.02076362,1.05697297
-5.65782891,2.29310858,0.00737821,0.04568828,0.33649480,0.49859804,0.30780637,0.81824865,0.02036728,1.04659378
-5.65182591,2.28145611,0.00699348,0.04273535,0.33255552,0.49508587,0.30956544,0.82358343,0.01991253,1.03616168
-5.64582291,2.26972296,0.00658505,0.04030900,0.32892179,0.49123368,0.31156306,0.82870172,0.01941280,1.02581995
-5.63981991,2.25826698,0.00616005,0.03835147,0.32563617,0.48714112,0.31367985,0.83377388,0.01888190,1.01572135
-5.63381691,2.24746665,0.00572550,0.03680661,0.32273982,0.48291410,0.31580290,0.83898039,0.01833346,1.00601969
-5.62781391,2.23770308,0.00528818,0.03562062,0.32026958,0.47866022,0.31782733,0.84450516,0.01778047,0.99686183
