energy_ev,total_up,B_p_up,B_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.31362531,0.00239607,0.00000000,1.34789558,0.40073350,0.15933343,0.00000000
-5.99399700,1.25830352,0.00232943,0.00000000,1.31030954,0.38944253,0.14425111,0.00000000
-5.98799400,1.21387050,0.00230272,0.00000000,1.28387872,0.38117974,0.13064603,0.00000000
-5.98199100,1.18035342,0.00231951,0.00000000,1.26851754,0.37595100,0.11858354,0.00000000
-5.97598799,1.15753601,0.00238310,0.00000000,1.26387501,0.37368928,0.10810030,0.00000000
-5.96998499,1.14497250,0.00249639,0.00000000,1.26934890,0.37425786,0.09920644,0.00000000
-5.96398199,1.14200805,0.00266191,0.00000000,1.28410738,0.37745586,0.09188839,0.00000000
-5.95797899,1.14780482,0.00288174,0.00000000,1.30711722,0.38302560,0.08611193,0.00000000
-5.95197599,1.16137247,0.00315739,0.00000000,1.33717755,0.39066168,0.08182542,0.00000000
-5.94597299,1.18160196,0.00348978,0.00000000,1.37295796,0.40002132,0.07896291,0.00000000
-5.93996998,1.20730129,0.00387909,0.00000000,1.41303946,0.41073555,0.07744714,0.00000000
-5.93396698,1.23723185,0.00432470,0.00000000,1.45595680,0.42242090,0.07719215,0.00000000
-5.92796398,1.27014404,0.00482511,0.00000000,1.50024083,0.43469092,0.07810553,0.00000000
-5.92196098,1.30481097,0.00537777,0.00000000,1.54445904,0.44716733,0.08009022,0.00000000
-5.91595798,1.34005901,0.00597911,0.00000000,1.58725325,0.45949022,0.08304585,0.00000000
-5.90995498,1.37479436,0.00662438,0.00000000,1.62737289,0.47132693,0.08686972,0.00000000
-5.90395198,1.40802475,0.00730771,0.00000000,1.66370291,0.48237937,0.09145735,0.00000000
-5.89794897,1.43887587,0.00802206,0.00000000,1.69528558,0.49238951,0.09670280,0.00000000
-5.89194597,1.46660223,0.00875927,0.00000000,1.72133553,0.50114295,0.10249879,0.00000000
-5.88594297,1.49059258,0.00951017,0.00000000,1.74124801,0.50847050,0.10873679,0.00000000
-5.87993997,1.51037011,0.01026472,0.00000000,1.75460038,0.51424791,0.11530715,0.00000000
-5.87393697,1.52558809,0.01101215,0.00000000,1.76114737,0.51839388,0.12209937,0.00000000
-5.86793397,1.53602168,0.01174127,0.00000000,1.76081081,0.52086670,0.12900267,0.00000000
-5.86193097,1.54155681,0.01244066,0.00000000,1.75366483,0.52165967,0.13590696,0.00000000
-5.85592796,1.54217726,0.01309900,0.00000000,1.73991760,0.52079591,0.14270410,0.00000000
-5.84992496,1.53795087,0.01370544,0.00000000,1.71989086,0.51832275,0.14928979,0.00000000
-5.84392196,1.52901591,0.01424987,0.00000000,1.69399847,0.51430618,0.15556572,0.00000000
-5.83791896,1.51556851,0.01472332,0.00000000,1.66272500,0.50882564,0.16144231,0.00000000
-5.83191596,1.49785186,0.01511826,0.00000000,1.62660550,0.50196946,0.16684172,0.00000000
-5.82591296,1.47614750,0.01542892,0.00000000,1.58620716,0.49383120,0.17170108,0.00000000
-5.81990995,1.45076921,0.01565155,0.00000000,1.54211336,0.48450685,0.17597596,0.00000000
