energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-0.72936468,1.81307322,0.00207530,0.07035872,0.29125453,0.18917834,0.00000000,0.33519612,1.05987746
-0.72336168,1.82338465,0.00210971,0.06899015,0.28621345,0.18955201,0.00000000,0.33982705,1.06457658
-0.71735868,1.82445209,0.00213120,0.06733262,0.27945215,0.18914296,0.00000000,0.34241988,1.06370857
-0.71135568,1.81627197,0.00213934,0.06539556,0.27109902,0.18795987,0.00000000,0.34292033,1.05733151
-0.70535268,1.79903851,0.00213393,0.06319663,0.26131137,0.18603796,0.00000000,0.34131471,1.04562055
-0.69934967,1.77313779,0.00211505,0.06076099,0.25027033,0.18343880,0.00000000,0.33763086,1.02886324
-0.69334667,1.73913626,0.00208301,0.05812039,0.23817518,0.18024925,0.00000000,0.33193783,1.00745171
-0.68734367,1.69776449,0.00203841,0.05531206,0.22523735,0.17657977,0.00000000,0.32434435,0.98187201
-0.68134067,1.64989656,0.00198206,0.05237758,0.21167448,0.17256195,0.00000000,0.31499615,0.95269111
-0.67533767,1.59652627,0.00191499,0.04936161,0.19770451,0.16834551,0.00000000,0.30407219,0.92054207
-0.66933467,1.53874088,0.00183843,0.04631072,0.18354035,0.16409473,0.00000000,0.29177991,0.88610785
-0.66333167,1.47769333,0.00175375,0.04327224,0.16938501,0.15998444,0.00000000,0.27834986,0.85010444
-0.65732866,1.41457404,0.00166244,0.04029320,0.15542748,0.15619581,0.00000000,0.26402970,0.81326368
-0.65132566,1.35058303,0.00156607,0.03741938,0.14183942,0.15291180,0.00000000,0.24907792,0.77631653
-0.64532266,1.28690319,0.00146625,0.03469450,0.12877267,0.15031263,0.00000000,0.23375747,0.73997703
-0.63931966,1.22467549,0.00136458,0.03215958,0.11635764,0.14857122,0.00000000,0.21832956,0.70492743
-0.63331666,1.16497646,0.00126263,0.02985235,0.10470245,0.14784878,0.00000000,0.20304774,0.67180492
-0.62731366,1.10879868,0.00116190,0.02780692,0.09389286,0.14829067,0.00000000,0.18815251,0.64118997
-0.62131066,1.05703420,0.00106378,0.02605342,0.08399280,0.15002255,0.00000000,0.17386659,0.61359668
