energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.53811302,0.83162143,0.56314924,0.00325993,0.23550473,0.00303166,1.47330917,0.32602961,0.34197111
-5.99399700,2.67920055,0.88111760,0.59275505,0.00349307,0.24700400,0.00316506,1.55916861,0.34221639,0.35883332
-5.98799400,2.82315218,0.93257361,0.62247054,0.00374112,0.25855717,0.00330373,1.64725396,0.35871066,0.37580299
-5.98199100,2.96917071,0.98574496,0.65209711,0.00399999,0.27012272,0.00344683,1.73707031,0.37540248,0.39280549
-5.97598799,3.11642804,1.04034977,0.68144630,0.00426535,0.28166441,0.00359388,1.82808586,0.39217404,0.40976657
-5.96998499,3.26407307,1.09606760,0.71034400,0.00453272,0.29315193,0.00374485,1.91973575,0.40889944,0.42661342
-5.96398199,3.41124043,1.15253950,0.73863427,0.00479752,0.30456112,0.00390003,2.01142743,0.42544496,0.44327545
-5.95797899,3.55705977,1.20936976,0.76618258,0.00505516,0.31587367,0.00406009,2.10254730,0.44166986,0.45968488
-5.95197599,3.70066506,1.26612911,0.79287821,0.00530118,0.32707624,0.00422597,2.19246850,0.45742770,0.47577702
-5.94597299,3.84120326,1.32235951,0.81863560,0.00553127,0.33815902,0.00439885,2.28055936,0.47256829,0.49149008
-5.93996998,3.97784186,1.37758024,0.84339437,0.00574146,0.34911364,0.00458001,2.36619219,0.48694000,0.50676463
-5.93396698,4.10977494,1.43129526,0.86711808,0.00592814,0.35993070,0.00477077,2.44875194,0.50039267,0.52154262
-5.92796398,4.23622735,1.48300137,0.88979160,0.00608821,0.37059686,0.00497238,2.52764443,0.51278071,0.53576603
-5.92196098,4.35645690,1.53219693,0.91141717,0.00621914,0.38109182,0.00518588,2.60230350,0.52396636,0.54937527
-5.91595798,4.46975459,1.57839081,0.93200937,0.00631904,0.39138535,0.00541200,2.67219716,0.53382312,0.56230740
-5.90995498,4.57544320,1.62111118,0.95158917,0.00638670,0.40143453,0.00565105,2.73683212,0.54223887,0.57449440
-5.90395198,4.67287461,1.65991393,0.97017746,0.00642163,0.41118162,0.00590285,2.79575697,0.54911879,0.58586156
-5.89794897,4.76142646,1.69439026,0.98778835,0.00642407,0.42055257,0.00616661,2.84856375,0.55438792,0.59632627
-5.89194597,4.84049891,1.72417347,1.00442272,0.00639495,0.42945660,0.00644094,2.89488834,0.55799308,0.60579737
-5.88594297,4.90951222,1.74894463,1.02006238,0.00633584,0.43778678,0.00672375,2.93440970,0.55990427,0.61417517
-5.87993997,4.96790600,1.76843716,1.03466527,0.00624889,0.44542185,0.00701235,2.96684849,0.56011543,0.62135225
-5.87393697,5.01514075,1.78244033,1.04816209,0.00613676,0.45222929,0.00730342,2.99196544,0.55864449,0.62721524
-5.86793397,5.05070238,1.79080165,1.06045451,0.00600247,0.45806943,0.00759312,3.00955987,0.55553293,0.63164740
-5.86193097,5.07410988,1.79342837,1.07141530,0.00584931,0.46280068,0.00787719,3.01946887,0.55084461,0.63453213
-5.85592796,5.08492653,1.79028810,1.08089049,0.00568071,0.46628546,0.00815109,3.02156740,0.54466429,0.63575720
-5.84992496,5.08277419,1.78140880,1.08870334,0.00550011,0.46839666,0.00841014,3.01576965,0.53709563,0.63521955
-5.84392196,5.06735044,1.76687810,1.09466022,0.00531086,0.46902430,0.00864971,3.00203177,0.52825896,0.63283045
-5.83791896,5.03844777,1.74684225,1.09855808,0.00511608,0.46808198,0.00886539,2.98035596,0.51828887,0.62852079
-5.83191596,4.99597381,1.72150454,1.10019312,0.00491862,0.46551281,0.00905318,2.95079577,0.50733166,0.62224615
-5.82591296,4.93997153,1.69112334,1.09937033,0.00472093,0.46129442,0.00920963,2.91346228,0.49554270,0.61399140
-5.81990995,4.87063806,1.65600969,1.09591343,0.00452505,0.45544282,0.00933204,2.86853080,0.48308390,0.60377455
