energy_ev,total_up,As_p_up,As_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,0.32824464,0.00793708,0.00000000,0.09649374,0.07355092,0.00252077,0.22333101
-5.99399700,0.29384336,0.00793163,0.00000000,0.08594774,0.06519326,0.00233819,0.19805032
-5.98799400,0.26275079,0.00808319,0.00000000,0.07634639,0.05752299,0.00219000,0.17486234
-5.98199100,0.23517834,0.00840565,0.00000000,0.06774530,0.05057684,0.00208021,0.15388969
-5.97598799,0.21127774,0.00891173,0.00000000,0.06018208,0.04437726,0.00201269,0.13521374
-5.96998499,0.19114847,0.00961273,0.00000000,0.05367871,0.03893438,0.00199126,0.11888051
-5.96398199,0.17484574,0.01051838,0.00000000,0.04824412,0.03424806,0.00201974,0.10490712
-5.95797899,0.16238867,0.01163659,0.00000000,0.04387676,0.03031004,0.00210198,0.09328832
-5.95197599,0.15376795,0.01297317,0.00000000,0.04056705,0.02710604,0.00224192,0.08400271
-5.94597299,0.14895288,0.01453168,0.00000000,0.03829965,0.02461763,0.00244354,0.07701847
-5.93996998,0.14789734,0.01631316,0.00000000,0.03705532,0.02282401,0.00271091,0.07229826
-5.93396698,0.15054444,0.01831600,0.00000000,0.03681250,0.02170339,0.00304811,0.06980310
-5.92796398,0.15682985,0.02053585,0.00000000,0.03754832,0.02123410,0.00345917,0.06949505
-5.92196098,0.16668377,0.02296563,0.00000000,0.03923922,0.02139535,0.00394798,0.07133878
-5.91595798,0.18003140,0.02559565,0.00000000,0.04186110,0.02216770,0.00451816,0.07530177
-5.90995498,0.19679238,0.02841384,0.00000000,0.04538909,0.02353313,0.00517291,0.08135347
-5.90395198,0.21687903,0.03140614,0.00000000,0.04979690,0.02547490,0.00591482,0.08946334
-5.89794897,0.24019398,0.03455705,0.00000000,0.05505588,0.02797714,0.00674571,0.09959809
-5.89194597,0.26662715,0.03785022,0.00000000,0.06113396,0.03102430,0.00766639,0.11171820
-5.88594297,0.29605272,0.04126925,0.00000000,0.06799444,0.03460044,0.00867651,0.12577418
-5.87993997,0.32832612,0.04479846,0.00000000,0.07559473,0.03868854,0.00977435,0.14170267
-5.87393697,0.36328161,0.04842381,0.00000000,0.08388535,0.04326979,0.01095663,0.15942281
-5.86793397,0.40073052,0.05213368,0.00000000,0.09280899,0.04832307,0.01221844,0.17883322
-5.86193097,0.44046063,0.05591964,0.00000000,0.10230007,0.05382449,0.01355309,0.19980978
-5.85592796,0.48223670,0.05977710,0.00000000,0.11228455,0.05974729,0.01495210,0.22220456
-5.84992496,0.52580248,0.06370572,0.00000000,0.12268029,0.06606189,0.01640527,0.24584613
-5.84392196,0.57088414,0.06770959,0.00000000,0.13339798,0.07273631,0.01790069,0.27054138
-5.83791896,0.61719507,0.07179717,0.00000000,0.14434246,0.07973687,0.01942501,0.29607886
-5.83191596,0.66444215,0.07598083,0.00000000,0.15541467,0.08702914,0.02096363,0.32223378
-5.82591296,0.71233299,0.08027617,0.00000000,0.16651406,0.09457918,0.02250105,0.34877438
-5.81990995,0.76058406,0.08470089,0.00000000,0.17754129,0.10235495,0.02402120,0.37546952
-5.81390695,0.80892923,0.08927350,0.00000000,0.18840128,0.11032775,0.02550793,0.40209721
-5.80790395,0.85712826,0.09401168,0.00000000,0.19900635,0.11847377,0.02694545,0.42845352
-5.80190095,0.90497480,0.09893053,0.00000000,0.20927932,0.12677543,0.02831880,0.45436154
