energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.54095409,1.08220599,0.67277485,0.00099678,0.45589031,0.00523070,1.11771560,0.62013933,0.25503036
-5.99399700,2.56031201,1.08345199,0.67897560,0.00106520,0.46420325,0.00485358,1.12229154,0.62292699,0.25714525
-5.98799400,2.58068921,1.08630556,0.68491353,0.00113832,0.47342516,0.00451770,1.12712975,0.62611521,0.26010701
-5.98199100,2.60201332,1.09086096,0.69053099,0.00121640,0.48345599,0.00421992,1.13226087,0.62975331,0.26397494
-5.97598799,2.62431775,1.09725108,0.69580005,0.00129987,0.49420058,0.00395742,1.13777051,0.63391572,0.26881094
-5.96998499,2.64775208,1.10564611,0.70072623,0.00138934,0.50557345,0.00372776,1.14380296,0.63870470,0.27467932
-5.96398199,2.67258561,1.11624925,0.70535050,0.00148560,0.51750279,0.00352883,1.15056135,0.64425145,0.28164591
-5.95797899,2.69920340,1.12928950,0.70974925,0.00158965,0.52993319,0.00335892,1.15830434,0.65071519,0.28977642
-5.95197599,2.72809451,1.14501181,0.71403233,0.00170267,0.54282716,0.00321666,1.16733907,0.65828014,0.29913401
-5.94597299,2.75983265,1.16366498,0.71833891,0.00182604,0.55616511,0.00310095,1.17801068,0.66715045,0.30977616
-5.93996998,2.79504982,1.18548781,0.72283149,0.00196130,0.56994382,0.00301098,1.19068856,0.67754307,0.32175082
-5.93396698,2.83440391,1.21069427,0.72768814,0.00211013,0.58417360,0.00294611,1.20574996,0.68967894,0.33509218
-5.92796398,2.87854156,1.23945809,0.73309325,0.00227430,0.59887399,0.00290585,1.22356151,0.70377264,0.34981594
-5.92196098,2.92805782,1.27189784,0.73922740,0.00245561,0.61406851,0.00288981,1.24445951,0.72002105,0.36591463
-5.91595798,2.98345467,1.30806302,0.74625652,0.00265587,0.62977858,0.00289757,1.26872971,0.73859151,0.38335296
-5.90995498,3.04510024,1.34792184,0.75432119,0.00287675,0.64601707,0.00292871,1.29658766,0.75960990,0.40206366
-5.90395198,3.11319087,1.39135141,0.76352637,0.00311976,0.66278186,0.00298270,1.32816046,0.78314932,0.42194400
-5.89794897,3.18771810,1.43813089,0.77393228,0.00338614,0.68004985,0.00305883,1.36347082,0.80921989,0.44285328
-5.89194597,3.26844242,1.48793777,0.78554692,0.00367675,0.69777177,0.00315624,1.40242422,0.83776026,0.46461153
-5.88594297,3.35487547,1.54034791,0.79832063,0.00399202,0.71586839,0.00327382,1.44480004,0.86863115,0.48699970
-5.87993997,3.44627195,1.59483908,0.81214313,0.00433183,0.73422816,0.00341018,1.49024698,0.90161159,0.50976129
-5.87393697,3.54163228,1.65079832,0.82684337,0.00469544,0.75270683,0.00356370,1.53828340,0.93639792,0.53260576
-5.86793397,3.63971616,1.70753268,0.84219208,0.00508144,0.77112901,0.00373245,1.58830263,0.97260589,0.55521349
-5.86193097,3.73906721,1.76428324,0.85790737,0.00548770,0.78929173,0.00391425,1.63958324,1.00977586,0.57724238
-5.85592796,3.83804779,1.82024181,0.87366284,0.00591134,0.80697002,0.00410668,1.69130419,1.04738113,0.59833579
-5.84992496,3.93488308,1.87456988,0.88909819,0.00634874,0.82392412,0.00430712,1.74256420,1.08483904,0.61813160
-5.84392196,4.02771259,1.92641918,0.90383170,0.00679555,0.83990812,0.00451283,1.79240489,1.12152470,0.63627217
-5.83791896,4.11464717,1.97495317,0.91747412,0.00724677,0.85467957,0.00472095,1.83983685,1.15678680,0.65241466
-5.83191596,4.19382920,2.01936867,0.92964329,0.00769679,0.86800947,0.00492868,1.88386765,1.18996497,0.66624139
-5.82591296,4.26349341,2.05891704,0.93997884,0.00813957,0.87969225,0.00513330,1.92353091,1.22040818,0.67746984
-5.81990995,4.32202570,2.09292414,0.94815615,0.00856868,0.88955497,0.00533228,1.95791521,1.24749337,0.68586170
-5.81390695,4.36801754,2.12080832,0.95389911,0.00897755,0.89746539,0.00552343,1.98619187,1.27064377,0.69123080
-5.80790395,4.40031358,2.14209605,0.95699082,0.00935957,0.90333830,0.00570494,2.00764052,1.28934615,0.69344934
-5.80190095,4.41805045,2.15643443,0.95728190,0.00970831,0.90713974,0.00587557,2.02167156,1.30316639,0.69245237
-5.79589795,4.42068517,2.16360043,0.95469597,0.01001769,0.90888890,0.00603465,2.02784469,1.31176283,0.68824013
-5.78989495,4.40801212,2.16350632,0.94923205,0.01028216,0.90865743,0.00618224,2.02588275,1.31489679,0.68087833
-5.78389195,4.38016796,2.15620142,0.94096384,0.01049689,0.90656633,0.00631919,2.01568059,1.31244011,0.67049619
-5.77788894,4.33762455,2.14186983,0.93003595,0.01065789,0.90278038,0.00644716,1.99730857,1.30437919,0.65728260
-5.77188594,4.28117041,2.12082455,0.91665735,0.01076221,0.89750056,0.00656864,1.97101066,1.29081564,0.64148032
-5.76588294,4.21188176,2.09349808,0.90109244,0.01080795,0.89095476,0.00668699,1.93719733,1.27196344,0.62337871
-5.75987994,4.13108478,2.06042986,0.88365017,0.01079440,0.88338736,0.00680638,1.89643357,1.24814284,0.60330521
-5.75387694,4.04031068,2.02225118,0.86467187,0.01072205,0.87504823,0.00693169,1.84942255,1.21977117,0.58161593
-5.74787394,3.94124590,1.97966790,0.84451834,0.01059259,0.86618168,0.00706846,1.79698562,1.18735111,0.55868588
-5.74187094,3.83567955,1.93344186,0.82355693,0.01040885,0.85701607,0.00722270,1.74003941,1.15145683,0.53489899
-5.73586793,3.72545029,1.88437136,0.80214909,0.01017473,0.84775456,0.00740074,1.67957089,1.11271849,0.51063855
-5.72986493,3.61239476,1.83327168,0.78063897,0.00989507,0.83856751,0.00760903,1.61661136,1.07180581,0.48627819
-5.72386193,3.49829945,1.78095606,0.75934359,0.00957553,0.82958681,0.00785388,1.55221016,1.02941123,0.46217374
-5.71785893,3.38485762,1.72821776,0.73854488,0.00922241,0.82090255,0.00814124,1.48740895,0.98623321,0.43865621
-5.71185593,3.27363255,1.67581379,0.71848371,0.00884247,0.81256199,0.00847641,1.42321748,0.94296033,0.41602599
-5.70585293,3.16602784,1.62445071,0.69935623,0.00844271,0.80457087,0.00886380,1.36059133,0.90025646,0.39454833
-5.69984992,3.06326541,1.57477259,0.68131227,0.00803021,0.79689686,0.00930665,1.30041230,0.85874758,0.37445020
-5.69384692,2.96637109,1.52735162,0.66445583,0.00761191,0.78947495,0.00980679,1.24347185,0.81901038,0.35591829
-5.68784392,2.87616759,1.48268105,0.64884730,0.00719446,0.78221423,0.01036442,1.19045778,0.78156294,0.33909833
-5.68184092,2.79327415,1.44117066,0.63450728,0.00678401,0.77500573,0.01097797,1.14194442,0.74685738,0.32409537
-5.67583792,2.71811212,1.40314442,0.62142141,0.00638613,0.76773075,0.01164395,1.09838619,0.71527477,0.31097499
-5.66983492,2.65091535,1.36884009,0.60954605,0.00600566,0.76026918,0.01235689,1.06011457,0.68712184,0.29976526
-5.66383192,2.59174428,1.33841044,0.59881435,0.00564663,0.75250729,0.01310940,1.02733814,0.66262960,0.29045925
-5.65782891,2.54050265,1.31192586,0.58914229,0.00531221,0.74434454,0.01389219,1.00014544,0.64195353,0.28301799
-5.65182591,2.49695559,1.28937784,0.58043448,0.00500470,0.73569904,0.01469428,0.97851041,0.62517512,0.27737378
-5.64582291,2.46074835,1.27068310,0.57258938,0.00472553,0.72651143,0.01550326,0.96229982,0.61230450,0.27343357
-5.63981991,2.43142466,1.25568826,0.56550381,0.00447529,0.71674699,0.01630554,0.95128255,0.60328396,0.27108253
-5.63381691,2.40844415,1.24417462,0.55907657,0.00425377,0.70639588,0.01708679,0.94514020,0.59799218,0.27018758
-5.62781391,2.39119851,1.23586325,0.55321106,0.00406008,0.69547171,0.01783232,0.94347863,0.59624886,0.27060086
