energy_ev,total_up,P_s_up,P_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,9.29539678,0.01595395,2.04377477,7.66748392,5.79191404,0.01716084,1.34069240
-5.99399700,9.34063726,0.01576435,2.04832057,7.75099384,5.81735674,0.01692206,1.34510403
-5.98799400,9.36959223,0.01552908,2.04980812,7.81440432,5.83364478,0.01663244,1.34732442
-5.98199100,9.38156794,0.01524794,2.04819382,7.85572634,5.84055889,0.01629752,1.34717481
-5.97598799,9.37593355,0.01492120,2.04344098,7.87323679,5.83788548,0.01592342,1.34448296
-5.96998499,9.35214094,0.01454971,2.03551872,7.86553526,5.82542174,0.01551664,1.33909065
-5.96398199,9.30974754,0.01413494,2.02440222,7.83159395,5.80298446,0.01508399,1.33086124
-5.95797899,9.24844110,0.01367904,2.01007434,7.77079862,5.77042188,0.01463247,1.31968668
-5.95197599,9.16806537,0.01318487,1.99252835,7.68297859,5.72762821,0.01416917,1.30549382
-5.94597299,9.06864491,0.01265598,1.97177188,7.56842475,5.67455977,0.01370120,1.28824954
-5.93996998,8.95040788,0.01209657,1.94783152,7.42789424,5.61125187,0.01323557,1.26796464
-5.93396698,8.81380529,0.01151145,1.92075802,7.26260195,5.53783536,0.01277921,1.24469629
-5.92796398,8.65952538,0.01090592,1.89063143,7.07419859,5.45455185,0.01233881,1.21854883
-5.92196098,8.48850219,0.01028570,1.85756611,6.86473645,5.36176643,0.01192084,1.18967314
-5.91595798,8.30191739,0.00965678,1.82171500,6.63662382,5.25997727,0.01153150,1.15826451
-5.90995498,8.10119483,0.00902531,1.78327290,6.39256985,5.14982112,0.01117663,1.12455921
-5.90395198,7.88798764,0.00839741,1.74247848,6.13552170,5.03207425,0.01086169,1.08882982
-5.89794897,7.66415795,0.00777909,1.69961475,5.86859619,4.90764849,0.01059171,1.05137973
-5.89194597,7.43174951,0.00717607,1.65500789,5.59500815,4.77758226,0.01037120,1.01253689
-5.88594297,7.19295390,0.00659367,1.60902426,5.31799778,4.64302656,0.01020412,0.97264700
-5.87993997,6.95007119,0.00603670,1.56206572,5.04075915,4.50522643,0.01009377,0.93206660
-5.87393697,6.70546610,0.00550938,1.51456317,4.76637183,4.36549811,0.01004275,0.89115598
-5.86793397,6.46152085,0.00501527,1.46696869,4.49773743,4.22520276,0.01005284,0.85027231
-5.86193097,6.22058605,0.00455721,1.41974627,4.23752271,4.08571752,0.01012493,0.80976309
-5.85592796,5.98493114,0.00413729,1.37336155,3.98811022,3.94840471,0.01025894,0.76996000
-5.84992496,5.75669564,0.00375687,1.32827090,3.75155787,3.81458031,0.01045375,0.73117336
-5.84392196,5.53784288,0.00341658,1.28491017,3.52956769,3.68548276,0.01070715,0.69368719
-5.83791896,5.33011762,0.00311635,1.24368354,3.32346455,3.56224315,0.01101575,0.65775508
-5.83191596,5.13500881,0.00285548,1.20495289,3.13418492,3.44585782,0.01137501,0.62359671
-5.82591296,4.95371896,0.00263267,1.16902806,2.96227565,3.33716456,0.01177923,0.59139527
-5.81990995,4.78714104,0.00244615,1.13615855,2.80790246,3.23682310,0.01222157,0.56129570
-5.81390695,4.63584412,0.00229370,1.10652676,2.67086790,3.14530096,0.01269416,0.53340375
-5.80790395,4.50006813,0.00217279,1.08024341,2.55063794,3.06286511,0.01318819,0.50778601
-5.80190095,4.37972848,0.00208066,1.05734511,2.44637650,2.98958005,0.01369402,0.48447074
-5.79589795,4.27443051,0.00201443,1.03779443,2.35698693,2.92531240,0.01420147,0.46344963
-5.78989495,4.18349358,0.00197121,1.02148245,2.28115918,2.86974223,0.01469991,0.44468042
-5.78389195,4.10598432,0.00194819,1.00823384,2.21742153,2.82238061,0.01517862,0.42809039
-5.77788894,4.04075812,0.00194277,0.99781423,2.16419517,2.78259316,0.01562700,0.41358067
-5.77188594,3.98650756,0.00195261,0.98993980,2.11985038,2.74962859,0.01603485,0.40103121
-5.76588294,3.94181635,0.00197583,0.98428853,2.08276244,2.72265147,0.01639268,0.39030650
-5.75987994,3.90521686,0.00201098,0.98051288,2.05136568,2.70077796,0.01669201,0.38126181
-5.75387694,3.87524924,0.00205722,0.97825328,2.02420409,2.68311315,0.01692559,0.37374979
-5.74787394,3.85052010,0.00211436,0.97715186,1.99997688,2.66878865,0.01708767,0.36762733
-5.74187094,3.82975831,0.00218290,0.97686594,1.97757758,2.65699888,0.01717418,0.36276242
-5.73586793,3.81186598,0.00226409,0.97708055,1.95612549,2.64703466,0.01718289,0.35904090
-5.72986493,3.79596243,0.00235997,0.97751953,1.93498835,2.63831268,0.01711354,0.35637267
-5.72386193,3.78141937,0.00247334,0.97795461,1.91379581,2.63039960,0.01696783,0.35469732
-5.71785893,3.76788580,0.00260776,0.97821213,1.89244298,2.62302970,0.01674941,0.35398878
-5.71185593,3.75530144,0.00276749,0.97817708,1.87108429,2.61611537,0.01646382,0.35425882
-5.70585293,3.74389791,0.00295740,0.97779413,1.85011778,2.60974975,0.01611833,0.35555916
-5.69984992,3.73418757,0.00318292,0.97706580,1.83016055,2.60420154,0.01572171,0.35798198
-5.69384692,3.72694006,0.00344984,0.97604771,1.81201624,2.59990183,0.01528401,0.36165876
-5.68784392,3.72314744,0.00376420,0.97484121,1.79663580,2.59742369,0.01481626,0.36675719
-5.68184092,3.72397906,0.00413209,0.97358373,1.78507301,2.59745497,0.01433013,0.37347634
-5.67583792,3.73072782,0.00455946,0.97243728,1.77843630,2.60076572,0.01383759,0.38204003
-5.66983492,3.74474993,0.00505188,0.97157577,1.77783874,2.60817115,0.01335055,0.39268851
-5.66383192,3.76740042,0.00561434,0.97117179,1.78434795,2.62049202,0.01288051,0.40566872
-5.65782891,3.79996705,0.00625103,0.97138332,1.79893777,2.63851374,0.01243824,0.42122348
-5.65182591,3.84360524,0.00696508,0.97234141,1.82244346,2.66294620,0.01203346,0.43957980
-5.64582291,3.89927675,0.00775840,0.97413913,1.85552203,2.69438573,0.01167455,0.46093695
-5.63981991,3.96769468,0.00863145,0.97682258,1.89861931,2.73328104,0.01136836,0.48545466
-5.63381691,4.04927708,0.00958311,0.98038439,1.95194484,2.77990455,0.01112004,0.51324193
-5.62781391,4.14411129,0.01061056,0.98476006,2.01545561,2.83433013,0.01093289,0.54434702
-5.62181091,4.25193049,0.01170919,0.98982735,2.08884936,2.89641860,0.01080834,0.57874904
-5.61580790,4.37210366,0.01287259,0.99540886,2.17156774,2.96581119,0.01074597,0.61635165
-5.60980490,4.50363929,0.01409258,1.00127757,2.26280924,3.04193157,0.01074353,0.65697911
-5.60380190,4.64520302,0.01535926,1.00716521,2.36155150,3.12399609,0.01079713,0.70037511
-5.59779890,4.79514823,0.01666120,1.01277299,2.46658228,3.21103198,0.01090137,0.74620437
-5.59179590,4.95155852,0.01798556,1.01778415,2.57653780,3.30190239,0.01104960,0.79405721
-5.58579290,5.11230027,0.01931834,1.02187778,2.68994716,3.39533754,0.01123411,0.84345690
-5.57978989,5.27508291,0.02064469,1.02474306,2.80528099,3.48997015,0.01144650,0.89386957
-5.57378689,5.43752462,0.02194912,1.02609336,2.92100239,3.58437404,0.01167789,0.94471649
-5.56778389,5.59722046,0.02321587,1.02567936,3.03561825,3.67710388,0.01191927,0.99538810
-5.56178089,5.75181024,0.02442926,1.02330061,3.14772852,3.76673474,0.01216173,1.04525940
-5.55577789,5.89904340,0.02557392,1.01881480,3.25607175,3.85189966,0.01239680,1.09370612
-5.54977489,6.03683833,0.02663522,1.01214451,3.35956460,3.93132392,0.01261660,1.14012100
-5.54377189,6.16333400,0.02759946,1.00328084,3.45733403,4.00385478,0.01281413,1.18392965
-5.53776888,6.27693213,0.02845425,0.99228398,3.54874051,4.06848583,0.01298338,1.22460536
-5.53176588,6.37632877,0.02918865,0.97928061,3.63339156,4.12437529,0.01311947,1.26168238
-5.52576288,6.46053453,0.02979345,0.96445834,3.71114511,4.17085810,0.01321874,1.29476715
-5.51975988,6.52888359,0.03026131,0.94805744,3.78210268,4.20745179,0.01327878,1.32354729
-5.51375688,6.58103182,0.03058689,0.93036053,3.84659300,4.23385654,0.01329839,1.34779791
-5.50775388,6.61694519,0.03076695,0.91168056,3.90514709,4.24995019,0.01327761,1.36738529
-5.50175088,6.63687980,0.03080040,0.89234783,3.95846627,4.25577892,0.01321757,1.38226779
-5.49574787,6.64135533,0.03068830,0.87269687,4.00738482,4.25154468,0.01312048,1.39249426
-5.48974487,6.63112376,0.03043389,0.85305359,4.05282950,4.23759037,0.01298945,1.39819997
-5.48374187,6.60713553,0.03004245,0.83372351,4.09577787,4.21438396,0.01282838,1.39960048
-5.47773887,6.57050468,0.02952130,0.81498171,4.13721764,4.18250227,0.01264187,1.39698371
-5.47173587,6.52247501,0.02887963,0.79706463,4.17810901,4.14261535,0.01243504,1.39070066
-5.46573287,6.46438829,0.02812833,0.78016443,4.21935164,4.09547204,0.01221344,1.38115505
-5.45972986,6.39765569,0.02727988,0.76442570,4.26175745,4.04188693,0.01198289,1.36879244
-5.45372686,6.32373278,0.02634808,0.74994482,4.30603020,3.98272891,0.01174941,1.35408891
-5.44772386,6.24409820,0.02534784,0.73677159,4.35275196,3.91891106,0.01151905,1.33753990
-5.44172086,6.16023570,0.02429488,0.72491300,4.40237621,3.85138155,0.01129785,1.31964924
-5.43571786,6.07361865,0.02320553,0.71433870,4.45522692,3.78111497,0.01109166,1.30091855
-5.42971486,5.98569615,0.02209633,0.70498760,4.51150222,3.70910332,0.01090607,1.28183733
-5.42371186,5.89787947,0.02098377,0.69677519,4.57128123,3.63634623,0.01074633,1.26287357
-5.41770885,5.81152779,0.01988398,0.68960095,4.63453238,3.56383949,0.01061718,1.24446507
-5.41170585,5.72793206,0.01881234,0.68335530,4.70112152,3.49256156,0.01052277,1.22701136
-5.40570285,5.64829636,0.01778325,0.67792580,4.77081813,3.42345775,0.01046653,1.21086644
-5.39969985,5.57371623,0.01680978,0.67320190,4.84329865,3.35742202,0.01045106,1.19633203
-5.39369685,5.50515417,0.01590338,0.66907843,4.91814595,3.29527667,0.01047802,1.18365168
-5.38769385,5.44341279,0.01507369,0.66545726,4.99484473,3.23775060,0.01054800,1.17300569
-5.38169085,5.38910688,0.01432831,0.66224748,5.07277342,3.18545690,0.01066044,1.16450696
-5.37568784,5.34263573,0.01367265,0.65936406,5.15119323,3.13887111,0.01081356,1.15819801
-5.36968484,5.30415782,0.01310984,0.65672539,5.22923623,3.09831126,0.01100434,1.15404935
-5.36368184,5.27356996,0.01264068,0.65424991,5.30589408,3.06392137,0.01122845,1.15195946
-5.35767884,5.25049312,0.01226368,0.65185239,5.38000988,3.03565961,0.01148033,1.15175654
-5.35167584,5.23426690,0.01197517,0.64944025,5.45027529,3.01329251,0.01175325,1.15320239
-5.34567284,5.22395464,0.01176939,0.64691042,5.51523511,2.99639630,0.01203944,1.15599830
-5.33966983,5.21836014,0.01163876,0.64414702,5.57330116,2.98436586,0.01233025,1.15979335
-5.33366683,5.21605673,0.01157412,0.64102039,5.62277660,2.97643183,0.01261634,1.16419466
-5.32766383,5.21542849,0.01156504,0.63738753,5.66189135,2.97168532,0.01288800,1.16877981
-5.32166083,5.21472251,0.01160018,0.63309410,5.68884821,2.96910976,0.01313535,1.17311077
-5.31565783,5.21211056,0.01166766,0.62797803,5.70187866,2.96761847,0.01334873,1.17674910
-5.30965483,5.20575743,0.01175545,0.62187453,5.69930618,2.96609640,0.01351892,1.17927175
-5.30365183,5.19389302,0.01185179,0.61462222,5.67961463,2.96344404,0.01363753,1.18028685
-5.29764882,5.17488449,0.01194555,0.60607011,5.64151807,2.95862134,0.01369726,1.17944876
-5.29164582,5.14730493,0.01202662,0.59608493,5.58402874,2.95068936,0.01369212,1.17647163
-5.28564282,5.10999485,0.01208622,0.58455837,5.50651903,2.93884751,0.01361773,1.17114084
-5.27963982,5.06211327,0.01211723,0.57141379,5.40877415,2.92246450,0.01347139,1.16332173
-5.27363682,5.00317569,0.01211439,0.55661196,5.29103198,2.90110135,0.01325223,1.15296513
-5.26763382,4.93307704,0.01207449,0.54015540,5.15400768,2.87452561,0.01296126,1.14010934
-5.26163082,4.85209843,0.01199649,0.52209117,4.99890104,2.84271598,0.01260126,1.12487866
