energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.29035705,-2.25543767,0.84974465,-0.83388742,0.39361917,-0.37535174,0.50747438,-0.47522870,0.00000000,-0.00000000,0.98299826,-1.00112036,0.00000000,-0.00000000
-5.99399700,2.32420263,-2.29167028,0.86730618,-0.85210938,0.40485722,-0.38723109,0.53014863,-0.49910784,0.00000000,-0.00000000,0.97844606,-0.99660793,0.00000000,-0.00000000
-5.98799400,2.35385618,-2.32452722,0.88315282,-0.86905025,0.41520536,-0.39845164,0.55134944,-0.52201720,0.00000000,-0.00000000,0.97287531,-0.99103795,0.00000000,-0.00000000
-5.98199100,2.37864386,-2.35336166,0.89689769,-0.88434688,0.42451807,-0.40886041,0.57075775,-0.54361621,0.00000000,-0.00000000,0.96618347,-0.98436040,0.00000000,-0.00000000
-5.97598799,2.39796127,-2.37756402,0.90817145,-0.89763833,0.43267067,-0.41831740,0.58808739,-0.56358338,0.00000000,-0.00000000,0.95827061,-0.97652202,0.00000000,-0.00000000
-5.96998499,2.41129653,-2.39658258,0.91663486,-0.90857660,0.43956401,-0.42670052,0.60309320,-0.58162510,0.00000000,-0.00000000,0.94904648,-0.96747034,0.00000000,-0.00000000
-5.96398199,2.41825118,-2.40994375,0.92199105,-0.91683794,0.44512826,-0.43390996,0.61557794,-0.59748377,0.00000000,-0.00000000,0.93843755,-0.95715856,0.00000000,-0.00000000
-5.95797899,2.41855722,-2.41727089,0.92399698,-0.92213432,0.44932578,-0.43987193,0.62539762,-0.61094493,0.00000000,-0.00000000,0.92639385,-0.94555097,0.00000000,-0.00000000
-5.95197599,2.41208955,-2.41830037,0.92247334,-0.92422437,0.45215252,-0.44454151,0.63246497,-0.62184300,0.00000000,-0.00000000,0.91289476,-0.93262836,0.00000000,-0.00000000
-5.94597299,2.39887282,-2.41289400,0.91731245,-0.92292332,0.45363827,-0.44790440,0.63675101,-0.63006543,0.00000000,-0.00000000,0.89795359,-0.91839306,0.00000000,-0.00000000
