energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,4.29719807,0.46315832,0.00000000,0.00825587,0.87121244,1.36685884,0.89541171,0.09260230,1.62687384
-5.99399700,4.33439602,0.46000628,0.00000000,0.00823336,0.88267783,1.38712124,0.90594268,0.09315037,1.63702941
-5.98799400,4.37793554,0.45650050,0.00000000,0.00823610,0.89698303,1.41084651,0.91942082,0.09364290,1.64787443
-5.98199100,4.42817472,0.45278123,0.00000000,0.00826626,0.91414696,1.43814797,0.93587597,0.09408609,1.65963365
-5.97598799,4.48551926,0.44901106,0.00000000,0.00832611,0.93416711,1.46913605,0.95532115,0.09448779,1.67258385
-5.96998499,4.55036462,0.44536612,0.00000000,0.00841784,0.95700968,1.50389942,0.97774310,0.09485634,1.68702888
-5.96398199,4.62303319,0.44202657,0.00000000,0.00854347,0.98259914,1.54248456,1.00309176,0.09519946,1.70327222
-5.95797899,4.70371064,0.43916676,0.00000000,0.00870459,1.01080794,1.58487513,1.03126965,0.09552316,1.72158900
-5.95197599,4.79238558,0.43694561,0.00000000,0.00890227,1.04144730,1.63097244,1.06212197,0.09583093,1.74219877
-5.94597299,4.88879654,0.43549776,0.00000000,0.00913686,1.07425990,1.68057842,1.09542820,0.09612301,1.76524077
-5.93996998,4.99239000,0.43492582,0.00000000,0.00940788,1.10891522,1.73338238,1.13089618,0.09639603,1.79075314
-5.93396698,5.10229257,0.43529422,0.00000000,0.00971388,1.14500812,1.78895256,1.16815913,0.09664286,1.81865706
-5.92796398,5.21729953,0.43662493,0.00000000,0.01005243,1.18206121,1.84673333,1.20677626,0.09685272,1.84874718
-5.92196098,5.33588123,0.43889529,0.00000000,0.01042005,1.21953107,1.90604849,1.24623722,0.09701163,1.88068846
-5.91595798,5.45620774,0.44203807,0.00000000,0.01081230,1.25681844,1.96611094,1.28597050,0.09710298,1.91402020
-5.90995498,5.57619099,0.44594363,0.00000000,0.01122381,1.29328207,2.02603843,1.32535564,0.09710836,1.94816672
-5.90395198,5.69354285,0.45046427,0.00000000,0.01164843,1.32825576,2.08487494,1.36373880,0.09700850,1.98245450
-5.89794897,5.80584661,0.45542039,0.00000000,0.01207941,1.36106783,2.14161679,1.40045113,0.09678425,2.01613487
-5.89194597,5.91063837,0.46060821,0.00000000,0.01250962,1.39106235,2.19524239,1.43482912,0.09641757,2.04841118
-5.88594297,6.00549458,0.46580862,0.00000000,0.01293177,1.41762077,2.24474423,1.46623604,0.09589250,2.07846905
-5.87993997,6.08812131,0.47079680,0.00000000,0.01333867,1.44018333,2.28916165,1.49408329,0.09519598,2.10550832
-5.87393697,6.15644087,0.47535205,0.00000000,0.01372349,1.45826885,2.32761287,1.51785090,0.09431855,2.12877501
-5.86793397,6.20867141,0.47926738,0.00000000,0.01407999,1.47149205,2.35932471,1.53710576,0.09325482,2.14759175
-5.86193097,6.24339560,0.48235841,0.00000000,0.01440276,1.47957751,2.38365861,1.55151699,0.09200375,2.16138515
-5.85592796,6.25961497,0.48447117,0.00000000,0.01468741,1.48236948,2.40013171,1.56086752,0.09056876,2.16970888
-5.84992496,6.25678729,0.48548840,0.00000000,0.01493069,1.47983720,2.40843214,1.56506123,0.08895754,2.17226117
-5.84392196,6.23484527,0.48533409,0.00000000,0.01513057,1.47207526,2.40842769,1.56412543,0.08718176,2.16889611
-5.83791896,6.19419582,0.48397610,0.00000000,0.01528630,1.45929924,2.40016774,1.55820854,0.08525649,2.15962807
-5.83191596,6.13570026,0.48142677,0.00000000,0.01539835,1.44183673,2.38387830,1.54757304,0.08319964,2.14462933
-5.82591296,6.06063656,0.47774147,0.00000000,0.01546832,1.42011429,2.35995081,1.53258421,0.08103116,2.12422092
