energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.93268610,0.40888680,0.28219737,0.00069318,0.13515561,0.00767802,1.07197912,0.57112331,0.18411929
-5.99399700,1.95022227,0.41453761,0.28966418,0.00068123,0.13196876,0.00781030,1.08694855,0.56259965,0.18579018
-5.98799400,1.96327113,0.41973028,0.29644497,0.00066876,0.12844866,0.00791996,1.09940876,0.55292696,0.18694900
-5.98199100,1.97153528,0.42436314,0.30245350,0.00065621,0.12463468,0.00800712,1.10913592,0.54225222,0.18755345
-5.97598799,1.97483127,0.42835712,0.30762123,0.00064400,0.12057146,0.00807318,1.11597346,0.53072497,0.18757774
-5.96998499,1.97309976,0.43165845,0.31190054,0.00063256,0.11630844,0.00812088,1.11983872,0.51849395,0.18701385
-5.96398199,1.96641267,0.43424058,0.31526759,0.00062228,0.11189952,0.00815434,1.12072752,0.50570466,0.18587227
-5.95797899,1.95497687,0.43610511,0.31772454,0.00061355,0.10740273,0.00817897,1.11871656,0.49249747,0.18418220
-5.95197599,1.93913424,0.43728182,0.31930104,0.00060670,0.10287992,0.00820152,1.11396335,0.47900651,0.18199122
-5.94597299,1.91935784,0.43782776,0.32005493,0.00060200,0.09839655,0.00822985,1.10670374,0.46535918,0.17936440
-5.93996998,1.89624420,0.43782535,0.32007196,0.00059970,0.09402141,0.00827283,1.09724693,0.45167618,0.17638300
-5.93396698,1.87050166,0.43737969,0.31946462,0.00059995,0.08982643,0.00834011,1.08596813,0.43807193,0.17314265
-5.92796398,1.84293521,0.43661508,0.31836987,0.00060287,0.08588633,0.00844186,1.07329906,0.42465537,0.16975128
-5.92196098,1.81442800,0.43567090,0.31694602,0.00060853,0.08227833,0.00858848,1.05971640,0.41153084,0.16632667
-5.91595798,1.78592007,0.43469705,0.31536866,0.00061693,0.07908167,0.00879030,1.04572886,0.39879904,0.16299385
-5.90995498,1.75838505,0.43384902,0.31382582,0.00062806,0.07637712,0.00905719,1.03186294,0.38655807,0.15988235
-5.90395198,1.73280538,0.43328291,0.31251254,0.00064187,0.07424634,0.00939820,1.01864809,0.37490424,0.15712343
-5.89794897,1.71014690,0.43315044,0.31162497,0.00065831,0.07277109,0.00982123,1.00660168,0.36393291,0.15484733
-5.89194597,1.69133365,0.43359420,0.31135423,0.00067734,0.07203241,0.01033267,0.99621420,0.35373909,0.15318056
-5.88594297,1.67722369,0.43474328,0.31188028,0.00069893,0.07210967,0.01093700,0.98793536,0.34441792,0.15224345
-5.87993997,1.66858659,0.43670944,0.31336596,0.00072311,0.07307947,0.01163660,0.98216140,0.33606502,0.15214776
-5.87393697,1.66608351,0.43958385,0.31595147,0.00074996,0.07501458,0.01243140,0.97922400,0.32877662,0.15299464
-5.86793397,1.67025026,0.44343457,0.31974952,0.00077961,0.07798270,0.01331875,0.97938132,0.32264961,0.15487275
-5.86193097,1.68148397,0.44830479,0.32484124,0.00081230,0.08204533,0.01429330,0.98281117,0.31778126,0.15785671
-5.85592796,1.70003367,0.45421185,0.33127310,0.00084833,0.08725654,0.01534697,0.98960677,0.31426883,0.16200579
-5.84992496,1.72599515,0.46114708,0.33905498,0.00088809,0.09366176,0.01646898,0.99977499,0.31220886,0.16736295
-5.84392196,1.75931002,0.46907637,0.34815933,0.00093206,0.10129664,0.01764605,1.01323734,0.31169612,0.17395406
-5.83791896,1.79976912,0.47794158,0.35852163,0.00098077,0.11018599,0.01886261,1.02983338,0.31282221,0.18178759
