energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,4.70075884,0.14498924,0.06878074,0.73040523,1.72807723,0.82685166,0.41862406,0.07930060,1.55062014
-5.99399700,4.79411763,0.14538681,0.06913790,0.74279499,1.74140656,0.84488738,0.43915985,0.08418637,1.59793716
-5.98799400,4.89157224,0.14539276,0.06935709,0.75417318,1.75561748,0.86214400,0.46052658,0.08939183,1.64780344
-5.98199100,4.99404008,0.14502012,0.06946324,0.76464671,1.77128875,0.87879837,0.48262028,0.09491370,1.70036335
-5.97598799,5.10259359,0.14429614,0.06948757,0.77437624,1.78906456,0.89507017,0.50534814,0.10074716,1.75579133
-5.96998499,5.21840943,0.14326167,0.06946637,0.78357002,1.80962743,0.91121320,0.52863094,0.10688496,1.81428089
-5.96398199,5.34270304,0.14197001,0.06943944,0.79247534,1.83366543,0.92750433,0.55240419,0.11331642,1.87602927
-5.95797899,5.47665186,0.14048525,0.06944833,0.80136783,1.86183536,0.94423068,0.57661784,0.12002634,1.94121830
-5.95197599,5.62131056,0.13888009,0.06953447,0.81053894,1.89472393,0.96167552,0.60123443,0.12699376,2.00999240
-5.94597299,5.77752300,0.13723339,0.06973726,0.82028244,1.93280883,0.98010359,0.62622584,0.13419085,2.08243479
-5.93996998,5.94583545,0.13562740,0.07009215,0.83088019,1.97642211,0.99974650,0.65156858,0.14158184,2.15854315
-5.93396698,6.12641610,0.13414486,0.07062898,0.84258797,2.02571786,1.02078883,0.67723798,0.14912212,2.23820621
-5.92796398,6.31898556,0.13286599,0.07137042,0.85562201,2.08064623,1.04335575,0.70320146,0.15675762,2.32118263
-5.92196098,6.52276269,0.13186568,0.07233074,0.87014661,2.14093547,1.06750257,0.72941134,0.16442458,2.40708349
-5.91595798,6.73642961,0.13121065,0.07351496,0.88626358,2.20608318,1.09320685,0.75579757,0.17204965,2.49535997
-5.90995498,6.95811857,0.13095703,0.07491828,0.90400387,2.27535767,1.12036347,0.78226096,0.17955046,2.58529696
-5.90395198,7.18542257,0.13114820,0.07652604,0.92332180,2.34780967,1.14878281,0.80866733,0.18683677,2.67601377
-5.89794897,7.41543049,0.13181308,0.07831398,0.94409205,2.42229404,1.17819239,0.83484305,0.19381198,2.76647220
-5.89194597,7.64478598,0.13296488,0.08024891,0.96610983,2.49750079,1.20824168,0.86057256,0.20037520,2.85549243
-5.88594297,7.86976853,0.13460041,0.08228978,0.98909398,2.57199401,1.23851024,0.88559794,0.20642372,2.94177631
-5.87993997,8.08639380,0.13669987,0.08438902,1.01269312,2.64425711,1.26851862,0.90962117,0.21185581,3.02393753
-5.87393697,8.29052921,0.13922726,0.08649415,1.03649472,2.71274216,1.29774183,0.93230874,0.21657371,3.10053774
-5.86793397,8.47802021,0.14213128,0.08854960,1.06003653,2.77592133,1.32562476,0.95329899,0.22048684,3.17012722
-5.86193097,8.64482198,0.14534682,0.09049864,1.08282030,2.83233785,1.35159903,0.97221164,0.22351485,3.23128871
-5.85592796,8.78713089,0.14879682,0.09228538,1.10432711,2.88065444,1.37510068,0.98865947,0.22559060,3.28268232
-5.84992496,8.90151027,0.15239461,0.09385679,1.12403384,2.91969694,1.39558792,1.00226140,0.22666271,3.32308995
-5.84392196,8.98500520,0.15604656,0.09516455,1.14143024,2.94849138,1.41255845,1.01265664,0.22669774,3.35145713
-5.83791896,9.03524147,0.15965493,0.09616687,1.15603593,2.96629311,1.42556570,1.01951905,0.22568181,3.36693054
-5.83191596,9.05050504,0.16312093,0.09683009,1.16741674,2.97260684,1.43423335,1.02257108,0.22362145,3.36888961
-5.82591296,9.02979887,0.16634772,0.09712997,1.17519986,2.96719719,1.43826778,1.02159666,0.22054388,3.35697079
-5.81990995,8.97287527,0.16924340,0.09705284,1.17908730,2.95008968,1.43746801,1.01645229,0.21649649,3.33108364
-5.81390695,8.88024341,0.17172381,0.09659634,1.17886706,2.92156259,1.43173284,1.00707573,0.21154561,3.29141801
-5.80790395,8.75315216,0.17371504,0.09576994,1.17442189,2.88213060,1.42106502,0.99349205,0.20577470,3.23844219
