energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,3.56734877,0.15023173,0.03931032,0.65658588,1.54152729,0.71517183,0.00000000,0.09532584,1.02853290
-5.99399700,3.45060212,0.14295650,0.03621041,0.62269905,1.50581998,0.68763262,0.00000000,0.09152089,0.98755798
-5.98799400,3.34270852,0.13553792,0.03340773,0.59079928,1.47107351,0.66222504,0.00000000,0.08835705,0.95063056
-5.98199100,3.24498510,0.12802128,0.03090619,0.56115174,1.43775831,0.63921527,0.00000000,0.08587536,0.91823995
-5.97598799,3.15881612,0.12046104,0.02870806,0.53402605,1.40640892,0.61886895,0.00000000,0.08411610,0.89087468
-5.96998499,3.08563644,0.11291991,0.02681434,0.50969377,1.37761643,0.60144959,0.00000000,0.08311851,0.86901683
-5.96398199,3.02690552,0.10546749,0.02522489,0.48842472,1.35201629,0.58721550,0.00000000,0.08292010,0.85313419
-5.95797899,2.98407309,0.09817869,0.02393859,0.47048252,1.33027171,0.57641543,0.00000000,0.08355566,0.84367046
-5.95197599,2.95853783,0.09113188,0.02295340,0.45611927,1.31305368,0.56928287,0.00000000,0.08505606,0.84103393
-5.94597299,2.95160097,0.08440700,0.02226641,0.44556988,1.30101822,0.56602950,0.00000000,0.08744678,0.84558497
-5.93996998,2.96441680,0.07808366,0.02187383,0.43904606,1.29478218,0.56683789,0.00000000,0.09074632,0.85762278
-5.93396698,2.99794238,0.07223926,0.02177104,0.43673032,1.29489849,0.57185396,0.00000000,0.09496448,0.87737210
-5.92796398,3.05288866,0.06694731,0.02195252,0.43877018,1.30183206,0.58117938,0.00000000,0.10010073,0.90497015
-5.92196098,3.12967504,0.06227583,0.02241196,0.44527261,1.31593740,0.59486443,0.00000000,0.10614254,0.94045447
-5.91595798,3.22838945,0.05828596,0.02314222,0.45629907,1.33743886,0.61290159,0.00000000,0.11306396,0.98375220
-5.90995498,3.34875556,0.05503073,0.02413549,0.47186110,1.36641443,0.63522015,0.00000000,0.12082433,1.03467104
-5.90395198,3.49010855,0.05255403,0.02538333,0.49191661,1.40278351,0.66168216,0.00000000,0.12936737,1.09289250
-5.89794897,3.65138052,0.05088967,0.02687682,0.51636695,1.44629943,0.69207988,0.00000000,0.13862055,1.15796771
-5.89194597,3.83109618,0.05006061,0.02860673,0.54505484,1.49654662,0.72613492,0.00000000,0.14849488,1.22931603
-5.88594297,4.02737938,0.05007826,0.03056373,0.57776316,1.55294287,0.76349922,0.00000000,0.15888519,1.30622674
-5.87993997,4.23797029,0.05094187,0.03273849,0.61421475,1.61474628,0.80375774,0.00000000,0.16967084,1.38786390
-5.87393697,4.46025330,0.05263807,0.03512198,0.65407317,1.68106689,0.84643308,0.00000000,0.18071691,1.47327451
-5.86793397,4.69129485,0.05514039,0.03770556,0.69694461,1.75088252,0.89099177,0.00000000,0.19187595,1.56139999
-5.86193097,4.92789069,0.05840902,0.04048117,0.74238091,1.82305831,0.93685223,0.00000000,0.20299012,1.65109074
-5.85592796,5.16662154,0.06239064,0.04344144,0.78988377,1.89636961,0.98339421,0.00000000,0.21389386,1.74112390
-5.84992496,5.40391584,0.06701848,0.04657977,0.83891027,1.96952738,1.02996955,0.00000000,0.22441692,1.83022373
-5.84392196,5.63611854,0.07221267,0.04989029,0.88887959,2.04120567,1.07591397,0.00000000,0.23438772,1.91708459
-5.83791896,5.85956415,0.07788084,0.05336783,0.93918104,2.11007038,1.12055970,0.00000000,0.24363698,2.00039576
-5.83191596,6.07065235,0.08391907,0.05700774,0.98918319,2.17480860,1.16324862,0.00000000,0.25200152,2.07886779
-5.82591296,6.26592449,0.09021332,0.06080565,1.03824410,2.23415793,1.20334552,0.00000000,0.25932808,2.15125964
-5.81990995,6.44213871,0.09664115,0.06475710,1.08572239,2.28693491,1.24025129,0.00000000,0.26547712,2.21640579
-5.81390695,6.59634169,0.10307390,0.06885715,1.13098888,2.33206190,1.27341547,0.00000000,0.27032633,2.27324264
-5.80790395,6.72593486,0.10937929,0.07309983,1.17343852,2.36859165,1.30234792,0.00000000,0.27377396,2.32083331
-5.80190095,6.82873284,0.11542426,0.07747749,1.21250223,2.39572888,1.32662910,0.00000000,0.27574158,2.35838993
-5.79589795,6.90301209,0.12107815,0.08198019,1.24765819,2.41284813,1.34591872,0.00000000,0.27617633,2.38529255
-5.78989495,6.94754799,0.12621594,0.08659495,1.27844225,2.41950744,1.35996234,0.00000000,0.27505259,2.40110401
-5.78389195,6.96163862,0.13072160,0.09130505,1.30445696,2.41545713,1.36859559,0.00000000,0.27237278,2.40558000
-5.77788894,6.94511434,0.13449125,0.09608933,1.32537897,2.40064356,1.37174602,0.00000000,0.26816752,2.39867382
-5.77188594,6.89833242,0.13743614,0.10092157,1.34096432,2.37520745,1.36943214,0.00000000,0.26249495,2.38053557
-5.76588294,6.82215674,0.13948519,0.10577001,1.35105157,2.33947696,1.36176001,0.00000000,0.25543923,2.35150568
-5.75987994,6.71792312,0.14058710,0.11059700,1.35556259,2.29395546,1.34891716,0.00000000,0.24710838,2.31210285
-5.75387694,6.58739164,0.14071176,0.11535893,1.35450094,2.23930467,1.33116430,0.00000000,0.23763141,2.26300703
-5.74787394,6.43268774,0.13985104,0.12000634,1.34794817,2.17632354,1.30882510,0.00000000,0.22715491,2.20503779
-5.74187094,6.25623442,0.13801880,0.12448437,1.33605798,2.10592378,1.28227442,0.00000000,0.21583925,2.13912926
-5.73586793,6.06067855,0.13525024,0.12873354,1.31904884,2.02910296,1.25192559,0.00000000,0.20385447,2.06630242
-5.72986493,5.84881422,0.13160043,0.13269084,1.29719537,1.94691626,1.21821726,0.00000000,0.19137604,1.98763606
-5.72386193,5.62350643,0.12714231,0.13629111,1.27081890,1.86044789,1.18160046,0.00000000,0.17858075,1.90423751
-5.71785893,5.38761809,0.12196402,0.13946872,1.24027773,1.77078339,1.14252640,0.00000000,0.16564266,1.81721434
-5.71185593,5.14394344,0.11616589,0.14215956,1.20595754,1.67898376,1.10143545,0.00000000,0.15272955,1.72764821
-5.70585293,4.89515005,0.10985708,0.14430306,1.16826239,1.58606245,1.05874789,0.00000000,0.13999969,1.63657172
-5.69984992,4.64373148,0.10315210,0.14584447,1.12760652,1.49296581,1.01485662,0.00000000,0.12759926,1.54494908
-5.69384692,4.39197173,0.09616731,0.14673696,1.08440734,1.40055768,0.97012200,0.00000000,0.11566033,1.45366111
-5.68784392,4.14192197,0.08901762,0.14694380,1.03907965,1.30960834,0.92486896,0.00000000,0.10429955,1.36349489
-5.68184092,3.89538948,0.08181333,0.14644018,0.99203116,1.22078792,0.87938625,0.00000000,0.09361745,1.27513795
-5.67583792,3.65393779,0.07465757,0.14521479,0.94365925,1.13466412,0.83392758,0.00000000,0.08369839,1.18917697
-5.66983492,3.41889676,0.06764393,0.14327102,0.89434879,1.05170385,0.78871439,0.00000000,0.07461103,1.10610032
-5.66383192,3.19138062,0.06085490,0.14062767,0.84447090,0.97227819,0.74393982,0.00000000,0.06640935,1.02630407
-5.65782891,2.97231196,0.05436057,0.13731913,0.79438231,0.89667016,0.69977355,0.00000000,0.05913397,0.95010043
-5.65182591,2.76244916,0.04821810,0.13339508,0.74442519,0.82508439,0.65636689,0.00000000,0.05281375,0.87772817
-5.64582291,2.56241537,0.04247160,0.12891961,0.69492709,0.75765794,0.61385791,0.00000000,0.04746753,0.80936387
-5.63981991,2.37272657,0.03715245,0.12396983,0.64620096,0.69447166,0.57237609,0.00000000,0.04310588,0.74513353
-5.63381691,2.19381730,0.03228011,0.11863407,0.59854497,0.63556121,0.53204630,0.00000000,0.03973272,0.68512357
-5.62781391,2.02606239,0.02786322,0.11300970,0.55224215,0.58092738,0.49299193,0.00000000,0.03734673,0.62939094
-5.62181091,1.86979401,0.02390092,0.10720065,0.50755986,0.53054510,0.45533691,0.00000000,0.03594250,0.57797175
-5.61580790,1.72531335,0.02038441,0.10131478,0.46474901,0.48437094,0.41920693,0.00000000,0.03551125,0.53088822
-5.60980490,1.59289717,0.01729856,0.09546124,0.42404333,0.44234892,0.38472959,0.00000000,0.03604122,0.48815389
-5.60380190,1.47279939,0.01462355,0.08974781,0.38565870,0.40441464,0.35203393,0.00000000,0.03751764,0.44977710
-5.59779890,1.36524871,0.01233647,0.08427847,0.34979274,0.37049782,0.32124943,0.00000000,0.03992221,0.41576301
-5.59179590,1.27044304,0.01041291,0.07915124,0.31662479,0.34052345,0.29250469,0.00000000,0.04323242,0.38611423
-5.58579290,1.18854207,0.00882831,0.07445632,0.28631647,0.31441190,0.26592612,0.00000000,0.04742040,0.36083068
-5.57978989,1.11965910,0.00755925,0.07027463,0.25901290,0.29207822,0.24163683,0.00000000,0.05245173,0.33990883
-5.57378689,1.06385338,0.00658458,0.06667682,0.23484451,0.27343101,0.21975583,0.00000000,0.05828410,0.32334075
-5.56778389,1.02112382,0.00588632,0.06372269,0.21392959,0.25837119,0.20039779,0.00000000,0.06486602,0.31111334
-5.56178089,0.99140524,0.00545046,0.06146103,0.19637736,0.24679097,0.18367332,0.00000000,0.07213579,0.30320794
-5.55577789,0.97456731,0.00526753,0.05992990,0.18229141,0.23857315,0.16968975,0.00000000,0.08002063,0.29960054
-5.54977489,0.97041679,0.00533303,0.05915714,0.17177336,0.23359104,0.15855238,0.00000000,0.08843636,0.30026268
-5.54377189,0.97870291,0.00564769,0.05916132,0.16492631,0.23170897,0.15036593,0.00000000,0.09728745,0.30516296
-5.53776888,0.99912547,0.00621757,0.05995265,0.16185794,0.23278348,0.14523607,0.00000000,0.10646778,0.31426910
-5.53176588,1.03134512,0.00705400,0.06153418,0.16268273,0.23666505,0.14327065,0.00000000,0.11586187,0.32755030
-5.52576288,1.07499484,0.00817335,0.06390288,0.16752317,0.24320024,0.14458045,0.00000000,0.12534679,0.34497954
-5.51975988,1.12969168,0.00959662,0.06705061,0.17650938,0.25223409,0.14927907,0.00000000,0.13479465,0.36653553
-5.51375688,1.19504734,0.01134886,0.07096500,0.18977714,0.26361252,0.15748171,0.00000000,0.14407552,0.39220387
-5.50775388,1.27067665,0.01345847,0.07562994,0.20746391,0.27718446,0.16930258,0.00000000,0.15306071,0.42197695
-5.50175088,1.35620256,0.01595620,0.08102587,0.22970289,0.29280354,0.18485093,0.00000000,0.16162638,0.45585235
-5.49574787,1.45125682,0.01887410,0.08712962,0.25661500,0.31032903,0.20422536,0.00000000,0.16965706,0.49382930
-5.48974487,1.55547560,0.02224424,0.09391395,0.28829906,0.32962589,0.22750670,0.00000000,0.17704914,0.53590317
-5.48374187,1.66848962,0.02609727,0.10134673,0.32482031,0.35056390,0.25474947,0.00000000,0.18371402,0.58205769
-5.47773887,1.78990885,0.03046092,0.10938979,0.36619774,0.37301563,0.28597223,0.00000000,0.18958075,0.63225534
-5.47173587,1.91930236,0.03535836,0.11799758,0.41239085,0.39685361,0.32114720,0.00000000,0.19459804,0.68642587
-5.46573287,2.05617411,0.04080658,0.12711573,0.46328633,0.42194645,0.36018974,0.00000000,0.19873553,0.74445370
-5.45972986,2.19993631,0.04681481,0.13667952,0.51868567,0.44815454,0.40294808,0.00000000,0.20198418,0.80616463
-5.45372686,2.34988190,0.05338298,0.14661263,0.57829428,0.47532534,0.44919427,0.00000000,0.20435582,0.87131282
-5.44772386,2.50515852,0.06050044,0.15682608,0.64171310,0.50328877,0.49861676,0.00000000,0.20588181,0.93956889
-5.44172086,2.66474604,0.06814489,0.16721762,0.70843349,0.53185305,0.55081548,0.00000000,0.20661095,1.01051007
-5.43571786,2.82744013,0.07628169,0.17767175,0.77783602,0.56080152,0.60529997,0.00000000,0.20660669,1.08361347
-5.42971486,2.99184391,0.08486351,0.18806035,0.84919387,0.58989058,0.66149109,0.00000000,0.20594385,1.15825322
-5.42371186,3.15636965,0.09383048,0.19824412,0.92168113,0.61884946,0.71872681,0.00000000,0.20470500,1.23370244
-5.41770885,3.31925184,0.10311083,0.20807481,0.99438608,0.64738174,0.77627209,0.00000000,0.20297669,1.30914037
-5.41170585,3.47857242,0.11262200,0.21739819,1.06632955,0.67516900,0.83333297,0.00000000,0.20084583,1.38366506
-5.40570285,3.63229825,0.12227231,0.22605784,1.13648768,0.70187656,0.88907458,0.00000000,0.19839621,1.45631158
-5.39969985,3.77832999,0.13196296,0.23389949,1.20381863,0.72716119,0.94264256,0.00000000,0.19570564,1.52607525
-5.39369685,3.91456098,0.14159059,0.24077580,1.26729207,0.75068058,0.99318716,0.00000000,0.19284354,1.59193936
-5.38769385,4.03894368,0.15104996,0.24655146,1.32592047,0.77210413,1.03988906,0.00000000,0.18986928,1.65290614
-5.38169085,4.14956091,0.16023697,0.25110828,1.37879067,0.79112474,1.08198584,0.00000000,0.18683129,1.70802984
-5.37568784,4.24469833,0.16905159,0.25435004,1.42509445,0.80747079,1.11879792,0.00000000,0.18376690,1.75645018
-5.36968484,4.32291467,0.17740078,0.25620694,1.46415651,0.82091789,1.14975256,0.00000000,0.18070291,1.79742484
-5.36368184,4.38310577,0.18520120,0.25663925,1.49545845,0.83129970,1.17440494,0.00000000,0.17765685,1.83035898
