energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,3.62906139,2.46703094,0.78786666,0.00886169,0.86659963,1.57316455,0.00000000
-5.99399700,3.75167448,2.52331526,0.81577580,0.00961957,0.87757184,1.64508554,0.00000000
-5.98799400,3.88947297,2.59635529,0.84692172,0.01041816,0.89383527,1.72116925,0.00000000
-5.98199100,4.04192079,2.68620823,0.88119107,0.01125336,0.91563705,1.80084176,0.00000000
-5.97598799,4.20821290,2.79258322,0.91842531,0.01212084,0.94314671,1.88343708,0.00000000
-5.96998499,4.38728551,2.91484422,0.95842216,0.01301613,0.97645395,1.96820558,0.00000000
-5.96398199,4.57783157,3.05202213,1.00093720,0.01393482,1.01556704,2.05432546,0.00000000
-5.95797899,4.77832101,3.20283577,1.04568564,0.01487264,1.06041139,2.14091699,0.00000000
-5.95197599,4.98702517,3.36572077,1.09234434,0.01582561,1.11082835,2.22705933,0.00000000
-5.94597299,5.20204487,3.53886550,1.14055403,0.01679013,1.16657417,2.31180946,0.00000000
-5.93996998,5.42134125,3.72025245,1.18992187,0.01776310,1.22731905,2.39422276,0.00000000
-5.93396698,5.64276883,3.90770375,1.24002449,0.01874189,1.29264658,2.47337443,0.00000000
-5.92796398,5.86410982,4.09892907,1.29041156,0.01972436,1.36205367,2.54838101,0.00000000
-5.92196098,6.08310885,4.29157414,1.34060990,0.02070883,1.43495129,2.61842114,0.00000000
-5.91595798,6.29750750,4.48326840,1.39012842,0.02169397,1.51066645,2.68275471,0.00000000
-5.90995498,6.50507756,4.67167004,1.43846371,0.02267863,1.58844562,2.74073957,0.00000000
-5.90395198,6.70365271,4.85450725,1.48510639,0.02366173,1.66746000,2.79184502,0.00000000
-5.89794897,6.89115781,5.02961457,1.52954812,0.02464199,1.74681301,2.83566153,0.00000000
-5.89194597,7.06563547,5.19496353,1.57128926,0.02561776,1.82555013,2.87190634,0.00000000
-5.88594297,7.22526975,5.34868736,1.60984687,0.02658676,1.90267121,2.90042468,0.00000000
-5.87993997,7.36840681,5.48909962,1.64476312,0.02754591,1.97714539,2.92118669,0.00000000
-5.87393697,7.49357256,5.61470701,1.67561367,0.02849116,2.04792831,2.93428037,0.00000000
-5.86793397,7.59948750,5.72421710,1.70201591,0.02941734,2.11398143,2.93990105,0.00000000
-5.86193097,7.68507898,5.81654163,1.72363680,0.03031814,2.17429298,2.93833800,0.00000000
-5.85592796,7.74949117,5.89079628,1.74020005,0.03118611,2.22789995,2.92995918,0.00000000
-5.84992496,7.79209294,5.94629797,1.75149234,0.03201277,2.27391037,2.91519485,0.00000000
-5.84392196,7.81248384,5.98256056,1.75736849,0.03278880,2.31152523,2.89452105,0.00000000
-5.83791896,7.81049837,5.99928975,1.75775526,0.03350430,2.34005892,2.86844380,0.00000000
-5.83191596,7.78620837,5.99637775,1.75265360,0.03414918,2.35895768,2.83748487,0.00000000
