energy_ev,total_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.12472143,0.38899855,0.25409619,4.38497536,2.06634539,0.02245518,1.58965435,0.04134710,1.84811420
-5.99399700,5.84222361,0.40041872,0.26158455,4.15386255,1.93767851,0.02082599,1.50383000,0.03809860,1.78909427
-5.98799400,5.57199909,0.41323798,0.26995143,3.92646630,1.81253421,0.01934035,1.41946387,0.03496452,1.73522501
-5.98199100,5.31709724,0.42736512,0.27912735,3.70565240,1.69212184,0.01801149,1.33756137,0.03198029,1.68718929
-5.97598799,5.08007926,0.44267742,0.28902812,3.49404541,1.57750706,0.01684989,1.25904195,0.02917689,1.64549753
-5.96998499,4.86298917,0.45902585,0.29955818,3.29398163,1.46959938,0.01586318,1.18472411,0.02658051,1.61048494
-5.96398199,4.66734228,0.47624199,0.31061474,3.10747195,1.36914387,0.01505615,1.11531360,0.02421246,1.58231527
-5.95797899,4.49413022,0.49414633,0.32209259,2.93617526,1.27671698,0.01443074,1.05139456,0.02208916,1.56099070
-5.95197599,4.34384122,0.51255751,0.33388917,2.78138257,1.19272632,0.01398620,0.99342407,0.02022224,1.54636703
-5.94597299,4.21649354,0.53130184,0.34590970,2.64401169,1.11741403,0.01371911,0.94172989,0.01861883,1.53817296
-5.93996998,4.11167968,0.55022268,0.35807193,2.52461189,1.05086354,0.01362359,0.89651126,0.01728182,1.53603242
-5.93396698,4.02861863,0.56918888,0.37031027,2.42337762,0.99300919,0.01369145,0.85784277,0.01621025,1.53948849
-5.92796398,3.96621326,0.58810178,0.38257890,2.34017029,0.94364835,0.01391236,0.82568081,0.01539965,1.54802758
-5.92196098,3.92311011,0.60690031,0.39485368,2.27454660,0.90245564,0.01427402,0.79987243,0.01484245,1.56110257
-5.91595798,3.89775879,0.62556363,0.40713263,2.22579221,0.86899860,0.01476237,0.78016610,0.01452832,1.57815381
-5.90995498,3.88846879,0.64411114,0.41943481,2.19295899,0.84275460,0.01536178,0.76622406,0.01444452,1.59862695
-5.90395198,3.89346164,0.66259964,0.43179780,2.17490472,0.82312834,0.01605527,0.75763587,0.01457619,1.62198693
-5.89794897,3.91091696,0.68111785,0.44427363,2.17033365,0.80946958,0.01682474,0.75393253,0.01490664,1.64772774
-5.89194597,3.93901176,0.69977826,0.45692353,2.17783687,0.80109087,0.01765117,0.75460114,0.01541756,1.67537784
-5.88594297,3.97595230,0.71870696,0.46981168,2.19593151,0.79728471,0.01851494,0.75909932,0.01608929,1.70450137
-5.87993997,4.01999905,0.73803188,0.48299843,2.22309800,0.79733999,0.01939608,0.76686947,0.01690101,1.73469584
-5.87393697,4.06948523,0.75787008,0.49653325,2.25781485,0.80055757,0.02027461,0.77735237,0.01783096,1.76558683
-5.86793397,4.12283020,0.77831496,0.51044801,2.29859082,0.80626452,0.02113085,0.79000000,0.01885672,1.79682069
-5.86193097,4.17854884,0.79942404,0.52475088,2.34399425,0.81382727,0.02194579,0.80428748,0.01995549,1.82805636
-5.85592796,4.23525871,0.82120832,0.53942136,2.39267980,0.82266323,0.02270152,0.81972393,0.02110440,1.85895728
-5.84992496,4.29168624,0.84362367,0.55440681,2.44341268,0.83225106,0.02338153,0.83586243,0.02228095,1.88918454
-5.84392196,4.34667362,0.86656513,0.56962063,2.49509075,0.84213941,0.02397117,0.85230875,0.02346340,1.91839208
-5.83791896,4.39918735,0.88986445,0.58494245,2.54676474,0.85195424,0.02445799,0.86872911,0.02463132,1.94622484
