energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.78850883,0.00530606,0.37752238,0.40805069,0.22369244,0.59978129,0.00000000,1.59637427,0.47857641
-5.99399700,1.84130488,0.00539989,0.38777752,0.43141419,0.21989891,0.62681879,0.00000000,1.66412640,0.49077989
-5.98799400,1.89791952,0.00553115,0.39782649,0.45661961,0.21759407,0.65680930,0.00000000,1.73084416,0.50311641
-5.98199100,1.95739334,0.00569276,0.40748764,0.48341702,0.21670512,0.68938837,0.00000000,1.79549705,0.51533546
-5.97598799,2.01866069,0.00587743,0.41658059,0.51150198,0.21712657,0.72411177,0.00000000,1.85706805,0.52717531
-5.96998499,2.08056872,0.00607782,0.42492976,0.54051804,0.21872347,0.76046036,0.00000000,1.91457347,0.53836919
-5.96398199,2.14190052,0.00628666,0.43236809,0.57006148,0.22133546,0.79784794,0.00000000,1.96708249,0.54865221
-5.95797899,2.20140179,0.00649685,0.43874067,0.59968840,0.22478174,0.83563224,0.00000000,2.01373586,0.55776842
-5.95197599,2.25781058,0.00670162,0.44390838,0.62892399,0.22886662,0.87312875,0.00000000,2.05376334,0.56547809
-5.94597299,2.30988924,0.00689461,0.44775128,0.65727381,0.23338574,0.90962721,0.00000000,2.08649944,0.57156480
-5.93996998,2.35645786,0.00706996,0.45017180,0.68423698,0.23813251,0.94441042,0.00000000,2.11139725,0.57584213
-5.93396698,2.39642803,0.00722241,0.45109746,0.70932062,0.24290482,0.97677457,0.00000000,2.12803998,0.57815977
-5.92796398,2.42883606,0.00734742,0.45048320,0.73205525,0.24751155,1.00605072,0.00000000,2.13615011,0.57840882
-5.92196098,2.45287453,0.00744119,0.44831316,0.75201055,0.25177900,1.03162639,0.00000000,2.13559605,0.57652608
-5.91595798,2.46792097,0.00750077,0.44460195,0.76881080,0.25555662,1.05296659,0.00000000,2.12639626,0.57249734
-5.90995498,2.47356278,0.00752408,0.43939524,0.78214940,0.25872218,1.06963340,0.00000000,2.10872085,0.56635935
-5.90395198,2.46961723,0.00750996,0.43276983,0.79180182,0.26118604,1.08130320,0.00000000,2.08289055,0.55820059
-5.89794897,2.45614580,0.00745818,0.42483299,0.79763643,0.26289427,1.08778085,0.00000000,2.04937323,0.54816074
-5.89194597,2.43346201,0.00736943,0.41572125,0.79962260,0.26383075,1.08901002,0.00000000,2.00877789,0.53642889
-5.88594297,2.40213232,0.00724529,0.40559854,0.79783569,0.26401789,1.08507935,0.00000000,1.96184611,0.52324044
-5.87993997,2.36296971,0.00708822,0.39465374,0.79245865,0.26351607,1.07622377,0.00000000,1.90944100,0.50887293
-5.87393697,2.31701991,0.00690146,0.38309762,0.78378006,0.26242187,1.06282115,0.00000000,1.85253373,0.49364076
-5.86793397,2.26554054,0.00668892,0.37115926,0.77218855,0.26086503,1.04538401,0.00000000,1.79218747,0.47788900
-5.86193097,2.20997354,0.00645515,0.35908206,0.75816386,0.25900428,1.02454676,0.00000000,1.72953911,0.46198641
-5.85592796,2.15191171,0.00620514,0.34711918,0.74226474,0.25702230,1.00104880,0.00000000,1.66577863,0.44631785
-5.84992496,2.09306036,0.00594423,0.33552878,0.72511423,0.25511986,0.97571413,0.00000000,1.60212657,0.43127632
-5.84392196,2.03519505,0.00567798,0.32456890,0.70738268,0.25350949,0.94942819,0.00000000,1.53980974,0.41725471
-5.83791896,1.98011698,0.00541197,0.31449224,0.68976940,0.25240885,0.92311284,0.00000000,1.48003579,0.40463754
-5.83191596,1.92960720,0.00515171,0.30554092,0.67298330,0.25203402,0.89770037,0.00000000,1.42396701,0.39379284
-5.82591296,1.88538121,0.00490248,0.29794130,0.65772347,0.25259305,0.87410741,0.00000000,1.37269411,0.38506439
-5.81990995,1.84904523,0.00466916,0.29189902,0.64466016,0.25427983,0.85320975,0.00000000,1.32721057,0.37876445
-5.81390695,1.82205559,0.00445618,0.28759443,0.63441690,0.25726863,0.83581871,0.00000000,1.28838853,0.37516716
