energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.67550956,0.06037470,0.04979676,2.36502035,0.00000000,2.08947792,0.00000000,1.21706022,0.34645668
-5.99399700,2.70624039,0.06072655,0.05020807,2.39084865,0.00000000,2.11512419,0.00000000,1.23899508,0.34841220
-5.98799400,2.72734371,0.06074111,0.05046461,2.40729923,0.00000000,2.13320415,0.00000000,1.25506367,0.34929883
-5.98199100,2.73787388,0.06041141,0.05054299,2.41370504,0.00000000,2.14297714,0.00000000,1.26485096,0.34900963
-5.97598799,2.73705840,0.05973752,0.05042430,2.40956140,0.00000000,2.14383302,0.00000000,1.26805603,0.34745689
-5.96998499,2.72432515,0.05872676,0.05009443,2.39454385,0.00000000,2.13531399,0.00000000,1.26450260,0.34457486
-5.96398199,2.69932563,0.05739363,0.04954426,2.36852280,0.00000000,2.11713340,0.00000000,1.25414636,0.34032211
-5.95797899,2.66195303,0.05575946,0.04876977,2.33157383,0.00000000,2.08919073,0.00000000,1.23707872,0.33468357
-5.95197599,2.61235395,0.05385188,0.04777206,2.28398309,0.00000000,2.05158166,0.00000000,1.21352671,0.32767194
-5.94597299,2.55093299,0.05170408,0.04655722,2.22624722,0.00000000,2.00460264,0.00000000,1.18384900,0.31932847
-5.93996998,2.47834982,0.04935386,0.04513611,2.15906745,0.00000000,1.94874950,0.00000000,1.14852808,0.30972299
-5.93396698,2.39550832,0.04684260,0.04352403,2.08333777,0.00000000,1.88470984,0.00000000,1.10815879,0.29895308
-5.92796398,2.30353825,0.04421412,0.04174025,2.00012744,0.00000000,1.81334950,0.00000000,1.06343373,0.28714244
-5.92196098,2.20376985,0.04151352,0.03980751,1.91065825,0.00000000,1.73569325,0.00000000,1.01512593,0.27443850
-5.91595798,2.09770243,0.03878602,0.03775143,1.81627725,0.00000000,1.65290064,0.00000000,0.96406946,0.26100923
-5.90995498,1.98696793,0.03607586,0.03559982,1.71842585,0.00000000,1.56623773,0.00000000,0.91113865,0.24703941
-5.90395198,1.87329104,0.03342528,0.03338210,1.61860641,0.00000000,1.47704589,0.00000000,0.85722672,0.23272636
-5.89794897,1.75844718,0.03087363,0.03112859,1.51834740,0.00000000,1.38670877,0.00000000,0.80322440,0.21827542
-5.89194597,1.64422002,0.02845657,0.02886991,1.41916833,0.00000000,1.29661870,0.00000000,0.74999934,0.20389526
-5.88594297,1.53235997,0.02620551,0.02663647,1.32254572,0.00000000,1.20814366,0.00000000,0.69837687,0.18979327
-5.87993997,1.42454501,0.02414709,0.02445798,1.22988100,0.00000000,1.12259607,0.00000000,0.64912266,0.17617112
-5.87393697,1.32234501,0.02230292,0.02236311,1.14247143,0.00000000,1.04120414,0.00000000,0.60292764,0.16322072
-5.86793397,1.22719052,0.02068938,0.02037927,1.06148465,0.00000000,0.96508674,0.00000000,0.56039552,0.15112067
-5.86193097,1.14034672,0.01931758,0.01853249,0.98793757,0.00000000,0.89523225,0.00000000,0.52203319,0.14003327
-5.85592796,1.06289287,0.01819341,0.01684744,0.92267984,0.00000000,0.83248185,0.00000000,0.48824380,0.13010221
-5.84992496,0.99570763,0.01731778,0.01534760,0.86638217,0.00000000,0.77751738,0.00000000,0.45932288,0.12145092
-5.84392196,0.93945991,0.01668678,0.01405545,0.81952941,0.00000000,0.73085367,0.00000000,0.43545703,0.11418154
-5.83791896,0.89460528,0.01629205,0.01299281,0.78241826,0.00000000,0.69283536,0.00000000,0.41672527,0.10837461
-5.83191596,0.86138735,0.01612115,0.01218121,0.75515944,0.00000000,0.66363772,0.00000000,0.40310271,0.10408921
-5.82591296,0.83984376,0.01615794,0.01164224,0.73768380,0.00000000,0.64327122,0.00000000,0.39446636,0.10136371
-5.81990995,0.82981608,0.01638305,0.01139792,0.72975205,0.00000000,0.63158935,0.00000000,0.39060270,0.10021682
-5.81390695,0.83096321,0.01677436,0.01147098,0.73096764,0.00000000,0.62829933,0.00000000,0.39121691,0.10064895
-5.80790395,0.84277754,0.01730750,0.01188501,0.74079238,0.00000000,0.63297511,0.00000000,0.39594336,0.10264383
-5.80190095,0.86460332,0.01795638,0.01266456,0.75856413,0.00000000,0.64507240,0.00000000,0.40435706,0.10617012
-5.79589795,0.89565685,0.01869374,0.01383493,0.78351633,0.00000000,0.66394516,0.00000000,0.41598593,0.11118310
-5.78989495,0.93504771,0.01949169,0.01542186,0.81479873,0.00000000,0.68886321,0.00000000,0.43032349,0.11762626
-5.78389195,0.98180074,0.02032229,0.01745095,0.85149883,0.00000000,0.71903058,0.00000000,0.44684169,0.12543270
-5.77788894,1.03487818,0.02115812,0.01994686,0.89266358,0.00000000,0.75360420,0.00000000,0.46500367,0.13452634
-5.77188594,1.09320146,0.02197282,0.02293227,0.93732082,0.00000000,0.79171250,0.00000000,0.48427606,0.14482289
-5.76588294,1.15567221,0.02274166,0.02642665,0.98449986,0.00000000,0.83247358,0.00000000,0.50414060,0.15623049
-5.75987994,1.22119202,0.02344199,0.03044481,1.03325075,0.00000000,0.87501255,0.00000000,0.52410470,0.16865008
-5.75387694,1.28868043,0.02405370,0.03499542,1.08266167,0.00000000,0.91847759,0.00000000,0.54371077,0.18197545
-5.74787394,1.35709073,0.02455963,0.04007931,1.13187404,0.00000000,0.96205440,0.00000000,0.56254390,0.19609306
-5.74187094,1.42542333,0.02494582,0.04568798,1.18009480,0.00000000,1.00497861,0.00000000,0.58023796,0.21088164
-5.73586793,1.49273629,0.02520177,0.05180201,1.22660567,0.00000000,1.04654598,0.00000000,0.59647960,0.22621160
-5.72986493,1.55815293,0.02532052,0.05838980,1.27076920,0.00000000,1.08611999,0.00000000,0.61101046,0.24194446
-5.72386193,1.62086647,0.02529867,0.06540652,1.31203136,0.00000000,1.12313684,0.00000000,0.62362730,0.25793226
-5.71785893,1.68014196,0.02513627,0.07279351,1.34992110,0.00000000,1.15710783,0.00000000,0.63418030,0.27401716
-5.71185593,1.73531557,0.02483666,0.08047804,1.38404684,0.00000000,1.18761917,0.00000000,0.64256964,0.29003138
-5.70585293,1.78579197,0.02440613,0.08837369,1.41409059,0.00000000,1.21432954,0.00000000,0.64874071,0.30579748
-5.69984992,1.83104013,0.02385361,0.09638123,1.43980008,0.00000000,1.23696574,0.00000000,0.65267817,0.32112919
-5.69384692,1.87058845,0.02319020,0.10439018,1.46097972,0.00000000,1.25531697,0.00000000,0.65439935,0.33583294
-5.68784392,1.90401968,0.02242872,0.11228082,1.47748116,0.00000000,1.26922816,0.00000000,0.65394735,0.34970996
-5.68184092,1.93096651,0.02158319,0.11992691,1.48919404,0.00000000,1.27859303,0.00000000,0.65138422,0.36255916
-5.67583792,1.95110850,0.02066838,0.12719874,1.49603789,0.00000000,1.28334743,0.00000000,0.64678474,0.37418067
-5.66983492,1.96417058,0.01969930,0.13396661,1.49795563,0.00000000,1.28346341,0.00000000,0.64023099,0.38438007
-5.66383192,1.96992382,0.01869075,0.14010460,1.49490923,0.00000000,1.27894450,0.00000000,0.63180806,0.39297302
-5.65782891,1.96818828,0.01765695,0.14549429,1.48687775,0.00000000,1.26982251,0.00000000,0.62160106,0.39979032
-5.65182591,1.95883805,0.01661120,0.15002859,1.47385798,0.00000000,1.25615591,0.00000000,0.60969348,0.40468306
-5.64582291,1.94180801,0.01556561,0.15361518,1.45586732,0.00000000,1.23802984,0.00000000,0.59616689,0.40752768
-5.63981991,1.91710184,0.01453096,0.15617961,1.43294882,0.00000000,1.21555761,0.00000000,0.58110187,0.40823068
