energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.00001489,0.00000004,0.00000380,0.00000159,0.00000003,0.00000305,0.00000790,0.00000656
-5.99399700,0.00002157,0.00000006,0.00000550,0.00000230,0.00000005,0.00000443,0.00001141,0.00000948
-5.98799400,0.00003103,0.00000008,0.00000790,0.00000331,0.00000007,0.00000639,0.00001638,0.00001362
-5.98199100,0.00004433,0.00000012,0.00001127,0.00000473,0.00000010,0.00000917,0.00002334,0.00001942
-5.97598799,0.00006291,0.00000017,0.00001597,0.00000672,0.00000014,0.00001306,0.00003303,0.00002752
-5.96998499,0.00008868,0.00000024,0.00002247,0.00000948,0.00000019,0.00001849,0.00004643,0.00003872
-5.96398199,0.00012418,0.00000035,0.00003140,0.00001329,0.00000027,0.00002601,0.00006482,0.00005411
-5.95797899,0.00017274,0.00000049,0.00004358,0.00001850,0.00000038,0.00003634,0.00008988,0.00007510
-5.95197599,0.00023869,0.00000069,0.00006009,0.00002559,0.00000052,0.00005047,0.00012377,0.00010354
-5.94597299,0.00032766,0.00000097,0.00008229,0.00003516,0.00000072,0.00006963,0.00016929,0.00014179
-5.93996998,0.00044685,0.00000135,0.00011194,0.00004798,0.00000098,0.00009548,0.00022999,0.00019287
-5.93396698,0.00060542,0.00000186,0.00015125,0.00006507,0.00000134,0.00013010,0.00031036,0.00026061
-5.92796398,0.00081496,0.00000255,0.00020303,0.00008766,0.00000180,0.00017619,0.00041599,0.00034979
-5.92196098,0.00108996,0.00000349,0.00027072,0.00011734,0.00000242,0.00023712,0.00055386,0.00046640
-5.91595798,0.00144842,0.00000473,0.00035861,0.00015606,0.00000322,0.00031719,0.00073252,0.00061779
-5.90995498,0.00191252,0.00000638,0.00047193,0.00020624,0.00000427,0.00042172,0.00096240,0.00081296
-5.90395198,0.00250934,0.00000855,0.00061700,0.00027082,0.00000562,0.00055732,0.00125608,0.00106281
-5.89794897,0.00327169,0.00001138,0.00080144,0.00035339,0.00000734,0.00073212,0.00162861,0.00138043
-5.89194597,0.00423897,0.00001506,0.00103429,0.00045824,0.00000954,0.00095602,0.00209784,0.00178140
-5.88594297,0.00545812,0.00001981,0.00132622,0.00059050,0.00001232,0.00124103,0.00268469,0.00228407
-5.87993997,0.00698451,0.00002589,0.00168970,0.00075621,0.00001582,0.00160157,0.00341349,0.00290986
-5.87393697,0.00888297,0.00003363,0.00213912,0.00096247,0.00002018,0.00205480,0.00431220,0.00368354
-5.86793397,0.01122864,0.00004342,0.00269096,0.00121750,0.00002560,0.00262105,0.00541266,0.00463347
-5.86193097,0.01410787,0.00005570,0.00336392,0.00153074,0.00003227,0.00332411,0.00675071,0.00579174
-5.85592796,0.01761891,0.00007101,0.00417891,0.00191295,0.00004043,0.00419167,0.00836626,0.00719434
-5.84992496,0.02187251,0.00008996,0.00515913,0.00237626,0.00005036,0.00525564,0.01030320,0.00888112
-5.84392196,0.02699225,0.00011326,0.00633001,0.00293423,0.00006235,0.00655247,0.01260922,0.01089574
-5.83791896,0.03311460,0.00014170,0.00771904,0.00360181,0.00007675,0.00812346,0.01533546,0.01328544
-5.83191596,0.04038863,0.00017616,0.00935558,0.00439536,0.00009392,0.01001493,0.01853596,0.01610062
-5.82591296,0.04897536,0.00021762,0.01127055,0.00533258,0.00011425,0.01227834,0.02226697,0.01939438
-5.81990995,0.05904659,0.00026714,0.01349603,0.00643238,0.00013819,0.01497033,0.02658598,0.02322173
-5.81390695,0.07078335,0.00032585,0.01606469,0.00771475,0.00016617,0.01815252,0.03155068,0.02763876
-5.80790395,0.08437378,0.00039494,0.01900923,0.00920052,0.00019867,0.02189127,0.03721756,0.03270157
-5.80190095,0.10001049,0.00047565,0.02236166,0.01091115,0.00023616,0.02625724,0.04364054,0.03846506
-5.79589795,0.11788748,0.00056920,0.02615251,0.01286845,0.00027912,0.03132468,0.05086925,0.04498159
-5.78989495,0.13819655,0.00067682,0.03040995,0.01509419,0.00032803,0.03717064,0.05894737,0.05229952
-5.78389195,0.16112338,0.00079967,0.03515898,0.01760986,0.00038333,0.04387395,0.06791083,0.06046178
