energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.36565272,0.00890650,0.34962822,0.16638542,0.03460892,0.84532498,0.38651079,0.43198078
-5.99399700,2.67694472,0.01008364,0.39589148,0.18608861,0.03925731,0.95656473,0.43826412,0.48811915
-5.98799400,3.00830805,0.01133764,0.44517825,0.20670910,0.04422134,1.07498057,0.49349235,0.54776273
-5.98199100,3.35736345,0.01265971,0.49714002,0.22805257,0.04946759,1.19972303,0.55181613,0.61046836
-5.97598799,3.72105787,0.01403849,0.55132750,0.24988866,0.05495231,1.32970175,0.61274146,0.67567359
-5.96998499,4.09567579,0.01546015,0.60719215,0.27195372,0.06062152,1.46358933,0.67566084,0.74269951
-5.96398199,4.47687618,0.01690852,0.66409148,0.29395523,0.06641143,1.59983442,0.73985877,0.81075814
-5.95797899,4.85975641,0.01836532,0.72129847,0.31557752,0.07224930,1.73668443,0.80452184,0.87896458
-5.95197599,5.23894304,0.01981053,0.77801496,0.33648886,0.07805479,1.87221780,0.86875348,0.94635390
-5.94597299,5.60870824,0.02122282,0.83338901,0.35634964,0.08374159,2.00438537,0.93159320,1.01190254
-5.93996998,5.96310885,0.02258012,0.88653560,0.37482147,0.08921950,2.13105999,0.99203982,1.07455356
-5.93396698,6.29614427,0.02386019,0.93656027,0.39157674,0.09439681,2.25009266,1.04907805,1.13324513
-5.92796398,6.60192733,0.02504132,0.98258476,0.40630845,0.09918287,2.35937349,1.10170756,1.18694109
-5.92196098,6.87486210,0.02610300,1.02377370,0.41873971,0.10349084,2.45689506,1.14897335,1.23466260
-5.91595798,7.10982115,0.02702664,1.05936136,0.42863274,0.10724043,2.54081565,1.18999633,1.27551947
-5.90995498,7.30231486,0.02779620,1.08867717,0.43579671,0.11036056,2.60951968,1.22400268,1.30873987
-5.90395198,7.44864519,0.02839881,1.11116900,0.44009435,0.11279180,2.66167257,1.25035078,1.33369706
-5.89794897,7.54603674,0.02882527,1.12642310,0.44144678,0.11448851,2.69626766,1.26855440,1.34993197
-5.89194597,7.59273904,0.02907049,1.13417963,0.43983646,0.11542053,2.71266284,1.27830107,1.35717051
-5.88594297,7.58809492,0.02913374,1.13434320,0.43530812,0.11557439,2.71060510,1.27946478,1.35533469
-5.87993997,7.53257163,0.02901877,1.12698775,0.42796755,0.11495391,2.69024192,1.27211223,1.34454716
-5.87393697,7.42775290,0.02873379,1.11235547,0.41797840,0.11358027,2.65211879,1.25650247,1.32512869
-5.86793397,7.27629235,0.02829129,1.09084997,0.40555701,0.11149139,2.59716290,1.23307975,1.29758885
-5.86193097,7.08182996,0.02770770,1.06302366,0.39096563,0.10874082,2.52665384,1.20246001,1.26261019
-5.85592796,6.84887568,0.02700293,1.02956029,0.37450428,0.10539605,2.44218259,1.16541148,1.22102662
-5.84992496,6.58266535,0.02619979,0.99125301,0.35650157,0.10153636,2.34560065,1.12283041,1.17379700
-5.84392196,6.28899537,0.02532330,0.94897933,0.33730493,0.09725035,2.23896171,1.07571289,1.12197511
-5.83791896,5.97404353,0.02439999,0.90367378,0.31727068,0.09263322,2.12445839,1.02512417,1.06667723
-5.83191596,5.64418376,0.02345707,0.85629958,0.29675424,0.08778389,2.00435685,0.97216656,1.00904890
-5.82591296,5.30580234,0.02252174,0.80782049,0.27610095,0.08280219,1.88093189,0.91794755,0.95023193
-5.81990995,4.96512298,0.02162039,0.75917395,0.25563779,0.07778605,1.75640527,0.86354908,0.89133329
-5.81390695,4.62804722,0.02077793,0.71124644,0.23566618,0.07282902,1.63288934,0.80999948,0.83339671
-5.80790395,4.30001548,0.02001722,0.66485203,0.21645622,0.06801797,1.51233807,0.75824863,0.77737815
-5.80190095,3.98589285,0.01935850,0.62071471,0.19824233,0.06343128,1.39650668,0.70914747,0.72412583
-5.79589795,3.68988237,0.01881906,0.57945486,0.18122033,0.05913731,1.28692096,0.66343204,0.67436512
-5.78989495,3.41546680,0.01841288,0.54158025,0.16554611,0.05519342,1.18485662,0.62171250,0.62868870
-5.78389195,3.16537887,0.01815055,0.50748138,0.15133557,0.05164536,1.09132846,0.58446709,0.58755190
-5.77788894,2.94159838,0.01803916,0.47743109,0.13866576,0.04852707,1.00708897,0.55204069,0.55127277
-5.77188594,2.74537372,0.01808237,0.45158805,0.12757720,0.04586093,0.93263533,0.52464772,0.52003674
-5.76588294,2.57726424,0.01828058,0.43000358,0.11807683,0.04365824,0.86822363,0.50237883,0.49390495
-5.75987994,2.43719974,0.01863113,0.41263123,0.11014174,0.04192008,0.81388890,0.48521053,0.47282572
-5.75387694,2.32455259,0.01912861,0.39933843,0.10372319,0.04063827,0.76946943,0.47301725,0.45664837
-5.74787394,2.23821830,0.01976516,0.38991960,0.09875085,0.03979657,0.73463402,0.46558502,0.44513850
-5.74187094,2.17670036,0.02053085,0.38411000,0.09513708,0.03937190,0.70891049,0.46262603,0.43799410
-5.73586793,2.13819561,0.02141405,0.38159964,0.09278097,0.03933560,0.69171444,0.46379349,0.43486170
-5.72986493,2.12067689,0.02240177,0.38204690,0.09157225,0.03965466,0.68237707,0.46869622,0.43535204
-5.72386193,2.12197037,0.02348003,0.38509117,0.09139475,0.04029287,0.68017117,0.47691253,0.43905462
-5.71785893,2.13982570,0.02463416,0.39036439,0.09212957,0.04121196,0.68433484,0.48800303,0.44555100
-5.71185593,2.17197768,0.02584915,0.39750099,0.09365775,0.04237244,0.69409238,0.50152223,0.45442625
-5.70585293,2.21619871,0.02710988,0.40614639,0.09586262,0.04373456,0.70867239,0.51702873,0.46527880
-5.69984992,2.27034229,0.02840140,0.41596375,0.09863177,0.04525892,0.72732302,0.53409407,0.47772827
-5.69384692,2.33237755,0.02970917,0.42663911,0.10185868,0.04690709,0.74932445,0.55231019,0.49142162
-5.68784392,2.40041589,0.03101922,0.43788510,0.10544410,0.04864212,0.77399915,0.57129572,0.50603761
-5.68184092,2.47273044,0.03231840,0.44944326,0.10929718,0.05042890,0.80071988,0.59070112,0.52128972
-5.67583792,2.54776943,0.03359453,0.46108515,0.11333640,0.05223448,0.82891607,0.61021283,0.53692778
-5.66983492,2.62416449,0.03483658,0.47261258,0.11749038,0.05402831,0.85807858,0.62955656,0.55273844
-5.66383192,2.70073475,0.03603485,0.48385703,0.12169846,0.05578247,0.88776329,0.64849979,0.56854476
-5.65782891,2.77648732,0.03718110,0.49467845,0.12591115,0.05747178,0.91759342,0.66685343,0.58420492
-5.65182591,2.85061484,0.03826869,0.50496369,0.13009046,0.05907398,0.94726083,0.68447279,0.59961036
