energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.90072343,-2.90072342,0.50638162,-0.50638162,1.92845865,-1.92845865,0.00636225,-0.00636225,0.05378166,-0.05378166,0.21272961,-0.21272961,0.42560465,-0.42560465,0.00259791,-0.00259791,0.55264290,-0.55264290
-5.99399700,2.82475206,-2.82475206,0.49833535,-0.49833535,1.86722157,-1.86722157,0.00614908,-0.00614908,0.05343477,-0.05343477,0.20584124,-0.20584124,0.41837423,-0.41837423,0.00258398,-0.00258398,0.54436030,-0.54436030
-5.98799400,2.75491492,-2.75491491,0.49059603,-0.49059603,1.81155733,-1.81155732,0.00593199,-0.00593199,0.05323671,-0.05323671,0.19911534,-0.19911534,0.41149147,-0.41149147,0.00259614,-0.00259614,0.53623593,-0.53623593
-5.98199100,2.69137394,-2.69137394,0.48323525,-0.48323525,1.76134971,-1.76134971,0.00571201,-0.00571201,0.05320060,-0.05320060,0.19263083,-0.19263083,0.40510598,-0.40510598,0.00263632,-0.00263632,0.52839816,-0.52839816
-5.97598799,2.63419000,-2.63419000,0.47630594,-0.47630594,1.71640591,-1.71640591,0.00549012,-0.00549012,0.05333960,-0.05333960,0.18645783,-0.18645783,0.39936135,-0.39936135,0.00270645,-0.00270645,0.52095798,-0.52095798
-5.96998499,2.58332644,-2.58332644,0.46984141,-0.46984141,1.67646801,-1.67646801,0.00526721,-0.00526721,0.05366656,-0.05366656,0.18065582,-0.18065582,0.39439063,-0.39439063,0.00280851,-0.00280851,0.51400505,-0.51400505
-5.96398199,2.53865582,-2.53865581,0.46385555,-0.46385555,1.64122583,-1.64122583,0.00504407,-0.00504407,0.05419367,-0.05419367,0.17527241,-0.17527241,0.39031246,-0.39031246,0.00294447,-0.00294447,0.50760486,-0.50760486
-5.95797899,2.49996941,-2.49996940,0.45834409,-0.45834409,1.61033059,-1.61033058,0.00482147,-0.00482147,0.05493223,-0.05493223,0.17034270,-0.17034270,0.38722765,-0.38722765,0.00311635,-0.00311635,0.50179716,-0.50179716
-5.95197599,2.46698904,-2.46698904,0.45328684,-0.45328684,1.58340884,-1.58340883,0.00460010,-0.00460010,0.05589237,-0.05589237,0.16588946,-0.16588946,0.38521639,-0.38521639,0.00332615,-0.00332615,0.49659551,-0.49659551
-5.94597299,2.43938068,-2.43938067,0.44865088,-0.44865088,1.56007633,-1.56007633,0.00438063,-0.00438063,0.05708289,-0.05708289,0.16192381,-0.16192381,0.38433619,-0.38433619,0.00357587,-0.00357587,0.49198804,-0.49198804
