energy_ev,total_up,B_p_up,B_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,5.51939913,0.49125611,0.00000000,1.84521427,2.58526754,0.08414143,2.26200256
-5.99399700,5.64823383,0.51962858,0.00000000,1.88326540,2.64468325,0.08708058,2.29211217
-5.98799400,5.79101760,0.54926952,0.00000000,1.92473274,2.71150102,0.09024726,2.32897805
-5.98199100,5.94713344,0.57998605,0.00000000,1.96962795,2.78539348,0.09361275,2.37258236
-5.97598799,6.11558897,0.61153896,0.00000000,2.01784690,2.86585387,0.09714045,2.42275311
-5.96998499,6.29501568,0.64364396,0.00000000,2.06916332,2.95219745,0.10078652,2.47916104
-5.96398199,6.48368180,0.67597519,0.00000000,2.12322773,3.04356885,0.10450057,2.54132116
-5.95797899,6.67951936,0.70817083,0.00000000,2.17957188,3.13895564,0.10822682,2.60859917
-5.95197599,6.88016553,0.73984093,0.00000000,2.23761900,3.23720808,0.11190536,2.68022297
-5.94597299,7.08301720,0.77057701,0.00000000,2.29669946,3.33706483,0.11547367,2.75529911
-5.93996998,7.28529736,0.79996329,0.00000000,2.35607127,3.43718382,0.11886827,2.83283362
-5.93396698,7.48413064,0.82758898,0.00000000,2.41494467,3.53617718,0.12202647,2.91175667
-5.92796398,7.67662520,0.85306107,0.00000000,2.47250949,3.63264918,0.12488818,2.99095011
-5.92196098,7.85995731,0.87601716,0.00000000,2.52796402,3.72523529,0.12739762,3.06927675
-5.91595798,8.03145493,0.89613755,0.00000000,2.58054393,3.81264090,0.12950502,3.14561016
-5.90995498,8.18867640,0.91315618,0.00000000,2.62954967,3.89367792,0.13116801,3.21886382
-5.90395198,8.32948064,0.92686968,0.00000000,2.67437099,3.96729757,0.13235289,3.28801823
-5.89794897,8.45208569,0.93714425,0.00000000,2.71450730,4.03261787,0.13303558,3.35214500
-5.89194597,8.55511294,0.94391992,0.00000000,2.74958274,4.08894477,0.13320217,3.41042689
-5.88594297,8.63761532,0.94721214,0.00000000,2.77935538,4.13578582,0.13284925,3.46217305
-5.87993997,8.69908845,0.94711042,0.00000000,2.80372005,4.17285618,0.13198378,3.50682917
-5.87393697,8.73946494,0.94377439,0.00000000,2.82270486,4.20007674,0.13062262,3.54398221
-5.86793397,8.75909264,0.93742735,0.00000000,2.83646174,4.21756492,0.12879186,3.57336000
-5.86193097,8.75869882,0.92834780,0.00000000,2.84525164,4.22561884,0.12652570,3.59482611
-5.85592796,8.73934262,0.91685928,0.00000000,2.84942556,4.22469603,0.12386525,3.60837059
-5.84992496,8.70235900,0.90331934,0.00000000,2.84940241,4.21538803,0.12085714,3.61409753
-5.84392196,8.64929752,0.88810788,0.00000000,2.84564517,4.19839261,0.11755197,3.61221047
-5.83791896,8.58185946,0.87161571,0.00000000,2.83863677,4.17448494,0.11400288,3.60299645
-5.83191596,8.50183661,0.85423375,0.00000000,2.82885699,4.14448946,0.11026404,3.58681009
-5.82591296,8.41105488,0.83634328,0.00000000,2.81676177,4.10925390,0.10638932,3.56405828
-5.81990995,8.31132525,0.81830776,0.00000000,2.80276579,4.06962651,0.10243115,3.53518655
-5.81390695,8.20440398,0.80046630,0.00000000,2.78722939,4.02643742,0.09843950,3.50066763
-5.80790395,8.09196315,0.78312902,0.00000000,2.77045019,3.98048475,0.09446115,3.46099256
-5.80190095,7.97557222,0.76657418,0.00000000,2.75265958,3.93252568,0.09053921,3.41666466
-5.79589795,7.85668989,0.75104714,0.00000000,2.73402418,3.88327212,0.08671278,3.36819614
-5.78989495,7.73666551,0.73676064,0.00000000,2.71465154,3.83339076,0.08301698,3.31610718
-5.78389195,7.61674826,0.72389642,0.00000000,2.69459977,3.78350658,0.07948300,3.26092703
-5.77788894,7.49810204,0.71260756,0.00000000,2.67388983,3.73420880,0.07613843,3.20319639
-5.77188594,7.38182360,0.70302131,0.00000000,2.65251974,3.68605833,0.07300765,3.14347049
-5.76588294,7.26896162,0.69524200,0.00000000,2.63047937,3.63959546,0.07011224,3.08232206
-5.75987994,7.16053409,0.68935367,0.00000000,2.60776484,3.59534667,0.06747145,3.02034341
-5.75387694,7.05754194,0.68542223,0.00000000,2.58439126,3.55382965,0.06510262,2.95814703
-5.74787394,6.96097706,0.68349685,0.00000000,2.56040319,3.51555560,0.06302150,2.89636397
-5.74187094,6.87182349,0.68361059,0.00000000,2.53588170,3.48102836,0.06124251,2.83563978
-5.73586793,6.79105093,0.68578010,0.00000000,2.51094789,3.45074007,0.05977882,2.77662769
-5.72986493,6.71960070,0.69000471,0.00000000,2.48576237,3.42516327,0.05864232,2.71997893
-5.72386193,6.65836444,0.69626477,0.00000000,2.46052091,3.40473984,0.05784345,2.66633059
-5.71785893,6.60815700,0.70451973,0.00000000,2.43544651,3.38986733,0.05739084,2.61629125
-5.71185593,6.56968480,0.71470600,0.00000000,2.41077848,3.38088343,0.05729097,2.57042500
-5.70585293,6.54351205,0.72673502,0.00000000,2.38675928,3.37804954,0.05754761,2.52923472
-5.69984992,6.53002677,0.74049174,0.00000000,2.36362010,3.38153461,0.05816128,2.49314531
-5.69384692,6.52940915,0.75583367,0.00000000,2.34156606,3.39140018,0.05912873,2.46248795
-5.68784392,6.54160450,0.77259094,0.00000000,2.32076226,3.40758778,0.06044242,2.43748616
-5.68184092,6.56630278,0.79056713,0.00000000,2.30132150,3.42990956,0.06209005,2.41824461
-5.67583792,6.60292646,0.80954126,0.00000000,2.28329452,3.45804296,0.06405431,2.40474144
-5.66983492,6.65062787,0.82927076,0.00000000,2.26666365,3.49152993,0.06631266,2.39682456
-5.66383192,6.70829675,0.84949530,0.00000000,2.25134001,3.52978093,0.06883736,2.39421249
-5.65782891,6.77457807,0.86994146,0.00000000,2.23716484,3.57208381,0.07159565,2.39649972
-5.65182591,6.84789955,0.89032786,0.00000000,2.22391461,3.61761733,0.07455019,2.40316661
-5.64582291,6.92650797,0.91037073,0.00000000,2.21130986,3.66546870,0.07765959,2.41359338
-5.63981991,7.00851259,0.92978952,0.00000000,2.19902713,3.71465467,0.08087920,2.42707788
-5.63381691,7.09193398,0.94831237,0.00000000,2.18671332,3.76414518,0.08416200,2.44285608
-5.62781391,7.17475610,0.96568128,0.00000000,2.17400170,3.81288867,0.08745967,2.46012467
-5.62181091,7.25497944,0.98165673,0.00000000,2.16052863,3.85983818,0.09072368,2.47806468
-5.61580790,7.33067314,0.99602173,0.00000000,2.14595003,3.90397717,0.09390642,2.49586518
-5.60980490,7.40002409,1.00858512,0.00000000,2.12995685,3.94434423,0.09696239,2.51274605
