energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.72634182,0.35065525,2.18776210,0.03275965,0.01144893,0.04976158,0.34191673,0.28786888,0.07446853
-5.99399700,2.80455597,0.35574668,2.25123449,0.03298619,0.01166878,0.05233641,0.35510304,0.29171751,0.07466453
-5.98799400,2.88318503,0.36193622,2.31438314,0.03336488,0.01190321,0.05502329,0.36844877,0.29640496,0.07500782
-5.98199100,2.96152928,0.36929712,2.37658619,0.03389058,0.01215589,0.05779706,0.38183022,0.30190133,0.07552786
-5.97598799,3.03879472,0.37789250,2.43714985,0.03455226,0.01243043,0.06062843,0.39511596,0.30814467,0.07625117
-5.96998499,3.11412103,0.38777843,2.49533101,0.03533334,0.01273028,0.06348466,0.40817190,0.31504351,0.07720113
-5.96398199,3.18661337,0.39900733,2.55036289,0.03621220,0.01305870,0.06633057,0.42086669,0.32248051,0.07839784
-5.95797899,3.25537640,0.41163157,2.60148254,0.03716287,0.01341866,0.06912944,0.43307709,0.33031712,0.07985810
-5.95197599,3.31954898,0.42570672,2.64795896,0.03815596,0.01381276,0.07184421,0.44469311,0.33839908,0.08159537
-5.94597299,3.37833763,0.44129432,2.68912028,0.03915961,0.01424315,0.07443858,0.45562262,0.34656240,0.08361977
-5.93996998,3.43104725,0.45846390,2.72437894,0.04014060,0.01471139,0.07687808,0.46579516,0.35463976,0.08593802
-5.93396698,3.47710759,0.47729383,2.75325356,0.04106549,0.01521839,0.07913120,0.47516490,0.36246689,0.08855344
-5.92796398,3.51609426,0.49787106,2.77538654,0.04190176,0.01576424,0.08117033,0.48371233,0.36988874,0.09146580
-5.92196098,3.54774325,0.52028941,2.79055668,0.04261894,0.01634810,0.08297256,0.49144491,0.37676514,0.09467121
-5.91595798,3.57195858,0.54464662,2.79868630,0.04318960,0.01696815,0.08452035,0.49839639,0.38297578,0.09816188
-5.90995498,3.58881265,0.57103995,2.79984268,0.04359029,0.01762141,0.08580200,0.50462496,0.38842424,0.10192594
-5.90395198,3.59853968,0.59956073,2.79423392,0.04380226,0.01830373,0.08681184,0.51021029,0.39304088,0.10594723
-5.89794897,3.60152262,0.63028788,2.78219955,0.04381205,0.01900971,0.08755029,0.51524961,0.39678460,0.11020506
-5.89194597,3.59827443,0.66328084,2.76419661,0.04361184,0.01973274,0.08802363,0.51985307,0.39964323,0.11467414
-5.88594297,3.58941485,0.69857221,2.74078181,0.04319958,0.02046501,0.08824358,0.52413849,0.40163280,0.11932453
-5.87993997,3.57564392,0.73616052,2.71259092,0.04257894,0.02119762,0.08822671,0.52822601,0.40279547,0.12412172
-5.87393697,3.55771361,0.77600353,2.68031633,0.04175902,0.02192070,0.08799367,0.53223256,0.40319653,0.12902691
-5.86793397,3.53639900,0.81801255,2.64468377,0.04075385,0.02262367,0.08756834,0.53626676,0.40292042,0.13399746
-5.86193097,3.51247036,0.86204815,2.60642931,0.03958178,0.02329542,0.08697684,0.54042430,0.40206615,0.13898749
-5.85592796,3.48666731,0.90791754,2.56627755,0.03826472,0.02392465,0.08624657,0.54478398,0.40074225,0.14394866
-5.84992496,3.45967606,0.95537400,2.52492169,0.03682725,0.02450015,0.08540523,0.54940477,0.39906160,0.14883118
-5.84392196,3.43211056,1.00411843,2.48300627,0.03529573,0.02501120,0.08447988,0.55432379,0.39713636,0.15358489
-5.83791896,3.40449802,1.05380315,2.44111283,0.03369736,0.02544786,0.08349610,0.55955536,0.39507325,0.15816038
-5.83191596,3.37726913,1.10403778,2.39974904,0.03205935,0.02580136,0.08247730,0.56509116,0.39296936,0.16251030
-5.82591296,3.35075282,1.15439715,2.35934102,0.03040804,0.02606437,0.08144407,0.57090132,0.39090883,0.16659044
-5.81990995,3.32517545,1.20443079,2.32022914,0.02876823,0.02623131,0.08041381,0.57693640,0.38896027,0.17036093
-5.81390695,3.30066386,1.25367370,2.28266679,0.02716255,0.02629853,0.07940043,0.58313012,0.38717518,0.17378716
-5.80790395,3.27725182,1.30165785,2.24682206,0.02561104,0.02626450,0.07841425,0.58940259,0.38558733,0.17684053
-5.80190095,3.25488899,1.34792390,2.21278167,0.02413085,0.02612984,0.07746203,0.59566381,0.38421305,0.17949904
-5.79589795,3.23345188,1.39203256,2.18055699,0.02273600,0.02589733,0.07654715,0.60181739,0.38305228,0.18174755
-5.78989495,3.21275580,1.43357515,2.15009149,0.02143743,0.02557184,0.07566986,0.60776404,0.38209034,0.18357778
-5.78389195,3.19256739,1.47218264,2.12126930,0.02024304,0.02516011,0.07482768,0.61340489,0.38130017,0.18498807
-5.77788894,3.17261692,1.50753305,2.09392441,0.01915788,0.02467059,0.07401583,0.61864429,0.38064487,0.18598285
-5.77188594,3.15260997,1.53935669,2.06785026,0.01818437,0.02411310,0.07322767,0.62339211,0.38008040,0.18657191
-5.76588294,3.13223803,1.56743913,2.04280923,0.01732267,0.02349851,0.07245518,0.62756542,0.37955814,0.18676957
-5.75987994,3.11118797,1.59162187,2.01854198,0.01657092,0.02283840,0.07168943,0.63108953,0.37902728,0.18659359
-5.75387694,3.08914998,1.61180081,1.99477636,0.01592563,0.02214468,0.07092098,0.63389839,0.37843684,0.18606417
-5.74787394,3.06582431,1.62792268,1.97123575,0.01538194,0.02142923,0.07014032,0.63593450,0.37773723,0.18520289
-5.74187094,3.04092667,1.63997985,1.94764672,0.01493393,0.02070358,0.06933812,0.63714832,0.37688130,0.18403172
-5.73586793,3.01419255,1.64800389,1.92374606,0.01457484,0.01997863,0.06850552,0.63749738,0.37582494,0.18257215
-5.72986493,2.98538081,1.65205845,1.89928711,0.01429724,0.01926437,0.06763435,0.63694516,0.37452719,0.18084451
-5.72386193,2.95427662,1.65223182,1.87404538,0.01409320,0.01856976,0.06671724,0.63546000,0.37294998,0.17886747
-5.71785893,2.92069413,1.64862988,1.84782351,0.01395440,0.01790254,0.06574771,0.63301407,0.37105757,0.17665769
-5.71185593,2.88447909,1.64136974,1.82045570,0.01387218,0.01726922,0.06472019,0.62958255,0.36881589,0.17422980
-5.70585293,2.84551165,1.63057464,1.79181151,0.01383761,0.01667505,0.06363006,0.62514319,0.36619184,0.17159648
