energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,0.80925674,0.38605580,0.00509810,0.34946354,0.39171508,0.00132089,0.08238448
-5.99399700,0.82747715,0.39193006,0.00501339,0.36115296,0.39875079,0.00125743,0.09370678
-5.98799400,0.85329664,0.40126302,0.00496385,0.37638764,0.40930460,0.00120040,0.10641396
-5.98199100,0.88698609,0.41420365,0.00495243,0.39525536,0.42352441,0.00115078,0.12047306
-5.97598799,0.92860636,0.43080254,0.00498084,0.41775029,0.44145708,0.00110928,0.13582380
-5.96998499,0.97799171,0.45100464,0.00504949,0.44376526,0.46304072,0.00107635,0.15237530
-5.96398199,1.03474020,0.47464511,0.00515748,0.47308699,0.48810034,0.00105213,0.17000375
-5.95797899,1.09821150,0.50144880,0.00530256,0.50539477,0.51634694,0.00103646,0.18855117
-5.95197599,1.16753296,0.53103327,0.00548124,0.54026288,0.54738060,0.00102894,0.20782543
-5.94597299,1.24161392,0.56291570,0.00568884,0.57716673,0.58069741,0.00102891,0.22760175
-5.93996998,1.31916827,0.59652344,0.00591965,0.61549300,0.61570026,0.00103546,0.24762572
-5.93396698,1.39874476,0.63120807,0.00616706,0.65455331,0.65171327,0.00104753,0.26761772
-5.92796398,1.47876450,0.66626255,0.00642380,0.69360137,0.68799958,0.00106390,0.28727884
-5.92196098,1.55756422,0.70094097,0.00668211,0.73185291,0.72378181,0.00108324,0.30629806
-5.91595798,1.63344411,0.73448027,0.00693403,0.76850782,0.75826458,0.00110418,0.32436043
-5.90995498,1.70471844,0.76612303,0.00717162,0.80277379,0.79065842,0.00112531,0.34115595
-5.90395198,1.76976701,0.79514067,0.00738721,0.83389032,0.82020390,0.00114527,0.35638880
-5.89794897,1.82708538,0.82085591,0.00757361,0.86115238,0.84619527,0.00116279,0.36978659
-5.89194597,1.87533191,0.84266377,0.00772442,0.88393262,0.86800259,0.00117668,0.38110901
-5.88594297,1.91336951,0.86005010,0.00783411,0.90170116,0.88509126,0.00118593,0.39015569
