energy_ev,total_up,Ag_p_up,Ag_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,5.22788441,0.16906061,4.33972152,0.14759669,0.28188360,0.12581644,0.00015000
-5.99399700,5.20496253,0.16671946,4.31117454,0.15905080,0.27981522,0.13099919,0.00014905
-5.98799400,5.18413495,0.16515942,4.28300085,0.17138336,0.27773505,0.13694060,0.00014808
-5.98199100,5.16708629,0.16445024,4.25668703,0.18454564,0.27573951,0.14367833,0.00014716
-5.97598799,5.15539911,0.16464724,4.23365968,0.19846580,0.27391919,0.15124088,0.00014636
-5.96998499,5.15051501,0.16579096,4.21525362,0.21304827,0.27235497,0.15964689,0.00014575
-5.96398199,5.15370414,0.16790726,4.20268600,0.22817411,0.27111465,0.16890509,0.00014539
-5.95797899,5.16604441,0.17100822,4.19703756,0.24370227,0.27025015,0.17901470,0.00014535
-5.95197599,5.18841177,0.17509341,4.19924184,0.25947187,0.26979554,0.18996645,0.00014567
-5.94597299,5.22148201,0.18015187,4.21008316,0.27530541,0.26976594,0.20174430,0.00014642
-5.93996998,5.26574437,0.18616453,4.23020341,0.29101282,0.27015738,0.21432750,0.00014764
-5.93396698,5.32152618,0.19310699,4.26011726,0.30639622,0.27094752,0.22769334,0.00014938
-5.92796398,5.38902745,0.20095269,4.30023513,0.32125525,0.27209737,0.24181998,0.00015166
-5.92196098,5.46836332,0.20967621,4.35089241,0.33539267,0.27355381,0.25668969,0.00015455
-5.91595798,5.55961202,0.21925663,4.41238317,0.34862014,0.27525275,0.27229189,0.00015806
-5.90995498,5.66286529,0.22968079,4.48499611,0.36076373,0.27712294,0.28862609,0.00016226
-5.90395198,5.77827791,0.24094623,4.56905036,0.37166918,0.27908995,0.30570430,0.00016718
-5.89794897,5.90611294,0.25306368,4.66492842,0.38120639,0.28108034,0.32355283,0.00017289
-5.89194597,6.04677928,0.26605896,4.77310367,0.38927323,0.28302574,0.34221321,0.00017945
-5.88594297,6.20085838,0.27997409,4.89416012,0.39579829,0.28486653,0.36174204,0.00018694
-5.87993997,6.36911765,0.29486745,5.02880235,0.40074253,0.28655499,0.38220971,0.00019543
-5.87393697,6.55250849,0.31081296,5.17785413,0.40409989,0.28805777,0.40369785,0.00020502
-5.86793397,6.75214805,0.32789824,5.34224485,0.40589655,0.28935754,0.42629560,0.00021582
-5.86193097,6.96928454,0.34622160,5.52298359,0.40618928,0.29045369,0.45009460,0.00022793
-5.85592796,7.20524691,0.36588813,5.72112150,0.40506269,0.29136216,0.47518312,0.00024147
-5.84992496,7.46138082,0.38700469,5.93770371,0.40262558,0.29211428,0.50163922,0.00025655
-5.84392196,7.73897372,0.40967427,6.17371287,0.39900665,0.29275489,0.52952354,0.00027329
-5.83791896,8.03917220,0.43398970,6.43000690,0.39434975,0.29333964,0.55887187,0.00029178
-5.83191596,8.36289604,0.46002698,6.70725393,0.38880877,0.29393184,0.58968788,0.00031211
-5.82591296,8.71075294,0.48783864,7.00586776,0.38254250,0.29459886,0.62193654,0.00033437
-5.81990995,9.08295863,0.51744729,7.32594717,0.37570965,0.29540841,0.65553849,0.00035860
-5.81390695,9.47926646,0.54883971,7.66722236,0.36846416,0.29642474,0.69036571,0.00038483
-5.80790395,9.89891039,0.58196178,8.02901145,0.36095097,0.29770519,0.72623897,0.00041305
-5.80190095,10.34056465,0.61671461,8.41018952,0.35330241,0.29929692,0.76292703,0.00044322
-5.79589795,10.80232245,0.65295198,8.80917214,0.34563527,0.30123429,0.80014800,0.00047526
-5.78989495,11.28169543,0.69047935,9.22391466,0.33804865,0.30353679,0.83757281,0.00050905
-5.78389195,11.77563438,0.72905461,9.65192767,0.33062255,0.30620759,0.87483072,0.00054444
-5.77788894,12.28057090,0.76839059,10.09030861,0.32341720,0.30923295,0.91151680,0.00058121
-5.77188594,12.79247871,0.80815928,10.53578845,0.31647319,0.31258217,0.94720106,0.00061915
-5.76588294,13.30695263,0.84799785,10.98479200,0.30981223,0.31620837,0.98143905,0.00065798
-5.75987994,13.81930219,0.88751609,11.43350987,0.30343848,0.32004985,1.01378337,0.00069740
-5.75387694,14.32465692,0.92630520,11.87797945,0.29734050,0.32403194,1.04379582,0.00073708
-5.74787394,14.81807932,0.96394759,12.31417243,0.29149347,0.32806946,1.07105953,0.00077667
-5.74187094,15.29468188,1.00002747,12.73808570,0.28586183,0.33206941,1.09519093,0.00081584
-5.73586793,15.74974433,1.03414171,13.14583308,0.28040211,0.33593396,1.11585066,0.00085420
-5.72986493,16.17882735,1.06591075,13.53373492,0.27506581,0.33956367,1.13275354,0.00089140
-5.72386193,16.57787947,1.09498910,13.89840301,0.26980236,0.34286063,1.14567678,0.00092710
-5.71785893,16.94333421,1.12107522,14.23681865,0.26456196,0.34573170,1.15446647,0.00096096
-5.71185593,17.27219491,1.14392019,14.54640182,0.25929826,0.34809146,1.15904206,0.00099268
-5.70585293,17.56210531,1.16333527,14.82506996,0.25397078,0.34986509,1.15939868,0.00102200
-5.69984992,17.81140435,1.17919773,15.07128497,0.24854705,0.35099083,1.15560731,0.00104867
-5.69384692,18.01916431,1.19145502,15.28408776,0.24300431,0.35142220,1.14781296,0.00107252
-5.68784392,18.18521170,1.20012711,15.46311965,0.23733093,0.35112968,1.13623076,0.00109341
-5.68184092,18.31013076,1.20530683,15.60863043,0.23152726,0.35010201,1.12114038,0.00111126
-5.67583792,18.39525006,1.20715832,15.72147308,0.22560611,0.34834693,1.10287890,0.00112602
-5.66983492,18.44261241,1.20591358,15.80308540,0.21959276,0.34589142,1.08183239,0.00113774
-5.66383192,18.45492938,1.20186720,15.85545903,0.21352452,0.34278136,1.05842652,0.00114648
-5.65782891,18.43552118,1.19536939,15.88109643,0.20744994,0.33908063,1.03311654,0.00115238
-5.65182591,18.38824338,1.18681749,15.88295686,0.20142755,0.33486971,1.00637680,0.00115561
-5.64582291,18.31740208,1.17664625,15.86439219,0.19552435,0.33024371,0.97869021,0.00115640
-5.63981991,18.22765908,1.16531691,15.82907393,0.18981402,0.32530998,0.95053778,0.00115502
-5.63381691,18.12392932,1.15330556,15.78091286,0.18437493,0.32018529,0.92238864,0.00115175
-5.62781391,18.01127241,1.14109099,15.72397306,0.17928795,0.31499269,0.89469054,0.00114691
-5.62181091,17.89478097,1.12914230,15.66238197,0.17463421,0.30985816,0.86786124,0.00114084
-5.61580790,17.77946810,1.11790664,15.60023881,0.17049289,0.30490714,0.84228072,0.00113389
-5.60980490,17.67015687,1.10779754,15.54152341,0.16693893,0.30026100,0.81828465,0.00112640
-5.60380190,17.57137443,1.09918399,15.49000782,0.16404094,0.29603372,0.79615885,0.00111872
-5.59779890,17.48725362,1.09238074,15.44917295,0.16185915,0.29232872,0.77613525,0.00111116
-5.59179590,17.42144476,1.08764019,15.42213274,0.16044359,0.28923605,0.75838909,0.00110403
-5.58579290,17.37703998,1.08514604,15.41156768,0.15983246,0.28683004,0.74303756,0.00109762
-5.57978989,17.35651231,1.08500907,15.41966983,0.16005073,0.28516744,0.73013987,0.00109215
-5.57378689,17.36167121,1.08726518,15.44810069,0.16110901,0.28428618,0.71969878,0.00108785
-5.56778389,17.39363553,1.09187578,15.49796306,0.16300271,0.28420472,0.71166333,0.00108489
-5.56178089,17.45282474,1.09873055,15.56978756,0.16571148,0.28492203,0.70593295,0.00108339
-5.55577789,17.53896796,1.10765255,15.66353367,0.16919899,0.28641818,0.70236266,0.00108346
-5.54977489,17.65113030,1.11840537,15.77860507,0.17341305,0.28865554,0.70076909,0.00108516
-5.54377189,17.78775490,1.13070209,15.91387806,0.17828607,0.29158043,0.70093741,0.00108850
-5.53776888,17.94671879,1.14421572,16.06774169,0.18373585,0.29512526,0.70262854,0.00109348
-5.53176588,18.12540018,1.15859057,16.23814787,0.18966680,0.29921093,0.70558677,0.00110007
-5.52576288,18.32075443,1.17345417,16.42266918,0.19597142,0.30374948,0.70954718,0.00110822
-5.51975988,18.52939582,1.18842913,16.61856242,0.20253226,0.30864691,0.71424288,0.00111785
-5.51375688,18.74768236,1.20314448,16.82283553,0.20922407,0.31380588,0.71941161,0.00112887
-5.50775388,18.97180087,1.21724604,17.03231590,0.21591634,0.31912843,0.72480167,0.00114119
-5.50175088,19.19785009,1.23040544,17.24371823,0.22247603,0.32451849,0.73017679,0.00115472
-5.49574787,19.42191979,1.24232736,17.45371042,0.22877054,0.32988408,0.73532011,0.00116933
-5.48974487,19.64016449,1.25275500,17.65897639,0.23467067,0.33513931,0.74003690,0.00118494
-5.48374187,19.84887084,1.26147347,17.85627498,0.24005379,0.34020599,0.74415630,0.00120144
-5.47773887,20.04451824,1.26831137,18.04249467,0.24480672,0.34501488,0.74753191,0.00121872
-5.47173587,20.22383266,1.27314048,18.21470391,0.24882856,0.34950664,0.75004153,0.00123670
-5.46573287,20.38383399,1.27587396,18.37019716,0.25203323,0.35363247,0.75158604,0.00125528
-5.45972986,20.52187746,1.27646335,18.50653704,0.25435156,0.35735436,0.75208775,0.00127439
-5.45372686,20.63568960,1.27489469,18.62159259,0.25573300,0.36064523,0.75148836,0.00129393
-5.44772386,20.72339943,1.27118413,18.71357390,0.25614671,0.36348869,0.74974672,0.00131385
-5.44172086,20.78356506,1.26537348,18.78106311,0.25558216,0.36587876,0.74683659,0.00133407
-5.43571786,20.81519579,1.25752596,18.82304128,0.25404902,0.36781935,0.74274467,0.00135455
-5.42971486,20.81776944,1.24772245,18.83891073,0.25157654,0.36932363,0.73746886,0.00137524
-5.42371186,20.79124433,1.23605835,18.82851187,0.24821232,0.37041341,0.73101695,0.00139610
-5.41770885,20.73606485,1.22264132,18.79213347,0.24402056,0.37111829,0.72340582,0.00141713
-5.41170585,20.65315971,1.20758969,18.73051517,0.23907990,0.37147488,0.71466098,0.00143832
-5.40570285,20.54393143,1.19103170,18.64484098,0.23348095,0.37152584,0.70481654,0.00145968
-5.39969985,20.41023599,1.17310516,18.53672261,0.22732352,0.37131903,0.69391550,0.00148123
-5.39369685,20.25435165,1.15395763,18.40817179,0.22071391,0.37090641,0.68201015,0.00150300
-5.38769385,20.07893629,1.13374660,18.26156107,0.21376204,0.37034306,0.66916253,0.00152505
-5.38169085,19.88697311,1.11263965,18.09957311,0.20657889,0.36968607,0.65544478,0.00154743
-5.37568784,19.68170515,1.09081424,17.92513909,0.19927405,0.36899343,0.64093926,0.00157020
-5.36968484,19.46655977,1.06845698,17.74136730,0.19195364,0.36832287,0.62573833,0.00159340
-5.36368184,19.24506485,1.04576222,17.55146404,0.18471860,0.36773080,0.60994363,0.00161708
-5.35767884,19.02075910,1.02292998,17.35864894,0.17766337,0.36727119,0.59366498,0.00164127
-5.35167584,18.79709943,1.00016301,17.16606781,0.17087498,0.36699454,0.57701870,0.00166597
-5.34567284,18.57736883,0.97766329,16.97670617,0.16443256,0.36694698,0.56012557,0.00169116
-5.33966983,18.36458824,0.95562790,16.79330698,0.15840717,0.36716947,0.54310831,0.00171676
-5.33366683,18.16143602,0.93424458,16.61829576,0.15286198,0.36769714,0.52608885,0.00174268
-5.32766383,17.97017863,0.91368714,16.45371654,0.14785266,0.36855883,0.50918543,0.00176876
-5.32166083,17.79261530,0.89411095,16.30118132,0.14342798,0.36977682,0.49250970,0.00179481
-5.31565783,17.63003946,0.87564885,16.16183522,0.13963048,0.37136675,0.47616393,0.00182057
-5.30965483,17.48321842,0.85840764,16.03633897,0.13649724,0.37333773,0.46023860,0.00184576
-5.30365183,17.35239242,0.84246536,15.92486937,0.13406053,0.37569262,0.44481030,0.00187006
-5.29764882,17.23729291,0.82786959,15.82713770,0.13234848,0.37842855,0.42994027,0.00189308
-5.29164582,17.13717926,0.81463683,15.74242501,0.13138558,0.38153746,0.41567349,0.00191446
-5.28564282,17.05089206,0.80275298,15.66963267,0.13119308,0.38500684,0.40203847,0.00193379
