energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,3.52268780,0.00989306,0.18055668,0.01471781,2.37395889,1.47528953,0.51262403,0.80683593,0.56285397
-5.99399700,3.54581280,0.00983120,0.17823955,0.01504544,2.39373644,1.48536399,0.51913187,0.82360712,0.56253215
-5.98799400,3.55928952,0.00971568,0.17518817,0.01536301,2.40707282,1.49083333,0.52441084,0.83891179,0.56015119
-5.98199100,3.56294192,0.00955169,0.17142677,0.01566733,2.41382904,1.49168110,0.52838459,0.85260358,0.55575075
-5.97598799,3.55674221,0.00934578,0.16699523,0.01595545,2.41396099,1.48796586,0.53099218,0.86455046,0.54940380
-5.96998499,3.54080731,0.00910575,0.16194794,0.01622467,2.40751755,1.47981771,0.53218935,0.87463770,0.54121362
-5.96398199,3.51539399,0.00884052,0.15635207,0.01647269,2.39463811,1.46743386,0.53194984,0.88277144,0.53131020
-5.95797899,3.48089337,0.00855984,0.15028567,0.01669770,2.37555003,1.45107367,0.53026662,0.88888291,0.51984638
-5.95197599,3.43782555,0.00827420,0.14383539,0.01689854,2.35056627,1.43105345,0.52715326,0.89293308,0.50699383
-5.94597299,3.38683448,0.00799449,0.13709419,0.01707479,2.32008342,1.40774129,0.52264510,0.89491774,0.49293924
-5.93996998,3.32868315,0.00773183,0.13015891,0.01722696,2.28457997,1.38155193,0.51680045,0.89487239,0.47788061
-5.93396698,3.26424879,0.00749732,0.12312803,0.01735658,2.24461455,1.35294163,0.50970150,0.89287690,0.46202396
-5.92796398,3.19451747,0.00730177,0.11609942,0.01746633,2.20082369,1.32240296,0.50145487,0.88905923,0.44558026
-5.92196098,3.12057721,0.00715550,0.10916838,0.01756013,2.15391839,1.29045926,0.49219168,0.88359789,0.42876274
-5.91595798,3.04360893,0.00706808,0.10242587,0.01764310,2.10467888,1.25765837,0.48206688,0.87672261,0.41178450
-5.90995498,2.96487403,0.00704817,0.09595697,0.01772159,2.05394687,1.22456549,0.47125783,0.86871293,0.39485617
-5.90395198,2.88569808,0.00710323,0.08983967,0.01780301,2.00261476,1.19175479,0.45996186,0.85989425,0.37818372
-5.89794897,2.80744978,0.00723943,0.08414380,0.01789572,1.95161133,1.15979967,0.44839286,0.85063140,0.36196629
-5.89194597,2.73151522,0.00746140,0.07893027,0.01800870,1.90188372,1.12926150,0.43677688,0.84131946,0.34639377
-5.88594297,2.65926730,0.00777213,0.07425049,0.01815131,1.85437600,1.10067712,0.42534664,0.83237220,0.33164433
-5.87993997,2.59203103,0.00817283,0.07014599,0.01833283,1.81000444,1.07454505,0.41433537,0.82420836,0.31788176
-5.87393697,2.53104556,0.00866284,0.06664812,0.01856211,1.76963048,1.05131111,0.40396980,0.81723628,0.30525257
-5.86793397,2.47742445,0.00923955,0.06377802,0.01884706,1.73403230,1.03135375,0.39446293,0.81183750,0.29388304
-5.86193097,2.43211571,0.00989840,0.06154654,0.01919419,1.70387606,1.01496993,0.38600657,0.80835015,0.28387633
-5.85592796,2.39586366,0.01063285,0.05995442,0.01960823,1.67968858,1.00236218,0.37876416,0.80705286,0.27530961
-5.84992496,2.36917453,0.01143448,0.05899247,0.02009164,1.66183249,0.99362759,0.37286421,0.80814999,0.26823160
