energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.50722733,1.42434788,0.39416216,0.98074559,0.73239425,0.00103359,0.50686865,1.12768037,0.00000000
-5.99399700,2.56973950,1.47677057,0.40985650,1.01233222,0.75040288,0.00107277,0.51693832,1.16349838,0.00000000
-5.98799400,2.63249718,1.52886174,0.42563316,1.04574337,0.76800303,0.00111290,0.52641622,1.19928482,0.00000000
-5.98199100,2.69453284,1.57994022,0.44139103,1.08036291,0.78488480,0.00115457,0.53514833,1.23452166,0.00000000
-5.97598799,2.75491855,1.62934059,0.45704362,1.11555225,0.80075783,0.00119871,0.54300008,1.26870963,0.00000000
-5.96998499,2.81279762,1.67643392,0.47252095,1.15067061,0.81536051,0.00124651,0.54986187,1.30138384,0.00000000
-5.96398199,2.86741263,1.72064768,0.48777039,1.18509562,0.82846790,0.00129950,0.55565353,1.33212819,0.00000000
-5.95797899,2.91812862,1.76148405,0.50275629,1.21824323,0.83989803,0.00135952,0.56032729,1.36058796,0.00000000
-5.95197599,2.96445062,1.79853583,0.51745861,1.24958645,0.84951651,0.00142871,0.56386933,1.38648009,0.00000000
-5.94597299,3.00603494,1.83149961,0.53187037,1.27867184,0.85723909,0.00150952,0.56629972,1.40960097,0.00000000
-5.93996998,3.04269393,1.86018541,0.54599436,1.30513341,0.86303229,0.00160465,0.56767076,1.42983129,0.00000000
-5.93396698,3.07439409,1.88452256,0.55983915,1.32870307,0.86691219,0.00171698,0.56806393,1.44713795,0.00000000
-5.92796398,3.10124809,1.90456150,0.57341461,1.34921733,0.86894123,0.00184957,0.56758555,1.46157283,0.00000000
-5.92196098,3.12350089,1.92047135,0.58672740,1.36661984,0.86922362,0.00200551,0.56636137,1.47326869,0.00000000
-5.91595798,3.14151107,1.93253327,0.59977661,1.38095962,0.86789917,0.00218784,0.56453047,1.48243212,0.00000000
-5.90995498,3.15572804,1.94112969,0.61254971,1.39238509,0.86513623,0.00239948,0.56223863,1.48933398,0.00000000
-5.90395198,3.16666633,1.94672987,0.62501936,1.40113392,0.86112376,0.00264307,0.55963171,1.49429754,0.00000000
-5.89794897,3.17487812,1.94987201,0.63714092,1.40751924,0.85606314,0.00292086,0.55684916,1.49768475,0.00000000
-5.89194597,3.18092519,1.95114268,0.64885115,1.41191271,0.85015979,0.00323460,0.55401810,1.49988121,0.00000000
-5.88594297,3.18535142,1.95115415,0.66006796,1.41472518,0.84361526,0.00358537,0.55124825,1.50128016,0.00000000
-5.87993997,3.18865705,1.95052050,0.67069130,1.41638582,0.83661977,0.00397352,0.54862786,1.50226632,0.00000000
-5.87393697,3.19127565,1.94983328,0.68060527,1.41732054,0.82934578,0.00439852,0.54622091,1.50319990,0.00000000
-5.86793397,3.19355479,1.94963772,0.68968107,1.41793086,0.82194260,0.00485888,0.54406563,1.50440152,0.00000000
-5.86193097,3.19574099,1.95041041,0.69778100,1.41857411,0.81453238,0.00535212,0.54217443,1.50613858,0.00000000
-5.85592796,3.19796955,1.95253928,0.70476294,1.41954590,0.80720745,0.00587468,0.54053518,1.50861352,0.00000000
-5.84992496,3.20025964,1.95630677,0.71048533,1.42106575,0.80002915,0.00642195,0.53911373,1.51195459,0.00000000
-5.84392196,3.20251462,1.96187684,0.71481235,1.42326654,0.79302815,0.00698829,0.53785762,1.51620932,0.00000000
-5.83791896,3.20452751,1.96928657,0.71761893,1.42618833,0.78620604,0.00756712,0.53670056,1.52134117,0.00000000
-5.83191596,3.20599131,1.97844249,0.71879555,1.42977682,0.77953823,0.00815098,0.53556761,1.52722938,0.00000000
-5.82591296,3.20651361,1.98912222,0.71825245,1.43388657,0.77297784,0.00873174,0.53438065,1.53367221,0.00000000
-5.81990995,3.20563477,2.00098108,0.71592318,1.43828880,0.76646032,0.00930070,0.53306390,1.54039340,0.00000000
-5.81390695,3.20284889,2.01356376,0.71176736,1.44268336,0.75990871,0.00984888,0.53154907,1.54705169,0.00000000
-5.80790395,3.19762654,2.02632050,0.70577242,1.44671437,0.75323905,0.01036718,0.52978000,1.55325307,0.00000000
-5.80190095,3.18943837,2.03862725,0.69795457,1.44998863,0.74636578,0.01084668,0.52771641,1.55856530,0.00000000
-5.79589795,3.17777856,2.04980891,0.68835869,1.45209601,0.73920692,0.01127882,0.52533658,1.56253413,0.00000000
-5.78989495,3.16218705,2.05916497,0.67705745,1.45263071,0.73168860,0.01165575,0.52263886,1.56470071,0.00000000
-5.78389195,3.14226985,2.06599626,0.66414957,1.45121247,0.72374904,0.01197045,0.51964189,1.56461932,0.00000000
-5.77788894,3.11771640,2.06963191,0.64975749,1.44750663,0.71534152,0.01221702,0.51638356,1.56187486,0.00000000
-5.77188594,3.08831366,2.06945541,0.63402439,1.44124204,0.70643651,0.01239085,0.51291878,1.55609940,0.00000000
-5.76588294,3.05395609,2.06492861,0.61711092,1.43222618,0.69702277,0.01248872,0.50931616,1.54698699,0.00000000
-5.75987994,3.01465165,2.05561288,0.59919157,1.42035657,0.68710753,0.01250893,0.50565397,1.53430634,0.00000000
-5.75387694,2.97052335,2.04118651,0.58045100,1.40562815,0.67671571,0.01245131,0.50201542,1.51791073,0.00000000
-5.74787394,2.92180679,2.02145764,0.56108029,1.38813630,0.66588846,0.01231728,0.49848377,1.49774478,0.00000000
-5.74187094,2.86884372,1.99637244,0.54127334,1.36807539,0.65468097,0.01210972,0.49513738,1.47384798,0.00000000
-5.73586793,2.81207221,1.96601826,0.52122338,1.34573313,0.64315990,0.01183292,0.49204517,1.44635472,0.00000000
-5.72986493,2.75201389,1.93062159,0.50111985,1.32148089,0.63140048,0.01149240,0.48926266,1.41549103,0.00000000
-5.72386193,2.68925899,1.89054136,0.48114542,1.29576070,0.61948348,0.01109477,0.48682884,1.38156812,0.00000000
-5.71785893,2.62444982,1.84625768,0.46147347,1.26906944,0.60749232,0.01064748,0.48476407,1.34497310,0.00000000
-5.71185593,2.55826343,1.79835689,0.44226584,1.24194106,0.59551027,0.01015867,0.48306908,1.30615739,0.00000000
-5.70585293,2.49139407,1.74751338,0.42367093,1.21492765,0.58361808,0.00963683,0.48172512,1.26562323,0.00000000
-5.69984992,2.42453626,1.69446926,0.40582219,1.18858007,0.57189192,0.00909068,0.48069519,1.22390895,0.00000000
-5.69384692,2.35836879,1.64001251,0.38883684,1.16342913,0.56040181,0.00852887,0.47992629,1.18157358,0.00000000
-5.68784392,2.29354023,1.58495456,0.37281503,1.13996790,0.54921054,0.00795983,0.47935244,1.13918142,0.00000000
-5.68184092,2.23065628,1.53010817,0.35783924,1.11863590,0.53837300,0.00739155,0.47889830,1.09728705,0.00000000
-5.67583792,2.17026911,1.47626619,0.34397399,1.09980563,0.52793597,0.00683144,0.47848315,1.05642141,0.00000000
-5.66983492,2.11286880,1.42418192,0.33126582,1.08377184,0.51793823,0.00628622,0.47802494,1.01707923,0.00000000
-5.66383192,2.05887695,1.37455151,0.31974359,1.07074386,0.50841096,0.00576181,0.47744412,0.97970823,0.00000000
-5.65782891,2.00864223,1.32799886,0.30941901,1.06084100,0.49937837,0.00526329,0.47666710,0.94470024,0.00000000
-5.65182591,1.96243783,1.28506303,0.30028747,1.05409108,0.49085843,0.00479483,0.47562908,0.91238449,0.00000000
-5.64582291,1.92046059,1.24618844,0.29232906,1.05043191,0.48286370,0.00435974,0.47427609,0.88302287,0.00000000
-5.63981991,1.88283155,1.21171785,0.28550991,1.04971547,0.47540212,0.00396045,0.47256620,0.85680741,0.00000000
-5.63381691,1.84959773,1.18188785,0.27978370,1.05171452,0.46847776,0.00359856,0.47046984,0.83385960,0.00000000
-5.62781391,1.82073504,1.15682697,0.27509338,1.05613118,0.46209154,0.00327489,0.46796925,0.81423158,0.00000000
-5.62181091,1.79615196,1.13655599,0.27137305,1.06260708,0.45624186,0.00298956,0.46505720,0.79790877,0.00000000
-5.61580790,1.77569407,1.12099046,0.26855002,1.07073473,0.45092506,0.00274206,0.46173498,0.78481405,0.00000000
-5.60980490,1.75914921,1.10994507,0.26654690,1.08006956,0.44613591,0.00253129,0.45801006,0.77481290,0.00000000
-5.60380190,1.74625324,1.10313984,0.26528375,1.09014232,0.44186797,0.00235569,0.45389340,0.76771955,0.00000000
-5.59779890,1.73669642,1.10020786,0.26468017,1.10047142,0.43811390,0.00221329,0.44939670,0.76330376,0.00000000
-5.59179590,1.73013023,1.10070457,0.26465735,1.11057492,0.43486573,0.00210179,0.44452986,0.76129816,0.00000000
-5.58579290,1.72617483,1.10411836,0.26513992,1.11998187,0.43211509,0.00201862,0.43929877,0.76140590,0.00000000
-5.57978989,1.72442677,1.10988233,0.26605755,1.12824280,0.42985341,0.00196104,0.43370354,0.76330840,0.00000000
-5.57378689,1.72446719,1.11738726,0.26734630,1.13493918,0.42807202,0.00192618,0.42773745,0.76667315,0.00000000
-5.56778389,1.72587012,1.12599537,0.26894958,1.13969164,0.42676220,0.00191108,0.42138655,0.77116135,0.00000000
-5.56178089,1.72821079,1.13505483,0.27081866,1.14216703,0.42591512,0.00191282,0.41463001,0.77643525,0.00000000
-5.55577789,1.73107373,1.14391466,0.27291285,1.14208404,0.42552155,0.00192848,0.40744118,0.78216500,0.00000000
-5.54977489,1.73406033,1.15193970,0.27519908,1.13921754,0.42557150,0.00195526,0.39978928,0.78803492,0.00000000
-5.54377189,1.73679561,1.15852537,0.27765113,1.13340143,0.42605350,0.00199049,0.39164166,0.79374904,0.00000000
-5.53776888,1.73893391,1.16311163,0.28024832,1.12453013,0.42695374,0.00203167,0.38296643,0.79903572,0.00000000
-5.53176588,1.74016325,1.16519588,0.28297389,1.11255871,0.42825492,0.00207651,0.37373520,0.80365133,0.00000000
-5.52576288,1.74020807,1.16434423,0.28581302,1.09750158,0.42993482,0.00212294,0.36392605,0.80738274,0.00000000
-5.51975988,1.73883035,1.16020088,0.28875064,1.07942990,0.43196477,0.00216915,0.35352612,0.81004881,0.00000000
-5.51375688,1.73582898,1.15249508,0.29176908,1.05846770,0.43430792,0.00221357,0.34253397,0.81150058,0.00000000
-5.50775388,1.73103746,1.14104555,0.29484583,1.03478690,0.43691757,0.00225490,0.33096146,0.81162050,0.00000000
-5.50175088,1.72432016,1.12576221,0.29795138,1.00860128,0.43973551,0.00229209,0.31883499,0.81032055,0.00000000
-5.49574787,1.71556751,1.10664507,0.30104738,0.98015962,0.44269069,0.00232431,0.30619600,0.80753965,0.00000000
-5.48974487,1.70469041,1.08378044,0.30408528,0.94973820,0.44569824,0.00235096,0.29310086,0.80324031,0.00000000
-5.48374187,1.69161445,1.05733473,0.30700550,0.91763294,0.44865902,0.00237163,0.27961993,0.79740505,0.00000000
-5.47773887,1.67627447,1.02754609,0.30973729,0.88415140,0.45145991,0.00238607,0.26583605,0.79003265,0.00000000
-5.47173587,1.65860999,0.99471439,0.31219932,0.84960507,0.45397483,0.00239416,0.25184243,0.78113461,0.00000000
-5.46573287,1.63856203,0.95919002,0.31430108,0.81430200,0.45606667,0.00239588,0.23774013,0.77073212,0.00000000
-5.45972986,1.61607168,0.92136207,0.31594500,0.77854032,0.45759005,0.00239126,0.22363528,0.75885372,0.00000000
-5.45372686,1.59108089,0.88164647,0.31702938,0.74260276,0.45839506,0.00238039,0.20963618,0.74553382,0.00000000
