energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-4.95547774,2.55013789,-2.55022509,0.61082361,-0.61082568,0.62454838,-0.62457619,0.00286706,-0.00286630,0.18367823,-0.18368216,0.02409710,-0.02410078,1.42412445,-1.42416614,0.58306097,-0.58307595,0.20635864,-0.20637050
-4.94947474,2.58953850,-2.58962094,0.60901346,-0.60901401,0.63897183,-0.63899842,0.00243131,-0.00243065,0.18602053,-0.18602435,0.02585519,-0.02585882,1.44469444,-1.44473322,0.58975770,-0.58977181,0.20958544,-0.20959709
-4.94347174,2.62654966,-2.62662577,0.60640106,-0.60640003,0.65280792,-0.65283286,0.00205533,-0.00205477,0.18830991,-0.18831351,0.02756749,-0.02757100,1.46383641,-1.46387147,0.59602095,-0.59603399,0.21269619,-0.21270745
-4.93746873,2.66044795,-2.66051606,0.60299984,-0.60299714,0.66584408,-0.66586690,0.00173401,-0.00173354,0.19049220,-0.19049546,0.02920631,-0.02920966,1.48119607,-1.48122659,0.60176392,-0.60177566,0.21560535,-0.21561602
-4.93146573,2.69045885,-2.69051728,0.59881133,-0.59880688,0.67785210,-0.67787234,0.00146211,-0.00146171,0.19250649,-0.19250930,0.03074418,-0.03074730,1.49639001,-1.49641511,0.60687907,-0.60688926,0.21822482,-0.21823472
-4.92546273,2.71577611,-2.71582316,0.59382454,-0.59381824,0.68859417,-0.68861136,0.00123441,-0.00123408,0.19428697,-0.19428917,0.03215457,-0.03215742,1.50901425,-1.50903309,0.61123997,-0.61124832,0.22046639,-0.22047534
-4.91945973,2.73558542,-2.73561946,0.58801664,-0.58800836,0.69782996,-0.69784365,0.00104590,-0.00104563,0.19576504,-0.19576652,0.03341287,-0.03341538,1.51865555,-1.51866728,0.61470452,-0.61471073,0.22224422,-0.22225204
-4.91345673,2.74909143,-2.74911094,0.58135493,-0.58134456,0.70532458,-0.70533433,0.00089183,-0.00089161,0.19687183,-0.19687246,0.03449712,-0.03449927,1.52490482,-1.52490867,0.61711952,-0.61712331,0.22347754,-0.22348407
-4.90745373,2.75554707,-2.75555070,0.57379993,-0.57378737,0.71085694,-0.71086238,0.00076786,-0.00076769,0.19754071,-0.19754037,0.03538891,-0.03539065,1.52737225,-1.52736751,0.61832638,-0.61832744,0.22409325,-0.22409835
-4.90145073,2.75428373,-2.75427034,0.56530941,-0.56529455,0.71422826,-0.71422907,0.00067008,-0.00066995,0.19770993,-0.19770852,0.03607398,-0.03607530,1.52570330,-1.52568937,0.61816759,-0.61816564,0.22402849,-0.22403205
-4.89544772,2.74474082,-2.74470955,0.55584303,-0.55582581,0.71527033,-0.71526626,0.00059503,-0.00059494,0.19732518,-0.19732262,0.03654285,-0.03654373,1.51959479,-1.51957122,0.61649385,-0.61648865,0.22323298,-0.22323490
-4.88944472,2.72649334,-2.72644365,0.54536741,-0.54534777,0.71385299,-0.71384388,0.00053976,-0.00053969,0.19634200,-0.19633821,0.03679120,-0.03679162,1.50881028,-1.50877677,0.61317138,-0.61316272,0.22167100,-0.22167124
-4.88344172,2.69927593,-2.69920762,0.53386110,-0.53383903,0.70989069,-0.70987647,0.00050177,-0.00050172,0.19472783,-0.19472280,0.03682009,-0.03682006,1.49319389,-1.49315033,0.60808902,-0.60807676,0.21932303,-0.21932156
-4.87743872,2.66300208,-2.66291534,0.52131939,-0.52129493,0.70334762,-0.70332833,0.00047901,-0.00047899,0.19246386,-0.19245757,0.03663598,-0.03663551,1.47268170,-1.47262818,0.60116494,-0.60114898,0.21618684,-0.21618367
-4.87143572,2.61777753,-2.61767292,0.50775841,-0.50773165,0.69424123,-0.69421701,0.00046987,-0.00046988,0.18954627,-0.18953874,0.03625058,-0.03624970,1.44731023,-1.44724702,0.59235233,-0.59233267,0.21227806,-0.21227324
-4.86543272,2.56390690,-2.56378538,0.49321842,-0.49318949,0.68264390,-0.68261498,0.00047311,-0.00047313,0.18598709,-0.18597838,0.03568045,-0.03567920,1.41722126,-1.41714886,0.58164407,-0.58162077,0.20763018,-0.20762379
-4.85942971,2.50189311,-2.50175600,0.47776599,-0.47773508,0.66868262,-0.66864936,0.00048779,-0.00048783,0.18181455,-0.18180474,0.03494643,-0.03494485,1.38266279,-1.38258189,0.56907585,-0.56904905,0.20229388,-0.20228604
-4.85342671,2.43242940,-2.43227836,0.46149492,-0.46146228,0.65253678,-0.65249960,0.00051327,-0.00051333,0.17707278,-0.17706198,0.03407294,-0.03407108,1.34398591,-1.34389740,0.55472773,-0.55469767,0.19633586,-0.19632672
-4.84742371,2.35638413,-2.35622113,0.44452594,-0.44449186,0.63443386,-0.63439326,0.00054912,-0.00054920,0.17182108,-0.17180942,0.03308710,-0.03308500,1.30163761,-1.30154252,0.53872402,-0.53869099,0.18983705,-0.18982677
-4.84142071,2.27477889,-2.27460615,0.42700501,-0.42696984,0.61464342,-0.61459999,0.00059506,-0.00059516,0.16613262,-0.16612026,0.03201776,-0.03201549,1.25614978,-1.25604930,0.52123129,-0.52119567,0.18289036,-0.18287915
-4.83541771,2.18876079,-2.18858074,0.40910045,-0.40906457,0.59346953,-0.59342390,0.00065093,-0.00065105,0.16009270,-0.16007982,0.03089453,-0.03089214,1.20812485,-1.20802027,0.50245483,-0.50241706,0.17559805,-0.17558611
-4.82941471,2.09957009,-2.09938526,0.39099891,-0.39096274,0.57124188,-0.57119470,0.00071664,-0.00071678,0.15379664,-0.15378342,0.02974673,-0.02974428,1.15821871,-1.15811141,0.48263349,-0.48259405,0.16806875,-0.16805630
-4.82341171,2.00850442,-2.00831744,0.37290054,-0.37286450,0.54830599,-0.54825793,0.00079210,-0.00079226,0.14734726,-0.14733390,0.02860240,-0.02859995,1.10712157,-1.10701296,0.46203319,-0.46199263,0.16041433,-0.16040159
-4.81740870,1.91688129,-1.91669477,0.35501338,-0.35497790,0.52501292,-0.52496465,0.00087719,-0.00087737,0.14085226,-0.14083896,0.02748742,-0.02748502,1.05553766,-1.05542915,0.44093952,-0.44089840,0.15274673,-0.15273394
-4.81140570,1.82600030,-1.82581679,0.33754746,-0.33751300,0.50170897,-0.50166114,0.00097176,-0.00097196,0.13442137,-0.13440835,0.02642465,-0.02642234,1.00416467,-1.00405763,0.41964947,-0.41960836,0.14517484,-0.14516221
-4.80540270,1.73710676,-1.73692867,0.32070877,-0.32067576,0.47872564,-0.47867887,0.00107554,-0.00107578,0.12816355,-0.12815100,0.02543331,-0.02543114,0.95367377,-0.95356952,0.39846297,-0.39842244,0.13780157,-0.13778930
-4.79939970,1.65135817,-1.65118774,0.30469341,-0.30466226,0.45637049,-0.45632533,0.00118821,-0.00118847,0.12218424,-0.12217236,0.02452849,-0.02452647,0.90469118,-0.90459094,0.37767439,-0.37763500,0.13072123,-0.13070952
-4.79339670,1.56979494,-1.56963417,0.28968217,-0.28965326,0.43491907,-0.43487602,0.00130929,-0.00130958,0.11658279,-0.11657176,0.02372079,-0.02371896,0.85778194,-0.85768679,0.35756450,-0.35752679,0.12401732,-0.12400634
-4.78739370,1.49331644,-1.49316708,0.27583584,-0.27580952,0.41460840,-0.41456787,0.00143823,-0.00143854,0.11145019,-0.11144018,0.02301623,-0.02301459,0.81343656,-0.81334744,0.33839316,-0.33835761,0.11776082,-0.11775071
-4.78139070,1.42266334,-1.42252683,0.26329131,-0.26326788,0.39563220,-0.39559454,0.00157435,-0.00157469,0.10686713,-0.10685829,0.02241629,-0.02241486,0.77206107,-0.77197877,0.32039305,-0.32036011,0.11200895,-0.11199985
-4.77538769,1.35840652,-1.35828403,0.25215875,-0.25213847,0.37813801,-0.37810348,0.00171689,-0.00171725,0.10290251,-0.10289496,0.02191817,-0.02191694,0.73397077,-0.73389591,0.30376467,-0.30373473,0.10680461,-0.10679661
