energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,7.46354283,1.01997395,0.38514631,3.53692828,1.51718127,0.01078376,2.13148974,0.11823526,2.45213682
-5.99399700,7.37570147,1.03116890,0.38134602,3.45014532,1.48854529,0.01075882,2.08494786,0.11788287,2.44589807
-5.98799400,7.28346449,1.04068713,0.37738824,3.36140441,1.45906374,0.01073550,2.03711566,0.11750630,2.43816938
-5.98199100,7.18699112,1.04831281,0.37327511,3.27154029,1.42893100,0.01071212,1.98843993,0.11708781,2.42861462
-5.97598799,7.08650609,1.05387337,0.36900661,3.18141718,1.39835805,0.01068680,1.93938713,0.11660943,2.41692412
-5.96998499,6.98231428,1.05725064,0.36458272,3.09190717,1.36756629,0.01065753,1.89042952,0.11605405,2.40283700
-5.96398199,6.87481509,1.05839023,0.36000562,3.00387052,1.33678182,0.01062233,1.84203255,0.11540658,2.38616192
-5.95797899,6.76451487,1.05730869,0.35528178,2.91813876,1.30623048,0.01057931,1.79464402,0.11465485,2.36679483
-5.95197599,6.65203649,1.05409786,0.35042368,2.83550080,1.27613378,0.01052674,1.74868532,0.11379046,2.34473269
-5.94597299,6.53812464,1.04892596,0.34545119,2.75669250,1.24670568,0.01046315,1.70454502,0.11280929,2.32008224
-5.93996998,6.42364556,1.04203527,0.34039234,2.68238925,1.21815034,0.01038734,1.66257468,0.11171184,2.29306305
-5.93396698,6.30958056,1.03373624,0.33528354,2.61320153,1.19066053,0.01029841,1.62308684,0.11050326,2.26400457
-5.92796398,6.19701248,1.02439815,0.33016907,2.54967278,1.16441677,0.01019577,1.58635471,0.10919313,2.23333711
-5.92196098,6.08710504,1.01443661,0.32510000,2.49227901,1.13958674,0.01007910,1.55261335,0.10779499,2.20157702
-5.91595798,5.98107536,1.00429836,0.32013249,2.44142950,1.11632500,0.00994838,1.52206171,0.10632566,2.16930682
-5.90995498,5.88016028,0.99444405,0.31532557,2.39746787,1.09477266,0.00980378,1.49486509,0.10480436,2.13715117
