energy_ev,total_up,Ge_p_up,Ge_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.99060999,0.28430168,0.00000000,1.43232767,1.25646850,0.02155002,1.02590221
-5.99399700,2.86359403,0.28059997,0.00000000,1.35741692,1.22006633,0.01996317,0.97365358
-5.98799400,2.75275827,0.28116591,0.00000000,1.29266697,1.19086366,0.01842501,0.92584608
-5.98199100,2.65991374,0.28666082,0.00000000,1.23964496,1.16967429,0.01695107,0.88280503
-5.97598799,2.58672950,0.29776822,0.00000000,1.19989445,1.15726049,0.01555503,0.84478554
-5.96998499,2.53471672,0.31518346,0.00000000,1.17492092,1.15432329,0.01424850,0.81197301
-5.96398199,2.50521723,0.33960124,0.00000000,1.16617731,1.16149391,0.01304101,0.78448653
-5.95797899,2.49939493,0.37170068,0.00000000,1.17504801,1.17932574,0.01193999,0.76238461
-5.95197599,2.51822797,0.41212791,0.00000000,1.20283056,1.20828603,0.01095091,0.74567257
-5.94597299,2.56249975,0.46147620,0.00000000,1.25071348,1.24874665,0.01007741,0.73431064
-5.93996998,2.63278661,0.52026367,0.00000000,1.31974972,1.30097321,0.00932157,0.72822207
-5.93396698,2.72944105,0.58890915,0.00000000,1.41082494,1.36511218,0.00868412,0.72730040
-5.92796398,2.85256931,0.66770655,0.00000000,1.52462066,1.44117590,0.00816470,0.73141517
-5.92196098,3.00200326,0.75679874,0.00000000,1.66157284,1.52902563,0.00776213,0.74041574
-5.91595798,3.17726743,0.85615179,0.00000000,1.82182689,1.62835336,0.00747464,0.75413273
-5.90995498,3.37754258,0.96553094,0.00000000,2.00519110,1.73866329,0.00730004,0.77237711
-5.90395198,3.60162823,1.08447955,0.00000000,2.21109064,1.85925431,0.00723592,0.79493718
-5.89794897,3.84790740,1.21230252,0.00000000,2.43852510,1.98920508,0.00727971,0.82157369
-5.89194597,4.11431687,1.34805558,0.00000000,2.68603260,2.12736348,0.00742879,0.85201381
-5.88594297,4.39832696,1.49054194,0.00000000,2.95166387,2.27234209,0.00768049,0.88594454
-5.87993997,4.69693448,1.63831724,0.00000000,3.23296943,2.42252151,0.00803206,0.92300655
-5.87393697,5.00667221,1.78970386,0.00000000,3.52700271,2.57606277,0.00848066,0.96278913
-5.86793397,5.32363771,1.94281506,0.00000000,3.83034147,2.73093000,0.00902326,1.00482707
-5.86193097,5.64354313,2.09558897,0.00000000,4.13912896,2.88492358,0.00965658,1.04860018
-5.85592796,5.96178663,2.24583196,0.00000000,4.44913527,3.03572402,0.01037699,1.09353599
-5.84992496,6.27354471,2.39127049,0.00000000,4.75583847,3.18094532,0.01118046,1.13901584
-5.84392196,6.57388329,2.52960983,0.00000000,5.05452354,3.31819681,0.01206249,1.18438447
-5.83791896,6.85788416,2.65859783,0.00000000,5.34039640,3.44515094,0.01301810,1.22896297
-5.83191596,7.12078210,2.77609114,0.00000000,5.60870890,3.55961475,0.01404177,1.27206457
-5.82591296,7.35810704,2.88012136,0.00000000,5.85489009,3.65960173,0.01512754,1.31301273
-5.81990995,7.56582492,2.96895833,0.00000000,6.07467823,3.74340084,0.01626899,1.35116059
-5.81390695,7.74047077,3.04116751,0.00000000,6.26424775,3.80963938,0.01745940,1.38591094
-5.80790395,7.87926733,3.09565903,0.00000000,6.42032552,3.85733648,0.01869177,1.41673562
-5.80190095,7.98022338,3.13172589,0.00000000,6.54029087,3.88594434,0.01995904,1.44319340
-5.79589795,8.04220656,3.14906948,0.00000000,6.62225477,3.89537499,0.02125418,1.46494542
-5.78989495,8.06498692,3.14781116,0.00000000,6.66511454,3.88601081,0.02257040,1.48176731
-5.78389195,8.04924872,3.12848915,0.00000000,6.66858137,3.85869819,0.02390128,1.49355755
-5.77788894,7.99656986,3.09204103,0.00000000,6.63317982,3.81472425,0.02524099,1.50034147
-5.77188594,7.90936978,3.03977246,0.00000000,6.56021950,3.75577761,0.02658443,1.50227098
-5.76588294,7.79082852,2.97331369,0.00000000,6.45174073,3.68389493,0.02792740,1.49961992
-5.75987994,7.64478098,2.89456604,0.00000000,6.31043711,3.60139579,0.02926676,1.49277552
-5.75387694,7.47559161,2.80564068,0.00000000,6.13955930,3.51080891,0.03060059,1.48222633
-5.74787394,7.28801564,2.70879281,0.00000000,5.94280466,3.41479315,0.03192827,1.46854757
-5.74187094,7.08705353,2.60635400,0.00000000,5.72419830,3.31605696,0.03325055,1.45238435
-5.73586793,6.87780517,2.50066590,0.00000000,5.48797095,3.21727990,0.03456966,1.43443385
-5.72986493,6.66533020,2.39401777,0.00000000,5.23843903,3.12103952,0.03588929,1.41542722
-5.72386193,6.45452006,2.28859057,0.00000000,4.97989167,3.02974658,0.03721454,1.39611183
-5.71785893,6.24998638,2.18640920,0.00000000,4.71648881,2.94559095,0.03855188,1.37723471
-5.71185593,6.05596904,2.08930449,0.00000000,4.45217355,2.87049977,0.03990896,1.35952750
-5.70585293,5.87626602,1.99888549,0.00000000,4.19060085,2.80610876,0.04129448,1.34369338
-5.69984992,5.71418556,1.91652228,0.00000000,3.93508367,2.75374680,0.04271790,1.33039610
-5.69384692,5.57252009,1.84333878,0.00000000,3.68855654,2.71443298,0.04418914,1.32025112
-5.68784392,5.45354005,1.78021455,0.00000000,3.45355572,2.68888505,0.04571823,1.31381872
-5.68184092,5.35900485,1.72779425,0.00000000,3.23221432,2.67753712,0.04731493,1.31159889
-5.67583792,5.29018752,1.68650299,0.00000000,3.02627020,2.68056461,0.04898829,1.31402773
-5.66983492,5.24790927,1.65656588,0.00000000,2.83708396,2.69791403,0.05074621,1.32147484
-5.66383192,5.23258014,1.63802985,0.00000000,2.66566450,2.72933496,0.05259505,1.33424160
-5.65782891,5.24424195,1.63078605,0.00000000,2.51269935,2.77441226,0.05453917,1.35255987
-5.65182591,5.28261059,1.63459147,0.00000000,2.37858730,2.83259619,0.05658064,1.37659095
-5.64582291,5.34711480,1.64908851,0.00000000,2.26347135,2.90322913,0.05871887,1.40642460
-5.63981991,5.43692990,1.67382186,0.00000000,2.16727005,2.98556775,0.06095050,1.44207801
-5.63381691,5.55100534,1.70825219,0.00000000,2.08970610,3.07879998,0.06326919,1.48349485
-5.62781391,5.68808585,1.75176686,0.00000000,2.03033153,3.18205697,0.06566571,1.53054425
-5.62181091,5.84672680,1.80368781,0.00000000,1.98854885,3.29442032,0.06812794,1.58302009
-5.61580790,6.02530475,1.86327745,0.00000000,1.96362844,3.41492555,0.07064120,1.64064049
-5.60980490,6.22202469,1.92974331,0.00000000,1.95472244,3.54256287,0.07318844,1.70304787
-5.60380190,6.43492569,2.00224228,0.00000000,1.96087574,3.67627658,0.07575071,1.76980966
-5.59779890,6.66188671,2.07988555,0.00000000,1.98103468,3.81496437,0.07830754,1.84041974
-5.59179590,6.90063420,2.16174473,0.00000000,2.01405451,3.95747772,0.08083747,1.91430083
-5.58579290,7.14875271,2.24686004,0.00000000,2.05870614,4.10262444,0.08331851,1.99080785
-5.57978989,7.40369971,2.33425068,0.00000000,2.11368305,4.24917399,0.08572864,2.06923218
-5.57378689,7.66282502,2.42292752,0.00000000,2.17760904,4.39586596,0.08804624,2.14880712
-5.56778389,7.92339500,2.51190787,0.00000000,2.24904727,4.54142174,0.09025052,2.22871422
-5.56178089,8.18262137,2.60023183,0.00000000,2.32651111,4.68455903,0.09232182,2.30809079
-5.55577789,8.43769391,2.68697939,0.00000000,2.40847686,4.82400871,0.09424195,2.38603846
-5.54977489,8.68581634,2.77128755,0.00000000,2.49339869,4.95853306,0.09599436,2.46163280
-5.54377189,8.92424434,2.85236640,0.00000000,2.57972560,5.08694469,0.09756436,2.53393426
-5.53776888,9.15032471,2.92951335,0.00000000,2.66592028,5.20812514,0.09893923,2.60200022
-5.53176588,9.36153466,3.00212446,0.00000000,2.75047963,5.32104216,0.10010839,2.66489842
-5.52576288,9.55552026,3.06970249,0.00000000,2.83195640,5.42476525,0.10106346,2.72172173
-5.51975988,9.73013336,3.13186094,0.00000000,2.90898157,5.51847861,0.10179849,2.77160412
-5.51375688,9.88346606,3.18832413,0.00000000,2.98028667,5.60149136,0.10231005,2.81373788
-5.50775388,10.01388230,3.23892314,0.00000000,3.04472542,5.67324488,0.10259747,2.84739165
-5.50175088,10.12004596,3.28358814,0.00000000,3.10129392,5.73331715,0.10266306,2.87192911
-5.49574787,10.20094483,3.32233743,0.00000000,3.14914837,5.78142461,0.10251235,2.88682765
-5.48974487,10.25591006,3.35526401,0.00000000,3.18761985,5.81742143,0.10215432,2.89169641
-5.48374187,10.28463035,3.38252039,0.00000000,3.21622499,5.84129681,0.10160160,2.88629311
-5.47773887,10.28716022,3.40430240,0.00000000,3.23467219,5.85317041,0.10087063,2.87053865
-5.47173587,10.26392184,3.42083298,0.00000000,3.24286273,5.85328629,0.09998171,2.84452872
-5.46573287,10.21569960,3.43234651,0.00000000,3.24088646,5.84200527,0.09895890,2.80854157
-5.45972986,10.14362687,3.43907432,0.00000000,3.22901208,5.81979614,0.09782985,2.76304130
-5.45372686,10.04916466,3.44123209,0.00000000,3.20767206,5.78722527,0.09662534,2.70867585
