energy_ev,total_up,Ge_p_up,Ge_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,7.41518319,2.54541200,0.00000000,6.06580615,4.83826897,0.89828210,0.00000000
-5.99399700,7.32958762,2.50515300,0.00000000,5.95071338,4.77073429,0.92261225,0.00000000
-5.98799400,7.25360017,2.46673081,0.00000000,5.83279342,4.71020479,0.94958241,0.00000000
-5.98199100,7.18869029,2.43053948,0.00000000,5.71372608,4.65790100,0.97893797,0.00000000
-5.97598799,7.13579293,2.39682283,0.00000000,5.59490563,4.61470105,1.01031795,0.00000000
-5.96998499,7.09532856,2.36568815,0.00000000,5.47742259,4.58115223,1.04326660,0.00000000
-5.96398199,7.06725068,2.33712796,0.00000000,5.36206413,4.55750042,1.07724950,0.00000000
-5.95797899,7.05111931,2.31104904,0.00000000,5.24933300,4.54373636,1.11167384,0.00000000
-5.95197599,7.04619667,2.28730716,0.00000000,5.13948388,4.53965629,1.14591197,0.00000000
-5.94597299,7.05156084,2.26574589,0.00000000,5.03257510,4.54493416,1.17932746,0.00000000
-5.93996998,7.06623139,2.24623717,0.00000000,4.92853260,4.55920130,1.21130251,0.00000000
-5.93396698,7.08930043,2.22872168,0.00000000,4.82722240,4.58212932,1.24126563,0.00000000
-5.92796398,7.12006185,2.21324633,0.00000000,4.72852721,4.61351141,1.26871824,0.00000000
-5.92196098,7.15813134,2.19999675,0.00000000,4.63242256,4.65333700,1.29325920,0.00000000
-5.91595798,7.20354975,2.18932245,0.00000000,4.53904770,4.70185490,1.31460574,0.00000000
-5.90995498,7.25686316,2.18175287,0.00000000,4.44876703,4.75962057,1.33261002,0.00000000
-5.90395198,7.31917378,2.17800268,0.00000000,4.36221775,4.82752349,1.34727028,0.00000000
-5.89794897,7.39215704,2.17896543,0.00000000,4.28034077,4.90679162,1.35873589,0.00000000
-5.89194597,7.47804190,2.18569501,0.00000000,4.20439230,4.99897114,1.36730585,0.00000000
-5.88594297,7.57955320,2.19937509,0.00000000,4.13593474,5.10588062,1.37342071,0.00000000
-5.87993997,7.69981669,2.22127736,0.00000000,4.07680671,5.22954032,1.37764791,0.00000000
-5.87393697,7.84222954,2.25270990,0.00000000,4.02907274,5.37207873,1.38066117,0.00000000
-5.86793397,8.01030087,2.29495768,0.00000000,3.99495466,5.53561950,1.38321461,0.00000000
-5.86193097,8.20746888,2.34921764,0.00000000,3.97674742,5.72215372,1.38611260,0.00000000
-5.85592796,8.43690235,2.41653123,0.00000000,3.97672278,5.93340294,1.39017676,0.00000000
-5.84992496,8.70129580,2.49771738,0.00000000,3.99702531,6.17067970,1.39621123,0.00000000
