energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.75571785,0.02490556,0.70507973,0.20010928,1.41630311,0.00000000,1.47532450,1.05293813
-5.99399700,3.72306401,0.02556034,0.70459913,0.19197543,1.39919447,0.00000000,1.47051248,1.05208953
-5.98799400,3.69134766,0.02629185,0.70439839,0.18500292,1.38215065,0.00000000,1.46350039,1.05280793
-5.98199100,3.66085532,0.02710157,0.70431669,0.17920585,1.36563183,0.00000000,1.45430402,1.05496150
-5.97598799,3.63200210,0.02799246,0.70419381,0.17459480,1.35018796,0.00000000,1.44302042,1.05841297
-5.96998499,3.60534800,0.02896902,0.70387648,0.17118024,1.33645942,0.00000000,1.42983542,1.06302643
-5.96398199,3.58160746,0.03003723,0.70322419,0.16897554,1.32517386,0.00000000,1.41502795,1.06867366
-5.95797899,3.56165150,0.03120450,0.70211437,0.16799900,1.31713903,0.00000000,1.39897083,1.07523957
-5.95197599,3.54650172,0.03247955,0.70044688,0.16827504,1.31323151,0.00000000,1.38212776,1.08262685
-5.94597299,3.53731621,0.03387217,0.69814745,0.16983430,1.31438123,0.00000000,1.36504652,1.09075955
-5.93996998,3.53536735,0.03539304,0.69517025,0.17271261,1.32155210,0.00000000,1.34834834,1.09958553
-5.93396698,3.54201187,0.03705333,0.69149944,0.17694893,1.33571894,0.00000000,1.33271381,1.10907776
-5.92796398,3.55865413,0.03886436,0.68714964,0.18258228,1.35784127,0.00000000,1.31886555,1.11923440
-5.92196098,3.58670322,0.04083713,0.68216545,0.18964788,1.38883443,0.00000000,1.30754820,1.13007761
-5.91595798,3.62752535,0.04298176,0.67661992,0.19817262,1.42953887,0.00000000,1.29950628,1.14165121
-5.90995498,3.68239280,0.04530697,0.67061224,0.20817023,1.48068832,0.00000000,1.29546071,1.15401714
-5.90395198,3.75243117,0.04781938,0.66426445,0.21963628,1.54287800,0.00000000,1.29608455,1.16725080
-5.89794897,3.83856658,0.05052292,0.65771764,0.23254349,1.61653358,0.00000000,1.30197906,1.18143555
-5.89194597,3.94147485,0.05341811,0.65112746,0.24683744,1.70188241,0.00000000,1.31365070,1.19665644
-5.88594297,4.06153459,0.05650143,0.64465932,0.26243320,1.79892780,0.00000000,1.33149004,1.21299348
-5.87993997,4.19878627,0.05976471,0.63848339,0.27921288,1.90742775,0.00000000,1.35575348,1.23051468
-5.87393697,4.35289913,0.06319459,0.63276952,0.29702459,2.02687907,0.00000000,1.38654836,1.24926938
-5.86793397,4.52314778,0.06677211,0.62768241,0.31568270,2.15650799,0.00000000,1.42382231,1.26928197
