energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.65956014,-1.80431048,0.00798310,-0.01131113,0.16040782,-0.48377321,0.17552206,-0.43426471,0.23324962,-0.32854752,0.02970992,-0.05133346,0.09710313,-0.40369415
-5.99399700,0.62222897,-1.75825286,0.00731043,-0.01100706,0.14992757,-0.47133308,0.16249507,-0.42263383,0.22112910,-0.32045309,0.02809552,-0.05009748,0.09284457,-0.39346569
-5.98799400,0.58743044,-1.70213044,0.00664955,-0.01064017,0.13995137,-0.45617394,0.14990900,-0.40850833,0.20998581,-0.31055973,0.02659345,-0.04858452,0.08906159,-0.38100610
-5.98199100,0.55579289,-1.63717595,0.00600825,-0.01021890,0.13063638,-0.43862803,0.13794465,-0.39219137,0.20003892,-0.29909231,0.02523109,-0.04682960,0.08584351,-0.36658937
-5.97598799,0.52784503,-1.56477294,0.00539326,-0.00975279,0.12211752,-0.41906916,0.12676169,-0.37402536,0.19147059,-0.28630310,0.02403105,-0.04487192,0.08326348,-0.35052199
-5.96998499,0.50400767,-1.48641358,0.00481023,-0.00925222,0.11450576,-0.39790147,0.11649731,-0.35438195,0.18442291,-0.27246422,0.02301068,-0.04275369,0.08137701,-0.33313337
-5.96398199,0.48458960,-1.40365501,0.00426367,-0.00872814,0.10788741,-0.37554777,0.10726603,-0.33365156,0.17899617,-0.25785968,0.02218190,-0.04051890,0.08022111,-0.31476610
-5.95797899,0.46978749,-1.31807591,0.00375701,-0.00819183,0.10232445,-0.35243788,0.09916047,-0.31223290,0.17524877,-0.24277767,0.02155109,-0.03821212,0.07981404,-0.29576615
-5.95197599,0.45968977,-1.23123532,0.00329265,-0.00765463,0.09785559,-0.32899761,0.09225294,-0.29052291,0.17319845,-0.22750305,0.02111922,-0.03587732,0.08015575,-0.27647373
-5.94597299,0.45428401,-1.14463503,0.00287207,-0.00712770,0.09449821,-0.30563852,0.08659774,-0.26890747,0.17282495,-0.21231066,0.02088217,-0.03355685,0.08122889,-0.25721494
-5.93996998,0.45346752,-1.05968680,0.00249590,-0.00662182,0.09225089,-0.28274914,0.08223405,-0.24775317,0.17407393,-0.19745942,0.02083116,-0.03129056,0.08300039,-0.23829453
-5.93396698,0.45706061,-0.97768533,0.00216413,-0.00614721,0.09109652,-0.26068745,0.07918910,-0.22740036,0.17686184,-0.18318750,0.02095339,-0.02911505,0.08542358,-0.21999004
-5.92796398,0.46482196,-0.89978745,0.00187619,-0.00571336,0.09100564,-0.23977521,0.07748157,-0.20815758,0.18108186,-0.16970855,0.02123269,-0.02706310,0.08844070,-0.20254733
-5.92196098,0.47646547,-0.82699759,0.00163113,-0.00532892,0.09194013,-0.22029376,0.07712487,-0.19029744,0.18661033,-0.15720912,0.02165038,-0.02516329,0.09198576,-0.18617761
-5.91595798,0.49167780,-0.76015943,0.00142776,-0.00500162,0.09385683,-0.20248157,0.07813024,-0.17405384,0.19331367,-0.14584713,0.02218611,-0.02343981,0.09598765,-0.17105585
-5.90995498,0.51013608,-0.69995306,0.00126475,-0.00473818,0.09671105,-0.18653315,0.08050945,-0.15962055,0.20105548,-0.13575129,0.02281879,-0.02191238,0.10037336,-0.15732047
-5.90395198,0.53152478,-0.64689697,0.00114081,-0.00454424,0.10045979,-0.17259926,0.08427685,-0.14715079,0.20970340,-0.12702137,0.02352749,-0.02059631,0.10507113,-0.14507418
-5.89794897,0.55555121,-0.60135399,0.00105474,-0.00442438,0.10506449,-0.16078816,0.08945086,-0.13675777,0.21913561,-0.11972912,0.02429229,-0.01950269,0.11001352,-0.13438567
-5.89194597,0.58195888,-0.56354001,0.00100552,-0.00438204,0.11049329,-0.15116759,0.09605446,-0.12851593,0.22924656,-0.11391967,0.02509513,-0.01863857,0.11514019,-0.12529202
-5.88594297,0.61053808,-0.53353464,0.00099239,-0.00441955,0.11672247,-0.14376723,0.10411494,-0.12246259,0.23995170,-0.10961316,0.02592049,-0.01800728,0.12040013,-0.11780145
-5.87993997,0.64113301,-0.51129284,0.00101485,-0.00453804,0.12373718,-0.13858148,0.11366272,-0.11859989,0.25119101,-0.10680658,0.02675597,-0.01760870,0.12575355,-0.11189643
