energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,6.47753973,1.07136940,5.84346475,0.02596038,0.33572807,0.20491215,0.00339897
-5.99399700,6.63396711,1.08375943,5.98708739,0.02700697,0.34479017,0.20920669,0.00350852
-5.98799400,6.78546845,1.09555343,6.12576389,0.02817020,0.35358395,0.21392321,0.00361358
-5.98199100,6.93135467,1.10668864,6.25888059,0.02943800,0.36203790,0.21905628,0.00371338
-5.97598799,7.07107572,1.11710589,6.38596270,0.03079606,0.37008866,0.22459461,0.00380728
-5.96998499,7.20422416,1.12675150,6.50667639,0.03222821,0.37768257,0.23052094,0.00389476
-5.96398199,7.33053221,1.13557897,6.62082476,0.03371676,0.38477668,0.23681205,0.00397541
-5.95797899,7.44986176,1.14355024,6.72833726,0.03524291,0.39133918,0.24343859,0.00404897
-5.95197599,7.56218774,1.15063638,6.82925281,0.03678708,0.39734920,0.25036505,0.00411531
-5.94597299,7.66757522,1.15681772,6.92369736,0.03832928,0.40279593,0.25754960,0.00417441
-5.93996998,7.76615158,1.16208313,7.01185686,0.03984949,0.40767716,0.26494398,0.00422637
-5.93396698,7.85807509,1.16642864,7.09394722,0.04132790,0.41199733,0.27249342,0.00427137
-5.92796398,7.94350180,1.16985528,7.17018282,0.04274527,0.41576517,0.28013663,0.00430967
-5.92196098,8.02255289,1.17236637,7.24074575,0.04408319,0.41899109,0.28780581,0.00434158
-5.91595798,8.09528456,1.17396433,7.30575763,0.04532425,0.42168450,0.29542693,0.00436743
-5.90995498,8.16166267,1.17464721,7.36525596,0.04645232,0.42385129,0.30292001,0.00438755
-5.90395198,8.22154398,1.17440526,7.41917691,0.04745269,0.42549149,0.31019972,0.00440226
-5.89794897,8.27466556,1.17321780,7.46734566,0.04831221,0.42659750,0.31717617,0.00441182
-5.89194597,8.32064346,1.17105050,7.50947534,0.04901947,0.42715280,0.32375598,0.00441647
-5.88594297,8.35898102,1.16785358,7.54517498,0.04956486,0.42713143,0.32984356,0.00441636
-5.87993997,8.38908675,1.16356093,7.57396603,0.04994067,0.42649811,0.33534272,0.00441158
-5.87393697,8.41030082,1.15809046,7.59530672,0.05014120,0.42520926,0.34015851,0.00440217
-5.86793397,8.42192884,1.15134564,7.60862290,0.05016275,0.42321456,0.34419922,0.00438811
-5.86193097,8.42328085,1.14321843,7.61334325,0.05000372,0.42045935,0.34737863,0.00436932
-5.85592796,8.41371316,1.13359328,7.60893678,0.04966460,0.41688737,0.34961827,0.00434573
-5.84992496,8.39267032,1.12235234,7.59495010,0.04914798,0.41244399,0.35084977,0.00431721
-5.84392196,8.35972461,1.10938134,7.57104197,0.04845851,0.40707960,0.35101704,0.00428368
-5.83791896,8.31461031,1.09457613,7.53701269,0.04760285,0.40075295,0.35007838,0.00424505
-5.83191596,8.25725061,1.07784935,7.49282640,0.04658964,0.39343442,0.34800821,0.00420130
-5.82591296,8.18777513,1.05913693,7.43862466,0.04542931,0.38510883,0.34479852,0.00415244
-5.81990995,8.10652700,1.03840411,7.37473026,0.04413401,0.37577781,0.34045981,0.00409856
-5.81390695,8.01405885,1.01565048,7.30164094,0.04271740,0.36546149,0.33502156,0.00403980
-5.80790395,7.91111792,0.99091403,7.22001336,0.04119447,0.35419948,0.32853209,0.00397639
-5.80190095,7.79862127,0.96427369,7.13063833,0.03958131,0.34205111,0.32105793,0.00390859
-5.79589795,7.67762259,0.93585041,7.03440882,0.03789486,0.32909487,0.31268258,0.00383675
-5.78989495,7.54927279,0.90580669,6.93228294,0.03615265,0.31542710,0.30350477,0.00376124
-5.78389195,7.41477688,0.87434461,6.82524426,0.03437256,0.30116009,0.29363629,0.00368246
-5.77788894,7.27534990,0.84170242,6.71426204,0.03257254,0.28641953,0.28319947,0.00360085
-5.77188594,7.13217472,0.80815005,6.60025399,0.03077036,0.27134161,0.27232442,0.00351683
-5.76588294,6.98636420,0.77398362,6.48405402,0.02898345,0.25606980,0.26114614,0.00343081
-5.75987994,6.83893028,0.73951938,6.36638687,0.02722861,0.24075155,0.24980165,0.00334319
-5.75387694,6.69076140,0.70508734,6.24785131,0.02552193,0.22553492,0.23842725,0.00325433
-5.74787394,6.54260981,0.67102487,6.12891288,0.02387864,0.21056546,0.22715597,0.00316456
-5.74187094,6.39508904,0.63767052,6.00990638,0.02231304,0.19598332,0.21611534,0.00307419
-5.73586793,6.24868153,0.60535835,5.89104797,0.02083842,0.18192067,0.20542557,0.00298347
-5.72986493,6.10375541,0.57441280,5.77245575,0.01946713,0.16849965,0.19519806,0.00289266
-5.72386193,5.96058913,0.54514424,5.65417749,0.01821050,0.15583068,0.18553434,0.00280198
