energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.93396607,0.01003168,0.18744087,0.39755090,0.98435189,0.61405317,0.93935686,0.00000000
-5.99399700,2.03788498,0.01117918,0.19807099,0.42212472,1.01844087,0.64577172,0.98999327,0.00000000
-5.98799400,2.14817234,0.01242652,0.20981557,0.44788908,1.05527644,0.68000910,1.04249302,0.00000000
-5.98199100,2.26389869,0.01376773,0.22255057,0.47478886,1.09414907,0.71647281,1.09648793,0.00000000
-5.97598799,2.38396295,0.01519411,0.23613305,0.50272570,1.13434098,0.75480476,1.15153592,0.00000000
-5.96998499,2.50709031,0.01669414,0.25040032,0.53155241,1.17512768,0.79457996,1.20712127,0.00000000
-5.96398199,2.63183840,0.01825341,0.26516982,0.56106909,1.21578043,0.83530830,1.26265861,0.00000000
-5.95797899,2.75661284,0.01985472,0.28024003,0.59102129,1.25557051,0.87643978,1.31750123,0.00000000
-5.95197599,2.87969241,0.02147824,0.29539246,0.62110079,1.29377557,0.91737335,1.37095350,0.00000000
-5.94597299,2.99926373,0.02310179,0.31039473,0.65094895,1.32968826,0.95746914,1.42228732,0.00000000
-5.93996998,3.11346453,0.02470131,0.32500489,0.68016307,1.36262720,0.99606393,1.47076204,0.00000000
-5.93396698,3.22043412,0.02625131,0.33897670,0.70830536,1.39194995,1.03248917,1.51564714,0.00000000
-5.92796398,3.31836902,0.02772558,0.35206586,0.73491461,1.41706746,1.06609103,1.55624661,0.00000000
-5.92196098,3.40558126,0.02909782,0.36403675,0.75951998,1.43745944,1.09625138,1.59192399,0.00000000
-5.91595798,3.48055678,0.03034242,0.37466966,0.78165653,1.45268960,1.12240888,1.62212675,0.00000000
-5.90995498,3.54201071,0.03143523,0.38376791,0.80088173,1.46242005,1.14407916,1.64640879,0.00000000
-5.90395198,3.58893694,0.03235433,0.39116461,0.81679228,1.46642380,1.16087291,1.66444978,0.00000000
-5.89794897,3.62064919,0.03308073,0.39672884,0.82904048,1.46459453,1.17251114,1.67607027,0.00000000
-5.89194597,3.63681119,0.03359905,0.40037062,0.83734928,1.45695282,1.17883667,1.68124170,0.00000000
-5.88594297,3.63745440,0.03389802,0.40204469,0.84152530,1.44364834,1.17982119,1.68009062,0.00000000
-5.87993997,3.62298183,0.03397090,0.40175269,0.84146919,1.42495751,1.17556759,1.67289678,0.00000000
-5.87393697,3.59415788,0.03381576,0.39954364,0.83718258,1.40127662,1.16630733,1.66008510,0.00000000
-5.86793397,3.55208408,0.03343550,0.39551276,0.82877154,1.37311046,1.15239282,1.64221184,0.00000000
-5.86193097,3.49816212,0.03283785,0.38979844,0.81644593,1.34105698,1.13428537,1.61994551,0.00000000
-5.85592796,3.43404556,0.03203507,0.38257774,0.80051493,1.30578843,1.11253899,1.59404351,0.00000000
-5.84992496,3.36158263,0.03104355,0.37406039,0.78137865,1.26802995,1.08778105,1.56532551,0.00000000
-5.84392196,3.28275253,0.02988328,0.36448173,0.75951625,1.22853648,1.06069046,1.53464488,0.00000000
-5.83791896,3.19959835,0.02857719,0.35409480,0.73547103,1.18806901,1.03197448,1.50285941,0.00000000
-5.83191596,3.11415930,0.02715042,0.34316194,0.70983309,1.14737121,1.00234516,1.47080276,0.00000000
-5.82591296,3.02840534,0.02562954,0.33194628,0.68322020,1.10714743,0.97249629,1.43925761,0.00000000
-5.81990995,2.94417663,0.02404173,0.32070345,0.65625783,1.06804298,0.94308196,1.40893189,0.00000000
-5.81390695,2.86313020,0.02241404,0.30967391,0.62955891,1.03062725,0.91469729,1.38043867,0.00000000
-5.80790395,2.78669551,0.02077259,0.29907596,0.60370428,0.99538044,0.88786221,1.35428048,0.00000000
-5.80190095,2.71604023,0.01914199,0.28909996,0.57922449,0.96268407,0.86300858,1.33083844,0.00000000
-5.79589795,2.65204681,0.01754471,0.27990367,0.55658365,0.93281539,0.84047098,1.31036618,0.00000000
-5.78989495,2.59530018,0.01600066,0.27160891,0.53616586,0.90594575,0.82048131,1.29298858,0.00000000
-5.78389195,2.54608611,0.01452686,0.26429968,0.51826473,0.88214257,0.80316710,1.27870489,0.00000000
-5.77788894,2.50439953,0.01313720,0.25802144,0.50307623,0.86137456,0.78855337,1.26739575,0.00000000
-5.77188594,2.46996176,0.01184240,0.25278188,0.49069516,0.84351974,0.77656758,1.25883357,0.00000000
-5.76588294,2.44224537,0.01064997,0.24855270,0.48111518,0.82837571,0.76704749,1.25269555,0.00000000
-5.75987994,2.42050521,0.00956439,0.24527245,0.47423241,0.81567159,0.75975125,1.24857869,0.00000000
-5.75387694,2.40381422,0.00858729,0.24285036,0.46985229,0.80508106,0.75436937,1.24601613,0.00000000
-5.74787394,2.39110251,0.00771772,0.24117068,0.46769950,0.79623613,0.75053802,1.24449427,0.00000000
-5.74187094,2.38119847,0.00695250,0.24009771,0.46743038,0.78874097,0.74785316,1.24347012,0.00000000
-5.73586793,2.37287060,0.00628657,0.23948117,0.46864750,0.78218563,0.74588523,1.24238852,0.00000000
-5.72986493,2.36486908,0.00571333,0.23916165,0.47091561,0.77615926,0.74419375,1.24069886,0.00000000
-5.72386193,2.35596599,0.00522510,0.23897623,0.47377859,0.77026256,0.74234163,1.23787105,0.00000000
-5.71785893,2.34499359,0.00481340,0.23876392,0.47677661,0.76411938,0.73990886,1.23341055,0.00000000
-5.71185593,2.33087969,0.00446934,0.23837086,0.47946289,0.75738720,0.73650522,1.22687224,0.00000000
-5.70585293,2.31267957,0.00418395,0.23765517,0.48141951,0.74976652,0.73178175,1.21787308,0.00000000
-5.69984992,2.28960393,0.00394840,0.23649124,0.48227173,0.74100898,0.72544087,1.20610321,0.00000000
-5.69384692,2.26104218,0.00375431,0.23477354,0.48170022,0.73092405,0.71724478,1.19133547,0.00000000
-5.68784392,2.22658071,0.00359388,0.23241959,0.47945093,0.71938431,0.70702200,1.17343308,0.00000000
-5.68184092,2.18601563,0.00346011,0.22937233,0.47534223,0.70632920,0.69467207,1.15235522,0.00000000
-5.67583792,2.13935962,0.00334686,0.22560156,0.46926913,0.69176696,0.68016800,1.12816026,0.00000000
-5.66983492,2.08684263,0.00324894,0.22110454,0.46120461,0.67577493,0.66355669,1.10100663,0.00000000
-5.66383192,2.02890642,0.00316219,0.21590577,0.45119794,0.65849785,0.64495713,1.07115080,0.00000000
-5.65782891,1.96619277,0.00308342,0.21005589,0.43937032,0.64014437,0.62455651,1.03894267,0.00000000
-5.65182591,1.89952576,0.00301045,0.20362975,0.42590809,0.62098157,0.60260438,1.00481796,0.00000000
-5.64582291,1.82988854,0.00294203,0.19672375,0.41105376,0.60132770,0.57940497,0.96928802,0.00000000
-5.63981991,1.75839515,0.00287779,0.18945255,0.39509541,0.58154320,0.55530799,0.93292695,0.00000000
-5.63381691,1.68625835,0.00281814,0.18194524,0.37835497,0.56202029,0.53069821,0.89635659,0.00000000
-5.62781391,1.61475452,0.00276423,0.17434113,0.36117577,0.54317129,0.50598421,0.86022970,0.00000000
-5.62181091,1.54518668,0.00271780,0.16678531,0.34390998,0.52541621,0.48158667,0.82521186,0.00000000
-5.61580790,1.47884715,0.00268109,0.15942419,0.32690642,0.50916989,0.45792660,0.79196277,0.00000000
-5.60980490,1.41698089,0.00265678,0.15240103,0.31049918,0.49482922,0.43541403,0.76111762,0.00000000
-5.60380190,1.36075120,0.00264785,0.14585191,0.29499747,0.48276087,0.41443743,0.73326908,0.00000000
-5.59779890,1.31120861,0.00265753,0.13990195,0.28067704,0.47329002,0.39535431,0.70895090,0.00000000
-5.59179590,1.26926438,0.00268921,0.13466211,0.26777336,0.46669059,0.37848326,0.68862336,0.00000000
-5.58579290,1.23566929,0.00274634,0.13022671,0.25647686,0.46317723,0.36409765,0.67266145,0.00000000
-5.57978989,1.21099843,0.00283245,0.12667151,0.24693009,0.46289953,0.35242113,0.66134595,0.00000000
-5.57378689,1.19564230,0.00295100,0.12405263,0.23922705,0.46593858,0.34362499,0.65485787,0.00000000
