energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.47287537,0.86739418,1.70882170,0.02496779,0.03227236,0.55787255,0.00000000,0.39707613,0.17968781
-5.99399700,2.42722094,0.83878419,1.69163447,0.02390576,0.03170721,0.53742312,0.00000000,0.37713209,0.17098558
-5.98799400,2.38024661,0.81007416,1.67295488,0.02283109,0.03113970,0.51696468,0.00000000,0.35721640,0.16242659
-5.98199100,2.33252388,0.78159022,1.65303330,0.02175937,0.03057449,0.49673219,0.00000000,0.33756825,0.15410219
-5.97598799,2.28452037,0.75360938,1.63206117,0.02070436,0.03001543,0.47692826,0.00000000,0.31840174,0.14609283
-5.96998499,2.23659917,0.72635541,1.61017530,0.01967765,0.02946555,0.45771959,0.00000000,0.29990119,0.13846653
-5.96398199,2.18902593,0.69999804,1.58746689,0.01868849,0.02892726,0.43923554,0.00000000,0.28221814,0.13127798
-5.95797899,2.14198275,0.67465494,1.56399464,0.01774367,0.02840246,0.42156875,0.00000000,0.26547003,0.12456827
-5.95197599,2.09558749,0.65039646,1.53980082,0.01684756,0.02789276,0.40477742,0.00000000,0.24974048,0.11836526
-5.94597299,2.04991686,0.62725239,1.51492908,0.01600226,0.02739972,0.38888927,0.00000000,0.23508092,0.11268434
-5.93996998,2.00503155,0.60522019,1.48944262,0.01520779,0.02692504,0.37390647,0.00000000,0.22151354,0.10752970
-5.93396698,1.96100122,0.58427415,1.46344144,0.01446242,0.02647081,0.35981139,0.00000000,0.20903508,0.10289579
-5.92796398,1.91792778,0.56437471,1.43707729,0.01376302,0.02603959,0.34657262,0.00000000,0.19762125,0.09876892
-5.92196098,1.87596519,0.54547739,1.41056529,0.01310545,0.02563454,0.33415090,0.00000000,0.18723159,0.09512901
-5.91595798,1.83533434,0.52754082,1.38419127,0.01248495,0.02525949,0.32250464,0.00000000,0.17781425,0.09195110
-5.90995498,1.79633226,0.51053336,1.35831432,0.01189655,0.02491884,0.31159473,0.00000000,0.16931070,0.08920689
-5.90395198,1.75933485,0.49443806,1.33336420,0.01133546,0.02461756,0.30138839,0.00000000,0.16165996,0.08686599
-5.89794897,1.72479320,0.47925589,1.30983375,0.01079734,0.02436098,0.29186200,0.00000000,0.15480235,0.08489690
-5.89194597,1.69322372,0.46500696,1.28826656,0.01027861,0.02415462,0.28300282,0.00000000,0.14868247,0.08326789
-5.88594297,1.66519274,0.45173007,1.26924064,0.00977661,0.02400403,0.27480964,0.00000000,0.14325156,0.08194746
-5.87993997,1.64129663,0.43948061,1.25334885,0.00928980,0.02391455,0.26729245,0.00000000,0.13846905,0.08090478
-5.87393697,1.62213854,0.42832717,1.24117721,0.00881774,0.02389110,0.26047126,0.00000000,0.13430343,0.08010982
-5.86793397,1.60830324,0.41834712,1.23328205,0.00836114,0.02393799,0.25437426,0.00000000,0.13073244,0.07953344
-5.86193097,1.60033124,0.40962158,1.23016737,0.00792175,0.02405878,0.24903552,0.00000000,0.12774274,0.07914740
-5.85592796,1.59869378,0.40223001,1.23226315,0.00750224,0.02425617,0.24449227,0.00000000,0.12532902,0.07892432
