energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.80934816,0.04697647,0.30017101,0.70148130,0.30011999,0.01675199,1.48379019,1.48321812,0.64888839
-5.99399700,2.90254762,0.04758912,0.31680718,0.72576776,0.30651882,0.01678602,1.52786584,1.55858152,0.67332789
-5.98799400,2.98296668,0.04791909,0.33250712,0.74664620,0.31134067,0.01672808,1.56487274,1.62921206,0.69500529
-5.98199100,3.04949825,0.04796563,0.34704631,0.76383986,0.31452780,0.01657487,1.59431640,1.69420530,0.71361601
-5.97598799,3.10128327,0.04773364,0.36021308,0.77713646,0.31605460,0.01632573,1.61584447,1.75272053,0.72890675
-5.96998499,3.13772283,0.04723333,0.37181342,0.78639190,0.31592700,0.01598261,1.62924995,1.80399728,0.74067994
-5.96398199,3.15848241,0.04647974,0.38167548,0.79153179,0.31418083,0.01554980,1.63446978,1.84736978,0.74879656
-5.95797899,3.16348827,0.04549213,0.38965349,0.79255083,0.31087923,0.01503378,1.63157909,1.88227925,0.75317728
-5.95197599,3.15291667,0.04429315,0.39563097,0.78951010,0.30610940,0.01444285,1.62078155,1.90828357,0.75380199
-5.94597299,3.12717689,0.04290808,0.39952325,0.78253257,0.29997872,0.01378678,1.60239656,1.92506447,0.75070783
-5.93996998,3.08688901,0.04136392,0.40127906,0.77179708,0.29261059,0.01307646,1.57684405,1.93243176,0.74398589
-5.93396698,3.03285794,0.03968858,0.40088130,0.75753117,0.28414000,0.01232348,1.54462763,1.93032513,0.73377675
-5.92796398,2.96604489,0.03791000,0.39834692,0.74000315,0.27470938,0.01153974,1.50631719,1.91881314,0.72026525
-5.92196098,2.88753769,0.03605547,0.39372596,0.71951371,0.26446445,0.01073710,1.46253144,1.89809001,0.70367452
-5.91595798,2.79852115,0.03415102,0.38709981,0.69638759,0.25355066,0.00992702,1.41392137,1.86847001,0.68425971
-5.90995498,2.70024850,0.03222086,0.37857877,0.67096547,0.24211004,0.00912028,1.36115501,1.83038004,0.66230160
-5.90395198,2.59401489,0.03028710,0.36829900,0.64359649,0.23027863,0.00832674,1.30490408,1.78435035,0.63810019
-5.89794897,2.48113331,0.02836946,0.35641902,0.61463144,0.21818459,0.00755514,1.24583265,1.73100389,0.61196863
-5.89194597,2.36291361,0.02648523,0.34311582,0.58441696,0.20594686,0.00681301,1.18458804,1.67104434,0.58422745
-5.88594297,2.24064457,0.02464929,0.32858076,0.55329058,0.19367438,0.00610652,1.12179377,1.60524316,0.55519925
-5.87993997,2.11557897,0.02287422,0.31301537,0.52157678,0.18146590,0.00544053,1.05804454,1.53442594,0.52520391
-5.87393697,1.98892159,0.02117059,0.29662709,0.48958394,0.16941007,0.00481859,0.99390289,1.45945813,0.49455433
-5.86793397,1.86181969,0.01954715,0.27962523,0.45760214,0.15758595,0.00424301,0.92989728,1.38123056,0.46355268
-5.86193097,1.73535568,0.01801124,0.26221703,0.42590157,0.14606371,0.00371495,0.86652110,1.30064492,0.43248717
-5.85592796,1.61054150,0.01656906,0.24460406,0.39473159,0.13490542,0.00323455,0.80423259,1.21859937,0.40162926
-5.84992496,1.48831447,0.01522601,0.22697902,0.36432021,0.12416592,0.00280108,0.74345501,1.13597478,0.37123138
-5.84392196,1.36953417,0.01398702,0.20952285,0.33487390,0.11389363,0.00241306,0.68457709,1.05362150,0.34152500
-5.83791896,1.25498016,0.01285676,0.19240235,0.30657764,0.10413133,0.00206844,0.62795343,0.97234738,0.31271916
-5.83191596,1.14535042,0.01183993,0.17576832,0.27959512,0.09491673,0.00176475,0.57390484,0.89290681,0.28499929
-5.82591296,1.04126036,0.01094136,0.15975409,0.25406903,0.08628305,0.00149917,0.52271847,0.81599139,0.25852650
-5.81990995,0.94324240,0.01016612,0.14447460,0.23012145,0.07825931,0.00126874,0.47464776,0.74222221,0.23343723
-5.81390695,0.85174610,0.00951957,0.13002599,0.20785429,0.07087063,0.00107042,0.42991241,0.67214395,0.20984315
-5.80790395,0.76713900,0.00900730,0.11648552,0.18734974,0.06413835,0.00090117,0.38869813,0.60622084,0.18783165
-5.80190095,0.68970804,0.00863508,0.10391207,0.16867078,0.05808008,0.00075806,0.35115655,0.54483461,0.16746646
-5.79589795,0.61966175,0.00840866,0.09234686,0.15186182,0.05270971,0.00063830,0.31740523,0.48828425,0.14878885
-5.78989495,0.55713317,0.00833358,0.08181461,0.13694929,0.04803735,0.00053928,0.28752777,0.43678758,0.13181896
-5.78389195,0.50218342,0.00841491,0.07232489,0.12394239,0.04406928,0.00045863,0.26157431,0.39048448,0.11655759
-5.77788894,0.45480599,0.00865698,0.06387376,0.11283386,0.04080787,0.00039419,0.23956213,0.34944143,0.10298815
-5.77188594,0.41493152,0.00906301,0.05644548,0.10360084,0.03825150,0.00034406,0.22147662,0.31365737,0.09107889
-5.76588294,0.38243315,0.00963476,0.05001439,0.09620573,0.03639452,0.00030657,0.20727253,0.28307042,0.08078520
-5.75987994,0.35713217,0.01037222,0.04454678,0.09059725,0.03522723,0.00028028,0.19687545,0.25756534,0.07205205
-5.75387694,0.33880395,0.01127319,0.04000282,0.08671137,0.03473585,0.00026396,0.19018354,0.23698136,0.06481650
-5.74787394,0.32718411,0.01233302,0.03633835,0.08447246,0.03490257,0.00025661,0.18706955,0.22112039,0.05901004
-5.74187094,0.32197476,0.01354428,0.03350672,0.08379447,0.03570560,0.00025738,0.18738309,0.20975517,0.05456098
-5.73586793,0.32285088,0.01489654,0.03146038,0.08458215,0.03711927,0.00026563,0.19095312,0.20263741,0.05139663
-5.72986493,0.32946672,0.01637624,0.03015250,0.08673247,0.03911422,0.00028083,0.19759074,0.19950570,0.04944534
-5.72386193,0.34146232,0.01796666,0.02953831,0.09013615,0.04165764,0.00030261,0.20709235,0.20009319,0.04863830
-5.71785893,0.35847010,0.01964795,0.02957639,0.09467934,0.04471359,0.00033073,0.21924298,0.20413487,0.04891109
-5.71185593,0.38012155,0.02139734,0.03022977,0.10024550,0.04824338,0.00036504,0.23382012,0.21137453,0.05020510
-5.70585293,0.40605392,0.02318948,0.03146684,0.10671747,0.05220615,0.00040549,0.25059769,0.22157120,0.05246853
-5.69984992,0.43591698,0.02499686,0.03326218,0.11397971,0.05655943,0.00045212,0.26935044,0.23450517,0.05565724
-5.69384692,0.46937958,0.02679041,0.03559709,0.12192069,0.06125987,0.00050501,0.28985839,0.24998331,0.05973529
-5.68784392,0.50613606,0.02854018,0.03846006,0.13043536,0.06626409,0.00056434,0.31191142,0.26784369,0.06467523
-5.68184092,0.54591214,0.03021612,0.04184693,0.13942767,0.07152953,0.00063031,0.33531377,0.28795934,0.07045813
-5.67583792,0.58847009,0.03178893,0.04576093,0.14881301,0.07701543,0.00070317,0.35988830,0.31024093,0.07707331
-5.66983492,0.63361302,0.03323087,0.05021238,0.15852051,0.08268383,0.00078316,0.38548026,0.33463817,0.08451786
-5.66383192,0.68118791,0.03451672,0.05521824,0.16849499,0.08850051,0.00087055,0.41196047,0.36113984,0.09279594
-5.65782891,0.73108719,0.03562448,0.06080137,0.17869858,0.09443601,0.00096560,0.43922760,0.38977215,0.10191778
-5.65182591,0.78324866,0.03653618,0.06698949,0.18911179,0.10046645,0.00106854,0.46720950,0.42059538,0.11189855
-5.64582291,0.83765369,0.03723841,0.07381396,0.19973400,0.10657438,0.00117955,0.49586334,0.45369871,0.12275706
-5.63981991,0.89432351,0.03772282,0.08130828,0.21058324,0.11274937,0.00129877,0.52517467,0.48919326,0.13451434
-5.63381691,0.95331387,0.03798634,0.08950642,0.22169534,0.11898857,0.00142624,0.55515517,0.52720347,0.14719211
-5.62781391,1.01470809,0.03803129,0.09844095,0.23312227,0.12529696,0.00156195,0.58583942,0.56785697,0.16081137
-5.62181091,1.07860889,0.03786521,0.10814117,0.24492990,0.13168754,0.00170579,0.61728061,0.61127340,0.17539090
-5.61580790,1.14512933,0.03750052,0.11863113,0.25719509,0.13818120,0.00185754,0.64954564,0.65755250,0.19094600
-5.60980490,1.21438339,0.03695405,0.12992783,0.27000232,0.14480645,0.00201691,0.68270963,0.70676204,0.20748740
-5.60380190,1.28647659,0.03624628,0.14203944,0.28343996,0.15159897,0.00218354,0.71685031,0.75892619,0.22502037
-5.59779890,1.36149729,0.03540060,0.15496393,0.29759638,0.15860084,0.00235699,0.75204261,0.81401494,0.24354421
-5.59179590,1.43950897,0.03444236,0.16868787,0.31255591,0.16585976,0.00253682,0.78835357,0.87193517,0.26305197
-5.58579290,1.52054402,0.03339793,0.18318575,0.32839513,0.17342788,0.00272257,0.82583804,0.93252400,0.28353051
-5.57978989,1.60459924,0.03229373,0.19841965,0.34517922,0.18136060,0.00291384,0.86453523,0.99554474,0.30496089
-5.57378689,1.69163320,0.03115529,0.21433945,0.36295887,0.18971511,0.00311032,0.90446633,1.06068604,0.32731896
-5.56778389,1.78156550,0.03000644,0.23088344,0.38176771,0.19854883,0.00331185,0.94563309,1.12756417,0.35057615
-5.56178089,1.87427764,0.02886854,0.24797941,0.40162016,0.20791759,0.00351848,0.98801756,1.19572866,0.37470029
-5.55577789,1.96961539,0.02775988,0.26554615,0.42251005,0.21787379,0.00373052,1.03158260,1.26467098,0.39965649
-5.54977489,2.06739206,0.02669530,0.28349511,0.44440977,0.22846438,0.00394860,1.07627309,1.33383597,0.42540778
-5.54377189,2.16739229,0.02568585,0.30173245,0.46726988,0.23972873,0.00417368,1.12201766,1.40263549,0.45191563
-5.53776888,2.26937584,0.02473876,0.32016094,0.49101932,0.25169649,0.00440717,1.16873046,1.47046359,0.47913999
-5.53176588,2.37308072,0.02385754,0.33868204,0.51556596,0.26438551,0.00465085,1.21631288,1.53671253,0.50703907
-5.52576288,2.47822552,0.02304215,0.35719760,0.54079746,0.27779971,0.00490698,1.26465490,1.60078866,0.53556850
-5.51975988,2.58451034,0.02228946,0.37561148,0.56658237,0.29192723,0.00517819,1.31363583,1.66212762,0.56468021
-5.51375688,2.69161627,0.02159366,0.39383065,0.59277139,0.30673878,0.00546755,1.36312440,1.72020791,0.59432071
-5.50775388,2.79920349,0.02094689,0.41176602,0.61919880,0.32218625,0.00577844,1.41297818,1.77456230,0.62442920
-5.50175088,2.90690813,0.02033980,0.42933281,0.64568400,0.33820193,0.00611452,1.46304227,1.82478670,0.65493533
-5.49574787,3.01433817,0.01976220,0.44645044,0.67203315,0.35469803,0.00647963,1.51314757,1.87054598,0.68575695
-5.48974487,3.12106914,0.01920366,0.46304224,0.69804111,0.37156700,0.00687764,1.56310878,1.91157702,0.71679797
-5.48374187,3.22664004,0.01865410,0.47903473,0.72349352,0.38868233,0.00731236,1.61272245,1.94768876,0.74794652
-5.47773887,3.33055023,0.01810425,0.49435693,0.74816933,0.40590018,0.00778733,1.66176540,1.97875981,0.77907363
-5.47173587,3.43225812,0.01754611,0.50893952,0.77184369,0.42306161,0.00830572,1.70999388,2.00473406,0.81003252
-5.46573287,3.53118206,0.01697326,0.52271420,0.79429131,0.43999552,0.00887007,1.75714379,2.02561471,0.84065883
-5.45972986,3.62670411,0.01638103,0.53561337,0.81529042,0.45652222,0.00948218,1.80293210,2.04145763,0.87077166
-5.45372686,3.71817701,0.01576667,0.54757004,0.83462715,0.47245747,0.01014290,1.84705985,2.05236438,0.90017571
-5.44772386,3.80493432,0.01512933,0.55851837,0.85210047,0.48761693,0.01085197,1.88921653,2.05847577,0.92866432
-5.44172086,3.88630378,0.01446993,0.56839464,0.86752744,0.50182088,0.01160786,1.92908604,2.05996628,0.95602349
-5.43571786,3.96162342,0.01379108,0.57713875,0.88074871,0.51489893,0.01240765,1.96635392,2.05703965,0.98203667
-5.42971486,4.03025981,0.01309675,0.58469626,0.89163402,0.52669475,0.01324698,2.00071555,2.04992604,1.00649020
-5.42371186,4.09162771,0.01239205,0.59102076,0.90008750,0.53707036,0.01411994,2.03188503,2.03888048,1.02917908
