energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,11.04682087,0.80462092,0.00000000,0.02741959,1.43367378,6.67936015,5.18334906,0.14229375,3.29657494
-5.99399700,10.97178682,0.81491830,0.00000000,0.02741925,1.41661363,6.68525645,5.13909098,0.14082329,3.28667838
-5.98799400,10.87433240,0.82185152,0.00000000,0.02733178,1.39900346,6.67188834,5.08867941,0.13888086,3.26588501
-5.98199100,10.75770633,0.82540152,0.00000000,0.02717150,1.38129091,6.64097865,5.03359494,0.13654651,3.23506854
-5.97598799,10.62568938,0.82561336,0.00000000,0.02695446,1.36394654,6.59469289,4.97549968,0.13390709,3.19533503
-5.96998499,10.48245802,0.82259492,0.00000000,0.02669791,1.34744395,6.53556456,4.91617645,0.13105315,3.14798580
-5.96398199,10.33243544,0.81651424,0.00000000,0.02641967,1.33223902,6.46641415,4.85746205,0.12807577,3.09447575
-5.95797899,10.18013699,0.80759545,0.00000000,0.02613751,1.31874941,6.39026535,4.80117792,0.12506348,3.03636857
-5.95197599,10.03001683,0.79611350,0.00000000,0.02586853,1.30733528,6.31026177,4.74906148,0.12209945,2.97529091
-5.94597299,9.88632256,0.78238782,0.00000000,0.02562853,1.29828247,6.22958747,4.70270146,0.11925890,2.91288717
-5.93996998,9.75296381,0.76677512,0.00000000,0.02543152,1.29178871,6.15139360,4.66348028,0.11660707,2.85077644
-5.93396698,9.63339976,0.74966145,0.00000000,0.02528919,1.28795390,6.07873303,4.63252592,0.11419752,2.79051293
-5.92796398,9.53054927,0.73145384,0.00000000,0.02521052,1.28677474,6.01450418,4.61067532,0.11207106,2.73355102
-5.92196098,9.44672581,0.71257146,0.00000000,0.02520154,1.28814402,5.96140421,4.59845050,0.11025516,2.68121538
-5.91595798,9.38359818,0.69343676,0.00000000,0.02526509,1.29185461,5.92189123,4.59604787,0.10876387,2.63467674
-5.90995498,9.34217611,0.67446646,0.00000000,0.02540077,1.29760775,5.89815441,4.60334058,0.10759826,2.59493315
-5.90395198,9.32281891,0.65606277,0.00000000,0.02560498,1.30502522,5.89209053,4.61989278,0.10674727,2.56279656
-5.89794897,9.32526418,0.63860480,0.00000000,0.02587107,1.31366471,5.90528489,4.64498440,0.10618893,2.53888419
-5.89194597,9.34867256,0.62244037,0.00000000,0.02618960,1.32303740,5.93899480,4.67764435,0.10589185,2.52361408
-5.88594297,9.39168428,0.60787836,0.00000000,0.02654867,1.33262682,5.99413349,4.71668976,0.10581692,2.51720401
-5.87993997,9.45248318,0.59518163,0.00000000,0.02693434,1.34190812,6.07125320,4.76076898,0.10591913,2.51967322
-5.87393697,9.52886375,0.58456078,0.00000000,0.02733113,1.35036654,6.17052616,4.80840573,0.10614939,2.53084618
-5.86793397,9.61829760,0.57616875,0.00000000,0.02772254,1.35751446,6.29172325,4.85804236,0.10645635,2.55035801
-5.86193097,9.71799637,0.57009650,0.00000000,0.02809159,1.36290601,6.43419080,4.90808018,0.10678809,2.57766114
-5.85592796,9.82496890,0.56636990,0.00000000,0.02842140,1.36614889,6.59682671,4.95691561,0.10709363,2.61203321
-5.84992496,9.93607181,0.56494799,0.00000000,0.02869568,1.36691291,6.77805804,5.00297107,0.10732430,2.65258619
-5.84392196,10.04805327,0.56572274,0.00000000,0.02889930,1.36493510,6.97582273,5.04472035,0.10743484,2.69827721
-5.83791896,10.15759091,0.56852045,0.00000000,0.02901870,1.36002150,7.18755869,5.08070846,0.10738432,2.74792129
-5.83191596,10.26132552,0.57310492,0.00000000,0.02904228,1.35204588,7.41020369,5.10956654,0.10713679,2.80020663
-5.82591296,10.35589276,0.57918245,0.00000000,0.02896075,1.34094582,7.64020948,5.13002287,0.10666175,2.85371294
-5.81990995,10.43795518,0.58640854,0.00000000,0.02876732,1.32671665,7.87357321,5.14091093,0.10593444,2.90693328
-5.81390695,10.50423713,0.59439650,0.00000000,0.02845783,1.30940408,8.10588854,5.14117593,0.10493593,2.95829971
-5.80790395,10.55156457,0.60272755,0.00000000,0.02803085,1.28909600,8.33241782,5.12988095,0.10365307,3.00621274
-5.80190095,10.57691138,0.61096233,0.00000000,0.02748758,1.26591424,8.54818589,5.10621385,0.10207842,3.04907459
-5.79589795,10.57745283,0.61865349,0.00000000,0.02683174,1.24000695,8.74809405,5.06949568,0.10020997,3.08532566
-5.78989495,10.55062631,0.62535903,0.00000000,0.02606940,1.21154198,8.92705222,5.01919118,0.09805087,3.11348336
-5.78389195,10.49419797,0.63065585,0.00000000,0.02520867,1.18070171,9.08012507,4.95492129,0.09560914,3.13218241
-5.77788894,10.40633339,0.63415314,0.00000000,0.02425943,1.14767964,9.20268736,4.87647760,0.09289733,3.14021503
-5.77188594,10.28566949,0.63550508,0.00000000,0.02323298,1.11267867,9.29058228,4.78383787,0.08993212,3.13656966
-5.76588294,10.13138394,0.63442229,0.00000000,0.02214166,1.07591107,9.34027605,4.67718169,0.08673397,3.12046656
-5.75987994,9.94325857,0.63068167,0.00000000,0.02099851,1.03759995,9.34900183,4.55690507,0.08332674,3.09138857
-5.75387694,9.72173234,0.62413421,0.00000000,0.01981688,0.99798184,9.31488581,4.42363268,0.07973726,3.04910556
-5.74787394,9.46794050,0.61471034,0.00000000,0.01861013,0.95730996,9.23704916,4.27822615,0.07599494,2.99369127
-5.74187094,9.18373625,0.60242276,0.00000000,0.01739127,0.91585774,9.11568029,4.12178758,0.07213130,2.92553144
