energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,10.47406392,1.47985131,5.18319253,0.16530532,0.05837265,0.07368271,1.19124221,0.78284869,2.55595862
-5.99399700,10.09086536,1.40087915,5.02767095,0.16004097,0.05914044,0.07507707,1.15102482,0.76302006,2.42501406
-5.98799400,9.71737404,1.32520137,4.87160080,0.15477475,0.06016510,0.07654963,1.11271478,0.74369340,2.30020428
-5.98199100,9.35601058,1.25355005,4.71538344,0.14962728,0.06145359,0.07810464,1.07666921,0.72531254,2.18248272
-5.97598799,9.00896282,1.18654643,4.55946658,0.14471170,0.06300894,0.07974370,1.04319718,0.70828988,2.07265982
-5.96998499,8.67814585,1.12469059,4.40434660,0.14013015,0.06482988,0.08146529,1.01255088,0.69299486,1.97138313
-5.96398199,8.36517089,1.06835405,4.25057088,0.13597072,0.06691065,0.08326437,0.98491837,0.67974393,1.87912201
-5.95797899,8.07132330,1.01777544,4.09873926,0.13230484,0.06924092,0.08513212,0.96041797,0.66879228,1.79615730
-5.95197599,7.79754991,0.97305942,3.94950429,0.12918524,0.07180600,0.08705577,0.93909467,0.66032751,1.72257624
-5.94597299,7.54445570,0.93417877,3.80356990,0.12664456,0.07458715,0.08901861,0.92091858,0.65446560,1.65827275
-5.93996998,7.31230936,0.90097968,3.66168785,0.12469455,0.07756210,0.09100002,0.90578566,0.65124903,1.60295296
-5.93396698,7.10105719,0.87319000,3.52465196,0.12332609,0.08070566,0.09297580,0.89352057,0.65064731,1.55614583
-5.92796398,6.91034474,0.85043036,3.39328978,0.12250977,0.08399050,0.09491848,0.88388180,0.65255972,1.51721864
-5.92196098,6.73954495,0.83222768,3.26845174,0.12219725,0.08738794,0.09679787,0.87656872,0.65682012,1.48539667
-5.91595798,6.58779206,0.81803091,3.15099787,0.12232316,0.09086880,0.09858166,0.87123057,0.66320372,1.45978671
-5.90995498,6.45401959,0.80722847,3.04178219,0.12280767,0.09440419,0.10023618,0.86747694,0.67143540,1.43940355
-5.90395198,6.33700138,0.79916685,2.94163514,0.12355943,0.09796625,0.10172722,0.86488954,0.68119945,1.42319876
-5.89794897,6.23539395,0.79316998,2.85134431,0.12447901,0.10152877,0.10302094,0.86303480,0.69215019,1.41009085
