energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.36313724,1.01584422,0.57378580,0.00436252,0.37309566,1.26113197,0.62387042,0.01526083,1.66859845
-5.99399700,3.36422821,1.01165807,0.58041125,0.00444679,0.36885539,1.24684359,0.62160323,0.01567473,1.67367567
-5.98799400,3.36411943,1.00766854,0.58609327,0.00452821,0.36442800,1.23310639,0.61928420,0.01604864,1.67844455
-5.98199100,3.36387540,1.00425310,0.59091650,0.00460535,0.36002392,1.22066682,0.61714531,0.01637966,1.68334248
-5.97598799,3.36454151,1.00176276,0.59497484,0.00467683,0.35586394,1.21026951,0.61541558,0.01666588,1.68877455
-5.96998499,3.36710487,1.00050921,0.59836727,0.00474135,0.35217288,1.20263004,0.61431375,0.01690635,1.69509644
-5.96398199,3.37245775,1.00075332,0.60119358,0.00479772,0.34917328,1.19840826,0.61404154,0.01710099,1.70259922
-5.95797899,3.38136541,1.00269571,0.60355039,0.00484486,0.34707935,1.19818324,0.61477764,0.01725049,1.71149687
-5.95197599,3.39443939,1.00646957,0.60552747,0.00488186,0.34609131,1.20243088,0.61667277,0.01735616,1.72191703
-5.94597299,3.41211776,1.01213630,0.60720478,0.00490796,0.34639037,1.21150503,0.61984596,0.01741982,1.73389548
-5.93996998,3.43465296,1.01968397,0.60865017,0.00492260,0.34813443,1.22562297,0.62438216,0.01744359,1.74737468
-5.93396698,3.46210767,1.02902878,0.60991798,0.00492542,0.35145474,1.24485579,0.63033133,0.01742979,1.76220640
-5.92796398,3.49435908,1.04001949,0.61104853,0.00491626,0.35645340,1.26912417,0.63770884,0.01738079,1.77815845
-5.92196098,3.53111085,1.05244442,0.61206852,0.00489520,0.36320192,1.29819966,0.64649728,0.01729888,1.79492513
-5.91595798,3.57191238,1.06604097,0.61299231,0.00486250,0.37174077,1.33171154,0.65664939,0.01718617,1.81214095
-5.90995498,3.61618411,1.08050693,0.61382387,0.00481864,0.38207973,1.36915884,0.66809200,0.01704459,1.82939708
-5.90395198,3.66324757,1.09551325,0.61455935,0.00476429,0.39419916,1.40992716,0.68073074,0.01687580,1.84625951
-5.89794897,3.71235845,1.11071762,0.61518995,0.00470030,0.40805189,1.45330946,0.69445506,0.01668125,1.86228831
-5.89194597,3.76274110,1.12577822,0.61570499,0.00462765,0.42356573,1.49852998,0.70914355,0.01646215,1.87705684
-5.88594297,3.81362245,1.14036700,0.61609473,0.00454747,0.44064621,1.54477022,0.72466899,0.01621963,1.89017019
-5.87993997,3.86426377,1.15418193,0.61635297,0.00446095,0.45917969,1.59119592,0.74090300,0.01595473,1.90128169
-5.87393697,3.91398855,1.16695776,0.61647902,0.00436936,0.47903639,1.63698377,0.75771996,0.01566853,1.91010704
-5.86793397,3.96220524,1.17847463,0.61647894,0.00427399,0.50007333,1.68134690,0.77500009,0.01536224,1.91643509
-5.86193097,4.00842375,1.18856452,0.61636603,0.00417611,0.52213706,1.72355792,0.79263150,0.01503727,1.92013511
-5.85592796,4.05226517,1.19711497,0.61616036,0.00407696,0.54506603,1.76296869,0.81051104,0.01469531,1.92116002
-5.84992496,4.09346427,1.20407026,0.61588754,0.00397768,0.56869251,1.79902617,0.82854426,0.01433839,1.91954563
-5.84392196,4.13186532,1.20943001,0.61557669,0.00387934,0.59284419,1.83128366,0.84664415,0.01396887,1.91540615
-5.83791896,4.16741136,1.21324531,0.61525787,0.00378286,0.61734525,1.85940729,0.86472918,0.01358947,1.90892610
-5.83191596,4.20012834,1.21561276,0.61495904,0.00368903,0.64201714,1.88317775,0.88272063,0.01320323,1.90034936
-5.82591296,4.23010504,1.21666673,0.61470293,0.00359849,0.66667905,1.90248738,0.90053945,0.01281345,1.88996588
-5.81990995,4.25747044,1.21657040,0.61450402,0.00351172,0.69114824,1.91733317,0.91810313,0.01242364,1.87809695
-5.81390695,4.28237000,1.21550592,0.61436578,0.00342902,0.71524031,1.92780622,0.93532259,0.01203743,1.86507978
-5.80790395,4.30494262,1.21366434,0.61427861,0.00335058,0.73876961,1.93407856,0.95209960,0.01165847,1.85125222
-5.80190095,4.32529970,1.21123584,0.61421846,0.00327640,0.76154986,1.93638801,0.96832481,0.01129032,1.83693853
-5.79589795,4.34350770,1.20840061,0.61414643,0.00320640,0.78339514,1.93502225,0.98387680,0.01093640,1.82243670
-5.78989495,4.35957538,1.20532091,0.61400935,0.00314035,0.80412137,1.93030280,0.99862204,0.01059988,1.80800814
-5.78389195,4.37344649,1.20213464,0.61374135,0.00307797,0.82354832,1.92256983,1.01241615,0.01028364,1.79387002
-5.77788894,4.38499835,1.19895069,0.61326644,0.00301888,0.84150219,1.91216859,1.02510626,0.00999020,1.78019059
-5.77188594,4.39404651,1.19584620,0.61250191,0.00296268,0.85781877,1.89943784,1.03653450,0.00972169,1.76708751
-5.76588294,4.40035497,1.19286573,0.61136237,0.00290895,0.87234700,1.88470091,1.04654251,0.00947989,1.75462925
-5.75987994,4.40365158,1.19002246,0.60976430,0.00285725,0.88495307,1.86825952,1.05497673,0.00926616,1.74283907
-5.75387694,4.40364749,1.18730108,0.60763074,0.00280719,0.89552465,1.85039028,1.06169433,0.00908152,1.73170148
-5.74787394,4.40005949,1.18466229,0.60489601,0.00275839,0.90397519,1.83134389,1.06656936,0.00892666,1.72117039
-5.74187094,4.39263394,1.18204844,0.60151002,0.00271052,0.91024806,1.81134668,1.06949886,0.00880194,1.71117863
-5.73586793,4.38117076,1.17939014,0.59744212,0.00266333,0.91432036,1.79060398,1.07040871,0.00870747,1.70164804
-5.72986493,4.36554609,1.17661328,0.59268416,0.00261661,0.91620603,1.76930497,1.06925870,0.00864308,1.69249960
-5.72386193,4.34573222,1.17364618,0.58725264,0.00257025,0.91595817,1.74762827,1.06604676,0.00860839,1.68366301
-5.71785893,4.32181366,1.17042631,0.58118987,0.00252417,0.91367038,1.72574781,1.06081188,0.00860276,1.67508508
-5.71185593,4.29399829,1.16690645,0.57456407,0.00247841,0.90947687,1.70383845,1.05363576,0.00862532,1.66673672
-5.70585293,4.26262297,1.16305969,0.56746832,0.00243302,0.90355137,1.68208067,1.04464282,0.00867492,1.65861791
-5.69984992,4.22815321,1.15888327,0.56001867,0.00238816,0.89610466,1.66066423,1.03399876,0.00875012,1.65076078
-5.69384692,4.19117692,1.15440088,0.55235121,0.00234400,0.88738096,1.63979028,1.02190752,0.00884916,1.64323041
-5.68784392,4.15239241,1.14966346,0.54461850,0.00230078,0.87765297,1.61967174,1.00860681,0.00896993,1.63612358
-5.68184092,4.11259140,1.14474841,0.53698539,0.00225877,0.86721607,1.60053213,0.99436244,0.00910990,1.62956575
-5.67583792,4.07263774,1.13975743,0.52962452,0.00221824,0.85638151,1.58260271,0.97946158,0.00926616,1.62370619
-5.66983492,4.03344307,1.13481293,0.52271163,0.00217951,0.84546919,1.56611813,0.96420532,0.00943536,1.61871206
-5.66383192,3.99594041,1.13005352,0.51642094,0.00214287,0.83480002,1.55131101,0.94890082,0.00961376,1.61476146
-5.65782891,3.96105723,1.12562864,0.51092074,0.00210862,0.82468834,1.53840566,0.93385337,0.00979724,1.61203619
-5.65182591,3.92968892,1.12169280,0.50636945,0.00207706,0.81543455,1.52761131,0.91935873,0.00998135,1.61071449
-5.64582291,3.90267419,1.11839975,0.50291210,0.00204846,0.80731831,1.51911537,0.90569597,0.01016142,1.61096416
-5.63981991,3.88077300,1.11589678,0.50067754,0.00202305,0.80059244,1.51307690,0.89312116,0.01033261,1.61293662
-5.63381691,3.86464818,1.11431964,0.49977627,0.00200105,0.79547768,1.50962083,0.88186198,0.01049004,1.61676185
-5.62781391,3.85485107,1.11378820,0.50029900,0.00198265,0.79215859,1.50883299,0.87211357,0.01062895,1.62254480
-5.62181091,3.85181144,1.11440303,0.50231595,0.00196799,0.79078033,1.51075628,0.86403548,0.01074476,1.63036304
-5.61580790,3.85583184,1.11624301,0.50587672,0.00195720,0.79144661,1.51538811,0.85774987,0.01083325,1.64026580
-5.60980490,3.86708598,1.11936411,0.51101082,0.00195038,0.79421855,1.52267896,0.85334077,0.01089067,1.65227434
-5.60380190,3.88562068,1.12379898,0.51772863,0.00194757,0.79911440,1.53253218,0.85085439,0.01091385,1.66638336
-5.59779890,3.91136089,1.12955758,0.52602279,0.00194883,0.80611003,1.54480491,0.85030018,0.01090028,1.68256324
