energy_ev,total_up,Cu_p_up,Cu_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,9.36264808,2.10622975,7.77372373,1.38775923,0.02613456,1.21870389,0.00000000
-5.99399700,9.38769996,2.10799920,7.80040164,1.40006840,0.02622875,1.21259451,0.00000000
-5.98799400,9.40025824,2.10782984,7.81595368,1.41077772,0.02626441,1.20490173,0.00000000
-5.98199100,9.40037015,2.10582439,7.82040630,1.41970467,0.02624223,1.19573642,0.00000000
-5.97598799,9.38806350,2.10205699,7.81379297,1.42665143,0.02616347,1.18521085,0.00000000
-5.96998499,9.36336616,2.09657322,7.79617075,1.43141463,0.02603001,1.17343630,0.00000000
-5.96398199,9.32633166,2.08939320,7.76764096,1.43379640,0.02584434,1.16052124,0.00000000
-5.95797899,9.27706901,2.08051742,7.72837223,1.43361622,0.02560953,1.14657022,0.00000000
-5.95197599,9.21577473,2.06993489,7.67862432,1.43072284,0.02532927,1.13168340,0.00000000
-5.94597299,9.14276485,2.05763288,7.61877119,1.42500576,0.02500782,1.11595643,0.00000000
-5.93996998,9.05850495,2.04360775,7.54932163,1.41640567,0.02465004,1.09948080,0.00000000
-5.93396698,8.96363649,2.02787613,7.47093641,1.40492327,0.02426136,1.08234453,0.00000000
-5.92796398,8.85899787,2.01048567,7.38444082,1.39062613,0.02384776,1.06463298,0.00000000
-5.92196098,8.74563911,1.99152479,7.29083207,1.37365320,0.02341575,1.04642993,0.00000000
-5.91595798,8.62482945,1.97113079,7.19128095,1.35421677,0.02297235,1.02781867,0.00000000
-5.90995498,8.49805720,1.94949581,7.08712780,1.33260174,0.02252505,1.00888326,0.00000000
-5.90395198,8.36702190,1.92687019,6.97987278,1.30916218,0.02208176,0.98970974,0.00000000
-5.89794897,8.23361856,1.90356293,6.87116044,1.28431529,0.02165079,0.97038736,0.00000000
-5.89194597,8.09991435,1.87993913,6.76275916,1.25853287,0.02124076,0.95100975,0.00000000
-5.88594297,7.96811795,1.85641427,6.65653538,1.23233059,0.02086051,0.93167594,0.00000000
-5.87993997,7.84054196,1.83344552,6.55442319,1.20625535,0.02051907,0.91249118,0.00000000
-5.87393697,7.71955884,1.81152019,6.45838931,1.18087100,0.02022548,0.89356737,0.00000000
-5.86793397,7.60755083,1.79114167,6.37039388,1.15674299,0.01998872,0.87502316,0.00000000
-5.86193097,7.50685458,1.77281332,6.29234729,1.13442213,0.01981751,0.85698338,0.00000000
-5.85592796,7.41970126,1.75702087,6.22606350,1.11442814,0.01972018,0.83957787,0.00000000
-5.84992496,7.34815312,1.74421384,6.17321053,1.09723331,0.01970444,0.82293955,0.00000000
-5.84392196,7.29403794,1.73478673,6.13525880,1.08324680,0.01977721,0.80720172,0.00000000
-5.83791896,7.25888288,1.72906075,6.11342873,1.07280008,0.01994434,0.79249446,0.00000000
-5.83191596,7.24384980,1.72726671,6.10863877,1.06613401,0.02021043,0.77894040,0.00000000
-5.82591296,7.24967436,1.72953001,6.12145606,1.06338803,0.02057858,0.76664983,0.00000000
-5.81990995,7.27661155,1.73585829,6.15205151,1.06459184,0.02105014,0.75571534,0.00000000
-5.81390695,7.32439045,1.74613256,6.20016192,1.06966013,0.02162454,0.74620633,0.00000000
-5.80790395,7.39218119,1.76010230,6.26506155,1.07839061,0.02229912,0.73816357,0.00000000
-5.80190095,7.47857681,1.77738511,6.34554551,1.09046562,0.02306899,0.73159426,0.00000000
-5.79589795,7.58159275,1.79747116,6.43992752,1.10545749,0.02392695,0.72646788,0.00000000
-5.78989495,7.69868581,1.81973261,6.54605371,1.12283776,0.02486354,0.72271305,0.00000000
-5.78389195,7.82679415,1.84343804,6.66133389,1.14198998,0.02586708,0.72021600,0.00000000
-5.77788894,7.96239873,1.86777155,6.78279105,1.16222614,0.02692382,0.71882058,0.00000000
-5.77188594,8.10160583,1.89185605,6.90712880,1.18280599,0.02801825,0.71833013,0.00000000
-5.76588294,8.24024895,1.91478009,7.03081559,1.20295900,0.02913336,0.71851129,0.00000000
-5.75987994,8.37400769,1.93562737,7.15018373,1.22190803,0.03025108,0.71909966,0.00000000
-5.75387694,8.49853962,1.95350774,7.26154013,1.23889403,0.03135279,0.71980719,0.00000000
-5.74787394,8.60962070,1.96758860,7.36128488,1.25320091,0.03241980,0.72033101,0.00000000
-5.74187094,8.70328872,1.97712539,7.44603312,1.26417941,0.03343395,0.72036338,0.00000000
-5.73586793,8.77598391,1.98148981,7.51273515,1.27126937,0.03437819,0.71960230,0.00000000
-5.72986493,8.82468044,1.98019460,7.55878955,1.27401908,0.03523715,0.71776235,0.00000000
-5.72386193,8.84700297,1.97291368,7.58214401,1.27210123,0.03599768,0.71458515,0.00000000
-5.71785893,8.84132231,1.95949657,7.58137892,1.26532456,0.03664931,0.70984895,0.00000000
-5.71185593,8.80682556,1.93997650,7.55576956,1.25364072,0.03718467,0.70337699,0.00000000
-5.70585293,8.74355668,1.91457150,7.50532318,1.23714598,0.03759976,0.69504403,0.00000000
-5.69984992,8.65242488,1.88367849,7.43078878,1.21607779,0.03789410,0.68478086,0.00000000
-5.69384692,8.53517963,1.84786024,7.33363829,1.19080613,0.03807078,0.67257646,0.00000000
-5.68784392,8.39435265,1.80782582,7.21601920,1.16182003,0.03813633,0.65847780,0.00000000
-5.68184092,8.23316859,1.76440520,7.08068020,1.12970991,0.03810045,0.64258728,0.00000000
-5.67583792,8.05542782,1.71851891,6.93087247,1.09514623,0.03797565,0.62505789,0.00000000
-5.66983492,7.86536592,1.67114415,6.77023041,1.05885561,0.03777669,0.60608637,0.00000000
-5.66383192,7.66749554,1.62327859,6.60263679,1.02159504,0.03751997,0.58590481,0.00000000
-5.65782891,7.46643735,1.57590340,6.43207785,0.98412559,0.03722285,0.56477099,0.00000000
-5.65182591,7.26674697,1.52994703,6.26249443,0.94718633,0.03690287,0.54295800,0.00000000
-5.64582291,7.07274547,1.48625122,6.09763548,0.91146969,0.03657699,0.52074364,0.00000000
-5.63981991,6.88836032,1.44554065,5.94092011,0.87759914,0.03626086,0.49840012,0.00000000
-5.63381691,6.71698366,1.40839743,5.79531405,0.84610996,0.03596807,0.47618441,0.00000000
-5.62781391,6.56135376,1.37524142,5.66322568,0.81743381,0.03570960,0.45432983,0.00000000
-5.62181091,6.42346450,1.34631722,5.54642597,0.79188766,0.03549327,0.43303905,0.00000000
-5.61580790,6.30450644,1.32168822,5.44599542,0.76966732,0.03532338,0.41247885,0.00000000
-5.60980490,6.20484173,1.30123783,5.36230017,0.75084561,0.03520052,0.39277674,0.00000000
-5.60380190,6.12401338,1.28467801,5.29499783,0.73537535,0.03512153,0.37401953,0.00000000
-5.59779890,6.06078812,1.27156420,5.24307242,0.72309665,0.03507961,0.35625378,0.00000000
-5.59179590,6.01323044,1.26131647,5.20489646,0.71374815,0.03506462,0.33948796,0.00000000
-5.58579290,5.97880398,1.25324547,5.17831704,0.70698167,0.03506357,0.32369622,0.00000000
-5.57978989,5.95449553,1.24658228,5.16076181,0.70237955,0.03506114,0.30882333,0.00000000
-5.57378689,5.93695570,1.24051081,5.14935964,0.69947380,0.03504042,0.29479063,0.00000000
-5.56778389,5.92264965,1.23420130,5.14107053,0.69776637,0.03498370,0.28150254,0.00000000
-5.56178089,5.90801132,1.22684358,5.13281883,0.69674950,0.03487321,0.26885331,0.00000000
-5.55577789,5.88959402,1.21767867,5.12162367,0.69592548,0.03469198,0.25673366,0.00000000
-5.54977489,5.86421109,1.20602746,5.10472110,0.69482488,0.03442462,0.24503709,0.00000000
-5.54377189,5.82906067,1.19131545,5.07967267,0.69302269,0.03405803,0.23366542,0.00000000
-5.53776888,5.78182954,1.17309249,5.04445619,0.69015170,0.03358200,0.22253351,0.00000000
-5.53176588,5.72077243,1.15104705,4.99753513,0.68591271,0.03298969,0.21157295,0.00000000
-5.52576288,5.64476405,1.12501450,4.93790467,0.68008139,0.03227801,0.20073461,0.00000000
-5.51975988,5.55332285,1.09497939,4.86511308,0.67251149,0.03144774,0.18999010,0.00000000
-5.51375688,5.44660676,1.06107190,4.77925885,0.66313473,0.03050365,0.17933204,0.00000000
-5.50775388,5.32538244,1.02355881,4.68096481,0.65195733,0.02945426,0.16877336,0.00000000
-5.50175088,5.19097098,0.98282976,4.57133161,0.63905371,0.02831165,0.15834573,0.00000000
-5.49574787,5.04517362,0.93937958,4.45187401,0.62455784,0.02709099,0.14809721,0.00000000
-5.48974487,4.89018228,0.89378764,4.32444372,0.60865272,0.02581007,0.13808934,0.00000000
-5.48374187,4.72847965,0.84669530,4.19114325,0.59155871,0.02448868,0.12839386,0.00000000
-5.47773887,4.56273408,0.79878242,4.05423519,0.57352129,0.02314796,0.11908926,0.00000000
-5.47173587,4.39569432,0.75074410,3.91605143,0.55479891,0.02180973,0.11025726,0.00000000
-5.46573287,4.23008867,0.70326841,3.77890618,0.53565152,0.02049584,0.10197942,0.00000000
