energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,4.40531993,0.01783360,0.87765949,1.73991932,2.00790876,0.07240200,1.44928705
-5.99399700,4.46619849,0.01785297,0.88896784,1.76099615,2.04655231,0.07270032,1.46610416
-5.98799400,4.52587143,0.01784570,0.90083041,1.78363984,2.08395574,0.07313626,1.48250368
-5.98199100,4.58337476,0.01781238,0.91296631,1.80726117,2.11965853,0.07369942,1.49823784
-5.97598799,4.63776095,0.01775414,0.92507475,1.83123615,2.15321578,0.07437696,1.51307309
-5.96998499,4.68813156,0.01767264,0.93684508,1.85492907,2.18421255,0.07515410,1.52679868
-5.96398199,4.73366646,0.01757007,0.94796694,1.87771480,2.21227694,0.07601454,1.53923348
-5.95797899,4.77364845,0.01744901,0.95814027,1.89899970,2.23709142,0.07694086,1.55023094
-5.95197599,4.80748302,0.01731242,0.96708489,1.91824041,2.25840205,0.07791488,1.55968199
-5.94597299,4.83471272,0.01716350,0.97454936,1.93496001,2.27602556,0.07891792,1.56751613
-5.93996998,4.85502629,0.01700561,0.98031891,1.94876122,2.28985389,0.07993114,1.57370064
-5.93396698,4.86826268,0.01684217,0.98422222,1.95933639,2.29985652,0.08093569,1.57823852
-5.92796398,4.87441037,0.01667652,0.98613689,1.96647415,2.30608033,0.08191295,1.58116507
-5.92196098,4.87360260,0.01651189,0.98599345,1.97006289,2.30864742,0.08284471,1.58254393
-5.91595798,4.86610908,0.01635124,0.98377780,1.97009108,2.30775086,0.08371338,1.58246250
-5.90995498,4.85232497,0.01619721,0.97953202,1.96664476,2.30364883,0.08450215,1.58102741
-5.90395198,4.83275762,0.01605209,0.97335358,1.95990256,2.29665725,0.08519524,1.57836022
-5.89794897,4.80801200,0.01591772,0.96539287,1.95012839,2.28714144,0.08577810,1.57459355
-5.89194597,4.77877513,0.01579547,0.95584923,1.93766245,2.27550681,0.08623765,1.56986783
-5.88594297,4.74580002,0.01568626,0.94496552,1.92291061,2.26218922,0.08656254,1.56432885
-5.87993997,4.70988963,0.01559054,0.93302137,1.90633277,2.24764496,0.08674340,1.55812590
-5.87393697,4.67188082,0.01550832,0.92032539,1.88843018,2.23234081,0.08677306,1.55141063
-5.86793397,4.63262866,0.01543919,0.90720636,1.86973237,2.21674424,0.08664680,1.54433631
-5.86193097,4.59299088,0.01538243,0.89400386,1.85078344,2.20131394,0.08636252,1.53705748
