energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.08068018,0.26180895,0.19616800,0.00067274,0.32370679,0.03324291,0.88595235,0.54924779,0.18599130
-5.99399700,2.04988960,0.24445483,0.18503335,0.00059553,0.33541029,0.03113643,0.86306591,0.56904018,0.19329848
-5.98799400,2.02938922,0.22735739,0.17397582,0.00052525,0.35203060,0.02906402,0.84111617,0.59502315,0.20441905
-5.98199100,2.01987715,0.21067729,0.16308211,0.00046161,0.37390094,0.02703332,0.82019701,0.62773171,0.21965585
-5.97598799,2.02202537,0.19457066,0.15244458,0.00040428,0.40135264,0.02505336,0.80038937,0.66771754,0.23930819
-5.96998499,2.03646117,0.17918794,0.14215961,0.00035290,0.43470680,0.02313423,0.78175734,0.71553283,0.26366500
-5.96398199,2.06374884,0.16467303,0.13232595,0.00030711,0.47426436,0.02128685,0.76434610,0.77171206,0.29299645
-5.95797899,2.10437252,0.15116295,0.12304329,0.00026654,0.52029495,0.01952265,0.74818204,0.83675233,0.32754414
-5.95197599,2.15872075,0.13878782,0.11441090,0.00023085,0.57302489,0.01785331,0.73327496,0.91109280,0.36751022
-5.94597299,2.22707348,0.12767119,0.10652649,0.00019971,0.63262483,0.01629051,0.71962241,0.99509411,0.41304585
-5.93996998,2.30959222,0.11793058,0.09948523,0.00017280,0.69919758,0.01484575,0.70721583,1.08901863,0.46423958
-5.93396698,2.40631374,0.10967831,0.09337902,0.00014987,0.77276697,0.01353011,0.69604806,1.19301260,0.52110633
-5.92796398,2.51714789,0.10302230,0.08829588,0.00013069,0.85326829,0.01235424,0.68612197,1.30709111,0.58357756
-5.92196098,2.64187990,0.09806699,0.08431949,0.00011508,0.94054125,0.01132821,0.67745936,1.43112696,0.65149355
-5.91595798,2.78017728,0.09491410,0.08152880,0.00010294,1.03432601,0.01046154,0.67010964,1.56484434,0.72459839
-5.90995498,2.93160130,0.09366321,0.07999773,0.00009422,1.13426301,0.00976324,0.66415774,1.70781811,0.80253833
-5.90395198,3.09562306,0.09441204,0.07979476,0.00008895,1.23989700,0.00924184,0.65973040,1.85947916,0.88486411
-5.89794897,3.27164350,0.09725639,0.08098245,0.00008726,1.35068563,0.00890550,0.65700057,2.01912630,0.97103746
-5.89194597,3.45901683,0.10228960,0.08361690,0.00008935,1.46601251,0.00876213,0.65618928,2.18594446,1.06044209
-5.88594297,3.65707652,0.10960153,0.08774692,0.00009555,1.58520456,0.00881946,0.65756477,2.35902878,1.15239888
-5.87993997,3.86516259,0.11927698,0.09341310,0.00010628,1.70755306,0.00908513,0.66143873,2.53741380,1.24618497
-5.87393697,4.08264881,0.13139362,0.10064666,0.00012211,1.83233751,0.00956677,0.66815962,2.72010639,1.34105597
-5.86793397,4.30896836,0.14601943,0.10946809,0.00014371,1.95885116,0.01027200,0.67810325,2.90612091,1.43627039
-5.86193097,4.54363605,0.16320965,0.11988573,0.00017192,2.08642680,0.01120841,0.69166097,3.09451445,1.53111507
-5.85592796,4.78626542,0.18300346,0.13189418,0.00020769,2.21446124,0.01238345,0.70922597,3.28442028,1.62493027
-5.84992496,5.03657897,0.20542036,0.14547281,0.00025214,2.34243685,0.01380430,0.73117816,3.47507697,1.71713283
-5.84392196,5.29440991,0.23045659,0.16058431,0.00030651,2.46993852,0.01547765,0.75786832,3.66585128,1.80723612
-5.83791896,5.55969413,0.25808151,0.17717337,0.00037219,2.59666449,0.01740940,0.78960229,3.85625259,1.89486517
-5.83191596,5.83245166,0.28823440,0.19516570,0.00045068,2.72243004,0.01960435,0.82662575,4.04593751,1.97976593
-5.82591296,6.11275711,0.32082169,0.21446741,0.00054357,2.84716285,0.02206577,0.86911033,4.23470340,2.06180762
-5.81990995,6.40069951,0.35571480,0.23496476,0.00065253,2.97088994,0.02479498,0.91714156,4.42247043,2.14097772
