energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,8.15562110,1.40111282,4.18067684,0.04422006,0.29442131,0.11414306,2.16268056,0.89956332,0.82601435
-5.99399700,8.35225155,1.43269243,4.29295244,0.04595289,0.29740601,0.11759047,2.21560949,0.91526973,0.83470629
-5.98799400,8.54271585,1.46405631,4.40302672,0.04769980,0.29950219,0.12102607,2.26729987,0.93049090,0.84134909
-5.98199100,8.72488800,1.49469810,4.50988025,0.04943791,0.30070028,0.12440778,2.31704510,0.94504399,0.84590837
-5.97598799,8.89673954,1.52411227,4.61254401,0.05114303,0.30100256,0.12769255,2.36415211,0.95875056,0.84837586
-5.96998499,9.05636780,1.55180616,4.71010784,0.05279003,0.30042300,0.13083708,2.40795461,0.97143997,0.84876865
-5.96398199,9.20202614,1.57731258,4.80172997,0.05435346,0.29898692,0.13379868,2.44782721,0.98295313,0.84712809
-5.95797899,9.33215567,1.60020265,4.88664741,0.05580813,0.29673042,0.13653622,2.48320003,0.99314664,0.84351872
-5.95197599,9.44541773,1.62009831,4.96418741,0.05712977,0.29369969,0.13901115,2.51357332,1.00189701,0.83802692
-5.94597299,9.54072580,1.63668404,5.03377932,0.05829573,0.28995017,0.14118856,2.53853141,1.00910488,0.83075950
-5.93996998,9.61727563,1.64971730,5.09496676,0.05928563,0.28554552,0.14303825,2.55775554,1.01469891,0.82184223
-5.93396698,9.67457180,1.65903713,5.14741905,0.06008202,0.28055652,0.14453567,2.57103471,1.01863914,0.81141814
-5.92796398,9.71244904,1.66457066,5.19094150,0.06067091,0.27505981,0.14566282,2.57827415,1.02091961,0.79964574
-5.92196098,9.73108674,1.66633693,5.22548351,0.06104229,0.26913651,0.14640897,2.57950074,1.02157008,0.78669702
-5.91595798,9.73101510,1.66444792,5.25114378,0.06119047,0.26287083,0.14677120,2.57486490,1.02065662,0.77275522
-5.90995498,9.71311163,1.65910664,5.26817192,0.06111429,0.25634858,0.14675459,2.56463879,1.01828098,0.75801236
-5.90395198,9.67858739,1.65060213,5.27696598,0.06081721,0.24965562,0.14637230,2.54921054,1.01457881,0.74266654
-5.89794897,9.62896253,1.63930166,5.27806533,0.06030723,0.24287640,0.14564526,2.52907460,1.00971650,0.72691894
-5.89194597,9.56603130,1.62564017,5.27213902,0.05959661,0.23609239,0.14460158,2.50481841,1.00388697,0.71097066
-5.88594297,9.49181757,1.61010751,5.25996967,0.05870153,0.22938077,0.14327576,2.47710581,0.99730437,0.69501934
-5.87993997,9.40852184,1.59323376,5.24243328,0.05764153,0.22281299,0.14170760,2.44665784,0.99019796,0.67925574
-5.87393697,9.31846191,1.57557321,5.22047572,0.05643892,0.21645368,0.13994092,2.41423141,0.98280537,0.66386024
-5.86793397,9.22400897,1.55768770,5.19508666,0.05511804,0.21035959,0.13802217,2.38059695,0.97536549,0.64899953
-5.86193097,9.12752195,1.54012973,5.16727212,0.05370451,0.20457876,0.13599889,2.34651562,0.96811127,0.63482344
-5.85592796,9.03128231,1.52342609,5.13802654,0.05222444,0.19914996,0.13391817,2.31271711,0.96126275,0.62146221
-5.84992496,8.93743196,1.50806244,5.10830560,0.05070368,0.19410235,0.13182520,2.27987881,0.95502051,0.60902410
-5.84392196,8.84791653,1.49446950,5.07900091,0.04916707,0.18945540,0.12976178,2.24860718,0.94955974,0.59759363
-5.83791896,8.76443603,1.48301110,5.05091717,0.04763780,0.18521910,0.12776514,2.21942174,0.94502528,0.58723042
-5.83191596,8.68840444,1.47397451,5.02475295,0.04613683,0.18139441,0.12586682,2.19274253,0.94152762,0.57796876
-5.82591296,8.62091945,1.46756334,5.00108528,0.04468241,0.17797400,0.12409185,2.16888099,0.93914000,0.56981781
-5.81990995,8.56274287,1.46389290,4.98035847,0.04328980,0.17494320,0.12245819,2.14803474,0.93789670,0.56276261
-5.81390695,8.51429192,1.46298839,4.96287734,0.04197099,0.17228115,0.12097636,2.13028612,0.93779252,0.55676570
-5.80790395,8.47564100,1.46478556,4.94880453,0.04073463,0.16996212,0.11964943,2.11560437,0.93878340,0.55176936
-5.80190095,8.44653331,1.46913390,4.93816183,0.03958606,0.16795689,0.11847323,2.10385119,0.94078802,0.54769839
-5.79589795,8.42640124,1.47580207,4.93083502,0.03852742,0.16623426,0.11743674,2.09478926,0.94369049,0.54446328
-5.78989495,8.41439431,1.48448531,4.92658175,0.03755789,0.16476247,0.11652276,2.08809339,0.94734379,0.54196368
-5.78389195,8.40941336,1.49481472,4.92504222,0.03667396,0.16351060,0.11570874,2.08336360,0.95157401,0.54009196
-5.77788894,8.41014960,1.50636786,4.92575185,0.03586982,0.16244990,0.11496772,2.08013981,0.95618510,0.53873690
-5.77188594,8.41512718,1.51868053,4.92815598,0.03513775,0.16155481,0.11426938,2.07791741,0.96096416,0.53778719
-5.76588294,8.42274818,1.53125941,4.93162597,0.03446852,0.16080399,0.11358116,2.07616345,0.96568700,0.53713472
-5.75987994,8.43133873,1.54359511,4.93547662,0.03385184,0.16018089,0.11286939,2.07433275,0.97012390,0.53667760
-5.75387694,8.43919559,1.55517546,4.93898467,0.03327680,0.15967425,0.11210043,2.07188361,0.97404546,0.53632280
-5.74787394,8.44463200,1.56549865,4.94140825,0.03273228,0.15927826,0.11124174,2.06829289,0.97722839,0.53598824
-5.74187094,8.44602241,1.57408592,4.94200705,0.03220730,0.15899248,0.11026289,2.06306981,0.97946111,0.53560457
-5.73586793,8.44184502,1.58049351,4.94006310,0.03169139,0.15882152,0.10913646,2.05576854,0.98054907,0.53511636
-5.72986493,8.43072176,1.58432359,4.93490166,0.03117493,0.15877459,0.10783888,2.04599911,0.98031961,0.53448284
-5.72386193,8.41145470,1.58523389,4.92591210,0.03064935,0.15886479,0.10635105,2.03343659,0.97862636,0.53367820
-5.71785893,8.38305824,1.58294576,4.91256791,0.03010737,0.15910837,0.10465890,2.01782827,0.97535287,0.53269148
-5.71185593,8.34478632,1.57725052,4.89444549,0.02954317,0.15952384,0.10275372,1.99899884,0.97041551,0.53152605
-5.70585293,8.29615358,1.56801376,4.87124074,0.02895249,0.16013115,0.10063239,1.97685337,0.96376552,0.53019885
-5.69984992,8.23694987,1.55517765,4.84278274,0.02833266,0.16095076,0.09829739,1.95137811,0.95539010,0.52873921
-5.69384692,8.16724706,1.53876109,4.80904367,0.02768265,0.16200293,0.09575671,1.92263910,0.94531244,0.52718765
-5.68784392,8.08739775,1.51885760,4.77014417,0.02700296,0.16330695,0.09302356,1.89077861,0.93359080,0.52559430
-5.68184092,7.99802522,1.49563120,4.72635346,0.02629561,0.16488058,0.09011595,1.85600957,0.92031654,0.52401734
-5.67583792,7.90000452,1.46931034,4.67808378,0.02556393,0.16673960,0.08705613,1.81860805,0.90561118,0.52252128
-5.66983492,7.79443486,1.44017995,4.62587887,0.02481243,0.16889750,0.08386992,1.77890409,0.88962264,0.52117520
-5.66383192,7.68260387,1.40857213,4.57039653,0.02404657,0.17136530,0.08058593,1.73727115,0.87252067,0.52005098
-5.65782891,7.56594457,1.37485564,4.51238569,0.02327258,0.17415151,0.07723478,1.69411451,0.85449184,0.51922156
-5.65182591,7.44598654,1.33942461,4.45265871,0.02249715,0.17726219,0.07384818,1.64985890,0.83573402,0.51875921
-5.64582291,7.32430292,1.30268694,4.39205984,0.02172723,0.18070107,0.07045804,1.60493596,0.81645079,0.51873387
-5.63981991,7.20245529,1.26505275,4.33143129,0.02096975,0.18446982,0.06709567,1.55977187,0.79684586,0.51921156
-5.63381691,7.08193867,1.22692330,4.27157840,0.02023141,0.18856821,0.06379089,1.51477550,0.77711777,0.52025296
-5.62781391,6.96412904,1.18868084,4.21323551,0.01951844,0.19299437,0.06057136,1.47032764,0.75745507,0.52191200
