energy_ev,total_up,N_s_up,N_p_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,1.51922132,0.00004025,0.86452293,1.32607525,0.48791609,0.00902941,0.03569845
-5.99399700,1.44667803,0.00003547,0.82465699,1.28355227,0.45793809,0.00871538,0.03490281
-5.98799400,1.38281643,0.00003106,0.78953647,1.24953450,0.43088517,0.00842338,0.03437465
-5.98199100,1.32757639,0.00002704,0.75907607,1.22358216,0.40675168,0.00815420,0.03412361
-5.97598799,1.28068324,0.00002341,0.73307481,1.20508290,0.38546552,0.00790751,0.03415199
-5.96998499,1.24166579,0.00002016,0.71122756,1.19327219,0.36689428,0.00768191,0.03445465
-5.96398199,1.20987954,0.00001729,0.69313949,1.18725730,0.35085285,0.00747515,0.03501900
-5.95797899,1.18453416,0.00001477,0.67834260,1.18604415,0.33711231,0.00728422,0.03582527
-5.95197599,1.16472401,0.00001260,0.66631386,1.18856638,0.32540952,0.00710561,0.03684697
-5.94597299,1.14946075,0.00001074,0.65649417,1.19371553,0.31545718,0.00693549,0.03805147
-5.93996998,1.13770678,0.00000918,0.64830743,1.20037165,0.30695401,0.00676992,0.03940089
-5.93396698,1.12840857,0.00000788,0.64117931,1.20743341,0.29959463,0.00660506,0.04085303
-5.92796398,1.12052871,0.00000684,0.63455483,1.21384694,0.29307896,0.00643737,0.04236252
-5.92196098,1.11307601,0.00000602,0.62791449,1.21863266,0.28712073,0.00626374,0.04388205
-5.91595798,1.10513270,0.00000541,0.62078844,1.22090940,0.28145506,0.00608167,0.04536373
-5.90995498,1.09587813,0.00000500,0.61276832,1.21991526,0.27584480,0.00588934,0.04676048
-5.90395198,1.08460853,0.00000477,0.60351665,1.21502473,0.27008562,0.00568570,0.04802736
-5.89794897,1.07075249,0.00000474,0.59277351,1.20576178,0.26400971,0.00547047,0.04912303
-5.89194597,1.05388189,0.00000490,0.58036062,1.19180861,0.25748819,0.00524422,0.05001093
-5.88594297,1.03371825,0.00000527,0.56618276,1.17301005,0.25043216,0.00500827,0.05066051
-5.87993997,1.01013472,0.00000587,0.55022673,1.14937358,0.24279250,0.00476467,0.05104815
-5.87393697,0.98315369,0.00000674,0.53255806,1.12106516,0.23455855,0.00451614,0.05115798
-5.86793397,0.95294051,0.00000790,0.51331570,1.08840119,0.22575581,0.00426597,0.05098242
-5.86193097,0.91979367,0.00000942,0.49270504,1.05183683,0.21644276,0.00401791,0.05052243
-5.85592796,0.88413187,0.00001136,0.47098946,1.01195126,0.20670699,0.00377611,0.04978751
-5.84992496,0.84647857,0.00001380,0.44848099,0.96943034,0.19666085,0.00354497,0.04879549
-5.84392196,0.80744445,0.00001682,0.42553009,0.92504722,0.18643670,0.00332906,0.04757193
-5.83791896,0.76770851,0.00002051,0.40251515,0.87964138,0.17618196,0.00313302,0.04614941
-5.83191596,0.72799814,0.00002499,0.37983176,0.83409687,0.16605416,0.00296146,0.04456644
-5.82591296,0.68906882,0.00003036,0.35788223,0.78932003,0.15621598,0.00281887,0.04286640
-5.81990995,0.65168385,0.00003677,0.33706531,0.74621733,0.14683049,0.00270954,0.04109612
-5.81390695,0.61659454,0.00004433,0.31776652,0.70567382,0.13805670,0.00263750,0.03930454
-5.80790395,0.58452117,0.00005317,0.30034904,0.66853236,0.13004528,0.00260641,0.03754125
-5.80190095,0.55613514,0.00006342,0.28514538,0.63557425,0.12293487,0.00261950,0.03585502
-5.79589795,0.53204242,0.00007520,0.27244985,0.60750128,0.11684858,0.00267950,0.03429242
-5.78989495,0.51276867,0.00008862,0.26251180,0.58491965,0.11189105,0.00278854,0.03289649
-5.78389195,0.49874611,0.00010378,0.25552992,0.56832579,0.10814594,0.00294812,0.03170559
-5.77788894,0.49030237,0.00012073,0.25164732,0.55809442,0.10567382,0.00315899,0.03075234
-5.77188594,0.48765153,0.00013954,0.25094776,0.55446900,0.10451059,0.00342108,0.03006275
-5.76588294,0.49088737,0.00016020,0.25345285,0.55755468,0.10466637,0.00373346,0.02965562
-5.75987994,0.49997928,0.00018268,0.25912046,0.56731414,0.10612490,0.00409424,0.02954205
-5.75387694,0.51477073,0.00020693,0.26784438,0.58356629,0.10884349,0.00450057,0.02972522
-5.74787394,0.53498068,0.00023282,0.27945533,0.60598828,0.11275354,0.00494858,0.03020042
-5.74187094,0.56020797,0.00026020,0.29372348,0.63412078,0.11776164,0.00543341,0.03095523
-5.73586793,0.58993891,0.00028887,0.31036237,0.66737676,0.12375133,0.00594921,0.03196996
-5.72986493,0.62355793,0.00031859,0.32903462,0.70505393,0.13058540,0.00648924,0.03321830
-5.72386193,0.66036147,0.00034910,0.34935902,0.74635051,0.13810895,0.00704598,0.03466809
-5.71785893,0.69957480,0.00038009,0.37091932,0.79038441,0.14615290,0.00761121,0.03628233
-5.71185593,0.74037145,0.00041125,0.39327430,0.83621541,0.15453811,0.00817629,0.03802027
-5.70585293,0.78189494,0.00044225,0.41596905,0.88286975,0.16307996,0.00873228,0.03983864
-5.69984992,0.82328207,0.00047279,0.43854711,0.92936658,0.17159320,0.00927025,0.04169292
-5.69384692,0.86368714,0.00050256,0.46056311,0.97474541,0.17989703,0.00978150,0.04353865
-5.68784392,0.90230617,0.00053130,0.48159544,1.01809353,0.18782014,0.01025785,0.04533272
-5.68184092,0.93840031,0.00055880,0.50125847,1.05857253,0.19520561,0.01069190,0.04703460
-5.67583792,0.97131732,0.00058490,0.51921380,1.09544262,0.20191537,0.01107726,0.04860751
-5.66983492,1.00051033,0.00060949,0.53518004,1.12808384,0.20783415,0.01140882,0.05001933
-5.66383192,1.02555294,0.00063255,0.54894064,1.15601310,0.21287255,0.01168286,0.05124346
-5.65782891,1.04614989,0.00065413,0.56034935,1.17889630,0.21696931,0.01189724,0.05225941
-5.65182591,1.06214282,0.00067436,0.56933303,1.19655474,0.22009243,0.01205142,0.05305317
-5.64582291,1.07351079,0.00069342,0.57589165,1.20896562,0.22223926,0.01214650,0.05361728
-5.63981991,1.08036537,0.00071155,0.58009540,1.21625645,0.22343537,0.01218512,0.05395084
-5.63381691,1.08294068,0.00072906,0.58207899,1.21869364,0.22373243,0.01217133,0.05405903
-5.62781391,1.08157869,0.00074626,0.58203347,1.21666572,0.22320499,0.01211041,0.05395270
-5.62181091,1.07671061,0.00076347,0.58019592,1.21066212,0.22194650,0.01200859,0.05364758
-5.61580790,1.06883517,0.00078103,0.57683748,1.20124846,0.22006461,0.01187279,0.05316344
-5.60980490,1.05849495,0.00079920,0.57225034,1.18903955,0.21767609,0.01171030,0.05252322
-5.60380190,1.04625192,0.00081822,0.56673436,1.17467154,0.21490152,0.01152841,0.05175198
-5.59779890,1.03266326,0.00083824,0.56058390,1.15877440,0.21186013,0.01133414,0.05087596
-5.59179590,1.01825878,0.00085933,0.55407552,1.14194623,0.20866490,0.01113391,0.04992166
-5.58579290,1.00352079,0.00088144,0.54745717,1.12473037,0.20541823,0.01093327,0.04891493
-5.57978989,0.98886732,0.00090443,0.54093922,1.10759641,0.20220830,0.01073672,0.04788030
-5.57378689,0.97463940,0.00092803,0.53468777,1.09092575,0.19910636,0.01054750,0.04684030
-5.56778389,0.96109265,0.00095186,0.52882046,1.07500226,0.19616495,0.01036758,0.04581498
-5.56178089,0.94839342,0.00097544,0.52340481,1.06000802,0.19341704,0.01019757,0.04482157
-5.55577789,0.93661930,0.00099822,0.51845899,1.04602422,0.19087628,0.01003682,0.04387427
-5.54977489,0.92576366,0.00101956,0.51395490,1.03303660,0.18853799,0.00988353,0.04298410
-5.54377189,0.91574370,0.00103880,0.50982321,1.02094502,0.18638102,0.00973488,0.04215899
-5.53776888,0.90641130,0.00105526,0.50595993,1.00957613,0.18437019,0.00958733,0.04140376
-5.53176588,0.89756588,0.00106824,0.50223415,0.99869852,0.18245922,0.00943679,0.04072036
-5.52576288,0.88896847,0.00107714,0.49849631,0.98803908,0.18059391,0.00927893,0.04010802
-5.51975988,0.88035625,0.00108139,0.49458681,0.97729992,0.17871540,0.00910943,0.03956348
-5.51375688,0.87145664,0.00108051,0.49034423,0.96617487,0.17676336,0.00892425,0.03908129
-5.50775388,0.86200059,0.00107417,0.48561298,0.95436470,0.17467899,0.00871983,0.03865400
-5.50175088,0.85173434,0.00106213,0.48025008,0.94159079,0.17240765,0.00849334,0.03827252
-5.49574787,0.84042942,0.00104433,0.47413075,0.92760646,0.16990109,0.00824278,0.03792636
-5.48974487,0.82789067,0.00102082,0.46715285,0.91220608,0.16711915,0.00796712,0.03760400
-5.48374187,0.81396232,0.00099182,0.45924000,0.89523164,0.16403109,0.00766632,0.03729316
-5.47773887,0.79853205,0.00095767,0.45034360,0.87657706,0.16061635,0.00734133,0.03698126
-5.47173587,0.78153343,0.00091885,0.44044365,0.85619036,0.15686489,0.00699408,0.03665573
-5.46573287,0.76294683,0.00087594,0.42954876,0.83407405,0.15277724,0.00662736,0.03630453
-5.45972986,0.74279919,0.00082960,0.41769540,0.81028419,0.14836415,0.00624468,0.03591656
-5.45372686,0.72116307,0.00078057,0.40494660,0.78492839,0.14364611,0.00585016,0.03548218
-5.44772386,0.69815501,0.00072961,0.39139047,0.75816319,0.13865267,0.00544835,0.03499375
-5.44172086,0.67393376,0.00067751,0.37713837,0.73019128,0.13342169,0.00504404,0.03444610
-5.43571786,0.64869842,0.00062507,0.36232332,0.70125862,0.12799862,0.00464215,0.03383708
-5.42971486,0.62268666,0.00057303,0.34709834,0.67165185,0.12243579,0.00424752,0.03316801
-5.42371186,0.59617314,0.00052211,0.33163510,0.64169612,0.11679174,0.00386479,0.03244411
-5.41770885,0.56946810,0.00047298,0.31612267,0.61175315,0.11113064,0.00349834,0.03167489
-5.41170585,0.54291601,0.00042621,0.30076656,0.58221983,0.10552179,0.00315212,0.03087439
-5.40570285,0.51689437,0.00038234,0.28578781,0.55352703,0.10003920,0.00282968,0.03006137
-5.39969985,0.49181232,0.00034180,0.27142223,0.52613850,0.09476116,0.00253409,0.02925940
-5.39369685,0.46810904,0.00030498,0.25791955,0.50054980,0.08976988,0.00226795,0.02849679
-5.38769385,0.44625173,0.00027218,0.24554253,0.47728694,0.08515105,0.00203341,0.02780642
-5.38169085,0.42673307,0.00024366,0.23456578,0.45690463,0.08099340,0.00183222,0.02722542
-5.37568784,0.41006796,0.00021960,0.22527435,0.43998388,0.07738815,0.00166577,0.02679479
-5.36968484,0.39678950,0.00020016,0.21796187,0.42712875,0.07442831,0.00153514,0.02655881
-5.36368184,0.38744406,0.00018548,0.21292827,0.41896231,0.07220792,0.00144116,0.02656441
-5.35767884,0.38258546,0.00017567,0.21047702,0.41612133,0.07082106,0.00138448,0.02686037
-5.35167584,0.38276814,0.00017083,0.21091178,0.41925005,0.07036074,0.00136559,0.02749649
-5.34567284,0.38853949,0.00017107,0.21453255,0.42899260,0.07091763,0.00138490,0.02852262
-5.33966983,0.40043124,0.00017650,0.22163137,0.44598436,0.07257858,0.00144272,0.02998764
-5.33366683,0.41895008,0.00018726,0.23248736,0.47084214,0.07542508,0.00153928,0.03193837
-5.32766383,0.44456763,0.00020347,0.24736156,0.50415337,0.07953156,0.00167476,0.03441843
-5.32166083,0.47770992,0.00022532,0.26649124,0.54646428,0.08496357,0.00184919,0.03746712
-5.31565783,0.51874651,0.00025296,0.29008407,0.59826742,0.09177603,0.00206248,0.04111823
-5.30965483,0.56797959,0.00028658,0.31831215,0.65998860,0.10001133,0.00231436,0.04539890
-5.30365183,0.62563312,0.00032636,0.35130599,0.73197350,0.10969761,0.00260430,0.05032856
-5.29764882,0.69184246,0.00037249,0.38914867,0.81447427,0.12084703,0.00293145,0.05591787
-5.29164582,0.76664456,0.00042513,0.43187028,0.90763632,0.13345427,0.00329461,0.06216783
-5.28564282,0.84996921,0.00048439,0.47944276,1.01148569,0.14749514,0.00369212,0.06906901
-5.27963982,0.94163130,0.00055038,0.53177531,1.12591723,0.16292558,0.00412182,0.07660089
-5.27363682,1.04132466,0.00062311,0.58871053,1.25068402,0.17968075,0.00458104,0.08473147
-5.26763382,1.14861745,0.00070254,0.65002133,1.38538816,0.19767462,0.00506651,0.09341703
-5.26163082,1.26294943,0.00078853,0.71540888,1.52947343,0.21679981,0.00557437,0.10260218
-5.25562781,1.38363125,0.00088084,0.78450151,1.68222001,0.23692785,0.00610017,0.11222008
-5.24962481,1.50984587,0.00097912,0.85685480,1.84274157,0.25790978,0.00663888,0.12219299
-5.24362181,1.64065223,0.00108288,0.93195290,2.00998500,0.27957720,0.00718493,0.13243306
-5.23761881,1.77499126,0.00119153,1.00921107,2.18273311,0.30174362,0.00773229,0.14284329
-5.23161581,1.91169426,0.00130430,1.08797969,2.35961037,0.32420627,0.00827450,0.15331883
-5.22561281,2.04949368,0.00142031,1.16754948,2.53909215,0.34674825,0.00880483,0.16374846
-5.21960980,2.18703631,0.00153854,1.24715831,2.71951748,0.36914097,0.00931635,0.17401619
-5.21360680,2.32289882,0.00165782,1.32599936,2.89910543,0.39114698,0.00980205,0.18400314
-5.20760380,2.45560558,0.00177688,1.40323073,3.07597545,0.41252308,0.01025504,0.19358946
-5.20160080,2.58364870,0.00189436,1.47798644,3.24817127,0.43302366,0.01066860,0.20265636
-5.19559780,2.70551004,0.00200881,1.54938879,3.41368860,0.45240436,0.01103643,0.21108823
-5.18959480,2.81968503,0.00211872,1.61656193,3.57050619,0.47042582,0.01135270,0.21877473
-5.18359180,2.92470790,0.00222257,1.67864644,3.71661983,0.48685764,0.01161227,0.22561285
-5.17758879,3.01917802,0.00231885,1.73481472,3.85007890,0.50148240,0.01181076,0.23150895
-5.17158579,3.10178669,0.00240610,1.78428696,3.96902453,0.51409970,0.01194470,0.23638065
-5.16558279,3.17134400,0.00248292,1.82634716,4.07172863,0.52453012,0.01201163,0.24015857
-5.15957979,3.22680482,0.00254806,1.86035894,4.15663266,0.53261900,0.01201015,0.24278786
-5.15357679,3.26729337,0.00260041,1.88578059,4.22238497,0.53823995,0.01193996,0.24422957
-5.14757379,3.29212549,0.00263903,1.90217887,4.26787551,0.54129801,0.01180194,0.24446160
-5.14157079,3.30082772,0.00266322,1.90924105,4.29226655,0.54173222,0.01159807,0.24347955
-5.13556778,3.29315259,0.00267250,1.90678468,4.29501828,0.53951773,0.01133143,0.24129702
-5.12956478,3.26908924,0.00266663,1.89476467,4.27590805,0.53466701,0.01100613,0.23794574
-5.12356178,3.22886881,0.00264565,1.87327725,4.23504233,0.52723046,0.01062721,0.23347520
-5.11755878,3.17296425,0.00260985,1.84256053,4.17286065,0.51729601,0.01020048,0.22795204
-5.11155578,3.10208415,0.00255977,1.80299155,4.09013108,0.50498792,0.00973248,0.22145897
-5.10555278,3.01716068,0.00249619,1.75507960,3.98793701,0.49046463,0.00923018,0.21409343
-5.09954977,2.91933181,0.00242013,1.69945618,3.86765565,0.47391583,0.00870095,0.20596594
-5.09354677,2.80991815,0.00233277,1.63686164,3.73092853,0.45555866,0.00815228,0.19719817
-5.08754377,2.69039520,0.00223547,1.56812893,3.57962513,0.43563324,0.00759166,0.18792081
-5.08154077,2.56236178,0.00212973,1.49416507,3.41580065,0.41439764,0.00702639,0.17827130
-5.07553777,2.42750563,0.00201710,1.41593082,3.24164949,0.39212247,0.00646344,0.16839144
-5.06953477,2.28756737,0.00189920,1.33441936,3.05945579,0.36908517,0.00590930,0.15842495
-5.06353177,2.14430383,0.00177766,1.25063454,2.87154305,0.34556430,0.00536988,0.14851513
-5.05752876,1.99945216,0.00165407,1.16556962,2.68022423,0.32183395,0.00485039,0.13880250
-5.05152576,1.85469564,0.00152996,1.08018704,2.48775415,0.29815836,0.00435530,0.12942256
-5.04552276,1.71163227,0.00140678,0.99539994,2.29628565,0.27478713,0.00388829,0.12050380
-5.03951976,1.57174699,0.00128584,0.91205594,2.10783079,0.25195090,0.00345222,0.11216573
-5.03351676,1.43638834,0.00116833,0.83092358,1.92422814,0.22985776,0.00304917,0.10451726
-5.02751376,1.30674978,0.00105527,0.75268186,1.74711695,0.20869047,0.00268046,0.09765516
-5.02151076,1.18385625,0.00094753,0.67791287,1.57791860,0.18860440,0.00234668,0.09166281
-5.01550775,1.06855578,0.00084583,0.60709765,1.41782541,0.16972636,0.00204778,0.08660911
-5.00950475,0.96151620,0.00075071,0.54061518,1.26779680,0.15215420,0.00178312,0.08254762
-5.00350175,0.86322656,0.00066257,0.47874429,1.12856205,0.13595712,0.00155159,0.07951591
-4.99749875,0.77400278,0.00058167,0.42166810,1.00062935,0.12117673,0.00135166,0.07753507
-4.99149575,0.69399711,0.00050816,0.36948077,0.88429995,0.10782867,0.00118145,0.07660957
-4.98549275,0.62321064,0.00044209,0.32219589,0.77968652,0.09590462,0.00103887,0.07672721
-4.97948974,0.56150827,0.00038341,0.27975629,0.68673478,0.08537489,0.00092164,0.07785939
-4.97348674,0.50863546,0.00033204,0.24204455,0.60524706,0.07619108,0.00082738,0.07996175
-4.96748374,0.46423612,0.00028788,0.20889400,0.53490690,0.06828906,0.00075366,0.08297495
-4.96148074,0.42787107,0.00025082,0.18009954,0.47530368,0.06159196,0.00069806,0.08682598
-4.95547774,0.39903650,0.00022076,0.15542804,0.42595630,0.05601319,0.00065824,0.09142967
-4.94947474,0.37718201,0.00019768,0.13462807,0.38633532,0.05145937,0.00063191,0.09669068
-4.94347174,0.36172787,0.00018162,0.11743849,0.35588287,0.04783312,0.00061693,0.10250582
-4.93746873,0.35208109,0.00017272,0.10359598,0.33402990,0.04503571,0.00061128,0.10876671
-4.93146573,0.34765025,0.00017123,0.09284123,0.32021059,0.04296940,0.00061312,0.11536279
-4.92546273,0.34785871,0.00017756,0.08492382,0.31387369,0.04153966,0.00062078,0.12218447
-4.91945973,0.35215618,0.00019223,0.07960579,0.31449095,0.04065700,0.00063278,0.12912659
-4.91345673,0.36002853,0.00021595,0.07666406,0.32156262,0.04023861,0.00064781,0.13609174
-4.90745373,0.37100579,0.00024956,0.07589159,0.33462040,0.04020967,0.00066480,0.14299364
-4.90145073,0.38466826,0.00029408,0.07709774,0.35322798,0.04050432,0.00068285,0.14976025
-4.89544772,0.40065066,0.00035066,0.08010767,0.37697968,0.04106645,0.00070127,0.15633644
-4.88944472,0.41864446,0.00042057,0.08476117,0.40549741,0.04185002,0.00071957,0.16268624
-4.88344172,0.43839818,0.00050520,0.09091101,0.43842635,0.04281923,0.00073745,0.16879437
-4.87743872,0.45971584,0.00060596,0.09842091,0.47542978,0.04394828,0.00075481,0.17466701
-4.87143572,0.48245356,0.00072433,0.10716340,0.51618327,0.04522092,0.00077169,0.18033169
-4.86543272,0.50651437,0.00086170,0.11701762,0.56036857,0.04662961,0.00078831,0.18583627
-4.85942971,0.53184134,0.00101939,0.12786712,0.60766753,0.04817453,0.00080499,0.19124696
-4.85342671,0.55840934,0.00119852,0.13959786,0.65775614,0.04986227,0.00082220,0.19664538
-4.84742371,0.58621548,0.00139998,0.15209645,0.71029901,0.05170435,0.00084045,0.20212482
-4.84142071,0.61526859,0.00162432,0.16524859,0.76494446,0.05371555,0.00086032,0.20778569
-4.83541771,0.64557814,0.00187167,0.17893786,0.82132030,0.05591214,0.00088241,0.21373042
-4.82941471,0.67714296,0.00214169,0.19304485,0.87903055,0.05831004,0.00090731,0.22005792
-4.82341171,0.70994008,0.00243350,0.20744659,0.93765316,0.06092297,0.00093555,0.22685791
-4.81740870,0.74391438,0.00274557,0.22201644,0.99673903,0.06376069,0.00096762,0.23420527
