energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,2.64532121,0.10794934,0.16316292,0.66293182,0.69190634,0.30377329,1.26455947,0.00000000
-5.99399700,2.63980001,0.10747923,0.17074272,0.68312809,0.68758809,0.30837657,1.25006318,0.00000000
-5.98799400,2.64199713,0.10686848,0.18068100,0.70951238,0.68469547,0.31284754,1.23609917,0.00000000
-5.98199100,2.65283513,0.10608791,0.19309215,0.74244571,0.68347374,0.31716314,1.22302274,0.00000000
-5.97598799,2.67335282,0.10511575,0.20807718,0.78226313,0.68420945,0.32132803,1.21127734,0.00000000
-5.96998499,2.70468782,0.10393926,0.22572094,0.82926394,0.68722715,0.32537734,1.20138763,0.00000000
-5.96398199,2.74804737,0.10255577,0.24608867,0.88369981,0.69288263,0.32937790,1.19394737,0.00000000
-5.95797899,2.80466827,0.10097307,0.26922177,0.94576123,0.70155282,0.33342770,1.18960239,0.00000000
-5.95197599,2.87576700,0.09920935,0.29513311,1.01556263,0.71362256,0.33765373,1.18902923,0.00000000
-5.94597299,2.96248191,0.09729230,0.32380186,1.09312689,0.72946879,0.34220810,1.19291026,0.00000000
-5.93996998,3.06580995,0.09525790,0.35516827,1.17836996,0.74944257,0.34726261,1.20190619,0.00000000
-5.93396698,3.18654056,0.09314855,0.38912851,1.27108626,0.77384997,0.35300198,1.21662720,0.00000000
-5.92796398,3.32519006,0.09101094,0.42553003,1.37093591,0.80293239,0.35961608,1.23760386,0.00000000
-5.92196098,3.48193942,0.08889368,0.46416766,1.47743429,0.83684747,0.36729134,1.26525903,0.00000000
-5.91595798,3.65657908,0.08684477,0.50478081,1.58994503,0.87565148,0.37620192,1.29988213,0.00000000
-5.90995498,3.84846348,0.08490919,0.54705215,1.70767677,0.91928405,0.38650082,1.34160682,0.00000000
-5.90395198,4.05647841,0.08312655,0.59060784,1.82968450,0.96755628,0.39831150,1.39039316,0.00000000
-5.89794897,4.27902342,0.08152912,0.63501978,1.95487571,1.02014289,0.41172028,1.44601528,0.00000000
-5.89194597,4.51401103,0.08014020,0.67980979,2.08202169,1.07657905,0.42676989,1.50805517,0.00000000
-5.88594297,4.75888403,0.07897296,0.72445591,2.20977391,1.13626243,0.44345452,1.57590298,0.00000000
-5.87993997,5.01065106,0.07802980,0.76840074,2.33668537,1.19846051,0.46171652,1.64876430,0.00000000
-5.87393697,5.26594032,0.07730219,0.81106167,2.46123660,1.26232341,0.48144498,1.72567412,0.00000000
-5.86793397,5.52106996,0.07677114,0.85184290,2.58186562,1.32690168,0.50247629,1.80551726,0.00000000
-5.86193097,5.77213327,0.07640806,0.89014865,2.69700116,1.39116877,0.52459665,1.88705471,0.00000000
-5.85592796,6.01509604,0.07617609,0.92539751,2.80509821,1.45404741,0.54754651,1.96895490,0.00000000
-5.84992496,6.24590248,0.07603180,0.95703716,2.90467478,1.51443880,0.57102669,2.04982889,0.00000000
-5.84392196,6.46058609,0.07592713,0.98455914,2.99434867,1.57125379,0.59470607,2.12826828,0.00000000
-5.83791896,6.65538116,0.07581151,1.00751298,3.07287303,1.62344452,0.61823053,2.20288424,0.00000000
-5.83191596,6.82683058,0.07563401,1.02551925,3.13916931,1.67003548,0.64123266,2.27234640,0.00000000
-5.82591296,6.97188568,0.07534542,1.03828089,3.19235653,1.71015255,0.66334205,2.33541985,0.00000000
-5.81990995,7.08799401,0.07490030,1.04559250,3.23177539,1.74304892,0.68419564,2.39099913,0.00000000
-5.81390695,7.17317164,0.07425865,1.04734695,3.25700660,1.76812677,0.70344761,2.43813755,0.00000000
-5.80790395,7.22605688,0.07338736,1.04353928,3.26788219,1.78495371,0.72077870,2.47607100,0.00000000
-5.80190095,7.24594350,0.07226135,1.03426746,3.26448959,1.79327358,0.73590427,2.50423527,0.00000000
-5.79589795,7.23279206,0.07086426,1.01973008,3.24716799,1.79301095,0.74858105,2.52227627,0.00000000
-5.78989495,7.18721937,0.06918876,1.00022101,3.21649707,1.78426944,0.75861220,2.53005306,0.00000000
-5.78389195,7.11046671,0.06723655,0.97612119,3.17327862,1.76732394,0.76585057,2.52763358,0.00000000
-5.77788894,7.00434867,0.06501794,0.94788794,3.11851153,1.74260730,0.77020012,2.51528372,0.00000000
-5.77188594,6.87118508,0.06255108,0.91604215,3.05336145,1.71069217,0.77161556,2.49345031,0.00000000
-5.76588294,6.71371962,0.05986110,0.88115393,2.97912616,1.67226897,0.77010027,2.46273906,0.00000000
-5.75987994,6.53502864,0.05697881,0.84382726,2.89719828,1.62812111,0.76570270,2.42388873,0.00000000
-5.75387694,6.33842451,0.05393948,0.80468427,2.80902689,1.57909859,0.75851170,2.37774271,0.00000000
-5.74787394,6.12735779,0.05078144,0.76434971,2.71607966,1.52609120,0.74865080,2.32521947,0.00000000
-5.74187094,5.90532204,0.04754467,0.72343634,2.61980713,1.47000250,0.73627210,2.26728329,0.00000000
-5.73586793,5.67576519,0.04426955,0.68253147,2.52161057,1.41172557,0.72154990,2.20491627,0.00000000
-5.72986493,5.44201051,0.04099556,0.64218543,2.42281458,1.35212149,0.70467451,2.13909304,0.00000000
-5.72386193,5.20718950,0.03776027,0.60290201,2.32464543,1.29200106,0.68584647,2.07075870,0.00000000
-5.71785893,4.97418855,0.03459842,0.56513121,2.22821564,1.23211037,0.66527150,2.00081073,0.00000000
-5.71185593,4.74560986,0.03154120,0.52926442,2.13451501,1.17312042,0.64315622,1.93008516,0.00000000
-5.70585293,4.52374684,0.02861580,0.49563186,2.04440783,1.11562057,0.61970486,1.85934702,0.00000000
-5.69984992,4.31057293,0.02584503,0.46450229,1.95863590,1.06011582,0.59511690,1.78928480,0.00000000
-5.69384692,4.10774258,0.02324729,0.43608461,1.87782618,1.00702744,0.56958553,1.72050855,0.00000000
-5.68784392,3.91660230,0.02083653,0.41053112,1.80250217,0.95669631,0.54329706,1.65355095,0.00000000
-5.68184092,3.73820948,0.01862250,0.38794204,1.73309759,0.90938846,0.51643070,1.58887060,0.00000000
-5.67583792,3.57335662,0.01661105,0.36837084,1.66997093,0.86530218,0.48915898,1.52685687,0.00000000
-5.66983492,3.42259848,0.01480451,0.35183007,1.61341959,0.82457585,0.46164830,1.46783543,0.00000000
-5.66383192,3.28627991,0.01320217,0.33829720,1.56369217,0.78729621,0.43405950,1.41207388,0.00000000
-5.65782891,3.16456251,0.01180073,0.32772026,1.52099796,0.75350626,0.40654835,1.35978683,0.00000000
-5.65182591,3.05744861,0.01059484,0.32002290,1.48551272,0.72321263,0.37926572,1.31114007,0.00000000
-5.64582291,2.96480156,0.00957755,0.31510870,1.45738027,0.69639207,0.35235749,1.26625360,0.00000000
-5.63981991,2.88636194,0.00874081,0.31286468,1.43670979,0.67299695,0.32596393,1.22520338,0.00000000
-5.63381691,2.82175958,0.00807584,0.31316387,1.42356900,0.65295970,0.30021882,1.18802204,0.00000000
-5.62781391,2.77052202,0.00757357,0.31586706,1.41797373,0.63619648,0.27524818,1.15469857,0.00000000
-5.62181091,2.73208012,0.00722490,0.32082389,1.41987491,0.62260997,0.25116873,1.12517761,0.00000000
-5.61580790,2.70577189,0.00702104,0.32787327,1.42914397,0.61209185,0.22808628,1.09935856,0.00000000
