energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
1.72586293,2.05292393,0.02215827,0.11723650,0.13672880,0.01417089,0.01070400,0.32453340,0.63767110,1.46143426
1.73186593,2.13685066,0.02130560,0.12505678,0.14138802,0.01445250,0.01080894,0.33898006,0.67823901,1.52039492
1.73786893,2.23292121,0.02048010,0.13353376,0.14705067,0.01482890,0.01096220,0.35559389,0.72409213,1.58785073
1.74387194,2.34039469,0.01969039,0.14258710,0.15368726,0.01529592,0.01116375,0.37423068,0.77494940,1.66333284
1.74987494,2.45829763,0.01894475,0.15212279,0.16125285,0.01584777,0.01141263,0.39470729,0.83044247,1.74620626
1.75587794,2.58543544,0.01825085,0.16203528,0.16968784,0.01647715,0.01170684,0.41680449,0.89011774,1.83567629
1.76188094,2.72040932,0.01761546,0.17220986,0.17891895,0.01717541,0.01204339,0.44027041,0.95344011,1.93079911
1.76788394,2.86163861,0.01704424,0.18252542,0.18886044,0.01793273,0.01241819,0.46482485,1.01979887,2.03049666
1.77388694,3.00738850,0.01654146,0.19285717,0.19941555,0.01873825,0.01282618,0.49016412,1.08851569,2.13357557
1.77988994,3.15580269,0.01610992,0.20307963,0.21047813,0.01958032,0.01326134,0.51596666,1.15885467,2.23875018
1.78589295,3.30494034,0.01575084,0.21306937,0.22193447,0.02044671,0.01371681,0.54189902,1.23003428,2.34466884
1.79189595,3.45281647,0.01546385,0.22270781,0.23366517,0.02132479,0.01418507,0.56762231,1.30124116,2.44994316
1.79789895,3.59744454,0.01524702,0.23188364,0.24554720,0.02220177,0.01465810,0.59279888,1.37164511,2.55317910
1.80390195,3.73688011,0.01509702,0.24049502,0.25745591,0.02306497,0.01512758,0.61709903,1.44041523,2.65300890
1.80990495,3.86926379,0.01500920,0.24845137,0.26926702,0.02390194,0.01558513,0.64020759,1.50673629,2.74812283
1.81590795,3.99286216,0.01497789,0.25567472,0.28085853,0.02470076,0.01602253,0.66183015,1.56982514,2.83729941
1.82191096,4.10610501,0.01499653,0.26210068,0.29211246,0.02545021,0.01643199,0.68169872,1.62894622,2.91943282
1.82791396,4.20761738,0.01505798,0.26767878,0.30291643,0.02613989,0.01680632,0.69957665,1.68342595,2.99355659
1.83391696,4.29624524,0.01515468,0.27237251,0.31316491,0.02676044,0.01713915,0.71526258,1.73266506,3.05886227
1.83991996,4.37107371,0.01527894,0.27615880,0.32276029,0.02730363,0.01742508,0.72859334,1.77614876,3.11471254
1.84592296,4.43143717,0.01542305,0.27902720,0.33161353,0.02776245,0.01765984,0.73944566,1.81345418,3.16064806
1.85192596,4.47692102,0.01557948,0.28097863,0.33964466,0.02813118,0.01784029,0.74773663,1.84425490,3.19638799
1.85792896,4.50735521,0.01574102,0.28202401,0.34678286,0.02840541,0.01796453,0.75342298,1.86832256,3.22182418
1.86393197,4.52280011,0.01590078,0.28218261,0.35296642,0.02858206,0.01803183,0.75649922,1.88552553,3.23700969
1.86993497,4.52352568,0.01605233,0.28148046,0.35814241,0.02865933,0.01804256,0.75699475,1.89582496,3.24214214
1.87593797,4.50998533,0.01618967,0.27994864,0.36226632,0.02863663,0.01799811,0.75497017,1.89926848,3.23754331
1.88194097,4.48278591,0.01630722,0.27762182,0.36530161,0.02851455,0.01790075,0.75051292,1.89598212,3.22363594
