energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.55842126,0.00763932,0.00000000,0.01029065,0.21673986,0.68452448,0.57532801,0.71633399,0.00000000
-5.99399700,1.63997792,0.00810029,0.00000000,0.01085561,0.23155190,0.72476642,0.60074961,0.75323419,0.00000000
-5.98799400,1.71919933,0.00854896,0.00000000,0.01138454,0.24626279,0.76465761,0.62568669,0.78836434,0.00000000
-5.98199100,1.79501768,0.00898125,0.00000000,0.01186813,0.26070496,0.80383486,0.64968107,0.82131675,0.00000000
-5.97598799,1.86643195,0.00939330,0.00000000,0.01229774,0.27470777,0.84195708,0.67230567,0.85172477,0.00000000
-5.96998499,1.93252261,0.00978147,0.00000000,0.01266564,0.28810006,0.87870835,0.69316998,0.87926869,0.00000000
-5.96398199,1.99246334,0.01014245,0.00000000,0.01296522,0.30071274,0.91379963,0.71192448,0.90367993,0.00000000
-5.95797899,2.04553003,0.01047323,0.00000000,0.01319116,0.31238159,0.94696906,0.72826366,0.92474336,0.00000000
-5.95197599,2.09110704,0.01077114,0.00000000,0.01333958,0.32294995,0.97798119,0.74192821,0.94229807,0.00000000
-5.94597299,2.12869106,0.01103387,0.00000000,0.01340814,0.33227153,1.00662530,0.75270617,0.95623647,0.00000000
-5.93996998,2.15789298,0.01125945,0.00000000,0.01339605,0.34021315,1.03271320,0.76043345,0.96650235,0.00000000
-5.93396698,2.17843821,0.01144629,0.00000000,0.01330409,0.34665739,1.05607691,0.76499377,0.97308784,0.00000000
-5.92796398,2.19016574,0.01159317,0.00000000,0.01313460,0.35150506,1.07656649,0.76631822,0.97602989,0.00000000
-5.92196098,2.19302650,0.01169921,0.00000000,0.01289131,0.35467755,1.09404841,0.76438454,0.97540649,0.00000000
-5.91595798,2.18708116,0.01176396,0.00000000,0.01257926,0.35611875,1.10840488,0.75921624,0.97133294,0.00000000
-5.90995498,2.17249780,0.01178735,0.00000000,0.01220465,0.35579670,1.11953407,0.75088154,0.96395845,0.00000000
-5.90395198,2.14954931,0.01176973,0.00000000,0.01177461,0.35370474,1.12735170,0.73949221,0.95346322,0.00000000
-5.89794897,2.11861066,0.01171191,0.00000000,0.01129704,0.34986221,1.13179367,0.72520216,0.94005618,0.00000000
-5.89194597,2.08015587,0.01161517,0.00000000,0.01078036,0.34431444,1.13281990,0.70820580,0.92397324,0.00000000
-5.88594297,2.03475436,0.01148129,0.00000000,0.01023333,0.33713228,1.13041901,0.68873598,0.90547618,0.00000000
-5.87993997,1.98306646,0.01131259,0.00000000,0.00966485,0.32841090,1.12461349,0.66706139,0.88485175,0.00000000
-5.87393697,1.92583772,0.01111192,0.00000000,0.00908372,0.31826797,1.11546515,0.64348344,0.86241100,0.00000000
-5.86793397,1.86389159,0.01088267,0.00000000,0.00849854,0.30684127,1.10308016,0.61833228,0.83848840,0.00000000
-5.86193097,1.79812026,0.01062877,0.00000000,0.00791748,0.29428573,1.08761336,0.59196216,0.81344052,0.00000000
-5.85592796,1.72947338,0.01035465,0.00000000,0.00734819,0.28077004,1.06927130,0.56474594,0.78764397,0.00000000
-5.84992496,1.65894455,0.01006522,0.00000000,0.00679768,0.26647288,1.04831354,0.53706878,0.76149234,0.00000000
-5.84392196,1.58755555,0.00976573,0.00000000,0.00627223,0.25157894,1.02505196,0.50932125,0.73539198,0.00000000
-5.83791896,1.51633851,0.00946176,0.00000000,0.00577734,0.23627488,0.99984763,0.48189177,0.70975642,0.00000000
-5.83191596,1.44631625,0.00915907,0.00000000,0.00531764,0.22074525,0.97310536,0.45515877,0.68499949,0.00000000
-5.82591296,1.37848132,0.00886344,0.00000000,0.00489694,0.20516868,0.94526566,0.42948261,0.66152716,0.00000000
-5.81990995,1.31377421,0.00858058,0.00000000,0.00451814,0.18971433,0.91679453,0.40519770,0.63972829,0.00000000
-5.81390695,1.25306145,0.00831594,0.00000000,0.00418328,0.17453879,0.88817111,0.38260493,0.61996453,0.00000000
-5.80790395,1.19711448,0.00807457,0.00000000,0.00389353,0.15978342,0.85987393,0.36196475,0.60255988,0.00000000
-5.80190095,1.14658986,0.00786093,0.00000000,0.00364924,0.14557231,0.83236610,0.34349126,0.58779015,0.00000000
-5.79589795,1.10201195,0.00767878,0.00000000,0.00344994,0.13201090,0.80608017,0.32734738,0.57587304,0.00000000
