energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.10681878,1.89646940,3.06398090,0.00653737,0.38026511,0.01295169,1.85386097,1.07148147,0.63761393
-5.99399700,6.18736846,1.92490366,3.11390962,0.00676688,0.39153259,0.01292552,1.86735413,1.08274184,0.64160121
-5.98799400,6.25632536,1.94768862,3.16033781,0.00697925,0.40262098,0.01284143,1.87543480,1.09114162,0.64360732
-5.98199100,6.31352077,1.96469872,3.20313320,0.00717068,0.41348503,0.01270042,1.87811085,1.09665241,0.64365390
-5.97598799,6.35904100,1.97593063,3.24226257,0.00733758,0.42409139,0.01250482,1.87547964,1.09930540,0.64179295
-5.96998499,6.39319735,1.98149681,3.27777600,0.00747668,0.43441700,0.01225816,1.86771957,1.09918783,0.63810373
-5.96398199,6.41648894,1.98161533,3.30978804,0.00758514,0.44444688,0.01196494,1.85507988,1.09643804,0.63268900
-5.95797899,6.42956043,1.97659629,3.33845662,0.00766056,0.45417148,0.01163049,1.83786927,1.09123913,0.62567089
-5.95197599,6.43315626,1.96682556,3.36396080,0.00770112,0.46358356,0.01126076,1.81644370,1.08381160,0.61718647
-5.94597299,6.42807382,1.95274643,3.38647849,0.00770563,0.47267495,0.01086205,1.79119389,1.07440509,0.60738330
-5.93996998,6.41511725,1.93484011,3.40616515,0.00767356,0.48143316,0.01044086,1.76253298,1.06328967,0.59641497
-5.93396698,6.39505408,1.91360579,3.42313449,0.00760507,0.48983813,0.01000367,1.73088463,1.05074674,0.58443695
-5.92796398,6.36857633,1.88954113,3.43744206,0.00750103,0.49785934,0.00955676,1.69667195,1.03706000,0.57160272
-5.92196098,6.33626777,1.86312402,3.44907264,0.00736299,0.50545333,0.00910608,1.66030764,1.02250668,0.55806040
-5.91595798,6.29857846,1.83479637,3.45793179,0.00719314,0.51256198,0.00865709,1.62218529,1.00734928,0.54394982
-5.90995498,6.25580771,1.80495044,3.46384235,0.00699425,0.51911157,0.00821471,1.58267227,0.99182820,0.52940022
-5.90395198,6.20809586,1.77391835,3.46654570,0.00676959,0.52501277,0.00778324,1.54210414,0.97615525,0.51452856
-5.89794897,6.15542524,1.74196506,3.46570814,0.00652283,0.53016172,0.00736634,1.50078067,0.96050851,0.49943836
-5.89194597,6.09762990,1.70928500,3.46093190,0.00625793,0.53444202,0.00696699,1.45896350,0.94502854,0.48421916
-5.88594297,6.03441383,1.67600229,3.45177052,0.00597901,0.53772785,0.00658756,1.41687528,0.92981603,0.46894655
-5.87993997,5.96537636,1.64217457,3.43774779,0.00569026,0.53988784,0.00622984,1.37470033,0.91493111,0.45368265
-5.87393697,5.89004376,1.60779988,3.41837956,0.00539580,0.54078984,0.00589506,1.33258657,0.90039418,0.43847703
-5.86793397,5.80790534,1.57282633,3.39319739,0.00509958,0.54030608,0.00558400,1.29064863,0.88618832,0.42336800
-5.86193097,5.71845226,1.53716381,3.36177295,0.00480527,0.53831875,0.00529702,1.24897186,0.87226308,0.40838417
-5.85592796,5.62121737,1.50069719,3.32374207,0.00451620,0.53472554,0.00503420,1.20761714,0.85853957,0.39354617
-5.84992496,5.51581394,1.46330021,3.27882732,0.00423527,0.52944499,0.00479536,1.16662614,0.84491657,0.37886853
-5.84392196,5.40197149,1.42484941,3.22685803,0.00396492,0.52242119,0.00458011,1.12602681,0.83127742,0.36436150
-5.83791896,5.27956712,1.38523728,3.16778673,0.00370712,0.51362790,0.00438799,1.08583892,0.81749739,0.35003291
-5.83191596,5.14865059,1.34438410,3.10170127,0.00346331,0.50307142,0.00421843,1.04607932,0.80345116,0.33588980
-5.82591296,5.00946216,1.30224786,3.02883200,0.00323449,0.49079249,0.00407085,1.00676676,0.78902014,0.32193991
-5.81990995,4.86244227,1.25883188,2.94955347,0.00302116,0.47686677,0.00394462,0.96792604,0.77409933,0.30819294
-5.81390695,4.70823250,1.21418969,2.86438071,0.00282345,0.46140401,0.00383912,0.92959134,0.75860325,0.29466144
-5.80790395,4.54766791,1.16842723,2.77395998,0.00264109,0.44454595,0.00375372,0.89180856,0.74247093,0.28136152
-5.80190095,4.38176101,1.12170223,2.67905451,0.00247354,0.42646289,0.00368774,0.85463665,0.72566957,0.26831308
-5.79589795,4.21167812,1.07422093,2.58052569,0.00232000,0.40734933,0.00364043,0.81814791,0.70819674,0.25553985
-5.78989495,4.03870922,1.02623239,2.47931051,0.00217950,0.38741862,0.00361098,0.78242716,0.69008118,0.24306905
