energy_ev,total_up,Ag_p_up,Ag_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,13.13605163,1.06489947,5.82983021,0.61699589,4.72789756,0.07987265,0.16845471,0.07744873,1.36435470
-5.99399700,13.10448348,1.09354502,5.83914136,0.59750476,4.69451066,0.08014302,0.16576451,0.07800872,1.35771457
-5.98799400,13.06583721,1.12253384,5.84069184,0.57953449,4.66142986,0.08039443,0.16330916,0.07850992,1.35110742
-5.98199100,13.01926792,1.15161407,5.83362124,0.56328024,4.62857455,0.08063619,0.16111361,0.07896051,1.34447904
-5.97598799,12.96400514,1.18051067,5.81725255,0.54889268,4.59580371,0.08087673,0.15919353,0.07936970,1.33776288
-5.96998499,12.89940864,1.20893140,5.79113094,0.53647871,4.56292933,0.08112333,0.15755546,0.07974768,1.33088476
-5.96398199,12.82502191,1.23657338,5.75505664,0.52610330,4.52973175,0.08138189,0.15619721,0.08010555,1.32376773
-5.95797899,12.74062097,1.26313024,5.70911051,0.51779235,4.49597607,0.08165682,0.15510839,0.08045512,1.31633690
-5.95197599,12.64625611,1.28829968,5.65367105,0.51153621,4.46142891,0.08195102,0.15427113,0.08080872,1.30852422
-5.94597299,12.54228487,1.31179137,5.58942188,0.50729390,4.42587477,0.08226598,0.15366093,0.08117889,1.30027292
-5.93996998,12.42939449,1.33333511,5.51734912,0.50499766,4.38913133,0.08260198,0.15324758,0.08157801,1.29154162
-5.93396698,12.30861277,1.35268907,5.43872839,0.50455773,4.35106312,0.08295833,0.15299619,0.08201784,1.28230798
-5.92796398,12.18130654,1.36964788,5.35510160,0.50586724,4.31159295,0.08333367,0.15286818,0.08250913,1.27257186
-5.92196098,12.04916742,1.38405039,5.26824380,0.50880693,4.27071086,0.08372636,0.15282246,0.08306107,1.26235787
-5.91595798,11.91418496,1.39578679,5.18012118,0.51324974,4.22848014,0.08413476,0.15281643,0.08368080,1.25171724
-5.90995498,11.77860764,1.40480470,5.09284098,0.51906497,4.18504038,0.08455760,0.15280714,0.08437296,1.24072896
-5.90395198,11.64489244,1.41111408,5.00859492,0.52612206,4.14060726,0.08499420,0.15275231,0.08513928,1.22950011
-5.89794897,11.51564439,1.41479032,4.92959760,0.53429387,4.09546925,0.08544468,0.15261141,0.08597820,1.21816522
-5.89194597,11.39354734,1.41597549,4.85802164,0.54345930,4.04998125,0.08591008,0.15234663,0.08688463,1.20688473
-5.88594297,11.28128784,1.41487729,4.79593137,0.55350534,4.00455532,0.08639229,0.15192379,0.08784986,1.19584236
