energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,1.01507413,0.01444514,0.03243619,0.17561046,0.25979145,0.37313671,0.25531427,0.00117883,0.45661866
-5.99399700,0.97913209,0.01333205,0.03028145,0.16302071,0.24457893,0.35507911,0.26014258,0.00107545,0.44563123
-5.98799400,0.94873456,0.01223408,0.02826516,0.15074251,0.23048794,0.33807765,0.26741758,0.00098749,0.43733103
-5.98199100,0.92468920,0.01116247,0.02641242,0.13892876,0.21771318,0.32256830,0.27729097,0.00091487,0.43209918
-5.97598799,0.90772097,0.01012775,0.02474770,0.12772425,0.20643746,0.30896316,0.28987076,0.00085777,0.43027148
-5.96998499,0.89844937,0.00913942,0.02329434,0.11726261,0.19682655,0.29764219,0.30521395,0.00081652,0.43212758
-5.96398199,0.89736966,0.00820582,0.02207419,0.10766386,0.18902464,0.28894637,0.32332064,0.00079169,0.43788220
-5.95797899,0.90483866,0.00733390,0.02110725,0.09903272,0.18315078,0.28317257,0.34412997,0.00078400,0.44767873
-5.95197599,0.92106581,0.00652916,0.02041154,0.09145762,0.17929630,0.28057001,0.36751796,0.00079431,0.46158545
-5.94597299,0.94610970,0.00579562,0.02000295,0.08501042,0.17752325,0.28133834,0.39329791,0.00082363,0.47959460
-5.93996998,0.97988022,0.00513585,0.01989528,0.07974673,0.17786386,0.28562725,0.42122308,0.00087306,0.50162432
-5.93396698,1.02214615,0.00455104,0.02010033,0.07570676,0.18032097,0.29353749,0.45099202,0.00094377,0.52752340
-5.92796398,1.07254768,0.00404110,0.02062805,0.07291658,0.18486940,0.30512304,0.48225636,0.00103700,0.55707857
-5.92196098,1.13061347,0.00360480,0.02148676,0.07138969,0.19145795,0.32039429,0.51463083,0.00115397,0.59002418
-5.91595798,1.19578131,0.00323993,0.02268333,0.07112867,0.20001222,0.33932196,0.54770528,0.00129594,0.62605369
-5.90995498,1.26742143,0.00294346,0.02422345,0.07212699,0.21043775,0.36184156,0.58105819,0.00146407,0.66483254
-5.90395198,1.34486153,0.00271169,0.02611179,0.07437060,0.22262360,0.38785813,0.61427120,0.00165949,0.70601181
-5.89794897,1.42741225,0.00254042,0.02835212,0.07783944,0.23644607,0.41725101,0.64694398,0.00188319,0.74924210
-5.89194597,1.51439193,0.00242509,0.03094741,0.08250864,0.25177244,0.44987842,0.67870880,0.00213601,0.79418676
-5.88594297,1.60514947,0.00236089,0.03389979,0.08834942,0.26846457,0.48558172,0.70924410,0.00241862,0.84053409
-5.87993997,1.69908412,0.00234291,0.03721038,0.09532959,0.28638223,0.52418904,0.73828638,0.00273146,0.88800762
-5.87393697,1.79566118,0.00236620,0.04087905,0.10341365,0.30538604,0.56551817,0.76563976,0.00307474,0.93637408
-5.86793397,1.89442276,0.00242587,0.04490404,0.11256251,0.32533975,0.60937855,0.79118268,0.00344835,0.98544847
-5.86193097,1.99499282,0.00251715,0.04928144,0.12273281,0.34611206,0.65557230,0.81487133,0.00385188,1.03509591
-5.85592796,2.09707628,0.00263541,0.05400457,0.13387589,0.36757752,0.70389418,0.83673956,0.00428458,1.08523012
