energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.73822538,0.01088091,0.08877030,0.19056149,0.61180238,0.53441710,0.01013749,1.02175432
-5.99399700,1.74697466,0.01222577,0.09131450,0.19735572,0.60257143,0.54664999,0.00975190,1.02041404
-5.98799400,1.76676230,0.01370380,0.09495693,0.20559457,0.59612047,0.56262925,0.00942753,1.02478429
-5.98199100,1.79771234,0.01531085,0.09970163,0.21525666,0.59267753,0.58230284,0.00916749,1.03497719
-5.97598799,1.83972105,0.01703971,0.10553484,0.22628584,0.59240835,0.60554110,0.00897341,1.05098267
-5.96998499,1.89244040,0.01887983,0.11242310,0.23858874,0.59540709,0.63213353,0.00884546,1.07265950
-5.96398199,1.95526956,0.02081723,0.12031182,0.25203342,0.60168957,0.66178854,0.00878228,1.09973076
-5.95797899,2.02735530,0.02283441,0.12912444,0.26644952,0.61118910,0.69413608,0.00878106,1.13178433
-5.95197599,2.10760189,0.02491047,0.13876218,0.28162993,0.62375552,0.72873346,0.00883763,1.16827847
-5.94597299,2.19469081,0.02702132,0.14910455,0.29733399,0.63915731,0.76507424,0.00894653,1.20855283
-5.93996998,2.28710969,0.02914006,0.16001071,0.31329241,0.65708700,0.80260008,0.00910128,1.25184435
-5.93396698,2.38319002,0.03123748,0.17132162,0.32921348,0.67716958,0.84071513,0.00929445,1.29730771
-5.92796398,2.48115201,0.03328269,0.18286296,0.34479073,0.69897370,0.87880244,0.00951802,1.34403956
-5.92196098,2.57915520,0.03524384,0.19444887,0.35971145,0.72202504,0.91624191,0.00976353,1.39110547
-5.91595798,2.67535274,0.03708889,0.20588635,0.37366601,0.74582149,0.95242889,0.01002237,1.43756863
-5.90995498,2.76794705,0.03878653,0.21698007,0.38635733,0.76984928,0.98679278,0.01028606,1.48251888
-5.90395198,2.85524454,0.04030702,0.22753765,0.39751040,0.79359947,1.01881474,0.01054650,1.52510099
-5.89794897,2.93570707,0.04162305,0.23737497,0.40688104,0.81658398,1.04804387,0.01079619,1.56454082
-5.89194597,3.00799781,0.04271056,0.24632148,0.41426390,0.83835052,1.07411091,0.01102844,1.60016828
-5.88594297,3.07101971,0.04354947,0.25422504,0.41949898,0.85849564,1.09673913,0.01123756,1.63143613
-5.87993997,3.12394476,0.04412430,0.26095639,0.42247659,0.87667550,1.11575178,0.01141899,1.65793380
-5.87393697,3.16623303,0.04442464,0.26641271,0.42314042,0.89261375,1.13107583,0.01156938,1.67939580
-5.86793397,3.19764081,0.04444549,0.27052034,0.42148861,0.90610645,1.14274191,0.01168664,1.69570447
-5.86193097,3.21821769,0.04418741,0.27323643,0.41757280,0.91702364,1.15088051,0.01176993,1.70688710
-5.85592796,3.22829319,0.04365651,0.27454941,0.41149515,0.92530790,1.15571476,0.01181962,1.71310787
-5.84992496,3.22845367,0.04286428,0.27447842,0.40340360,0.93096992,1.15755010,0.01183718,1.71465511
-5.84392196,3.21951124,0.04182723,0.27307150,0.39348561,0.93408152,1.15676150,0.01182507,1.71192480
-5.83791896,3.20246613,0.04056645,0.27040296,0.38196058,0.93476659,1.15377889,0.01178663,1.70540110
-5.83191596,3.17846473,0.03910697,0.26656970,0.36907149,0.93319062,1.14907145,0.01172586,1.69563523
-5.82591296,3.14875543,0.03747713,0.26168711,0.35507611,0.92954934,1.14313160,0.01164733,1.68322357
-5.81990995,3.11464420,0.03570779,0.25588438,0.34023810,0.92405722,1.13645932,0.01155598,1.66878608
-5.81390695,3.07745208,0.03383157,0.24929973,0.32481859,0.91693641,1.12954743,0.01145702,1.65294605
-5.80790395,3.03847618,0.03188206,0.24207570,0.30906844,0.90840675,1.12286848,0.01135577,1.63631184
-5.80190095,2.99895556,0.02989308,0.23435473,0.29322144,0.89867724,1.11686343,0.01125764,1.61946134
-5.79589795,2.96004305,0.02789794,0.22627526,0.27748896,0.88793936,1.11193261,0.01116798,1.60292929
-5.78989495,2.92278340,0.02592881,0.21796851,0.26205582,0.87636251,1.10842878,0.01109213,1.58719794
-5.78389195,2.88809802,0.02401611,0.20955601,0.24707775,0.86409150,1.10665250,0.01103537,1.57269055
-5.77788894,2.85677586,0.02218808,0.20114805,0.23268024,0.85124609,1.10684945,0.01100294,1.55976789
-5.77188594,2.82946988,0.02047034,0.19284291,0.21895883,0.83792247,1.10920940,0.01100005,1.54872700
-5.76588294,2.80669827,0.01888562,0.18472698,0.20598059,0.82419616,1.11386667,0.01103192,1.53980190
-5.75987994,2.78884919,0.01745350,0.17687563,0.19378655,0.81012611,1.12090146,0.01110381,1.53316566
-5.75387694,2.77618817,0.01619028,0.16935463,0.18239510,0.79575963,1.13034189,0.01122099,1.52893324
-5.74787394,2.76886700,0.01510892,0.16222214,0.17180569,0.78113745,1.14216629,0.01138876,1.52716468
-5.74187094,2.76693313,0.01421898,0.15553100,0.16200301,0.76629883,1.15630559,0.01161241,1.52786830
-5.73586793,2.77033906,0.01352669,0.14933107,0.15296111,0.75128609,1.17264564,0.01189711,1.53100356
-5.72986493,2.77895111,0.01303495,0.14367174,0.14464734,0.73614842,1.19102936,0.01224783,1.53648363
-5.72386193,2.79255741,0.01274348,0.13860408,0.13702595,0.72094467,1.21125886,0.01266922,1.54417760
-5.71785893,2.81087506,0.01264890,0.13418280,0.13006123,0.70574514,1.23309765,0.01316541,1.55391256
-5.71185593,2.83355691,0.01274487,0.13046780,0.12371995,0.69063207,1.25627310,0.01373985,1.56547579
-5.70585293,2.86019807,0.01302223,0.12752513,0.11797327,0.67569926,1.28047949,0.01439511,1.57861744
-5.69984992,2.89034272,0.01346918,0.12542747,0.11279783,0.66105054,1.30538179,0.01513271,1.59305386
-5.69384692,2.92349170,0.01407150,0.12425395,0.10817634,0.64679761,1.33062041,0.01595293,1.60847211
-5.68784392,2.95911111,0.01481274,0.12408934,0.10409746,0.63305716,1.35581713,0.01685465,1.62453556
-5.68184092,2.99664212,0.01567449,0.12502270,0.10055521,0.61994768,1.38058204,0.01783524,1.64089086
-5.67583792,3.03551203,0.01663672,0.12714528,0.09754792,0.60758605,1.40452169,0.01889052,1.65717613
-5.66983492,3.07514627,0.01767802,0.13054805,0.09507688,0.59608408,1.42724795,0.02001469,1.67303009
-5.66383192,3.11498088,0.01877606,0.13531850,0.09314471,0.58554519,1.44838746,0.02120037,1.68810183
-5.65782891,3.15447488,0.01990794,0.14153726,0.09175361,0.57606132,1.46759115,0.02243870,1.70206068
-5.65182591,3.19312165,0.02105066,0.14927413,0.09090365,0.56771010,1.48454342,0.02371946,1.71460563
-5.64582291,3.23045852,0.02218152,0.15858404,0.09059101,0.56055230,1.49897033,0.02503125,1.72547362
-5.63981991,3.26607391,0.02327863,0.16950284,0.09080643,0.55462967,1.51064645,0.02636169,1.73444623
-5.63381691,3.29961100,0.02432132,0.18204310,0.09153388,0.54996305,1.51939981,0.02769766,1.74135409
-5.62781391,3.33076795,0.02529059,0.19619016,0.09274940,0.54655079,1.52511462,0.02902555,1.74607884
-5.62181091,3.35929399,0.02616950,0.21189852,0.09442038,0.54436748,1.52773164,0.03033148,1.74855217
