energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,1.33747120,0.62918970,0.78250228,0.00530338,0.78290397,0.02771861,0.11362147
-5.99399700,1.34416675,0.63091714,0.78287903,0.00513324,0.78656790,0.02922886,0.11296960
-5.98799400,1.35180870,0.63260687,0.78383040,0.00497431,0.79086226,0.03077791,0.11233118
-5.98199100,1.36041077,0.63431894,0.78531880,0.00482662,0.79575773,0.03234937,0.11175748
-5.97598799,1.36993533,0.63609557,0.78725545,0.00468973,0.80118050,0.03392518,0.11130405
-5.96998499,1.38029585,0.63796052,0.78950408,0.00456272,0.80701546,0.03548613,0.11102925
-5.96398199,1.39136177,0.63991946,0.79188700,0.00444431,0.81311128,0.03701233,0.11099267
-5.95797899,1.40296531,0.64196122,0.79419331,0.00433293,0.81928739,0.03848379,0.11125337
-5.95197599,1.41490983,0.64405993,0.79618870,0.00422678,0.82534231,0.03988104,0.11186796
-5.94597299,1.42697919,0.64617761,0.79762649,0.00412397,0.83106292,0.04118568,0.11288860
-5.93996998,1.43894741,0.64826737,0.79825911,0.00402257,0.83623415,0.04238096,0.11436103
-5.93396698,1.45058817,0.65027659,0.79784962,0.00392070,0.84064848,0.04345230,0.11632258
-5.92796398,1.46168335,0.65215026,0.79618251,0.00381664,0.84411481,0.04438772,0.11880038
-5.92196098,1.47203034,0.65383389,0.79307327,0.00370885,0.84646625,0.04517817,0.12180961
-5.91595798,1.48144761,0.65527613,0.78837632,0.00359607,0.84756639,0.04581772,0.12535221
-5.90995498,1.48977849,0.65643085,0.78199093,0.00347734,0.84731380,0.04630371,0.12941571
-5.90395198,1.49689304,0.65725868,0.77386486,0.00335204,0.84564479,0.04663666,0.13397267
-5.89794897,1.50268829,0.65772798,0.76399575,0.00321990,0.84253421,0.04682019,0.13898041
-5.89194597,1.50708710,0.65781545,0.75243029,0.00308100,0.83799466,0.04686075,0.14438141
-5.88594297,1.51003614,0.65750637,0.73926141,0.00293576,0.83207417,0.04676736,0.15010421
-5.87993997,1.51150362,0.65679481,0.72462381,0.00278490,0.82485289,0.04655120,0.15606486
-5.87393697,1.51147705,0.65568373,0.70868818,0.00262942,0.81643897,0.04622526,0.16216903
-5.86793397,1.50996189,0.65418544,0.69165469,0.00247056,0.80696420,0.04580395,0.16831458
-5.86193097,1.50698106,0.65232229,0.67374598,0.00230972,0.79657963,0.04530275,0.17439465
-5.85592796,1.50257597,0.65012778,0.65520034,0.00214841,0.78545163,0.04473792,0.18030105
-5.84992496,1.49680872,0.64764797,0.63626512,0.00198822,0.77375841,0.04412621,0.18592794
-5.84392196,1.48976559,0.64494329,0.61719097,0.00183074,0.76168727,0.04348468,0.19117554
-5.83791896,1.48156118,0.64209024,0.59822676,0.00167754,0.74943253,0.04283058,0.19595380
-5.83191596,1.47234290,0.63918316,0.57961546,0.00153007,0.73719391,0.04218122,0.20018570
-5.82591296,1.46229489,0.63633531,0.56159079,0.00138970,0.72517531,0.04155395,0.20381013
-5.81990995,1.45164075,0.63367938,0.54437467,0.00125761,0.71358353,0.04096605,0.20678417
-5.81390695,1.44064432,0.63136676,0.52817503,0.00113484,0.70262681,0.04043471,0.20908452
-5.80790395,1.42960773,0.62956551,0.51318406,0.00102225,0.69251267,0.03997690,0.21070807
-5.80190095,1.41886640,0.62845682,0.49957635,0.00092049,0.68344499,0.03960918,0.21167159
-5.79589795,1.40878047,0.62822972,0.48750698,0.00083004,0.67562001,0.03934748,0.21201035
-5.78989495,1.39972287,0.62907423,0.47710923,0.00075120,0.66922119,0.03920677,0.21177595
-5.78389195,1.39206418,0.63117310,0.46849193,0.00068410,0.66441302,0.03920065,0.21103326
-5.77788894,1.38615486,0.63469223,0.46173637,0.00062871,0.66133399,0.03934082,0.20985678
