energy_ev,total_up,Ag_p_up,Ag_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.12976925,0.57297274,1.94620846,0.30622864,0.53176623,0.00160412,0.09398868,0.00411226,0.52849031
-5.99399700,3.02954279,0.55481389,1.87045398,0.29304511,0.52408064,0.00148466,0.09353560,0.00415347,0.51425865
-5.98799400,2.93111189,0.53634171,1.79594557,0.28018227,0.51690322,0.00136805,0.09325629,0.00422883,0.50001357
-5.98199100,2.83558531,0.51780000,1.72347064,0.26778390,0.51032897,0.00125551,0.09318197,0.00434434,0.48586055
-5.97598799,2.74394895,0.49942201,1.65374227,0.25598424,0.50442089,0.00114813,0.09334006,0.00450604,0.47188515
-5.96998499,2.65704703,0.48142662,1.58738413,0.24490714,0.49920915,0.00104682,0.09375378,0.00471988,0.45815219
-5.96398199,2.57557165,0.46401583,1.52492071,0.23466604,0.49469218,0.00095234,0.09444207,0.00499168,0.44470618
-5.95797899,2.50006085,0.44737361,1.46677272,0.22536478,0.49083924,0.00086528,0.09541980,0.00532702,0.43157267
-5.95197599,2.43090459,0.43166597,1.41325769,0.21709917,0.48759477,0.00078605,0.09669849,0.00573115,0.41876051
-5.94597299,2.36835792,0.41704231,1.36459507,0.20995899,0.48488398,0.00071490,0.09828716,0.00620897,0.40626484
-5.93996998,2.31256012,0.40363765,1.32091546,0.20403049,0.48261948,0.00065194,0.10019369,0.00676497,0.39407046
-5.93396698,2.26355838,0.39157556,1.28227275,0.19939890,0.48070874,0.00059715,0.10242619,0.00740321,0.38215559
-5.92796398,2.22133432,0.38097163,1.24865868,0.19615107,0.47906181,0.00055042,0.10499467,0.00812730,0.37049552
-5.92196098,2.18583169,0.37193689,1.22001835,0.19437768,0.47759902,0.00051153,0.10791262,0.00894042,0.35906620
-5.91595798,2.15698334,0.36458105,1.19626596,0.19417512,0.47625823,0.00048022,0.11119857,0.00984529,0.34784746
-5.90995498,2.13473587,0.35901519,1.17729960,0.19564662,0.47500127,0.00045619,0.11487737,0.01084417,0.33682566
-5.90395198,2.11907022,0.35535349,1.16301422,0.19890263,0.47381908,0.00043912,0.11898124,0.01193891,0.32599577
-5.89794897,2.11001699,0.35371394,1.15331197,0.20406014,0.47273553,0.00042870,0.12355030,0.01313083,0.31536274
-5.89194597,2.10766540,0.35421765,1.14810935,0.21124110,0.47180938,0.00042463,0.12863259,0.01442075,0.30494205
-5.88594297,2.11216521,0.35698676,1.14734064,0.22056957,0.47113448,0.00042663,0.13428348,0.01580891,0.29475962
-5.87993997,2.12372134,0.36214094,1.15095758,0.23216791,0.47083804,0.00043447,0.14056450,0.01729484,0.28485091
-5.87393697,2.14258134,0.36979252,1.15892526,0.24615189,0.47107704,0.00044795,0.14754139,0.01887725,0.27525951
-5.86793397,2.16901623,0.38004040,1.17121448,0.26262494,0.47203287,0.00046692,0.15528169,0.02055386,0.26603508
-5.86193097,2.20329582,0.39296307,1.18779128,0.28167165,0.47390449,0.00049126,0.16385162,0.02232124,0.25723102
-5.85592796,2.24565957,0.40861112,1.20860408,0.30335089,0.47690035,0.00052088,0.17331264,0.02417455,0.24890182
-5.84992496,2.29628501,0.42699950,1.23356962,0.32768865,0.48122941,0.00055572,0.18371759,0.02610739,0.24110035
-5.84392196,2.35525508,0.44810013,1.26255836,0.35467113,0.48709170,0.00059572,0.19510676,0.02811156,0.23387515
-5.83791896,2.42252674,0.47183531,1.29538074,0.38423829,0.49466880,0.00064085,0.20750396,0.03017689,0.22726799
-5.83191596,2.49790262,0.49807231,1.33177495,0.41627829,0.50411476,0.00069104,0.22091286,0.03229110,0.22131168
-5.82591296,2.58100752,0.52661967,1.37139758,0.45062317,0.51554776,0.00074621,0.23531372,0.03443973,0.21602831
-5.81990995,2.67127162,0.55722552,1.41381767,0.48704608,0.52904299,0.00080626,0.25066081,0.03660612,0.21142801
-5.81390695,2.76792166,0.58957819,1.45851510,0.52526032,0.54462707,0.00087102,0.26688062,0.03877151,0.20750824
-5.80790395,2.86998100,0.62330927,1.50488357,0.56492052,0.56227432,0.00094030,0.28387107,0.04091526,0.20425368
-5.80190095,2.97627939,0.65799925,1.55223851,0.60562593,0.58190496,0.00101382,0.30150170,0.04301507,0.20163668
-5.79589795,3.08547220,0.69318542,1.59982986,0.64692604,0.60338552,0.00109127,0.31961511,0.04504746,0.19961822
-5.78989495,3.19606895,0.72837211,1.64685921,0.68832830,0.62653140,0.00117224,0.33802948,0.04698822,0.19814936
-5.78389195,3.30647005,0.76304270,1.69250089,0.72930804,0.65111144,0.00125630,0.35654227,0.04881302,0.19717312
-5.77788894,3.41501049,0.79667299,1.73592614,0.76931997,0.67685447,0.00134292,0.37493485,0.05049804,0.19662664
-5.77188594,3.52000874,0.82874548,1.77632917,0.80781134,0.70345747,0.00143154,0.39297814,0.05202068,0.19644347
-5.76588294,3.61981878,0.85876388,1.81295425,0.84423590,0.73059511,0.00152155,0.41043880,0.05336028,0.19655605
-5.75987994,3.71288305,0.88626733,1.84512223,0.87806854,0.75793015,0.00161229,0.42708600,0.05449876,0.19689802
-5.75387694,3.79778402,0.91084362,1.87225566,0.90881978,0.78512439,0.00170309,0.44269832,0.05542130,0.19740652
-5.74787394,3.87329207,0.93214095,1.89390098,0.93604983,0.81184966,0.00179325,0.45707063,0.05611687,0.19802416
-5.74187094,3.93840766,0.94987774,1.90974695,0.95938138,0.83779830,0.00188206,0.47002050,0.05657867,0.19870070
-5.73586793,3.99239568,0.96385009,1.91963839,0.97851088,0.86269279,0.00196886,0.48139414,0.05680449,0.19939433
-5.72986493,4.03481084,0.97393664,1.92358449,0.99321777,0.88629403,0.00205295,0.49107130,0.05679681,0.20007263
-5.72386193,4.06551258,0.98010069,1.92176145,1.00337118,0.90840796,0.00213370,0.49896915,0.05656286,0.20071299
-5.71785893,4.08466916,0.98238959,1.91450913,1.00893404,0.92889009,0.00221052,0.50504485,0.05611446,0.20130273
-5.71185593,4.09275072,0.98093156,1.90232201,1.00996430,0.94764798,0.00228285,0.50929670,0.05546768,0.20183872
-5.70585293,4.09051159,0.97593007,1.88583470,1.00661319,0.96464138,0.00235020,0.51176384,0.05464247,0.20232683
-5.69984992,4.07896271,0.96765621,1.86580271,0.99912082,0.97988005,0.00241214,0.51252451,0.05366204,0.20278092
-5.69384692,4.05933544,0.95643937,1.84307920,0.98780892,0.99341956,0.00246830,0.51169289,0.05255224,0.20322181
-5.68784392,4.03303829,0.94265669,1.81858873,0.97307144,1.00535508,0.00251841,0.50941468,0.05134080,0.20367596
-5.68184092,4.00160846,0.92672173,1.79329901,0.95536304,1.01581365,0.00256225,0.50586163,0.05005662,0.20417423
-5.67583792,3.96666017,0.90907275,1.76819176,0.93518610,1.02494533,0.00259971,0.50122527,0.04872897,0.20475054
-5.66983492,3.92983204,0.89016104,1.74423376,0.91307658,1.03291361,0.00263079,0.49571004,0.04738673,0.20544063
-5.66383192,3.89273535,0.87043969,1.72234920,0.88958943,1.03988571,0.00265557,0.48952616,0.04605773,0.20628094
-5.65782891,3.85690554,0.85035303,1.70339413,0.86528388,1.04602325,0.00267426,0.48288260,0.04476809,0.20730764
-5.65182591,3.82375837,0.83032694,1.68813406,0.84070908,1.05147373,0.00268722,0.47598033,0.04354165,0.20855573
-5.64582291,3.79455247,0.81076037,1.67722523,0.81639077,1.05636340,0.00269495,0.46900623,0.04239955,0.21005841
-5.63981991,3.77035946,0.79201802,1.67120007,0.79281899,1.06079171,0.00269811,0.46212782,0.04135984,0.21184657
-5.63381691,3.75204237,0.77442425,1.67045727,0.77043751,1.06482783,0.00269754,0.45548903,0.04043723,0.21394839
-5.62781391,3.74024279,0.75825833,1.67525655,0.74963498,1.06850912,0.00269429,0.44920716,0.03964297,0.21638913
-5.62181091,3.73537687,0.74375094,1.68571805,0.73073811,1.07184193,0.00268961,0.44337107,0.03898471,0.21919094
-5.61580790,3.73763970,0.73108193,1.70182621,0.71400688,1.07480420,0.00268496,0.43804056,0.03846662,0.22237285
-5.60980490,3.74701737,0.72037926,1.72343767,0.69963185,1.07735007,0.00268202,0.43324709,0.03808941,0.22595069
-5.60380190,3.76330580,0.71171908,1.75029279,0.68773358,1.07941590,0.00268267,0.42899542,0.03785053,0.22993711
-5.59779890,3.78613502,0.70512691,1.78203006,0.67836395,1.08092734,0.00268899,0.42526633,0.03774437,0.23434163
-5.59179590,3.81499750,0.70057994,1.81820282,0.67150933,1.08180717,0.00270321,0.42202002,0.03776256,0.23917053
-5.58579290,3.84927908,0.69801019,1.85829744,0.66709537,1.08198319,0.00272768,0.41920016,0.03789420,0.24442691
-5.57978989,3.88829105,0.69730871,1.90175223,0.66499331,1.08139593,0.00276485,0.41673819,0.03812624,0.25011056
-5.57378689,3.93130191,0.69833059,1.94797633,0.66502742,1.08000560,0.00281713,0.41455789,0.03844381,0.25621785
-5.56778389,3.97756751,0.70090070,1.99636789,0.66698348,1.07779796,0.00288690,0.41257983,0.03883053,0.26274159
-5.56178089,4.02635866,0.70482015,2.04633091,0.67061797,1.07478897,0.00297638,0.41072570,0.03926894,0.26967085
-5.55577789,4.07698520,0.70987312,2.09729020,0.67566785,1.07102788,0.00308756,0.40892228,0.03974082,0.27699070
-5.54977489,4.12881600,0.71583410,2.14870405,0.68186043,1.06659881,0.00322210,0.40710500,0.04022760,0.28468202
-5.54377189,4.18129469,0.72247519,2.20007448,0.68892342,1.06162078,0.00338125,0.40522101,0.04071069,0.29272122
-5.53776888,4.23395094,0.72957329,2.25095477,0.69659455,1.05624646,0.00356576,0.40323176,0.04117188,0.30108004
-5.53176588,4.28640754,0.73691700,2.30095444,0.70463090,1.05065956,0.00377581,0.40111502,0.04159367,0.30972533
-5.52576288,4.33838357,0.74431287,2.34974182,0.71281724,1.04507139,0.00401092,0.39886633,0.04195963,0.31861888
-5.51975988,4.38969437,0.75159094,2.39704448,0.72097364,1.03971664,0.00426995,0.39650001,0.04225470,0.32771737
-5.51375688,4.44024854,0.75860920,2.44264781,0.72896169,1.03484865,0.00455103,0.39404954,0.04246551,0.33697235
-5.50775388,4.49004287,0.76525699,2.48639233,0.73668943,1.03073441,0.00485159,0.39156756,0.04258061,0.34633037
-5.50175088,4.53915561,0.77145705,2.52816999,0.74411462,1.02764948,0.00516838,0.38912528,0.04259075,0.35573323
-5.49574787,4.58773855,0.77716628,2.56791997,0.75124635,1.02587280,0.00549749,0.38681140,0.04248897,0.36511842
-5.48974487,4.63600822,0.78237510,2.60562430,0.75814477,1.02568160,0.00583445,0.38473054,0.04227084,0.37441964
-5.48374187,4.68423651,0.78710557,2.64130359,0.76491894,1.02734625,0.00617434,0.38300111,0.04193446,0.38356760
-5.47773887,4.73274057,0.79140818,2.67501304,0.77172282,1.03112508,0.00651188,0.38175264,0.04148049,0.39249084
-5.47173587,4.78187214,0.79535772,2.70683875,0.77874938,1.03725903,0.00684159,0.38112252,0.04091214,0.40111689
-5.46573287,4.83200592,0.79904817,2.73689427,0.78622308,1.04596614,0.00715795,0.38125227,0.04023502,0.40937335
-5.45972986,4.88352681,0.80258697,2.76531724,0.79439080,1.05743561,0.00745552,0.38228319,0.03945703,0.41718926
-5.45372686,4.93681590,0.80608892,2.79226593,0.80351156,1.07182171,0.00772915,0.38435171,0.03858807,0.42449637
-5.44772386,4.99223484,0.80966988,2.81791522,0.81384529,1.08923726,0.00797408,0.38758423,0.03763982,0.43123057
-5.44172086,5.05010881,0.81344067,2.84245192,0.82564109,1.10974707,0.00818611,0.39209192,0.03662539,0.43733317
-5.43571786,5.11070796,0.81750127,2.86606908,0.83912532,1.13336137,0.00836172,0.39796536,0.03555898,0.44275216
-5.42971486,5.17422790,0.82193568,2.88895914,0.85449005,1.16002961,0.00849816,0.40526938,0.03445547,0.44744334
-5.42371186,5.24076978,0.82680763,2.91130587,0.87188224,1.18963495,0.00859350,0.41403834,0.03333004,0.45137132
-5.41770885,5.31032068,0.83215727,2.93327520,0.89139421,1.22198980,0.00864672,0.42427195,0.03219778,0.45451020
-5.41170585,5.38273550,0.83799903,2.95500528,0.91305569,1.25683305,0.00865765,0.43593203,0.03107327,0.45684423
-5.40570285,5.45772143,0.84432077,2.97659604,0.93682797,1.29382903,0.00862700,0.44894026,0.02997025,0.45836806
-5.39969985,5.53482627,0.85108414,2.99809896,0.96260038,1.33256906,0.00855627,0.46317733,0.02890126,0.45908693
-5.39369685,5.61343186,0.85822636,3.01950761,0.99018941,1.37257543,0.00844768,0.47848334,0.02787740,0.45901651
-5.38769385,5.69275364,0.86566303,3.04074976,1.01934046,1.41330837,0.00830411,0.49465987,0.02690809,0.45818270
-5.38169085,5.77184735,0.87329221,3.06168166,1.04973245,1.45417575,0.00812889,0.51147346,0.02600090,0.45662114
-5.37568784,5.84962328,0.88099918,3.08208524,1.08098497,1.49454570,0.00792577,0.52866067,0.02516152,0.45437663
-5.36968484,5.92486826,0.88866201,3.10166874,1.11266799,1.53376159,0.00769874,0.54593442,0.02439368,0.45150250
-5.36368184,5.99627511,0.89615730,3.12007097,1.14431351,1.57115912,0.00745189,0.56299161,0.02369927,0.44805976
-5.35767884,6.06247868,0.90336605,3.13686947,1.17542902,1.60608482,0.00718933,0.57952153,0.02307843,0.44411625
-5.35167584,6.12209715,0.91017909,3.15159233,1.20551198,1.63791530,0.00691505,0.59521501,0.02252977,0.43974564
-5.34567284,6.17377696,0.91650193,3.16373323,1.23406488,1.66607643,0.00663284,0.60977370,0.02205056,0.43502636
-5.33966983,6.21623933,0.92225855,3.17276918,1.26061022,1.69006148,0.00634620,0.62291928,0.02163703,0.43004045
-5.33366683,6.24832598,0.92739394,3.17817997,1.28470474,1.70944754,0.00605830,0.63440214,0.02128465,0.42487214
-5.32766383,6.26904174,0.93187521,3.17946840,1.30595238,1.72390929,0.00577196,0.64400914,0.02098844,0.41960643
-5.32166083,6.27759190,0.93569113,3.17618020,1.32401531,1.73322940,0.00548956,0.65157014,0.02074325,0.41432744
-5.31565783,6.27341199,0.93885008,3.16792255,1.33862274,1.73730504,0.00521314,0.65696302,0.02054401,0.40911653
-5.30965483,6.25618850,0.94137654,3.15438021,1.34957702,1.73615014,0.00494431,0.66011693,0.02038599,0.40405045
-5.30365183,6.22586932,0.94330631,3.13532838,1.35675692,1.72989316,0.00468436,0.66101362,0.02026494,0.39919917
-5.29764882,6.18266315,0.94468075,3.11064161,1.36011801,1.71877045,0.00443422,0.65968688,0.02017727,0.39462384
-5.29164582,6.12702811,0.94554043,3.08029847,1.35969025,1.70311550,0.00419454,0.65621998,0.02012003,0.39037467
-5.28564282,6.05965002,0.94591864,3.04438172,1.35557297,1.68334457,0.00396569,0.65074138,0.02009100,0.38648899
-5.27963982,5.98141182,0.94583525,3.00307427,1.34792762,1.65993933,0.00374784,0.64341884,0.02008855,0.38298954
-5.27363682,5.89335574,0.94529132,2.95665134,1.33696873,1.63342745,0.00354096,0.63445218,0.02011160,0.37988308
-5.26763382,5.79664062,0.94426496,2.90546948,1.32295359,1.60436202,0.00334485,0.62406520,0.02015941,0.37715956
-5.26163082,5.69249673,0.94270878,2.84995322,1.30617128,1.57330082,0.00315922,0.61249687,0.02023139,0.37479181
-5.25562781,5.58218078,0.94054918,2.79058052,1.28693147,1.54078642,0.00298365,0.59999253,0.02032697,0.37273590
-5.24962481,5.46693360,0.93768762,2.72786773,1.26555369,1.50732819,0.00281766,0.58679520,0.02044531,0.37093224
-5.24362181,5.34794284,0.93400393,2.66235522,1.24235746,1.47338690,0.00266069,0.57313757,0.02058516,0.36930752
-5.23761881,5.22631261,0.92936155,2.59459447,1.21765371,1.43936266,0.00251217,0.55923504,0.02074474,0.36777721
-5.23161581,5.10304166,0.92361431,2.52513726,1.19173780,1.40558682,0.00237148,0.54527991,0.02092158,0.36624893
-5.22561281,4.97901075,0.91661467,2.45452757,1.16488433,1.37231791,0.00223801,0.53143715,0.02111251,0.36462631
-5.21960980,4.85497987,0.90822265,2.38329628,1.13734383,1.33974185,0.00211116,0.51784177,0.02131368,0.36281323
-5.21360680,4.73159464,0.89831525,2.31195895,1.10934128,1.30797622,0.00199033,0.50459785,0.02152066,0.36071849
-5.20760380,4.60940129,0.88679561,2.24101615,1.08107634,1.27707812,0.00187497,0.49177926,0.02172858,0.35826035
-5.20160080,4.48886864,0.87360153,2.17095632,1.05272506,1.24705520,0.00176457,0.47943177,0.02193241,0.35537104
-5.19559780,4.37041542,0.85871278,2.10226027,1.02444284,1.21787900,0.00165866,0.46757664,0.02212717,0.35200084
-5.18959480,4.25444073,0.84215690,2.03540684,0.99636816,1.18949989,0.00155686,0.45621508,0.02230833,0.34812161
-5.18359180,4.14135551,0.82401314,1.97087887,0.96862686,1.16186258,0.00145885,0.44533359,0.02247212,0.34372947
-5.17758879,4.03161264,0.80441424,1.90916885,0.94133663,1.13492149,0.00136439,0.43490964,0.02261588,0.33884666
-5.17158579,3.92573379,0.78354626,1.85078330,0.91461118,1.10865494,0.00127331,0.42491742,0.02273842,0.33352223
-5.16558279,3.82433085,0.76164613,1.79624553,0.88856399,1.08307742,0.00118553,0.41533332,0.02284035,0.32783172
-5.15957979,3.72812062,0.73899743,1.74609608,0.86331140,1.05824947,0.00110105,0.40614086,0.02292426,0.32187564
-5.15357679,3.63793161,0.71592440,1.70089047,0.83897461,1.03428434,0.00101993,0.39733478,0.02299500,0.31577690
-5.14757379,3.55470220,0.69278457,1.66119431,0.81568081,1.01135148,0.00094229,0.38892406,0.02305968,0.30967720
-5.14157079,3.47947015,0.66996040,1.62757537,0.79356317,0.98967642,0.00086833,0.38093385,0.02312774,0.30373267
-5.13556778,3.41335371,0.64785030,1.60059324,0.77275979,0.96953722,0.00079826,0.37340608,0.02321081,0.29810866
-5.12956478,3.35752506,0.62685929,1.58078652,0.75341172,0.95125778,0.00073233,0.36639893,0.02332249,0.29297423
-5.12356178,3.31317735,0.60738983,1.56865820,0.73566014,0.93519814,0.00067082,0.35998508,0.02347809,0.28849629
-5.11755878,3.28148669,0.58983285,1.56465988,0.71964289,0.92174252,0.00061401,0.35424896,0.02369412,0.28483384
-5.11155578,3.26357083,0.57455949,1.56917529,0.70549061,0.91128551,0.00056218,0.34928320,0.02398790,0.28213232
-5.10555278,3.26044632,0.56191343,1.58250399,0.69332262,0.90421713,0.00051556,0.34518436,0.02437691,0.28051854
-5.09954977,3.27298599,0.55220413,1.60484591,0.68324278,0.90090733,0.00047439,0.34204836,0.02487818,0.28009623
-5.09354677,3.30187855,0.54570082,1.63628741,0.67533560,0.90169071,0.00043887,0.33996571,0.02550767,0.28094237
-5.08754377,3.34759191,0.54262731,1.67678946,0.66966263,0.90685191,0.00040913,0.33901684,0.02627957,0.28310451
-5.08154077,3.41034166,0.54315763,1.72617860,0.66625947,0.91661236,0.00038527,0.33926772,0.02720564,0.28659911
-5.07553777,3.49006592,0.54741224,1.78414089,0.66513326,0.93111869,0.00036734,0.34076599,0.02829463,0.29141090
-5.06953477,3.58640745,0.55545492,1.85021938,0.66626099,0.95043340,0.00035531,0.34353769,0.02955169,0.29749334
-5.06353177,3.69870352,0.56729026,1.92381515,0.66958846,0.97452772,0.00034909,0.34758479,0.03097789,0.30477006
-5.05752876,3.82598400,0.58286165,2.00419194,0.67502997,1.00327723,0.00034854,0.35288351,0.03256989,0.31313715
