energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.40570285,4.13049683,1.10076182,0.54741037,2.38354776,0.65311833,0.00159299,1.25793022,0.01229464,1.56175050
-5.39969985,4.20362730,1.11427442,0.55600106,2.43875351,0.66397394,0.00158699,1.28662144,0.01248331,1.58407488
-5.39369685,4.26803303,1.12309075,0.56261116,2.48942148,0.67437298,0.00157328,1.31527437,0.01267537,1.59949320
-5.38769385,4.32246360,1.12691923,0.56707622,2.53479889,0.68412588,0.00155196,1.34349491,0.01286319,1.60758977
-5.38169085,4.36599870,1.12557879,0.56928142,2.57435461,0.69307988,0.00152333,1.37096030,0.01304024,1.60811435
-5.37568784,4.39807214,1.11900364,0.56916410,2.60779207,0.70112328,0.00148781,1.39742843,0.01320128,1.60098745
-5.36968484,4.41848341,1.10724440,0.56671502,2.63505275,0.70818804,0.00144596,1.42274353,0.01334241,1.58630075
-5.36368184,4.42739595,1.09046588,0.56197813,2.65630979,0.71425042,0.00139846,1.44683761,0.01346117,1.56431260
-5.35767884,4.42532215,1.06894135,0.55504894,2.67195197,0.71932982,0.00134605,1.46972767,0.01355650,1.53543872
-5.35167584,4.41309530,1.04304369,0.54607164,2.68255836,0.72348556,0.00128955,1.49150848,0.01362875,1.50023863
-5.34567284,4.39182965,1.01323367,0.53523477,2.68886471,0.72681189,0.00122982,1.51234133,0.01367952,1.45939812
-5.33966983,4.36286989,0.98004586,0.52276583,2.69172302,0.72943142,0.00116772,1.53243906,0.01371162,1.41370853
-5.33366683,4.32773232,0.94407273,0.50892488,2.69205605,0.73148716,0.00110410,1.55204816,0.01372885,1.36404345
-5.32766383,4.28803988,0.90594743,0.49399724,2.69080886,0.73313357,0.00103979,1.57142861,0.01373581,1.31133382
-5.32166083,4.24545378,0.86632601,0.47828562,2.68889951,0.73452716,0.00097556,1.59083265,0.01373770,1.25654203
-5.31565783,4.20160476,0.82586957,0.46210189,2.68717145,0.73581684,0.00091215,1.61048337,0.01374005,1.20063615
-5.30965483,4.15802656,0.78522701,0.44575865,2.68634958,0.73713471,0.00085019,1.63055429,0.01374851,1.14456482
-5.30365183,4.11609467,0.74501897,0.42956095,2.68700231,0.73858765,0.00079025,1.65115107,0.01376853,1.08923378
-5.29764882,4.07697276,0.70582335,0.41379835,2.68951124,0.74025008,0.00073282,1.67229627,0.01380517,1.03548463
-5.29164582,4.04156905,0.66816287,0.39873760,2.69404992,0.74215839,0.00067827,1.69391807,0.01386278,0.98407637
-5.28564282,4.01050427,0.63249497,0.38461616,2.70057279,0.74430711,0.00062692,1.71584360,0.01394487,0.93567022
-5.27963982,3.98409265,0.59920423,0.37163671,2.70881457,0.74664731,0.00057897,1.73779740,0.01405382,0.89081803
-5.27363682,3.96233621,0.56859740,0.35996285,2.71830020,0.74908701,0.00053456,1.75940516,0.01419081,0.84995443
-5.26763382,3.94493270,0.54090107,0.34971617,2.72836477,0.75149381,0.00049372,1.78020261,0.01435566,0.81339284
-5.26163082,3.93129635,0.51626175,0.34097463,2.73818235,0.75369954,0.00045643,1.79964941,0.01454675,0.78132518
-5.25562781,3.92059035,0.49474838,0.33377244,2.74680230,0.75550670,0.00042259,1.81714725,0.01476105,0.75382515
-5.24962481,3.91176942,0.47635681,0.32810124,2.75319127,0.75669639,0.00039207,1.83206147,0.01499417,0.73085471
-5.24362181,3.90363021,0.46101604,0.32391270,2.75627888,0.75703737,0.00036466,1.84374514,0.01524040,0.71227342
-5.23761881,3.89486731,0.44859585,0.32112225,2.75500481,0.75629579,0.00034012,1.85156462,0.01549292,0.69785014
-5.23161581,3.88413214,0.43891546,0.31961390,2.74836521,0.75424516,0.00031821,1.85492516,0.01574399,0.68727659
-5.22561281,3.87009212,0.43175288,0.31924583,2.73545632,0.75067605,0.00029862,1.85329561,0.01598518,0.68018218
-5.21960980,3.85148748,0.42685447,0.31985661,2.71551328,0.74540514,0.00028108,1.84623093,0.01620763,0.67614963
-5.21360680,3.82718342,0.42394458,0.32127174,2.68794260,0.73828314,0.00026530,1.83339155,0.01640238,0.67473072
-5.20760380,3.79621535,0.42273480,0.32331027,2.65234701,0.72920132,0.00025099,1.81455875,0.01656067,0.67546170
-5.20160080,3.75782572,0.42293261,0.32579121,2.60854178,0.71809631,0.00023788,1.78964528,0.01667421,0.67787790
-5.19559780,3.71149101,0.42424925,0.32853956,2.55656211,0.70495307,0.00022573,1.75870103,0.01673551,0.68152709
-5.18959480,3.65693820,0.42640668,0.33139158,2.49666161,0.68980594,0.00021431,1.72191338,0.01673811,0.68598114
-5.18359180,3.59415050,0.42914334,0.33419934,2.42930223,0.67273770,0.00020345,1.67960245,0.01667681,0.69084592
-5.17758879,3.52336259,0.43221892,0.33683421,2.35513656,0.65387686,0.00019297,1.63221155,0.01654786,0.69576898
-5.17158579,3.44504603,0.43541780,0.33918931,2.27498341,0.63339332,0.00018274,1.58029336,0.01634908,0.70044516
-5.16558279,3.35988602,0.43855151,0.34118080,2.18979829,0.61149264,0.00017268,1.52449247,0.01607988,0.70461992
-5.15957979,3.26875094,0.44145995,0.34274819,2.10064000,0.58840922,0.00016273,1.46552538,0.01574132,0.70809054
-5.15357679,3.17265629,0.44401167,0.34385353,2.00863512,0.56439874,0.00015283,1.40415848,0.01533604,0.71070536
-5.14757379,3.07272495,0.44610317,0.34447970,1.91494187,0.53973016,0.00014298,1.34118534,0.01486811,0.71236123
-5.14157079,2.97014548,0.44765750,0.34462804,1.82071479,0.51467774,0.00013320,1.27740395,0.01434295,0.71299945
-5.13556778,2.86613039,0.44862212,0.34431527,1.72707167,0.48951316,0.00012352,1.21359500,0.01376706,0.71260051
-5.12956478,2.76187600,0.44896626,0.34357016,1.63506376,0.46449832,0.00011396,1.15050174,0.01314783,0.71117801
-5.12356178,2.65852546,0.44867797,0.34242994,1.54565010,0.43987881,0.00010459,1.08881222,0.01249328,0.70877203
-5.11755878,2.55713604,0.44776093,0.34093683,1.45967677,0.41587835,0.00009546,1.02914440,0.01181183,0.70544235
-5.11155578,2.45865182,0.44623114,0.33913465,1.37786132,0.39269431,0.00008663,0.97203433,0.01111203,0.70126183
-5.10555278,2.36388229,0.44411378,0.33706592,1.30078240,0.37049442,0.00007814,0.91792767,0.01040232,0.69631023
-5.09954977,2.27348730,0.44144017,0.33476941,1.22887476,0.34941460,0.00007006,0.86717464,0.00969082,0.69066871
-5.09354677,2.18796849,0.43824509,0.33227819,1.16242904,0.32955796,0.00006243,0.82002816,0.00898513,0.68441519
-5.08754377,2.10766680,0.43456449,0.32961842,1.10159607,0.31099487,0.00005527,0.77664508,0.00829219,0.67762077
-5.08154077,2.03276593,0.43043356,0.32680870,1.04639505,0.29376405,0.00004862,0.73709009,0.00761815,0.67034718
-5.07553777,1.96330087,0.42588551,0.32386002,0.99672492,0.27787443,0.00004249,0.70134206,0.00696827,0.66264534
-5.06953477,1.89917100,0.42095064,0.32077636,0.95237832,0.26330780,0.00003689,0.66930232,0.00634692,0.65455507
-5.06353177,1.84015677,0.41565617,0.31755563,0.91305736,0.25002195,0.00003182,0.64080441,0.00575750,0.64610570
-5.05752876,1.78593918,0.41002643,0.31419116,0.87839055,0.23795425,0.00002726,0.61562497,0.00520253,0.63731766
-5.05152576,1.73612110,0.40408362,0.31067338,0.84795032,0.22702548,0.00002319,0.59349525,0.00468363,0.62820478
-5.04552276,1.69024975,0.39784889,0.30699172,0.82127043,0.21714378,0.00001960,0.57411295,0.00420166,0.61877712
-5.03951976,1.64783923,0.39134386,0.30313664,0.79786294,0.20820857,0.00001645,0.55715389,0.00375673,0.60904433
