energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
0.14707354,0.19156214,0.05365675,0.00005276,0.15295581,0.00000000,0.16864742,0.00087787
0.15307654,0.18672157,0.04454585,0.00004716,0.15888609,0.00000000,0.16916182,0.00084472
0.15907954,0.18619921,0.03675838,0.00004282,0.16808065,0.00000000,0.17338534,0.00083150
0.16508254,0.18968795,0.03016324,0.00003964,0.18036099,0.00000000,0.18108072,0.00083674
0.17108554,0.19685424,0.02463005,0.00003750,0.19551559,0.00000000,0.19198145,0.00085887
0.17708854,0.20734011,0.02003255,0.00003627,0.21329820,0.00000000,0.20579197,0.00089624
0.18309155,0.22076451,0.01625110,0.00003586,0.23342632,0.00000000,0.22218752,0.00094708
0.18909455,0.23672437,0.01317469,0.00003614,0.25558030,0.00000000,0.24081430,0.00100958
0.19509755,0.25479604,0.01070222,0.00003700,0.27940345,0.00000000,0.26129015,0.00108183
0.20110055,0.27453718,0.00874334,0.00003835,0.30450352,0.00000000,0.28320622,0.00116187
0.20710355,0.29548980,0.00721887,0.00004007,0.33045574,0.00000000,0.30612992,0.00124772
0.21310655,0.31718440,0.00606086,0.00004207,0.35680784,0.00000000,0.32960934,0.00133733
0.21910955,0.33914563,0.00521243,0.00004427,0.38308677,0.00000000,0.35317931,0.00142870
0.22511256,0.36089938,0.00462749,0.00004656,0.40880744,0.00000000,0.37636902,0.00151982
0.23111556,0.38198118,0.00427035,0.00004888,0.43348303,0.00000000,0.39871119,0.00160879
0.23711856,0.40194588,0.00411531,0.00005114,0.45663666,0.00000000,0.41975235,0.00169379
0.24312156,0.42037806,0.00414629,0.00005328,0.47781403,0.00000000,0.43906409,0.00177317
0.24912456,0.43690303,0.00435652,0.00005525,0.49659645,0.00000000,0.45625469,0.00184549
0.25512756,0.45119759,0.00474825,0.00005699,0.51261372,0.00000000,0.47098061,0.00190956
0.26113057,0.46300043,0.00533255,0.00005847,0.52555634,0.00000000,0.48295742,0.00196452
0.26713357,0.47212127,0.00612919,0.00005966,0.53518627,0.00000000,0.49196941,0.00200981
0.27313657,0.47844849,0.00716648,0.00006054,0.54134584,0.00000000,0.49787765,0.00204529
0.27913957,0.48195460,0.00848113,0.00006113,0.54396428,0.00000000,0.50062574,0.00207120
0.28514257,0.48269941,0.01011808,0.00006142,0.54306148,0.00000000,0.50024310,0.00208821
0.29114557,0.48083036,0.01213016,0.00006144,0.53874870,0.00000000,0.49684551,0.00209741
0.29714857,0.47658011,0.01457760,0.00006124,0.53122624,0.00000000,0.49063271,0.00210031
0.30315158,0.47026120,0.01752740,0.00006085,0.52077790,0.00000000,0.48188318,0.00209879
0.30915458,0.46225798,0.02105234,0.00006035,0.50776268,0.00000000,0.47094616,0.00209509
0.31515758,0.45301610,0.02522976,0.00005979,0.49260376,0.00000000,0.45823132,0.00209172
0.32116058,0.44302977,0.03013996,0.00005925,0.47577545,0.00000000,0.44419625,0.00209146
0.32716358,0.43282735,0.03586430,0.00005881,0.45778845,0.00000000,0.42933254,0.00209719
